voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.009347261272832152,-5124.348835963857,0.0010918415497374045,-0.004672892677313012,-24049.374376490017,-5124.34883596915,0.00013486357711059438,-150,59546169289.100334,0.018095305095997372,59546169289.082237,3290697171072.9414,28493032271987520.0,5.286892701406032e-09,4.900737441727865e-09,9.593855232730569e-08,3.043896867893636e-08,2.701199264265597e-10,1.1929512368740033e-07,1.2335618637671075e-14,-3.5388638368274054e-07,-0.022885538265853194,1.5640607697134757e-07,2.6309985264993258e-07,-150,-0.009347261272844487,-0.009347261272832152,-5124.348835969144,-5124.348835963857,0.0010918464504748463,0.0010918415497374045,-0.0046727967387606845,-0.004672892677313012,-24049.37437645958,-24049.374376490017,-5124.34883596888,-5124.34883596915,0.00013474428198690698,0.00013486357711059438
-140,-0.005791338904829786,-3419.545585078662,0.001480831332927035,-0.003118093052840786,-14655.794422096078,-3419.5455850656103,0.00018266872060360845,-140,50373010506.141029,0.016545232475500174,50373010506.124481,3044563476562.3452,2.386830745584177e+17,1.3660155673278496e-08,1.5154144467066644e-09,1.3673478088888427e-07,3.783679858315736e-08,1.850821718107909e-10,8.088174524378084e-08,1.8777514265710948e-14,6.839395729120638e-07,-0.019434423444947585,1.6391493556577092e-07,2.7384395862202482e-07,-140,-0.005791338904811008,-0.005791338904829786,-3419.545585065002,-3419.545585078662,0.0014808328483414818,0.001480831332927035,-0.003118229787621675,-0.003118093052840786,-14655.794422058241,-14655.794422096078,-3419.5455850657954,-3419.5455850656103,0.00018274960234885223,0.00018266872060360845
-130,-0.0034912384842821255,-2214.6985281944967,0.001952314449366277,-0.0020195995275540356,-8681.802294151164,-2214.698528193757,0.0002409975048909968,-130,42721525108.985878,0.015160750102662447,42721525108.970718,2817903126144.356,1.1050794139215006e+17,3.246896085329354e-10,1.4568422158738048e-09,6.003100230106417e-08,3.2032403396442533e-09,4.702087608166039e-10,6.327924107713619e-08,1.0121244120586681e-14,-4.1949253819992349e-07,-0.016880628298660806,8.7312126768121335e-08,1.3041095489607635e-07,-130,-0.0034912384842922467,-0.0034912384842821255,-2214.698528194172,-2214.6985281944967,0.001952312992524061,0.001952314449366277,-0.0020195394965517345,-0.0020195995275540356,-8681.802294147961,-8681.802294151164,-2214.698528194227,-2214.698528193757,0.00024093422564991967,0.0002409975048909968
-120,-0.002060497971762697,-1400.6332244866737,0.002517635387335071,-0.0012772155052404852,-5030.386355252321,-1400.6332244875664,0.0003106909045386061,-120,36332210786.711151,0.013928001612556251,36332210786.69722,2608573131838.0415,58657127913502424.0,9.763425623532385e-10,8.530084590063769e-10,3.6293354255083343e-09,1.3339558790903538e-08,2.7284841053187847e-12,9.966902160475806e-09,9.293781022545744e-16,-3.629970847402665e-08,-0.01493867041031246,1.7162868329411855e-08,3.0339710143300821e-08,-120,-0.0020604979717636263,-0.002060497971762697,-1400.63322448765,-1400.6332244866737,0.002517634534326612,0.002517635387335071,-0.0012772118759050597,-0.0012772155052404852,-5030.38635526566,-5030.386355252321,-1400.6332244875691,-1400.6332244875664,0.00031070087144076657,0.0003106909045386061
-110,-0.0011972012186280707,-869.7690523869802,0.0031934720502128644,-0.000793131021724631,-2866.8172180147817,-869.769052382296,0.0003941293637486423,-110,30991692876.874622,0.012834649243951529,30991692876.861786,2414689508673.5464,2.0345972159966806e+17,5.200149644224439e-09,9.503800021265496e-10,4.786072893255347e-09,1.5201294445432723e-08,3.069544618483633e-12,2.400810809725408e-08,1.5269903397285844e-15,-6.973579358002291e-08,-0.013420870346466374,2.9298186219123746e-08,5.0375766170594923e-08,-110,-0.0011972012186295977,-0.0011972012186280707,-869.76905238178,-869.7690523869802,0.0031934710998328623,0.0031934720502128644,-0.0007931262356517377,-0.000793131021724631,-2866.8172179995804,-2866.8172180147817,-869.769052382299,-869.769052382296,0.00039410535564054507,0.0003941293637486423
-100,-0.0006879333114517364,-532.8302188946469,0.004002747892202396,-0.00048589986299607443,-1614.2817484921238,-532.8302188988538,0.0004939462925875639,-100,26524591759.537395,0.011869750358854854,26524591759.525524,2234637709945.6016,22446467938619908.0,4.768480721395463e-09,7.475413179094947e-10,2.4518337196622036e-08,5.1934421207988635e-08,7.73070496506989e-12,3.253668558872696e-08,3.2894693913210205e-15,-5.275429119991203e-07,-0.012204981771561206,6.6184707780049558e-08,1.1490109621669232e-07,-100,-0.0006879333114550259,-0.0006879333114517364,-532.8302188994154,-532.8302188946469,0.004002747144661078,0.004002747892202396,-0.0004858753446588778,-0.00048589986299607443,-1614.2817485440582,-1614.2817484921238,-532.830218898846,-532.8302188988538,0.0004939788292731526,0.0004939462925875639
-90,-0.00039231964143903434,-323.2628180534009,0.004975302227478107,-0.0002947733719890865,-901.2109179840245,-323.2628180540926,0.0006139929091211714,-90,22786874123.198032,0.011023647924910474,22786874123.187008,2067090157306.8057,60975528445223744.0,8.48558556754142e-10,3.512621643206315e-10,4.849890999491114e-09,2.6699353838921525e-09,4.2518877307884395e-11,8.43130922576537e-09,1.038828311566986e-15,1.5562353488337036e-07,-0.011212166138523548,1.0135149256899219e-08,1.7565572226201521e-08,-90,-0.0003923196414379955,-0.00039231964143903434,-323.26281805424946,-323.2628180534009,0.004975302578740271,0.004975302227478107,-0.000294778221880086,-0.0002947733719890865,-901.2109179866944,-901.2109179840245,-323.2628180541351,-323.2628180540926,0.0006140013404303972,0.0006139929091211714
-80,-0.00022262042057944552,-194.85670369452953,0.006148522268876577,-0.00017768126862186776,-499.9704037262964,-194.85670369381126,0.0007587892519537905,-80,19660425167.504852,0.010287873864574618,19660425167.494564,1911028986776.7317,22773090453502768.0,8.770939530222677e-10,4.558503028176397e-10,6.0639812668038685e-09,6.569280230905861e-09,1.3784529073745944e-11,1.3205397490561807e-09,9.99038091836768e-16,2.9211243709816364e-07,-0.010391763429414761,9.1067245862483274e-09,1.5832214947066785e-08,-80,-0.00022262042057844648,-0.00022262042057944552,-194.85670369365243,-194.85670369452953,0.00614852272472688,0.006148522268876577,-0.00017768733260313456,-0.00017768126862186776,-499.97040371972713,-499.9704037262964,-194.85670369379747,-194.85670369381126,0.0007587879314140414,0.0007587892519537905
-70,-0.00012592239693495912,-117.05230332263983,0.0075685801061359664,-0.00010674343620141912,-275.97236606766546,-117.05230332436568,0.0009340362161569301,-70,17048627436.775721,0.0096550643037492407,17048627436.766066,1765770470338.0818,29125922460160704.0,2.079318051073642e-09,2.0945265313820904e-10,6.9208238304884146e-09,5.59208501726971e-09,7.212008767965017e-11,7.933174904755508e-10,8.174613329997582e-16,-5.0216478025603283e-07,-0.009710849452824577,9.1749711165860699e-09,1.5761704576710764e-08,-70,-0.00012592239693577658,-0.00012592239693495912,-117.05230332471915,-117.05230332263983,0.007568579896683313,0.0075685801061359664,-0.00010673651537758863,-0.00010674343620141912,-275.97236607325755,-275.97236606766546,-117.05230332429356,-117.05230332436568,0.0009340370094744206,0.0009340362161569301
-60,-7.107484057229869e-05,-70.29560404668834,0.009292016422117536,-6.410287536751994e-05,-151.54638994551334,-70.29560404810584,0.0011467236229465681,-60,14872772042.003664,0.0091188858716549689,14872772041.994545,1630985654534.1797,89795642443391248.0,1.8232100273962715e-09,1.665768217806729e-11,2.058200783931893e-09,2.6734028324426617e-09,2.1231016944511794e-11,2.510321862707332e-09,1.654763565756001e-17,-2.2501624802393366e-07,-0.0091477966365784685,4.584299661621471e-09,9.179478596175821e-09,-60,-7.107484057231523e-05,-7.107484057229869e-05,-70.29560404851155,-70.29560404668834,0.009292016405459853,0.009292016422117536,-6.410081716673601e-05,-6.410287536751994e-05,-151.54638994818674,-151.54638994551334,-70.29560404808461,-70.29560404810584,0.0011467261332684308,0.0011467236229465681
