voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-4.254259282171854e-06,-8.288265633375763e-06,-0.39460138877463663,-1.290595518436379e-05,-0.36000062088589796,3.959145283760073e-10,-12.14602799765887,-150,1381825067760.9031,0.36106855569148272,1381825067760.542,3827043496253.9692,3.0427715383935008e+24,1.4535055220510872e-13,8.791856132006615e-13,2.8199420879990167e-17,9.856004901109827e-13,5.7069743863186754e-18,2.469136006766348e-13,4.1504614415460717e-20,7196.2135703011609,0.0,1.3518728437505465e-12,2.2609713627121575e-12,-150,-4.2542592821718126e-06,-4.254259282171854e-06,-8.288265488025211e-06,-8.288265633375763e-06,-0.3946013887755158,-0.39460138877463663,-1.2905955184335591e-05,-1.290595518436379e-05,-0.36000062088491236,-0.36000062088589796,3.9591452266903293e-10,3.959145283760073e-10,-12.146027997659116,-12.14602799765887
-140,-4.249370081801439e-06,-7.899103168852288e-06,-0.37455754487875637,-1.1786163740789603e-05,-0.34309646492591545,6.663300732440971e-10,-12.186192584446891,-140,1264170419716.6089,0.34456105341163362,1264170419716.2644,3668930098743.2085,2.3102900693363434e+24,9.728317072944153e-13,1.5976109324356003e-13,1.8057048369567175e-17,7.333578189161472e-13,2.524624919478448e-18,8.171241461241152e-14,1.1858461261560205e-20,6867.1947261661871,9.0949470177292824e-13,1.2314040895734301e-12,1.9496737060536496e-12,-140,-4.249370081801451e-06,-4.249370081801439e-06,-7.899104141683995e-06,-7.899103168852288e-06,-0.3745575448785966,-0.37455754487875637,-1.178616374080766e-05,-1.1786163740789603e-05,-0.3430964649251821,-0.34309646492591545,6.66330075768722e-10,6.663300732440971e-10,-12.18619258444681,-12.186192584446891
-130,-4.2414399164308544e-06,-7.523886961748069e-06,-0.3535041214921429,-1.0000533607109952e-05,-0.32679692826827506,1.0943229035277418e-09,-12.217474437749006,-130,1161866488583.2524,0.32880971197374043,1161866488582.9236,3533552830933.54,1.821356608055064e+25,3.562591565273144e-13,8.780753901760363e-13,2.4013384054659415e-17,8.861245071045687e-13,1.786800554635007e-17,3.517186542012496e-13,5.421010862427522e-20,6553.2248259549888,0.0,1.3441958133815807e-12,2.4738781317329797e-12,-130,-4.241439916430909e-06,-4.2414399164308544e-06,-7.523887318007225e-06,-7.523886961748069e-06,-0.35350412149302096,-0.3535041214921429,-1.0000533607085939e-05,-1.0000533607109952e-05,-0.32679692826738893,-0.32679692826827506,1.0943229213957473e-09,1.0943229035277418e-09,-12.217474437748654,-12.217474437749006
-120,-4.227981110102898e-06,-7.160563674048541e-06,-0.329538703956845,-6.728026537561125e-06,-0.31101169071222956,1.7695544536208902e-09,-12.235099612521749,-120,1073855143753.5454,0.31378162638447232,1073855143753.2317,3422300904380.4414,6.855471967748627e+24,3.469145255758461e-13,5.331290964250002e-13,1.1357864789732913e-17,4.1416869933641465e-13,8.313668144008906e-17,4.618527782440651e-13,7.623296525288703e-20,6253.6224602642978,9.0949470177292824e-13,8.8843861463363909e-13,1.7589307594256202e-12,-120,-4.227981110102974e-06,-4.227981110102898e-06,-7.160564020963066e-06,-7.160563674048541e-06,-0.3295387039573781,-0.329538703956845,-6.728026537549767e-06,-6.728026537561125e-06,-0.3110116907118154,-0.31101169071222956,1.7695545367575716e-09,1.7695544536208902e-09,-12.235099612521287,-12.235099612521749
-110,-4.204904770558085e-06,-6.80669756733178e-06,-0.2992185791512768,-7.146042012107208e-07,-0.29563234715006115,2.831536911854942e-09,-12.231634834874045,-110,999273068329.99878,0.29944737120819914,999273068329.69934,3337057407778.0977,9.3073110574566649e+24,1.880908746964183e-12,2.2760682227840334e-12,3.9556438636775826e-17,1.6825429938194247e-13,7.74972363729192e-18,2.3092638912203256e-13,3.6422416731934915e-20,5967.7452503251634,1.8189894035458565e-12,2.9666557859106385e-12,4.5613822650440402e-12,-110,-4.2049047705580485e-06,-4.204904770558085e-06,-6.806699448240527e-06,-6.80669756733178e-06,-0.29921857914900074,-0.2992185791512768,-7.146042011711644e-07,-7.146042012107208e-07,-0.2956323471502294,-0.29563234715006115,2.831536919604666e-09,2.831536911854942e-09,-12.231634834874276,-12.231634834874045
-100,-4.1659934314778e-06,-6.45937198639065e-06,-0.25754225374827877,9.019010123096547e-06,-0.280526323471489,4.496021099459018e-09,-12.195377353771319,-100,937443845350.72461,0.28578318015501963,937443845350.43884,3280262487254.2168,3.9045544063564201e+24,8.722214065641585e-13,1.5391576901890858e-12,3.38389662428093e-17,6.034062138837726e-13,1.993398487235716e-17,6.927791673660977e-14,8.470329472543003e-21,5694.9973761471074,0.0,1.8704835737254754e-12,3.0899249206793903e-12,-100,-4.165993431477809e-06,-4.1659934314778e-06,-6.4593711141692435e-06,-6.45937198639065e-06,-0.25754225374981793,-0.25754225374827877,9.019010123130386e-06,9.019010123096547e-06,-0.2805263234708856,-0.280526323471489,4.496021119393003e-09,4.496021099459018e-09,-12.19537735377125,-12.195377353771319
-90,-4.103528169722546e-06,-6.115084722559065e-06,-0.2010289375107936,2.22784306820556e-05,-0.26552989825000045,7.093844128076054e-09,-12.107702130138607,-90,887873010427.32996,0.27277579522499779,887873010427.05713,3254955263515.8564,6.0701939708921691e+24,2.436118111063927e-12,1.6388557178004248e-12,1.969521008955699e-17,1.2874701305065628e-12,5.4098861103692965e-18,4.849454171562684e-13,7.962109704190423e-20,5434.847772451124,-1.8189894035458565e-12,3.2424218046119751e-12,5.8527298675906114e-12,-90,-4.103528169722626e-06,-4.103528169722546e-06,-6.115082286440954e-06,-6.115084722559065e-06,-0.20102893751243245,-0.2010289375107936,2.2278430682035905e-05,2.22784306820556e-05,-0.2655298982512879,-0.26552989825000045,7.09384413348594e-09,7.093844128076054e-09,-12.107702130138122,-12.107702130138607
-80,-4.0105491564830764e-06,-5.769745261265603e-06,-0.13533371392103197,3.842661689560033e-05,-0.25044112563693893,1.1126624628488921e-08,-11.938706196212571,-80,850246061210.46289,0.26043314235106224,850246061210.20251,3264738326062.7271,2.1037580912798425e+24,4.1537259404061076e-13,1.6683321391042227e-12,3.2099160569148966e-17,2.036149027162537e-13,5.612036644368068e-18,1.0516032489249483e-12,1.6686549060909717e-19,5186.8715810651393,0.0,2.0274933200257096e-12,3.3495496009000938e-12,-80,-4.0105491564829096e-06,-4.0105491564830764e-06,-5.769745676638197e-06,-5.769745261265603e-06,-0.13533371391936364,-0.13533371392103197,3.842661689556823e-05,3.842661689560033e-05,-0.25044112563714255,-0.25044112563693893,1.1126624634100958e-08,1.1126624628488921e-08,-11.938706196213623,-11.938706196212571
-70,-3.8793311828068456e-06,-5.418808903686604e-06,-0.07678362132178,5.77680168811356e-05,-0.2350133696279615,1.7344379520106153e-08,-11.64015827329689,-70,824429468471.58667,0.24880772877755866,824429468471.33789,3313520333641.4463,1.5476910697215517e+25,2.357510396616821e-13,5.679484660348066e-13,1.9427547678224633e-17,2.842448498796557e-13,1.6303749725754877e-17,5.133671265866724e-13,8.470329472543003e-20,4950.8424055746873,-9.0949470177292824e-13,8.5106245507324835e-13,1.6064427569353066e-12,-70,-3.879331182806761e-06,-3.8793311828068456e-06,-5.418808667935565e-06,-5.418808903686604e-06,-0.07678362132121205,-0.07678362132178,5.7768016881116174e-05,5.77680168811356e-05,-0.23501336962824573,-0.2350133696279615,1.7344379503802404e-08,1.7344379520106153e-08,-11.640158273297404,-11.64015827329689
-60,-3.6907837197993863e-06,-5.057562152222813e-06,-0.03762652097359571,8.163138073048012e-05,-0.21894888865621764,2.685254212273477e-08,-11.134551759083283,-60,810474789821.5769,0.23804782218066256,810474789821.33887,3404672146954.0693,3.8240423740029366e+24,3.4375722729031795e-12,2.203244531262527e-12,3.812325889002155e-17,1.5898393712632242e-13,1.0529678325555021e-19,1.3944401189291966e-12,2.22769665127881e-19,4726.9353234946766,3.637978807091713e-12,4.3169367610476822e-12,7.1946037892751686e-12,-60,-3.690783719799609e-06,-3.6907837197993863e-06,-5.057565589795086e-06,-5.057562152222813e-06,-0.03762652097139246,-0.03762652097359571,8.1631380730442e-05,8.163138073048012e-05,-0.21894888865637663,-0.21894888865621764,2.6852542122840068e-08,2.685254212273477e-08,-11.134551759081889,-11.134551759083283
-50,-3.404976631854496e-06,-4.681430660062155e-06,-0.01672642027779063,0.00011189990742871104,-0.20188531888985103,4.126997105485846e-08,-10.299511129281873,-50,808626046337.52112,0.22850930413266571,808626046337.2926,3538700751843.5962,4.9980915169980892e+23,5.118705287208275e-12,1.0039608033807212e-12,3.332566427677319e-17,1.7610912728116546e-13,2.0885450199126894e-18,4.288125410312205e-12,6.88214269644119e-19,4516.1715507643557,5.4569682106375694e-12,6.7571179978532852e-12,1.0593590246219128e-11,-50,-3.4049766318551844e-06,-3.404976631854496e-06,-4.681435778767442e-06,-4.681430660062155e-06,-0.01672642027678667,-0.01672642027779063,0.00011189990742867771,0.00011189990742871104,-0.20188531889002714,-0.20188531888985103,4.1269971052769913e-08,4.126997105485846e-08,-10.299511129277585,-10.299511129281873
-40,-2.958492429183892e-06,-4.284773305611583e-06,-0.007041189665344619,0.0001509776403027415,-0.1833428815722139,6.302435127084641e-08,-8.948390621833648,-40,819330585876.2583,0.2210000385271865,819330585876.03735,3707377570323.2183,5.2307374229311132e+23,7.36700708219056e-12,3.6196852806757995e-12,1.070920695872557e-16,1.3022916078853086e-13,7.341922768122665e-19,3.891997835125949e-12,6.170635020747578e-19,4321.3910440407226,-7.2759576141834259e-12,9.0843681072737518e-12,1.5012491040068427e-11,-40,-2.9584924291832747e-06,-2.958492429183892e-06,-4.284765938604501e-06,-4.284773305611583e-06,-0.007041189668964304,-0.007041189665344619,0.00015097764030284859,0.0001509776403027415,-0.18334288157208367,-0.1833428815722139,6.302435127011221e-08,6.302435127084641e-08,-8.94839062183754,-8.948390621833648
