voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.016894422956547550604381554839628197868834163084775416511078387367518174982824548,-35119.616288100054515327028148623863164939206368566122228410772913333959353067585,-99.391716965647589095906102101521038778909406091626320491217654536490437635428001,0.0000039866068185501719701646659809423591030043438400604571334237921125279137332586572,-0.035210328996165181320328266031114272027197102417752812265113597717034136275186291,0.000038324253776980220805649531638779137261406145496155619690086182015247558158439773,0.012796120936656735883388792558384382397588188115342489126675287824888780275480244,-150,32686653966210.246469310453071402796607642870775318129344796869262855019133848887,0.0042953198053444963782660193032747697508373509472222609630792385747440788470961832,32686653966210.242173990647726906418341623567500548378507445922040594056054610313,7609830105208822.1772921732879101770153834813295184838855716207410865434747586493,65373307932420.492938620906142805593215285741550636258689593738525710038267697775,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,4.3612651203226945358201076907142017834135801840403220994369702524351388605970257e-76,4.0215293667718975922960563855247570067252965478395490837393810367996766246680296e-86,7.9066484574228924182614305384525142557824710367763806625583222688311082182273197e-82,3.879971533061526797047235200754285560088566109355596955991754824304328007479715e-83,0.0,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,312104.56667186390968178563475056087283656826320650998714312765790018396288897827,-8.4863852534780672965384435859659749568535471657797858051869303913562757071044864e-76,1.6281090338644924234493808613176159062321324492011721662379718426171765066934441e-75,2.7559084734619088174978442065183598623984727801745432278244144072338432053182187e-75,-150,-0.016894422956547550604381554839628197868834163084775416511078387367518174982824548,-0.016894422956547550604381554839628197868834163084775416511078387367518174982824548,-35119.616288100054515327028148623863164939206368566122228410772913333959353067584,-35119.616288100054515327028148623863164939206368566122228410772913333959353067585,-99.391716965647589095906102101521038778909406091626320491217654536490437635428437,-99.391716965647589095906102101521038778909406091626320491217654536490437635428001,0.0000039866068185501719701646659809423591030043438400604571334237921125279137332586572,0.0000039866068185501719701646659809423591030043438400604571334237921125279137332586572,-0.035210328996165181320328266031114272027197102417752812265113597717034136275186292,-0.035210328996165181320328266031114272027197102417752812265113597717034136275186291,0.000038324253776980220805649531638779137261406145496155619690086182015247558158439734,0.000038324253776980220805649531638779137261406145496155619690086182015247558158439773,0.012796120936656735883388792558384382397588188115342489126675287824888780275480244,0.012796120936656735883388792558384382397588188115342489126675287824888780275480244
-140,-0.0098547079644207093183164769688382467454415173790482972808556195723790589464013496,-20480.121747371620283721013515805496907460142384717168953603154373465426769428105,-74.631852364841641327295700523146404029729513000674088628265133212670142760635797,0.0000068790593124095556779022880082059515406968252853291139388532339891496473057176602,-0.024080065442691489995776773642958956837132073844333369193319023933208408025107287,0.000059386687708371899507400511595534822361131405557763629162925745267831108623744917,0.019139758483613723231014696704991906636128103862330264731786047295497320765031618,-140,28416116017086.747403547418380544749574558791071960711835641347041462802458972528,0.0036894109979776387299767212992375308190333194001628825688261153851805485379395984,28416116017086.743714136420402906019597837491834429892802321946878580233632857143,7702073862918260.7420999970872951133439344449881134750993447062813041418136697842,56832232034173.494807094836761089499149117582143921423671282694082925604917945056,8.9816152972982224104018059373124155539606403790137326404246516089753354752889241e-76,6.4933192323616355527123633068430504275328427740105290663646970466330099620027498e-76,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,3.0308819086787754270002150397401304647166138974309459206473568697185914836538059e-81,7.1164983674395499793271013798246099991010847710568660585852086827207077550125452e-83,0.0,3.4591587001225154329893758605729749869048310785896665398692659926136098454744524e-82,197543.85484067770550838226120876868600812181764729562402202206393377629203887029,-1.1257682146479784095069817316868690037620255619241132011880965245200898258049641e-75,8.6515549021289744872177807014268287108843110617427428861165508918812425148695799e-76,1.0387915643518520293223340792592591719426603572471950620714603123202671883306632e-75,-140,-0.0098547079644207093183164769688382467454415173790482972808556195723790589464013493,-0.0098547079644207093183164769688382467454415173790482972808556195723790589464013496,-20480.121747371620283721013515805496907460142384717168953603154373465426769428104,-20480.121747371620283721013515805496907460142384717168953603154373465426769428105,-74.631852364841641327295700523146404029729513000674088628265133212670142760636446,-74.631852364841641327295700523146404029729513000674088628265133212670142760635797,0.0000068790593124095556779022880082059515406968252853291139388532339891496473057176603,0.0000068790593124095556779022880082059515406968252853291139388532339891496473057176602,-0.02408006544269148999577677364295895683713207384433336919331902393320840802510729,-0.024080065442691489995776773642958956837132073844333369193319023933208408025107287,0.000059386687708371899507400511595534822361131405557763629162925745267831108623744846,0.000059386687708371899507400511595534822361131405557763629162925745267831108623744917,0.019139758483613723231014696704991906636128103862330264731786047295497320765031618,0.019139758483613723231014696704991906636128103862330264731786047295497320765031618
-130,-0.0055813474791892134410431270759636427426607030700074597319374886422802800062576143,-11593.958402461948408432553084064638749946582994557093660638428552042031529073061,-58.001180941087309409991340644985210128446628861205183079720206211687347160672051,0.000010811959081716100810197628499728826578068951086223100989822700554367188561813639,-0.016933357994913425931366566222957967469372363202015489788598540158525968016154592,0.000089679097433465431288558198261573602618198367347594034199074506562285840510994589,0.027591429295497785269030536664758149515975849070782224644282024788554915511719691,-130,24742124516870.127849327946473586382855424280666345355095477843826077486575565086,0.0031784344236027724116834575903583967086234418167849242532775260990267314741192677,24742124516870.124670893522870813971171966690307948646472036027041153233298038987,7784374701311218.9469799510133739093352766058101308729785014548510010049301136501,49484249033740.255698655892947172765710848561332690710190955687652154973151130172,6.5634881018717779152936274157283036740481602769715738526180146373281297704034446e-76,4.3005420601696867220478599041788864739291708064778794959485223374105159494810398e-76,1.769472921379634940610264809630893082959130481049401596845327656191857714853933e-85,5.5675982887686200778590906708269787884468233550633680498848185976352387036684043e-81,2.5480410067866743144787813258684860394611478927111382994572718249162751093896636e-83,0.0,2.5531885643761423433969202780419577284297562722923729222844582326433786954692387e-82,119146.55025554334776879042550120516181842770464649852782703377414614865968045732,8.7602803833001563542222346296617362775154817245196421391481894826899610710740719e-76,1.0109770853588386562566401438419478658388211581461958108698558404382765706325101e-75,1.7434896391216913720258160442291028708528942052583959570936754187537933245940084e-75,-130,-0.0055813474791892134410431270759636427426607030700074597319374886422802800062576146,-0.0055813474791892134410431270759636427426607030700074597319374886422802800062576143,-11593.958402461948408432553084064638749946582994557093660638428552042031529073062,-11593.958402461948408432553084064638749946582994557093660638428552042031529073061,-58.001180941087309409991340644985210128446628861205183079720206211687347160671621,-58.001180941087309409991340644985210128446628861205183079720206211687347160672051,0.000010811959081716100810197628499728826578068951086223100989822700554367188561813639,0.000010811959081716100810197628499728826578068951086223100989822700554367188561813639,-0.016933357994913425931366566222957967469372363202015489788598540158525968016154586,-0.016933357994913425931366566222957967469372363202015489788598540158525968016154592,0.000089679097433465431288558198261573602618198367347594034199074506562285840510994615,0.000089679097433465431288558198261573602618198367347594034199074506562285840510994589,0.027591429295497785269030536664758149515975849070782224644282024788554915511719691,0.027591429295497785269030536664758149515975849070782224644282024788554915511719691
-120,-0.0030309611522383749289164098176254044079191815119949617169445699454276173564347241,-6291.2039281390109387645426098163496504510780123718721728401267200547562138410259,-46.288273267676080674405247240424345049226211669321962642559896397722764226649883,0.000016375263367268285640620112788557436891081406732364036725586067707469726651940153,-0.0119633876684009966507976304593903748017915123649587196553007212256516712609771,0.00013449655419114284929475869828652634221073996238057940859014787675544995232172232,0.03920860537987011247201676211178997477804325705144236784809441945484416059596966,-120,21569212613182.08326007477516043498795280105013163561313261426589143159515070795,0.0027475835214705141735533919915965660861887348313082796818212932649227608902285546,21569212613182.080512491253689920814399409058535069526943879434583151913329414685,7850248207063850.0574771537591452479778837711935333898022331587996979040812984138,43138425226364.166520149550320869975905602100263271226265228531782863190301415899,5.7862329319132778990088557480762677126477202441723085279658813250129565081188261e-76,2.7058195604180281816913613680136501906252818641824424114452390934971969193283279e-75,0.0,3.2120759358280500449187061562463339164116288586904046441643184217126377136548486e-81,7.8242875359914039555712073036769672322847369634766266973233397451974508409541184e-83,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,1.5648575071982807911142414607353934464569473926953253394646679490394901681908237e-82,70761.090998638013396609934056376945008176348463441869586912517741874715834021999,-8.65096257673138581095650246013269172112933826889440823065803862003174913080786e-76,1.71372372841461283367078499490818561599465967220907821414892087928281452349745e-75,2.8621374479017890688302599578765091853273232491971325790827472945401270162929465e-75,-120,-0.0030309611522383749289164098176254044079191815119949617169445699454276173564347243,-0.0030309611522383749289164098176254044079191815119949617169445699454276173564347241,-6291.2039281390109387645426098163496504510780123718721728401267200547562138410253,-6291.2039281390109387645426098163496504510780123718721728401267200547562138410259,-46.288273267676080674405247240424345049226211669321962642559896397722764226652589,-46.288273267676080674405247240424345049226211669321962642559896397722764226649883,0.000016375263367268285640620112788557436891081406732364036725586067707469726651940153,0.000016375263367268285640620112788557436891081406732364036725586067707469726651940153,-0.011963387668400996650797630459390374801791512364958719655300721225651671260977097,-0.0119633876684009966507976304593903748017915123649587196553007212256516712609771,0.00013449655419114284929475869828652634221073996238057940859014787675544995232172224,0.00013449655419114284929475869828652634221073996238057940859014787675544995232172232,0.03920860537987011247201676211178997477804325705144236784809441945484416059596966,0.03920860537987011247201676211178997477804325705144236784809441945484416059596966
-110,-0.0015531540236479501315624175605084333289059776265930755035245020264663447903000347,-3219.3365084218766783155635324138198210635316301626953485289120286179001130935903,-37.170127672481101362546493230672240199629069449115572801755162398519796086954428,0.000024043668488364296299949017258427117524697831055392083920371363678608389554949523,-0.0078621865616614398272687208860635004922827665895673104131689446888086060005848201,0.00019895592787272569130275747943338832662848421266878765582880549179990828368086688,0.054617962114471397650095473043771463424661771512353038715403372611961701710572194,-110,18820760390939.532178622796741559832321092418903568673247373399516085348922735038,0.0023843615364916953234600372803161859529324169426472806804372689962974681175958529,18820760390939.529794261260249864508861055138587382720314956456868804668485466042,7893417211649892.9504353391305217383562623795562370894678796954289374057968238928,37641520781879.064357245593483119664642184837807137346494746799032170697845470076,8.2475409701151946172439660289743815904157803480366487226976368140110051720201178e-76,2.0647189853359390189536964039485767787132175246287428355038701062039003621904421e-75,3.2172234934175180738368451084198056053802372382716392669915048294397412997344237e-86,2.1908005100775931075599380450295508250397263497734554752505351286552862354671532e-81,7.6441230203600229434363439776054581183834436781334148983718154747488253281689907e-83,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,6.3829714109403558584923006951048943210743906807309323057111455816084467386730966e-83,43383.04975287407094853927815834705115559593679605369912537970373302238648561548,-1.3470485434185453996607865092979173999136179252801104427571182361680671077722709e-75,1.925025390380987261695801515309725320177187138892327663502467742935661244509347e-75,3.2886490497565263193769390992342799052013682436592494189393136903330680147648565e-75,-110,-0.0015531540236479501315624175605084333289059776265930755035245020264663447903000346,-0.0015531540236479501315624175605084333289059776265930755035245020264663447903000347,-3219.3365084218766783155635324138198210635316301626953485289120286179001130935895,-3219.3365084218766783155635324138198210635316301626953485289120286179001130935903,-37.170127672481101362546493230672240199629069449115572801755162398519796086956493,-37.170127672481101362546493230672240199629069449115572801755162398519796086954428,0.000024043668488364296299949017258427117524697831055392083920371363678608389554949523,0.000024043668488364296299949017258427117524697831055392083920371363678608389554949523,-0.0078621865616614398272687208860635004922827665895673104131689446888086060005848179,-0.0078621865616614398272687208860635004922827665895673104131689446888086060005848201,0.0001989559278727256913027574794333883266284842126687876558288054917999082836808668,0.00019895592787272569130275747943338832662848421266878765582880549179990828368086688,0.054617962114471397650095473043771463424661771512353038715403372611961701710572194,0.054617962114471397650095473043771463424661771512353038715403372611961701710572194
-100,-0.00073961607093825524058164344836385176181579348125115564946570094809802388577667749,-1529.2423823176222382690487916887376423846617437902924227786551635851895070804179,-29.238539289832688519685511456602370947597176633656173665590335808260893818443051,0.000033753850811697831232864044429483997680611473059386603157619025112265221236878775,-0.0034944200138236434411756560836906768906992518741203739255672817137161455040391303,0.00028472927186807432230648394832355539023823526000967062210510177133350235544814739,0.073222206890128820302162296660076262120892762843267440373483906037329649254113447,-100,16434357950854.769492861608281635475964483291509010302142994502274601211097652947,0.0020782211950914859121364661709275668264458995981227880567394156554433825493318649,16434357950854.767414640413190149563828017120581443475697094904151813154358237292,7907896421069513.9098027375481200019835280564610776168022307173792833079551551655,32868715901709.538985723216563270951928966583018020604285989004549202422195305895,1.1658827549377500244271575014780539421006600491988979869781999684727598934269277e-76,1.2772758352851010250249142743333934709437265851495565851553416437012625892630305e-75,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,9.1420622788952193586147790600857196082484821362726901410830601233359688773253384e-82,6.074117955572274123403963564696592982957887905856854936079961117982231573898592e-83,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,1.4927917009457283862602961303067898008964300785580406198840582408600399630767726e-82,29231.241108407942306858392133358033729581088409899303275913855975592992594096206,-2.3346296972203002710692898466187975653047391651216588347341697912519972718695912e-76,1.3788071595630210451849219427029058778013206816728169399439173576623761538905363e-75,2.0735335631166813593990886499196038498847745550843410080847258594798743337659257e-75,-100,-0.00073961607093825524058164344836385176181579348125115564946570094809802388577667764,-0.00073961607093825524058164344836385176181579348125115564946570094809802388577667749,-1529.2423823176222382690487916887376423846617437902924227786551635851895070804178,-1529.2423823176222382690487916887376423846617437902924227786551635851895070804179,-29.238539289832688519685511456602370947597176633656173665590335808260893818444329,-29.238539289832688519685511456602370947597176633656173665590335808260893818443051,0.000033753850811697831232864044429483997680611473059386603157619025112265221236878775,0.000033753850811697831232864044429483997680611473059386603157619025112265221236878775,-0.0034944200138236434411756560836906768906992518741203739255672817137161455040391312,-0.0034944200138236434411756560836906768906992518741203739255672817137161455040391303,0.00028472927186807432230648394832355539023823526000967062210510177133350235544814733,0.00028472927186807432230648394832355539023823526000967062210510177133350235544814739,0.073222206890128820302162296660076262120892762843267440373483906037329649254113447,0.073222206890128820302162296660076262120892762843267440373483906037329649254113447
-90,-0.00032481133133458856266503625890534540129944822880191850419161372558849736845779214,-668.56516583598734952906706259490700455287647541248803029262892270920596383345068,-22.034532308701992854543480751896652882460616469817208134219322828915012396115405,0.000044621219759354157155062469910357458424042870670664832628291782926569104929376976,0.0024718990289157518821631002423714484330177424452161928234170507908238856761660585,0.00038727265288760345703665442822903032236414961375683723555590428081852522576052572,0.092890942476039644063227963192113792856898864464865588855372658777265636120758683,-90,14358499969645.538075914215773590797680952098893724341399164713066075031683956846,0.0018202605907842021145403710109322052235805758329632631835075778272882258485343668,14358499969645.536255653624989388683140581087961519117818588880102811848176379019,7888156257593660.9487789917669161751254033138264993922250527736518955338852204098,28716999939291.076151828431547181595361904197787448682798329426132150063367913692,5.5703287180359167833741969515062577233698202350614014933402887382587417130397655e-76,5.6580398049235947366007770876128242815139671137627074761569357266276414735406339e-76,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-82,6.537398138624396726036469260309044990132642068167970990526737813421554321060349e-83,0.0,3.5827000822697481270247107127362955221514321885392974877217397780640959113842542e-82,22735.095452675485364503750776954403106804982112664229579015571248478252051465631,8.8601514325971053068749689967373922648302429995266245736133561414681719300037977e-76,5.8687997497321311167825277945605425816600927120803969346986763002050977869093141e-76,8.4340586727655008232882744100832867883941130658119853290484742291329472648678061e-76,-90,-0.0003248113313345885626650362589053454012994482288019185041916137255884973684577925,-0.00032481133133458856266503625890534540129944822880191850419161372558849736845779214,-668.56516583598734952906706259490700455287647541248803029262892270920596383345124,-668.56516583598734952906706259490700455287647541248803029262892270920596383345068,-22.034532308701992854543480751896652882460616469817208134219322828915012396115971,-22.034532308701992854543480751896652882460616469817208134219322828915012396115405,0.000044621219759354157155062469910357458424042870670664832628291782926569104929376976,0.000044621219759354157155062469910357458424042870670664832628291782926569104929376976,0.0024718990289157518821631002423714484330177424452161928234170507908238856761660595,0.0024718990289157518821631002423714484330177424452161928234170507908238856761660585,0.00038727265288760345703665442822903032236414961375683723555590428081852522576052565,0.00038727265288760345703665442822903032236414961375683723555590428081852522576052572,0.092890942476039644063227963192113792856898864464865588855372658777265636120758683,0.092890942476039644063227963192113792856898864464865588855372658777265636120758683
-80,-0.0001322176170503384606323273066875821213525518266672500421504152562026027078244237,-269.94050478478621822653007892599635114630032698779398696905166064764301865903109,-15.765531835938057735722973749446751188616509962951492884760473519928253951570084,0.000055263472377722602315343411488003595924322205636394505783319223709643739331832267,0.012076170310490811178709274308072488500589284560338872659975907375768674871690518,0.00049747810591606497361309936947454612752293146302272244207662540832610221119188461,0.11090946534022662531998876020358322251022100691676530192260988661620315034780648,-80,12550197577652.274506650551180118973335078658600199386571436722250525121233877286,0.0016029665108844721545326408431161023564420498506874361585152297211749265468877379,12550197577652.272903684040295646818802437815484097030129386871563088962718647565,7829357314974363.3593875171375586952686131927391454286446699276220511765833648766,25100395155304.549013301102360237946670157317200398773142873444501050242467754572,1.2927264805906996798625195444629348108014263045515558698207356131908610855358758e-75,2.7910679898661674846927336772218400723292276959048271108981879164234314173228258e-76,2.573778794734014459069476086735844484304189790617311413593203863551793039787539e-85,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,4.2209972233637837128739407822467849542588712566123907182928543362249405852515639e-83,0.0,5.7652645002041923883156264342882916448413851309827775664487766543560164091240873e-82,20134.450791912168612932477150042944873410969506578387801382546576944561090666274,-1.9992376578976879200140884747028683690004974356621832025257196789187523479892456e-75,1.3019527788900002043752500895492977056662354957296560509467506271744613139031288e-75,1.4824362415886241638889739768480064028748976952658494503145531516673854512576717e-75,-80,-0.00013221761705033846063232730668758212135255182666725004215041525620260270782442312,-0.0001322176170503384606323273066875821213525518266672500421504152562026027078244237,-269.9405047847862182265300789259963511463003269877939869690516606476430186590298,-269.94050478478621822653007892599635114630032698779398696905166064764301865903109,-15.765531835938057735722973749446751188616509962951492884760473519928253951570363,-15.765531835938057735722973749446751188616509962951492884760473519928253951570084,0.000055263472377722602315343411488003595924322205636394505783319223709643739331832267,0.000055263472377722602315343411488003595924322205636394505783319223709643739331832267,0.012076170310490811178709274308072488500589284560338872659975907375768674871690517,0.012076170310490811178709274308072488500589284560338872659975907375768674871690518,0.00049747810591606497361309936947454612752293146302272244207662540832610221119188457,0.00049747810591606497361309936947454612752293146302272244207662540832610221119188461,0.11090946534022662531998876020358322251022100691676530192260988661620315034780648,0.11090946534022662531998876020358322251022100691676530192260988661620315034780648
-70,-0.000050720935542805847247124059129221840436727539326250305330362627238434417674566061,-102.06426920951504300916472411355571841232289891703884183271912033328890810458797,-10.755308315860642100743679028752760058629727105781410961268866588149396881803287,0.000064542435756385038608407110437345851536219152063199410804838486594010218233454398,0.028798806541093370665773295642415928458204412177166171043526361783031501560489265,0.00060717008924160384266011405271895267557476111123205293673093497241828354821615557,0.12548163769601521010621602432495152267556316855143058910037092502758623319173673,-70,10973226772508.820801400398894567311350638315636158874957960178048245099020151174,0.0014199978036489821686301042170964664948121338091314823740227258541389557425091256,10973226772508.81938140259524558514272053409853969238014582636891676272499742532,7727636440219001.2022448550157154854513958782152023782492175270776564491892702237,21946453545017.641602800797789134622701276631272317749915920356096490198040302348,2.3749463526509722719812467622701098820569001002199773808815184542963627458696674e-76,1.2701240082004134380695162016970118900488961473477577896333688892650292241760366e-76,2.573778794734014459069476086735844484304189790617311413593203863551793039787539e-85,2.9649931715335846568480364519196928459184266387911427484593708508116655818352449e-82,1.0912822089672221306454578607759980613449764712217400393635184381459602488699165e-82,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,9.3749892598186476671605666459353135340780113123235568240132450729874061474261107e-83,19244.675585566368759647216758273212758224513281257765645646810341017243531954943,-3.4643229430373261985106252490843902180902603614262781489856008350326351134123432e-76,6.7908648530742399329667641301978248813802791326447858765697019219431996296666692e-76,1.1383310977328002431399023453888103438742371240504186170524906333722605362240045e-75,-70,-0.000050720935542805847247124059129221840436727539326250305330362627238434417674565967,-0.000050720935542805847247124059129221840436727539326250305330362627238434417674566061,-102.06426920951504300916472411355571841232289891703884183271912033328890810458773,-102.06426920951504300916472411355571841232289891703884183271912033328890810458797,-10.755308315860642100743679028752760058629727105781410961268866588149396881803414,-10.755308315860642100743679028752760058629727105781410961268866588149396881803287,0.000064542435756385038608407110437345851536219152063199410804838486594010218233454397,0.000064542435756385038608407110437345851536219152063199410804838486594010218233454398,0.028798806541093370665773295642415928458204412177166171043526361783031501560489264,0.028798806541093370665773295642415928458204412177166171043526361783031501560489265,0.00060717008924160384266011405271895267557476111123205293673093497241828354821615546,0.00060717008924160384266011405271895267557476111123205293673093497241828354821615557,0.12548163769601521010621602432495152267556316855143058910037092502758623319173673,0.12548163769601521010621602432495152267556316855143058910037092502758623319173673
-60,-0.000018742040317979827161655863657045574190006555924938324207348453489464501109016328,-36.788383370486667655282423457415378807419384877204740965295593947740221034028415,-7.07555234796406644201538169146887034097841779646761091165790017407444324614622,0.000071983096870166041015039911207416943385097042296729910738721712396561904801809412,0.05860053472623948955352967015656000466783046747708587914086520723227973467879763,0.00071288933333708481910161998221913800604299606735530904520892970200466650153837371,0.13630169309350462620909579751047388536493679796602341515867917399180767317097508,-60,9596822412759.1152896105371374858014014055730202899207813858341479015207884089318,0.0012660025396357290820621075020810775712655784645945183302762183725600754458899513,9596822412759.1140236079975017567193392980709392123495158073695533831905121905592,7580413239550403.5708570663866611028737205860297265259247858024245040768216264481,19193644825518.230579221074274971602802811146040579841562771668295803041576817864,8.9262898424921486245204246206913504942081785016790627128018435086195679340499148e-77,3.1927679002950233416333117428714328765990080644185967225863509987321521473859375e-76,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,8.5655358288748001197832164166568904437643436231744123844381824579003672364129297e-82,1.3692503187984956922249612781434692656498289686084096720315844554095538971669707e-82,0.0,9.4039442712594053298250982519110917845264334474680015774161686164523638191237205e-83,19051.37707591184472835927306769697806743452773066253888731341654492392900964978,1.2147467940191175588061404072215129869246462216130981347453100853438708801230522e-76,9.246704560169474513933138065856021674592203432323938834283522545668062042488894e-76,1.3909387394914956050883978691643330535749376191720183631227865792553860922789267e-75,-60,-0.000018742040317979827161655863657045574190006555924938324207348453489464501109016422,-0.000018742040317979827161655863657045574190006555924938324207348453489464501109016328,-36.788383370486667655282423457415378807419384877204740965295593947740221034028504,-36.788383370486667655282423457415378807419384877204740965295593947740221034028415,-7.0755523479640664420153816914688703409784177964676109116579001740744432461465393,-7.07555234796406644201538169146887034097841779646761091165790017407444324614622,0.000071983096870166041015039911207416943385097042296729910738721712396561904801809412,0.000071983096870166041015039911207416943385097042296729910738721712396561904801809412,0.058600534726239489553529670156560004667830467477085879140865207232279734678797631,0.05860053472623948955352967015656000466783046747708587914086520723227973467879763,0.00071288933333708481910161998221913800604299606735530904520892970200466650153837385,0.00071288933333708481910161998221913800604299606735530904520892970200466650153837371,0.13630169309350462620909579751047388536493679796602341515867917399180767317097508,0.13630169309350462620909579751047388536493679796602341515867917399180767317097508
