voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.3274056699518751,-65443.54002284364,-307900.0256105872,-65443.54002284364,-307900.0256105872,-65443.54002284364,-307900.02561058715,-150,152492796.92616007,437091.23965534702,152055705.68650472,348.8809271181068,6.3249812773560704e+17,5.820766091346741e-11,1.1641532182693481e-10,5.820766091346741e-11,1.1641532182693481e-10,5.820766091346741e-11,5.820766091346741e-11,1.1102230246251565e-16,437091.23965534696,2.675616829972116e-10,2.0936560133032851e-10,4.8021320253610611e-10,-150,-0.327405669951875,-0.3274056699518751,-65443.54002284358,-65443.54002284364,-307900.0256105871,-307900.0256105872,-65443.54002284358,-65443.54002284364,-307900.0256105871,-307900.0256105872,-65443.54002284358,-65443.54002284364,-307900.0256105871,-307900.02561058715
-140,-0.2701390582016564,-58528.82825108324,-251779.13373302727,-58528.82825108325,-251779.13373302727,-58528.82825108324,-251779.13373302727,-140,127735025.29915945,399649.3087426264,127335375.99041682,319.61778115177634,2.5568519901293706e+18,3.637978807091713e-11,1.7462298274040222e-10,2.9103830456733704e-11,1.7462298274040222e-10,3.637978807091713e-11,1.7462298274040222e-10,2.220446049250313e-16,399649.3087426264,5.5284063462364702e-11,7.1969482924778938e-10,1.3096723705530167e-09,-140,-0.2701390582016566,-0.2701390582016564,-58528.82825108328,-58528.82825108324,-251779.13373302744,-251779.13373302727,-58528.82825108328,-58528.82825108325,-251779.13373302744,-251779.13373302727,-58528.82825108328,-58528.82825108324,-251779.13373302744,-251779.13373302727
-130,-0.2228666856884296,-52199.89266467821,-205763.02254867373,-52199.89266467821,-205763.02254867373,-52199.89266467821,-205763.0225486739,-130,107308145.48287363,366207.20243857335,106941938.28043506,293.02576456254496,1.711940830255682e+18,7.275957614183426e-12,2.9103830456733704e-11,7.275957614183426e-12,2.9103830456733704e-11,7.275957614183426e-12,1.4551915228366852e-10,5.551115123125783e-17,366207.20243857335,6.9162791227432029e-11,1.9084657904173947e-10,3.2014213502407074e-10,-130,-0.22286668568842954,-0.2228666856884296,-52199.89266467822,-52199.89266467821,-205763.02254867376,-205763.02254867373,-52199.89266467822,-52199.89266467821,-205763.02254867376,-205763.02254867373,-52199.89266467822,-52199.89266467821,-205763.02254867376,-205763.0225486739
-120,-0.18378297745545116,-46393.391149051124,-168004.90394217355,-46393.391149051145,-168004.90394217355,-46393.391149051124,-168004.90394217352,-120,90458926.709870115,336430.22090301686,90122496.488967091,268.87871864503757,1.2443524137785618e+18,2.9103830456733704e-11,2.9103830456733704e-11,5.093170329928398e-11,2.9103830456733704e-11,2.9103830456733704e-11,0.0,2.7755575615628914e-17,336430.22090301686,7.9975223131079105e-11,2.000557591217151e-10,3.637978807091713e-10,-120,-0.18378297745545114,-0.18378297745545116,-46393.391149051095,-46393.391149051124,-168004.90394217352,-168004.90394217355,-46393.391149051095,-46393.391149051145,-168004.90394217352,-168004.90394217355,-46393.391149051095,-46393.391149051124,-168004.90394217352,-168004.90394217352
-110,-0.15140343451226412,-41051.21028540112,-136989.41203610113,-41051.21028540093,-136989.41203610116,-41051.21028540098,-136989.4120361011,-110,76570426.319253787,310020.34609636012,76260405.973157421,246.98516495254239,1.0386054093198223e+18,1.0913936421275139e-10,1.4551915228366852e-10,1.0186340659856796e-10,1.1641532182693481e-10,4.3655745685100555e-11,1.7462298274040222e-10,1.3877787807814457e-16,310020.34609636007,8.0868953424017019e-11,6.0377297444864947e-10,1.2223608791828156e-09,-110,-0.15140343451226426,-0.15140343451226412,-41051.21028540101,-41051.21028540112,-136989.41203610128,-136989.41203610113,-41051.21028540103,-41051.21028540093,-136989.41203610128,-136989.41203610116,-41051.21028540102,-41051.21028540098,-136989.41203610128,-136989.4120361011
-100,-0.12450589705310841,-36119.88373207542,-111471.7862374875,-36119.88373207542,-111471.7862374875,-36119.88373207542,-111471.78623748745,-100,65137822.932081714,286713.25911487255,64851109.672966845,227.18803843663207,6.7233769412544064e+17,7.275957614183426e-12,0.0,7.275957614183426e-12,0.0,7.275957614183426e-12,4.3655745685100555e-11,2.7755575615628914e-17,286713.25911487243,1.0596702887500347e-10,7.2759576141834259e-11,1.0186340659856796e-10,-100,-0.12450589705310844,-0.12450589705310841,-36119.883732075425,-36119.88373207542,-111471.7862374875,-111471.7862374875,-36119.883732075425,-36119.88373207542,-111471.7862374875,-111471.7862374875,-36119.883732075425,-36119.88373207542,-111471.7862374875,-111471.78623748745
-90,-0.1020822689868259,-31550.057115452662,-90427.9146245728,-31550.057115452648,-90427.91462457279,-31550.057115452633,-90427.91462457278,-90,55748682.364207648,266275.69479826093,55482406.669409387,209.36451750297618,2.2576462208780531e+18,2.1827872842550278e-11,2.9103830456733704e-11,7.275957614183426e-12,4.3655745685100555e-11,1.0913936421275139e-11,5.820766091346741e-11,4.163336342344337e-17,266275.69479826087,2.693502626063592e-11,3.166504778635709e-10,5.0931703299283981e-10,-90,-0.10208226898682594,-0.1020822689868259,-31550.05711545264,-31550.057115452662,-90427.91462457283,-90427.9146245728,-31550.05711545264,-31550.057115452648,-90427.91462457283,-90427.91462457279,-31550.057115452644,-31550.057115452633,-90427.91462457283,-90427.91462457278
-80,-0.08329877406153403,-27295.9940747817,-73013.23273948603,-27295.994074781724,-73013.232739486,-27295.9940747817,-73013.23273948603,-80,48066869.544406086,248503.10713354201,47818366.437272541,193.42562794828814,2.0099166778605875e+18,1.0913936421275139e-11,2.9103830456733704e-11,3.637978807091713e-11,0.0,1.0913936421275139e-11,2.9103830456733704e-11,2.7755575615628914e-17,248503.10713354198,2.6020488802767522e-11,1.0816488609502635e-10,1.673470251262188e-10,-80,-0.083298774061534,-0.08329877406153403,-27295.99407478169,-27295.9940747817,-73013.232739486,-73013.23273948603,-27295.994074781687,-27295.994074781724,-73013.232739486,-73013.232739486,-27295.99407478169,-27295.9940747817,-73013.232739486,-73013.23273948603
-70,-0.0674631556743612,-23315.11851731148,-58528.828251083294,-23315.118517311756,-58528.82825108328,-23315.118517311625,-58528.82825108324,-70,41819465.413933866,233217.62208979434,41586247.79184407,179.31520371060287,6.7069551330564915e+17,1.7826096154749393e-10,5.820766091346741e-11,1.673470251262188e-10,4.3655745685100555e-11,0.0,0.0,4.163336342344337e-17,233217.62208979428,6.7692804318126236e-11,2.5641944647513583e-10,4.9476511776447296e-10,-70,-0.06746315567436116,-0.0674631556743612,-23315.118517311657,-23315.11851731148,-58528.828251083236,-58528.828251083294,-23315.11851731159,-23315.118517311756,-58528.828251083236,-58528.82825108328,-23315.118517311625,-23315.118517311625,-58528.82825108324,-58528.82825108324
-60,-0.053997510606742856,-19567.588502444858,-46393.391149051095,-19567.588502444723,-46393.3911490511,-19567.588502444658,-46393.391149051124,-60,36786167.811966568,220266.25739507109,36565901.554571494,167.0077307664362,9.370930501140992e+17,1.2369127944111824e-10,4.3655745685100555e-11,5.093170329928398e-11,3.637978807091713e-11,1.3460521586239338e-10,1.4551915228366852e-11,5.551115123125783e-17,220266.25739507104,4.2540297594960719e-11,2.2272037844252139e-10,5.0204107537865639e-10,-60,-0.05399751060674291,-0.053997510606742856,-19567.588502444734,-19567.588502444858,-46393.39114905114,-46393.391149051095,-19567.588502444774,-19567.588502444723,-46393.39114905114,-46393.3911490511,-19567.588502444793,-19567.588502444658,-46393.39114905114,-46393.391149051124
