voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.030586289705254256243740673659944325421737879233963204197236508046587219932570438,-9602.1110604047267176170120046102930105114385190752200903504225697250093765946631,-5.7229293242000884955561461466731264087389123654211001792319199455329797249475278,-0.003374188905473927155044332584404125170042784088848962290581183785128958012245858,46.882086629779180872005869197884551106251074449989077700808021430834209064121445,-181353.68420398105568598541981838807324170958306279112981827093344646789102507005,0.43849744477191126709798501511159439895242384077547372089473883692198879887648103,-150,507328799090.10399387492134121271667814794503561869503312931308523939165430643567,781.24295247770493064569826467169907838495986623149818605497898322366727900355243,507328798308.86104139721641056701841347624595723373516689781489918441267108276839,649386720.84159647616641676497214398361983085058785894972961221719777146467493034,1014657598180.2079877498426824254333562958900712373900662586261704787833086128713,2.4181271954264444951081785215841118799124801020421587878066369716472057048854796e-76,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,9.6659189196602017255559439448755864512058197094957752369601664649078466254715349e-79,6.7470066836675348635830873928128121649343752847158448320497683360692123462206461e-80,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,3.6897692801306831285220009179445066526984864838289776425272170587878505018394159e-81,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-83,12187096.939568551668526806400423243817477491621555743250071305616217655710859497,-3.570146960068846381495317648184745747018001552023242187356484681741948388569782e-76,3.3360081326187174785821349103563016862433357043843481839815013757774479469920752e-76,5.4992901170476514884644925124703376106664664206442712590733344440754183702589165e-76,-150,-0.030586289705254256243740673659944325421737879233963204197236508046587219932570438,-0.030586289705254256243740673659944325421737879233963204197236508046587219932570438,-9602.1110604047267176170120046102930105114385190752200903504225697250093765946629,-9602.1110604047267176170120046102930105114385190752200903504225697250093765946631,-5.7229293242000884955561461466731264087389123654211001792319199455329797249475278,-5.7229293242000884955561461466731264087389123654211001792319199455329797249475278,-0.0033741889054739271550443325844041251700427840888489622905811837851289580122468246,-0.003374188905473927155044332584404125170042784088848962290581183785128958012245858,46.882086629779180872005869197884551106251074449989077700808021430834209064121445,46.882086629779180872005869197884551106251074449989077700808021430834209064121445,-181353.68420398105568598541981838807324170958306279112981827093344646789102507005,-181353.68420398105568598541981838807324170958306279112981827093344646789102507005,0.43849744477191126709798501511159439895242384077547372089473883692198879887648103,0.43849744477191126709798501511159439895242384077547372089473883692198879887648103
-140,-0.028987672135265358169417304811376066972199978497331467333111415354099379129343992,-9128.0788402715370563088337853476906152545840111625560196430952817844409471938066,-4.1072158998491990723568220654878355365937037117110898328353716080626654428187955,-0.0021411556502308251892227454262934747946973294060441458344786813913449060036683876,64.054232369252402050524186750614327289018261266041830079612133644424345091836564,-171871.01993899185869329587697937911704561503424713004411881317347851073966506031,0.605231884863645216221691409862710201721891530285184987101536810475437123935223,-140,462119816145.22647506185621687920557797111712659517407992157376312414731258878548,767.37851764893297967438103225507201025853748080479891022718931270183291336695119,462119815377.84795741292323720482454571604511633663659911677485289695799988695257,602205828.69722850511865951235898240032743311946742381764005296449205076096767387,924239632290.45295012371243375841115594223425319034815984314752624829462517757096,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,2.8108958875352697431546287796546443649541661876473030795047185490930926289570854e-79,0.0,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,0.0,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,11650397.421976311606210630165800426843263829798036041050685369848047693205627592,-2.0617265536234305339155031196259916123764208278834318797218927009253401436533683e-76,1.5398598869868277757626894789037646591413997241939704603378508390192183077575841e-76,1.7251969945070574547200709445130943739888898581511036934202163155395545508704855e-76,-140,-0.028987672135265358169417304811376066972199978497331467333111415354099379129343992,-0.028987672135265358169417304811376066972199978497331467333111415354099379129343992,-9128.0788402715370563088337853476906152545840111625560196430952817844409471938065,-9128.0788402715370563088337853476906152545840111625560196430952817844409471938066,-4.1072158998491990723568220654878355365937037117110898328353716080626654428187955,-4.1072158998491990723568220654878355365937037117110898328353716080626654428187955,-0.0021411556502308251892227454262934747946973294060441458344786813913449060036681065,-0.0021411556502308251892227454262934747946973294060441458344786813913449060036683876,64.054232369252402050524186750614327289018261266041830079612133644424345091836564,64.054232369252402050524186750614327289018261266041830079612133644424345091836564,-171871.01993899185869329587697937911704561503424713004411881317347851073966506031,-171871.01993899185869329587697937911704561503424713004411881317347851073966506031,0.605231884863645216221691409862710201721891530285184987101536810475437123935223,0.605231884863645216221691409862710201721891530285184987101536810475437123935223
-130,-0.027119406814689468538513158320243661405433807267489532540665362552020175322268269,-8574.6515170924307341241517020939324344655600746341271427676512836422995404059038,-2.9129223717131286818951771198168260254928161322470533530151210203657265196430579,-0.00085793917276088380705630327876907517849311660412797053106672087367602752153573654,81.545368447399867463022452170118200791745836334616021277286879000596561407336243,-160783.66065599163619608883597824507809122840403558949577567111352543821368625232,0.82141217687835797576822657089879859883773967771695882108154486450788646663147619,-130,424267340522.38443820985076003624875336236156964486668453065168814322734058477528,757.57293575880964050435109355228119995461490787785388045100698953241936124226936,424267339764.81150245104111953189765981008036969025177665279780769222035105235592,560034975.50691208335681597736616224739531887394703367520187439277680514303702453,848534681044.76887641970152007249750672472313928973336906130337628645468116955055,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,1.2306924816512668642296314746996971193440034937444010824676424813375612499458324e-78,0.0,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,11138697.773856329132138144562886430737321346853147302892865973969374939585678047,2.974598513995531998809283736675391017533849875089726554654900687630440873459732e-78,2.1046062229090377300896747649219059436883528977282803352244279289467646026206633e-76,3.0481793037865406766708028548745320715558161169521131114216673185845115984404746e-76,-130,-0.027119406814689468538513158320243661405433807267489532540665362552020175322268269,-0.027119406814689468538513158320243661405433807267489532540665362552020175322268269,-8574.6515170924307341241517020939324344655600746341271427676512836422995404059038,-8574.6515170924307341241517020939324344655600746341271427676512836422995404059038,-2.9129223717131286818951771198168260254928161322470533530151210203657265196430579,-2.9129223717131286818951771198168260254928161322470533530151210203657265196430579,-0.00085793917276088380705630327876907517849311660412797053106672087367602752153450585,-0.00085793917276088380705630327876907517849311660412797053106672087367602752153573654,81.545368447399867463022452170118200791745836334616021277286879000596561407336243,81.545368447399867463022452170118200791745836334616021277286879000596561407336243,-160783.66065599163619608883597824507809122840403558949577567111352543821368625232,-160783.66065599163619608883597824507809122840403558949577567111352543821368625232,0.8214121768783579757682265708987985988377396777169588210815448645078864666314762,0.82141217687835797576822657089879859883773967771695882108154486450788646663147619
-120,-0.02502344332749806475067547859894667994425030064008830484359220958678745239484956,-7955.6768795475820231168057287752714588473217459707355301433031016866503668811683,-2.0405745856076503424884688584099748064758530571448072999869302723050545547206981,0.00093614985394547864550505808028653875718237238357193176134458470394189500052533428,99.121908939367424891726079609322199018850370413808381114474921356812943128338366,-148339.69025814942897614629894067476090267093014307790068551307148736384813742265,1.0949337149295623263879406336499195373101034258890442673924240695082380419663036,-120,392906515306.25760023102789668695881173021492954352785151352364691820238176722934,752.21012750649116141170468960901910142162500907309284501811646962253512645704458,392906514554.04747272453673527525412212119582812190284244043080190008591214469422,522336114.52255677347351231273818687459562638208672441217709137523429984239885775,785813030612.51520046205579337391762346042985908705570302704729383640476353445868,3.7999141642415556351699948196321758112910401603519638094104295268741803933914679e-76,0.0,4.086481248435805181185133684049622778131197081395567554572819129500269673820108e-79,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,0.0,10651060.353033296289025330458289819280313015558334773321571176132402159354242299,-4.7864232125252794418089248459832267481232762923459559100728002183446142437555008e-76,5.3212248623008818673585628811997550255118455787254280894621565307473764381748541e-76,9.0283539109616981040298763759373631374826884806655341499023114965143141581710602e-76,-120,-0.02502344332749806475067547859894667994425030064008830484359220958678745239484956,-0.02502344332749806475067547859894667994425030064008830484359220958678745239484956,-7955.6768795475820231168057287752714588473217459707355301433031016866503668811679,-7955.6768795475820231168057287752714588473217459707355301433031016866503668811683,-2.0405745856076503424884688584099748064758530571448072999869302723050545547206981,-2.0405745856076503424884688584099748064758530571448072999869302723050545547206981,0.00093614985394547864550505808028653875718237238357193176134458470394189500052574293,0.00093614985394547864550505808028653875718237238357193176134458470394189500052533428,99.121908939367424891726079609322199018850370413808381114474921356812943128338366,99.121908939367424891726079609322199018850370413808381114474921356812943128338366,-148339.69025814942897614629894067476090267093014307790068551307148736384813742265,-148339.69025814942897614629894067476090267093014307790068551307148736384813742265,1.0949337149295623263879406336499195373101034258890442673924240695082380419663036,1.0949337149295623263879406336499195373101034258890442673924240695082380419663036
-110,-0.022753081331866386668167758863149075164546020883520200652917693814453562863871423,-7288.6583056107369487837288523012092265421568322328235645396453088362185548381759,-1.4115004358426706707380152406049619943849348376901024197242877995123112197527359,0.0041798892374478661005054705006866624429741887779348268570173415510400058875761536,116.50696907362969959331026712685079479700751911289803543363449283328626627527733,-134854.2806313247388237856977400510260479225103326788567401516309917774101256085,1.4321325828863477955857867263960729852325035407946226284527602435843054891774504,-110,367294970211.95803125042861365215833551144243431208037739994134662969459195737308,751.74962552860700734221964380413018415454548725116661979232573228358027134632353,367294969460.2084057218216063099386917073122501575348901487747268373688596737928,488586834.95011734339161137305404165258702323019910707606666824586095721508202121,734589940423.91606250085722730431667102288486862416075479988269325938918391474615,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-76,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,5.8871586639227953130971568217561012396180315594664134349965507893338293274884251e-80,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.1084395886461046448697148102540038015419922764737015100155526050216288581939519e-81,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,10186618.347177489371521863198096253713078083375490744244550477389075068351639061,2.6358723818001029566051205330094422840331132120264985729401445052609418264900395e-76,2.4331908702244151546845543441652009501328952460200009092233484501582501658740215e-76,3.7731142201216015227247220019328757078935687840498391836666780320238171473616981e-76,-110,-0.022753081331866386668167758863149075164546020883520200652917693814453562863871423,-0.022753081331866386668167758863149075164546020883520200652917693814453562863871423,-7288.6583056107369487837288523012092265421568322328235645396453088362185548381762,-7288.6583056107369487837288523012092265421568322328235645396453088362185548381759,-1.4115004358426706707380152406049619943849348376901024197242877995123112197527359,-1.4115004358426706707380152406049619943849348376901024197242877995123112197527359,0.0041798892374478661005054705006866624429741887779348268570173415510400058875760947,0.0041798892374478661005054705006866624429741887779348268570173415510400058875761536,116.50696907362969959331026712685079479700751911289803543363449283328626627527733,116.50696907362969959331026712685079479700751911289803543363449283328626627527733,-134854.2806313247388237856977400510260479225103326788567401516309917774101256085,-134854.2806313247388237856977400510260479225103326788567401516309917774101256085,1.4321325828863477955857867263960729852325035407946226284527602435843054891774504,1.4321325828863477955857867263960729852325035407946226284527602435843054891774504
-100,-0.020368274631811085775104494519489992922760610449538036886743415517938175126307277,-6593.3136295987878482923058661407811438691912840399354113267232531610450624055815,-0.96391723251494800979317818223219543337822875418742456450159808152479242517845674,0.010871220339764786048323292537453615135930620354224696424834623503138875530603946,133.39824784622173919096479693342705862183197940944962365322734920432827522590646,-120681.85007291887657092498642038327837541459450928036494895618661173622899896086,1.8366288435062791589606116181686337377691393374705078352726022338714910108832285,-100,346797732898.40122421511713665510410272076518492305190711005534609153810247669341,756.73842577644501885914216498408362707887175594847156026369503396162737258861035,346797732141.66279843867211779596193773668155784418015116158378582784306851506604,458279533.70092494381786360496242150842346204973278668555088414780088569979710592,693595465796.80244843023427331020820544153036984610381422011069218307620495338682,6.2180413596680001302781733412162876912035202623941225972170664985213860982769475e-76,0.0,1.0624723586504874663964177732515117125254690923814861023243215513789068982997507e-78,0.0,0.0,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,9744577.4137828039166983210067230644377008448171613292177056794595557160487579252,7.3432810177218856698350415868018611781101242409043878463239508486527651006252935e-76,6.5149779368712515282950202406786648839286377850160394923010974679861974137547413e-76,8.6397400825312101000723612056493882675957592164632201295966203607702921601148689e-76,-100,-0.020368274631811085775104494519489992922760610449538036886743415517938175126307277,-0.020368274631811085775104494519489992922760610449538036886743415517938175126307277,-6593.3136295987878482923058661407811438691912840399354113267232531610450624055821,-6593.3136295987878482923058661407811438691912840399354113267232531610450624055815,-0.96391723251494800979317818223219543337822875418742456450159808152479242517845674,-0.96391723251494800979317818223219543337822875418742456450159808152479242517845674,0.010871220339764786048323292537453615135930620354224696424834623503138875530605009,0.010871220339764786048323292537453615135930620354224696424834623503138875530603946,133.39824784622173919096479693342705862183197940944962365322734920432827522590646,133.39824784622173919096479693342705862183197940944962365322734920432827522590646,-120681.85007291887657092498642038327837541459450928036494895618661173622899896086,-120681.85007291887657092498642038327837541459450928036494895618661173622899896086,1.8366288435062791589606116181686337377691393374705078352726022338714910108832285,1.8366288435062791589606116181686337377691393374705078352726022338714910108832285
-90,-0.01793042744028800619244192224726607233195338322609603664190243528348240461392439,-5889.9770373818226884429739413347016146234909651762296283647850154657720774581033,-0.64982306659346559910909433162909189087747588784607820290410199682695506925453136,0.025302966920066863646741030761634906351993549166485457025761484348221793884099102,149.49276730926607426023628808664510134693824417625548785056335617571203757619255,-106185.21535731335228237736601555128933335616327861861665573806704501082262412239,2.3082670356962674514108423089937003706305336259689544627199382895404242596195556,-90,330874296243.23509576641443685984431529745818737768177087211484108317693057155464,767.82480942941694350642846261620591642104175460276458242759675461336382577214441,330874295475.41028633699749335341585268125227095664001626935025865558017595819082,430924205.86033570113900046181630200203262784841982448888601995021437450844160819,661748592486.47019153282887371968863059491637475536354174422968216635386114310929,1.6408720254679444788234068539320759185120400692428934631545036593320324426008611e-76,0.0,5.7461567664320870649714946438203647353899108259772346465142607088730078975967046e-79,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-83,9324218.075623647370300937431709190316014557808507240068751679320710071768948534,-1.8742641808756178342064688206116821339302844473397571564803357902769526095684725e-76,2.8640562816192431632696439463876943940600851116108783187066465852456154160081578e-76,4.9657139118924821968016679918017489393067079000788316624711433396380193253363025e-76,-90,-0.01793042744028800619244192224726607233195338322609603664190243528348240461392439,-0.01793042744028800619244192224726607233195338322609603664190243528348240461392439,-5889.9770373818226884429739413347016146234909651762296283647850154657720774581032,-5889.9770373818226884429739413347016146234909651762296283647850154657720774581033,-0.64982306659346559910909433162909189087747588784607820290410199682695506925453136,-0.64982306659346559910909433162909189087747588784607820290410199682695506925453136,0.025302966920066863646741030761634906351993549166485457025761484348221793884099677,0.025302966920066863646741030761634906351993549166485457025761484348221793884099102,149.49276730926607426023628808664510134693824417625548785056335617571203757619255,149.49276730926607426023628808664510134693824417625548785056335617571203757619255,-106185.21535731335228237736601555128933335616327861861665573806704501082262412239,-106185.21535731335228237736601555128933335616327861861665573806704501082262412239,2.3082670356962674514108423089937003706305336259689544627199382895404242596195556,2.3082670356962674514108423089937003706305336259689544627199382895404242596195556
-80,-0.015497263952209385023636210044904252604431598483879557681549369851341667813361474,-5198.0257147292061265671541134955126669126335339278770211370624217084248987133303,-0.43242748087689474573403101514415461969844348590760780368615497796011287361285475,0.05667089279442322251667790373613368118772089492016235527803686524628291005918461,164.51533194268947743743194608801410904859939678455260438211703998154948075883706,-91705.183244191726936190615884441723634786440233730811234970024408114179328505012,2.8424185315933291900699500616716888926372491951920971168625613150650202017888546,-80,319067584081.19728290636767792313317277449777308391357464615527541207530573151885,785.7744577135996874092989831565909794690053576525544102338015991360959212794118,319067583295.42282519276799051383418961790679361490821699360086517827370659542293,406054919.38437573742953705275923067375326546324377062846272714983004904573803784,638135168162.39456581273535584626634554899554616782714929231055082415061146303769,1.6408720254679444788234068539320759185120400692428934631545036593320324426008611e-76,0.0,4.7769993317634760268030997955695478004873744386443697868011743567710348077474909e-78,0.0,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,0.0,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,8924899.0166335056056488327158548024916084025526711317609072125039587155759803305,1.8006659261384504392714778515652272726770565441676205647455813797715127584641875e-76,2.0107230114372355985506931817119549020170043066380642687176478110773541211309368e-76,3.3359335377044510150011035669093770188228679158089296682615189254872855885357101e-76,-80,-0.015497263952209385023636210044904252604431598483879557681549369851341667813361474,-0.015497263952209385023636210044904252604431598483879557681549369851341667813361474,-5198.0257147292061265671541134955126669126335339278770211370624217084248987133305,-5198.0257147292061265671541134955126669126335339278770211370624217084248987133303,-0.43242748087689474573403101514415461969844348590760780368615497796011287361285475,-0.43242748087689474573403101514415461969844348590760780368615497796011287361285475,0.056670892794423222516677903736133681187720894920162355278036865246282910059179833,0.05667089279442322251667790373613368118772089492016235527803686524628291005918461,164.51533194268947743743194608801410904859939678455260438211703998154948075883706,164.51533194268947743743194608801410904859939678455260438211703998154948075883706,-91705.183244191726936190615884441723634786440233730811234970024408114179328505012,-91705.183244191726936190615884441723634786440233730811234970024408114179328505012,2.8424185315933291900699500616716888926372491951920971168625613150650202017888546,2.8424185315933291900699500616716888926372491951920971168625613150650202017888546
-70,-0.013118354898011479797234878652778447867236466056674191328110712961418934903474695,-4534.5144291821086909792314334378631030503488244828648975615985850641900866779946,-0.28397633875386718757907312526706562852938844235079760392942563665989372127637514,0.12454095579676603407591708989092182847332558310933841881947517754915500157968814,178.24632249228357788406030186246619124248521636736768036296897687065685519549815,-77534.042395312959701336036360517493802592129474012338945340440075450005059926637,3.4298942223149180023394931583118660047343446220172777773623069612528594637418214,-70,310994599042.62502639739036344133868263927134201668489791791850282514329573124035,811.48923496398203885191956729880007765939031239976806478016013042208476392772107,310994598231.13579143340832458941911534047126435729458551815043804498316530915558,383239340.2685477720053783510204596091800733348153404003929554493852541121712447,621989198085.25005279478072688267736527854268403336979583583700565028659146248069,5.1817011330566667752318111176802397426696002186617688310142220821011550818974562e-77,0.0,7.0582650779414160617819790416765594761370118945302750174658142893855303064115283e-78,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,8546061.4872441860651811260406993335526522291338271309334390280272411596534143933,5.7218755313802627938434764808600118396574263551573676812535093361679511979159058e-77,1.2116402522536238560149165759774170227945868491857661318604421699813379346342165e-76,2.0861188597300606459241307298128793697987033463049020369277134602814052671314641e-76,-70,-0.013118354898011479797234878652778447867236466056674191328110712961418934903474695,-0.013118354898011479797234878652778447867236466056674191328110712961418934903474695,-4534.5144291821086909792314334378631030503488244828648975615985850641900866779947,-4534.5144291821086909792314334378631030503488244828648975615985850641900866779946,-0.28397633875386718757907312526706562852938844235079760392942563665989372127637514,-0.28397633875386718757907312526706562852938844235079760392942563665989372127637514,0.1245409557967660340759170898909218284733255831093384188194751775491550015796952,0.12454095579676603407591708989092182847332558310933841881947517754915500157968814,178.24632249228357788406030186246619124248521636736768036296897687065685519549815,178.24632249228357788406030186246619124248521636736768036296897687065685519549815,-77534.042395312959701336036360517493802592129474012338945340440075450005059926637,-77534.042395312959701336036360517493802592129474012338945340440075450005059926637,3.4298942223149180023394931583118660047343446220172777773623069612528594637418214,3.4298942223149180023394931583118660047343446220172777773623069612528594637418214
-60,-0.010831788274414735892769754124303439044649829980090756724771862714594280527274523,-3913.1717983910752673260594272151435169024514120479274870154181783424136311534903,-0.18389617578605702088690348681128147720104114657480986544414171256105167886232525,0.27025111135543089057696548850960868347947551640851427215611254409329756346333623,190.54431040358319011268374466649521189411233284704472961315648338961835712641789,-63895.848205723628176602675774108570337944494108974503377603774500061797834332958,4.0576125827115067242595002184509043832588089782678591045453454878528419847463522,-60,306338572541.32887856728834519596901473740230349500026187718269866474428682068481,846.02907693220972927640061450963877406129099593993012585343863379849185116621846,306338571695.29980163507861591956840022776352943370926593725257281130565302219296,362089886.61730718506658726268947253148087390642948015492438690468009707225924548,612677145082.65775713457669039193802947480460699000052375436539732948857364136962,3.9294566925679723045507900975741818048577801658185080301857850789267092704389043e-76,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,1.1347094756196173672527587680084484958948616933912343101526200232075151107585301e-77,0.0,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,0.0,8187235.1273341290798285614922001060384759691882395533447023164011547522435703541,-4.43285412890596487502748148255878544031169117841051538084358899241245836894687e-76,4.4664806199200405344304017078915027801014913202952311014039537304156946213667297e-76,6.8746136192663359169340546771053236532717651613505042003186767634724622357308472e-76,-60,-0.010831788274414735892769754124303439044649829980090756724771862714594280527274523,-0.010831788274414735892769754124303439044649829980090756724771862714594280527274523,-3913.1717983910752673260594272151435169024514120479274870154181783424136311534899,-3913.1717983910752673260594272151435169024514120479274870154181783424136311534903,-0.18389617578605702088690348681128147720104114657480986544414171256105167886232525,-0.18389617578605702088690348681128147720104114657480986544414171256105167886232525,0.27025111135543089057696548850960868347947551640851427215611254409329756346332488,0.27025111135543089057696548850960868347947551640851427215611254409329756346333623,190.54431040358319011268374466649521189411233284704472961315648338961835712641789,190.54431040358319011268374466649521189411233284704472961315648338961835712641789,-63895.848205723628176602675774108570337944494108974503377603774500061797834332958,-63895.848205723628176602675774108570337944494108974503377603774500061797834332958,4.0576125827115067242595002184509043832588089782678591045453454878528419847463522,4.0576125827115067242595002184509043832588089782678591045453454878528419847463522
