voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.030586289704944064,-9602.111060311348,-5.7229293104746155,-0.003374181195908932,46.88208662929121,-181353.6842021954,0.438497438203707,-150,507328799090.10394,781.2429524777051,507328798308.86096,649386720.84159625,9.5593165320014397e+20,1.635271473787725e-09,1.3670078402583385e-08,7.709533802156832e-09,2.0658319499489153e-10,8.934875950217247e-09,7.531964885121312e-09,7.344819197285801e-15,825.60878082915133,7.3505455526977874e-10,1.987075212536042e-08,4.2731375771154489e-08,-150,-0.03058628970495141,-0.030586289704944064,-9602.111060309713,-9602.111060311348,-5.722929324144694,-5.7229293104746155,-0.003374188905442734,-0.003374181195908932,46.88208662949779,46.88208662929121,-181353.68420218647,-181353.6842021954,0.4384974457356719,0.438497438203707
-140,-0.028987672135365686,-9128.078840299626,-4.107215919209352,-0.00214115542894433,64.05423236954081,-171871.01993953445,0.6052318863946811,-140,462119816145.2265,767.37851764893298,462119815377.84796,602205828.69722855,2.0032788007595796e+20,1.1095835361629725e-09,1.935017923671012e-08,2.2129345664950728e-10,8.555502972740214e-10,7.2177499532699585e-09,1.8038976978829169e-09,7.431555371084642e-15,818.15509653558786,3.4112378556238559e-09,2.2323691043638955e-08,3.8716363004454024e-08,-140,-0.028987672135358255,-0.028987672135365686,-9128.078840300735,-9128.078840299626,-4.107215899859173,-4.107215919209352,-0.002141155650237787,-0.00214115542894433,64.05423236868526,64.05423236954081,-171871.01993954167,-171871.01993953445,0.6052318845907834,0.6052318863946811
-130,-0.0271194068146504,-8574.651517082752,-2.9129223590906514,-0.0008579346748547323,81.545368447248,-160783.6606558083,0.8214121765147215,-130,424267340522.38446,757.57293575880976,424267339764.81152,560034975.50691199,2.4660922855958964e+20,4.4019543565809727e-10,1.2622770828585317e-08,4.4979093293895725e-09,6.822915565862786e-10,6.461050361394882e-09,4.420820376438428e-10,6.938893903907228e-15,811.43138145084754,2.3850424277674847e-09,1.748147693377131e-08,3.4270290161231287e-08,-130,-0.02711940681465734,-0.0271194068146504,-8574.651517082311,-8574.651517082752,-2.9129223717134223,-2.9129223590906514,-0.0008579391727640617,-0.0008579346748547323,81.54536844793029,81.545368447248,-160783.66065580182,-160783.6606558083,0.8214121769568036,0.8214121765147215
-120,-0.025023443327583463,-7955.676879575294,-2.0405745598686367,0.0009361369611724513,99.12190893988206,-148339.69025869505,1.0949337160956514,-120,392906515306.25763,752.21012750649129,392906514554.04749,522336114.52255672,7.8239460467865354e+19,1.0541043593548238e-09,2.5760160671239873e-08,1.2892798138776015e-08,2.3001831550573115e-09,9.487848728895187e-09,1.4722041363768312e-09,5.440092820663267e-15,807.85134680593592,6.9648758265112817e-09,3.1562761899881526e-08,6.1202732215548394e-08,-120,-0.025023443327588903,-0.025023443327583463,-7955.676879576348,-7955.676879575294,-2.0405745856287973,-2.0405745598686367,0.00093614985397059,0.0009361369611724513,99.12190893758188,99.12190893988206,-148339.69025868556,-148339.69025869505,1.0949337146234472,1.0949337160956514
-110,-0.022753081331925197,-7288.658305631134,-1.411500433164727,0.004179883763981707,116.50696907386157,-134854.28063166514,1.4321325847379258,-110,367294970211.95807,751.74962552860711,367294969460.20844,488586834.95011735,1.7518084647504478e+20,1.8935679690912366e-09,2.6841229239238373e-09,5.473493463158119e-09,1.1344809536240064e-09,2.1827872842550278e-09,2.4487196714773063e-09,1.0824674490095276e-15,808.71463675203893,2.9089077320898872e-09,7.3603254815954437e-09,1.6990493234558812e-08,-110,-0.022753081331924115,-0.022753081331925197,-7288.65830562924,-7288.658305631134,-1.4115004358488499,-1.411500433164727,0.00417988923747517,0.004179883763981707,116.50696907499605,116.50696907386157,-134854.28063166732,-134854.28063166514,1.4321325822892061,1.4321325847379258
-100,-0.020368274631808375,-6593.313629595538,-0.9639172368422687,0.010871218055399368,133.39824784626472,-120681.85007288471,1.836628842847447,-100,346797732898.40112,756.73842577644507,346797732141.66272,458279533.70092475,8.5391448974450655e+19,1.4724719221703708e-09,4.335156233992166e-09,2.2843750745182856e-09,1.6911201328184688e-09,1.4988472685217857e-09,9.191236660655022e-10,2.588207426157396e-15,814.98268005669536,5.635921837154502e-09,6.3784022365913685e-09,1.5133609920781055e-08,-100,-0.020368274631805787,-0.020368274631808375,-6593.313629597011,-6593.313629595538,-0.9639172325071125,-0.9639172368422687,0.010871220339774442,0.010871218055399368,133.3982478445736,133.39824784626472,-120681.85007288621,-120681.85007288471,1.8366288437665708,1.836628842847447
-90,-0.017930427440236072,-5889.9770373664005,-0.6498230586280519,0.025302965564605984,149.49276730881428,-106185.21535702278,2.308267034522575,-90,330874296243.23505,767.82480942941697,330874295475.41022,430924205.86033565,6.3261943788564172e+20,8.185452315956354e-10,7.98883770247727e-09,1.3554046600361414e-09,1.027387952490244e-09,2.153683453798294e-09,1.7307790756149188e-09,2.2690183065776637e-15,827.54617116586076,2.2939174793673522e-09,8.7058903137191082e-09,1.5954769727599682e-08,-90,-0.01793042744023834,-0.017930427440236072,-5889.977037365582,-5889.9770373664005,-0.6498230666168896,-0.6498230586280519,0.025302966920010644,0.025302965564605984,149.49276730984167,149.49276730881428,-106185.21535702063,-106185.21535702278,2.308267036253354,2.308267034522575
-80,-0.015497263952241774,-5198.025714738514,-0.43242748447485085,0.05667088912150575,164.5153319430153,-91705.18324436393,2.8424185324090017,-80,319067584081.19727,785.77445771359976,319067583295.42279,406054919.38437569,1.0719240220008981e+21,4.18367562815547e-10,3.617751598294916e-09,3.6730897559622555e-09,5.660751867253566e-10,6.83940015733242e-10,1.2869545429339269e-09,3.2491370705045597e-15,847.33814315927168,4.1304418543088358e-10,7.8477908860906053e-09,1.5925451402054591e-08,-80,-0.015497263952238525,-0.015497263952241774,-5198.025714738932,-5198.025714738514,-0.43242748085709926,-0.43242748447485085,0.05667089279459551,0.05667088912150575,164.51533194244922,164.5153319430153,-91705.18324436324,-91705.18324436393,2.842418531122047,2.8424185324090017
-70,-0.013118354897940596,-4534.514429159234,-0.2839763427802958,0.1245409624630156,178.24632249131943,-77534.04239489792,3.4298942199180935,-70,310994599042.62494,811.48923496398208,310994598231.13568,383239340.26854765,1.2143090551482366e+20,1.139596861321479e-09,4.069669545803123e-09,6.667126448145488e-09,7.840128546376945e-10,4.889443516731262e-09,4.083288818179653e-09,1.0685896612017132e-15,875.39528427672121,3.5525050307268967e-09,1.0289219966419534e-08,2.3103743362895557e-08,-70,-0.013118354897941664,-0.013118354897940596,-4534.514429158095,-4534.514429159234,-0.2839763387106263,-0.2839763427802958,0.12454095579588915,0.1245409624630156,178.24632249210345,178.24632249131943,-77534.0423949028,-77534.04239489792,3.4298942240013823,3.4298942199180935
-60,-0.010831788274425587,-3913.1717983931476,-0.1838961809248874,0.2702511068937383,190.5443104037391,-63895.8482057607,4.057612582776736,-60,306338572541.3288,846.0290769322097,306338571695.29974,362089886.61730713,1.7077691495094436e+20,4.37012204201892e-10,5.235040623219334e-09,4.462128944116017e-09,1.5605223779857624e-09,4.0236045606434345e-09,1.1732481652870774e-10,3.677613769070831e-15,912.90105622888564,2.4865028593713758e-09,8.9028522424513305e-09,1.9454365007831598e-08,-60,-0.010831788274421909,-0.010831788274425587,-3913.1717983935846,-3913.1717983931476,-0.18389617568984679,-0.1838961809248874,0.27025111135586727,0.2702511068937383,190.54431040217858,190.5443104037391,-63895.84820576473,-63895.8482057607,4.057612582659411,4.057612582776736
