voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.303301605213064e-09,-0.004792554317963096,-150,12985061775811790.0,0.0036293920905703199,12985061775811790.0,3.5777511637689518e+18,10032827584425666.0,1.6545407811353885e-07,7.95172299410758e-14,0.0066981487960975699,-1228550.2337061013,2.1873651859664602e-07,3.6591896604109184e-07,-150,-2.3033431738980476e-09,-2.303301605213064e-09,-2.303381122443005e-09,-0.0047926408112735075,-0.004792554317963096,-0.00479271977204121
-140,-2.055138465221409e-09,-0.004276193227676673,-140,10639780460024644.0,0.0042762017161942587,10639780460024644.0,2.4881381109153695e+18,13397941111351228.0,6.751606429489243e-08,3.2448220500001065e-14,0.002249720331704431,-1132282.1184578827,4.8683607745710831e-08,7.6977269502597043e-08,-140,-2.0551226388820824e-09,-2.055138465221409e-09,-2.0551550871025824e-09,-0.004276160297299381,-0.004276193227676673,-0.0042762278133636755
-130,-1.8337128675145833e-09,-0.003815465808394888,-130,8718090095522942.0,0.0038154750022323354,8718090095522942.0,2.2849291609621903e+18,26634972388926808.0,1.7919496196096285e-07,8.61210987183966e-14,0.0048774576164807883,-1043557.4874281615,2.3590433772072776e-07,3.8358761634287215e-07,-130,-1.8337794832634792e-09,-1.8337128675145833e-09,-1.8337989886133017e-09,-0.0038156044179431525,-0.003815465808394888,-0.003815645003356849
-120,-1.6361440467039987e-09,-0.0034043779581855987,-120,7143484262854912.0,0.0034043879262122515,7143484262854912.0,2.0983167657990164e+18,30625378216962712.0,4.954420695924e-08,2.381094586467352e-14,0.003763436440433652,-961785.44503803225,8.0641834456674447e-08,1.4398086883839689e-07,-120,-1.6361354214549298e-09,-1.6361440467039987e-09,-1.6361592324007945e-09,-0.0034043600113502492,-0.0034043779581855987,-0.0034044095555572085
-110,-1.4598616130404234e-09,-0.003037581383771168,-110,5853274677368004.0,0.003037592212072894,5853274677368004.0,1.9269455110215898e+18,45159534177318448.0,2.0147137394206996e-07,9.682714231656857e-14,0.00038146130974519644,-886420.97277772985,2.7246857074081629e-07,4.0294274840377091e-07,-110,-1.4598641008254667e-09,-1.4598616130404234e-09,-1.45995844018274e-09,-0.0030375865601861562,-0.003037581383771168,-0.0030377828551451103
-100,-1.3025721077391711e-09,-0.0027103040111093866,-100,4796095441118759.0,0.0027103158179484837,4796095441118759.0,1.7695706933330972e+18,21409438362567524.0,9.333107242734048e-08,4.485491340861243e-14,0.000552719093255107,-816962.14670641837,1.8076663397085033e-07,3.095825717845549e-07,-100,-1.3026169626525797e-09,-1.3025721077391711e-09,-1.3025732394644394e-09,-0.002710397342181814,-0.0027103040111093866,-0.00271030636592684
-90,-1.16222915639872e-09,-0.002418287882644028,-90,3929858061889314.0,0.0024183008515184711,3929858061889314.0,1.625049281780521e+18,39639472438570768.0,2.543406325038536e-07,1.2223610798126243e-13,0.0020234694387890975,-752946.08945072279,3.2517494342120972e-07,5.0945410261319648e-07,-90,-1.1623513925067012e-09,-1.16222915639872e-09,-1.1622591138730996e-09,-0.002418542223276532,-0.002418287882644028,-0.0024183502161321258
-80,-1.0370068257068456e-09,-0.002157733719739587,-80,3220075824467376.0,0.0021577481744845589,3220075824467376.0,1.4923316180010604e+18,46830396093775760.0,1.8871869577252384e-07,9.06982051882244e-14,0.00094433098495307457,-693946.45949685015,2.1351368058528695e-07,3.774373892450212e-07,-80,-1.0369161275016574e-09,-1.0370068257068456e-09,-1.0369981205320386e-09,-0.0021575450010438146,-0.002157733719739587,-0.0021577156066001635
-70,-9.252758196040334e-10,-0.0019252513932668195,-70,2638490804007825.5,0.0019252679754745909,2638490804007825.5,1.370453795325516e+18,1.555946860769672e+17,1.8281234304140526e-08,8.785961206565886e-15,0.0004299545002228966,-639570.02434906689,1.7340952116135358e-08,3.0010322136847165e-08,-70,-9.252742451210196e-10,-9.252758196040334e-10,-9.252830310822261e-10,-0.0019252481171889713,-0.0019252513932668195,-0.0019252663984232754
-60,-8.255821603939759e-10,-0.0017178155646982436,-60,2161948860087884.0,0.0017178356683228209,2161948860087884.0,1.2585306615496379e+18,1.6156609236026403e+17,7.389377265081161e-07,3.551334713598127e-13,0.01235028663769693,-589454.57195682987,9.5512519783168619e-07,1.5654544352043946e-06,-60,-8.258341495243315e-10,-8.255821603939759e-10,-8.259372938653357e-10,-0.0017183398866507105,-0.0017178155646982436,-0.0017185545024247517
