voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.2223929619554683e-06,-2.5434726632448363,-150,11913404480595360.0,0.00035031068952158078,11913404480595360.0,3.4008110049012474e+19,42301081802607632.0,2.715939113790457,1.3052803380876938e-06,93.065040574074359,0.61522696901129503,3.8409179288959807,5.431878227576501,-150,-1.2223929622293266e-06,-1.2223929619554683e-06,8.288737585836718e-08,-2.543472663814662,-2.5434726632448363,0.17246644997579522
-140,-8.193705709528657e-07,-1.7048909091819928,-140,10578929006329012.0,0.0003596820493929942,10578929006329012.0,2.9411890374240805e+19,1.1642426525293555e+17,0.9581140989853083,4.6046963597233924e-07,82.331013901505031,-0.25849500113667601,1.3549779527248533,1.9162281979626323,-140,-8.193705707113093e-07,-8.193705709528657e-07,-1.2798402066836485e-06,-1.7048909086793784,-1.7048909091819928,-2.6630050076646867
-130,-5.483137941471589e-07,-1.140894286614979,-130,9393934295121628.0,0.00036930410782561762,9393934295121628.0,2.5436852978514301e+19,31636194746578616.0,1.286906951354425,6.184874808209367e-07,72.841087009219152,-0.84034760618069249,1.8199612635345743,2.5738139027044142,-130,-5.483137945413205e-07,-5.483137941471589e-07,7.017368627961614e-08,-1.1408942874351238,-1.140894286614979,0.14601266391930118
-120,-3.6646072464987575e-07,-0.7625067096335325,-120,8341676316114143.0,0.00037918357139880073,8341676316114143.0,2.1999044645689324e+19,19206472970733464.0,0.563548383729938,2.708413532206082e-07,64.448535935601569,-1.227779162530535,0.79697776722981395,1.1270967674605141,-120,-3.664607247144124e-07,-3.6646072464987575e-07,-6.373020778704839e-07,-0.7625067097678161,-0.7625067096335325,-1.3260550933634705
-110,-2.446834058497562e-07,-0.5091206946520105,-110,7407286614700122.0,0.00038932732610339995,7407286614700122.0,1.9025858495051665e+19,14097494103813198.0,0.3401563974139178,1.6347916459712892e-07,57.025324848304614,-1.4857342180469777,0.48105379018387373,0.68031279482783558,-110,-2.446834060980439e-07,-2.446834058497562e-07,-4.0816257044688514e-07,-0.5091206951686307,-0.5091206946520105,-0.8492770920659283
-100,-1.632516357738883e-07,-0.3396829708154147,-100,6577562220564687.0,0.00039974244214131723,6577562220564687.0,1.6454500516208341e+19,54457625399801800.0,0.6408960934744905,3.080146625238401e-07,50.459091190069685,0.3424789934731966,0.90636394694121636,1.2817921869498892,-100,-1.6325163612912796e-07,-1.632516357738883e-07,1.4476302639471214e-07,-0.3396829715545734,-0.3396829708154147,0.30121312191991706
-90,-1.0885741164783814e-07,-0.22650314533466115,-90,5840779089094610.0,0.00041043617885343426,5840779089094610.0,1.4230663352853058e+19,44547906306733808.0,0.4258718118268446,2.046739927639815e-07,44.6509202093496,0.22816140990052314,0.60227369155418919,0.85174362365464962,-90,-1.0885741126445173e-07,-1.0885741164783814e-07,-3.1353140402843324e-07,-0.2265031445369366,-0.22650314533466115,-0.6523749563637812
-80,-7.255319205999915e-08,-0.15096377873491293,-80,5186526440077964.0,0.00042141598977937621,5186526440077964.0,1.230737932557629e+19,92771288917030176.0,0.01832300279800514,8.806035144721271e-09,39.513605170758183,0.15205383964781558,0.025912639037094915,0.036646005593951397,-80,-7.255319207480801e-08,-7.255319205999915e-08,-6.374715693008674e-08,-0.1509637787657262,-0.15096377873491293,-0.13264077596772106
-70,-4.833767675951282e-08,-0.10057777103519105,-70,4605559652891347.0,0.00043268952785263312,4605559652891347.0,1.064402846943854e+19,66477094453640904.0,0.46833380562913307,2.2508122698536137e-07,34.970236644202309,0.10138663227519855,0.66232401901655946,0.93666761125820208,-70,-4.83376763368117e-08,-4.833767675951282e-08,-2.7341890332217307e-07,-0.10057777015566313,-0.10057777103519105,-0.5689115757847962
-60,-3.219298611267777e-08,-0.0669849898307902,-60,4089669639576810.0,0.0004442646507346575,4089669639576810.0,9.2054806359541207e+18,45453255927219488.0,0.3048786848808645,1.4652469595374348e-07,30.95304383711365,0.067657508378622305,0.431163570777989,0.60975736976220718,-60,-3.219298628882917e-08,-3.219298611267777e-08,1.1433170966491431e-07,-0.06698499019731412,-0.0669849898307902,0.23789369468355037
