voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.21023098434329837,-656151.6365271485,-150,433542989.0448944,12522.845398806083,433530466.19949561,34620.16620329977,19072736871799564.0,1.1606607586145401e-07,3.7164715749327115e-14,16005399.364590542,3.1867090266852852e-08,1.3492394175999073e-07,2.1341111278161407e-07,-150,-0.21023098434326967,-0.21023098434329837,-0.21023098434330684,-656151.6365270589,-656151.6365271485,-656151.636527175
-140,-0.18373026260504863,-573440.2703028984,-140,381737748.32482421,14312.805243240478,381723435.51958096,26671.064255912224,19532003763771880.0,2.10711732506752e-08,6.744604874597826e-15,14044415.351027034,2.7326807008040022e-08,5.7163627559715366e-08,1.0599615052342415e-07,-140,-0.18373026260504188,-0.18373026260504863,-0.18373026260504743,-573440.2703028773,-573440.2703028984,-573440.2703028946
-130,-0.1604983326855872,-500931.1257352909,-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188989,35045603691435144.0,4.7031790018081665e-08,1.50712775592865e-14,12332544.489477409,1.3386701789370939e-08,4.9867239623161616e-08,8.1083271652460098e-08,-130,-0.160498332685583,-0.1604983326855872,-0.16049833268559807,-500931.1257352778,-500931.1257352909,-500931.1257353248
-120,-0.1401120158729067,-437303.42032742413,-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,16849181151875730.0,3.568129613995552e-08,1.1435297153639112e-14,10838192.827652581,2.4502820819005917e-08,5.8767653815110498e-08,9.9615135695785284e-08,-120,-0.1401120158728991,-0.1401120158729067,-0.14011201587289526,-437303.42032740044,-437303.42032742413,-437303.42032738845
-110,-0.12219488576830101,-381382.2901632366,-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,44900965635083800.0,1.0011717677116394e-08,3.2057689836051395e-15,9533082.0209014192,8.1041993685592951e-09,1.2322036148881986e-08,1.9852450350299478e-08,-110,-0.12219488576830019,-0.12219488576830101,-0.1221948857682978,-381382.29016323405,-381382.2901632366,-381382.2901632266
-100,-0.10640836653128632,-332111.00665195484,-100,234492411.26088765,24423.715527832945,234467987.54535982,9601.0130397098346,19310541873368184.0,2.8638169169425964e-08,9.173217740965356e-15,8391431.1290457807,1.6643650314169521e-08,3.7868405724099613e-08,6.0204911278560758e-08,-100,-0.1064083665312955,-0.10640836653128632,-0.10640836653128892,-332111.0066519835,-332111.00665195484,-332111.00665196293
-90,-0.09244239302487492,-288521.82592033374,-90,209429907.32486603,27914.732836956453,209401992.59202906,7502.4865381337531,79872063263659920.0,3.958120942115784e-08,1.2684298056342413e-14,7389078.4425452128,3.5639426568576693e-09,2.808546599808414e-08,4.329376679379493e-08,-90,-0.09244239302488066,-0.09244239302487492,-0.09244239302486798,-288521.82592035166,-288521.82592033374,-288521.8259203121
-80,-0.08000502133257485,-249703.562211532,-80,188066307.04156122,31904.740639099407,188034402.30092213,5894.6195228142706,21245938181716516.0,2.5727786123752594e-08,8.243405957841787e-15,6502673.1619012766,1.1910716522254972e-08,2.4008918243465632e-08,4.247704055160284e-08,-80,-0.08000502133256807,-0.08000502133257485,-0.08000502133257631,-249703.56221151084,-249703.562211532,-249703.56221153657
-70,-0.06881044919538669,-214764.19848747406,-70,170024291.33495164,36465.062416810317,169987826.27253482,4662.6628357715572,14869075282489108.0,1.076841726899147e-08,3.4416913763379853e-15,5709477.4656223096,1.5203969324517276e-08,1.2781822520574693e-08,2.1431333152577281e-08,-70,-0.0688104491953879,-0.06881044919538669,-0.06881044919539013,-214764.19848747784,-214764.19848747406,-214764.19848748483
-60,-0.05856555027941155,-182788.85854997364,-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.70340466988,1.000178904126679e+18,2.0954757928848267e-08,6.716849298982197e-15,4988930.4820344159,2.0325051028056699e-10,2.0447684408803287e-08,3.3083779271692038e-08,-60,-0.05856555027940657,-0.05856555027941155,-0.058565550279413285,-182788.8585499581,-182788.85854997364,-182788.85854997905
