voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.000095527769318454933605358955722947404661076448517599061247193870514225703446465589,-298.1515896331302697667269969888077100168296463803903248047103897135493874626379,-150,607069839286.74314239757618885182599823751079206456176950129138958292043116453626,21.786922121715020082986017039914353420119902333265681307120229396473187946768253,607069839264.95622027586116876883998119759643864444186716802570827580020176806307,27863955995.953957092176749667471718453500298453827761672138619990600621788899263,1214139678573.4862847951523777036519964750215841291235390025827791658408623290725,2.5638625397936632481615732092688686226750626081920210361789119677063006915638455e-76,8.2103543552015061244316287166873439049303654320692234093623203247302197969222493e-83,607069655718.76994294361372911377284716885857440788314719411732564349147575263645,2.3292442773486393240344418892931588387180074629459439055726266519320462672207681e-77,2.4141126351980244844538533544826028559214779146806428971959468499774614137841495e-77,3.3500268492945851608105941371534598865954983917814637137942537978229210877997542e-77,-150,-0.000095527769318454933605358955722947404661076448517599061247193870514225703446465585,-0.000095527769318454933605358955722947404661076448517599061247193870514225703446465589,-0.000095527769318454933605358955722947404661076448517599061247193870514225703446465507,-298.15158963313026976672699698880771001682964638039032480471038971354938746263789,-298.1515896331302697667269969888077100168296463803903248047103897135493874626379,-298.15158963313026976672699698880771001682964638039032480471038971354938746263764
-140,-0.000082742936189810377054478367459107262403016906486803798618675496864056868585746876,-258.24886451251679536904824214876014183568347697628915100385644752489645093296215,-140,433826195658.49481005905362632836515711909708245824329207078746636883851295524928,23.20829799933360560678653456218267050341117573070972981348756730057989902752668,433826195635.28651205972002072157862255691441195483211634007773655535094565466938,18692719115.85035375156637806725580938875618966017454006183165268683402070035934,867652391316.98962011810725265673031423819416491648658414157493273767702591049856,3.1090206798340000651390866706081438456017601311970612986085332492606930491384737e-76,9.9605239356206359565988724556677181542572144896889951706056989519454390639777758e-83,433826003178.75311461290206864248834586170764638124646288229795572359644732480331,8.5087586804675749182584572252996715921757106850637609934241425555830328502421029e-77,3.5502645328720009036342989302433393938219521184299424814316058065496063257743197e-76,5.4441658653277550904498681857813401104622235291433241062796092206476279236114606e-76,-140,-0.000082742936189810377054478367459107262403016906486803798618675496864056868585746864,-0.000082742936189810377054478367459107262403016906486803798618675496864056868585746876,-0.000082742936189810377054478367459107262403016906486803798618675496864056868585746963,-258.24886451251679536904824214876014183568347697628915100385644752489645093296211,-258.24886451251679536904824214876014183568347697628915100385644752489645093296215,-258.24886451251679536904824214876014183568347697628915100385644752489645093296243
-130,-0.000071649559352153009126324030930135165317091158598750781458975614036745398789932735,-223.62534129885459659000606211149791803570388859968784100066602277776982887743274,-130,310022288433.21232378414017993360913730919663661621785303826727170843075428033823,24.722404248603095529334826872613154616351148326818430373087332856602103902847091,310022288408.48991953553708440427431043658348199986670471144884133534342142373612,12540135065.978855778986428852543789790090883234722317353728014270744764930361016,620044576866.42464756828035986721827461839327323243570607653454341686150856067645,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,1.3280698580827514608798496607556957539009619319585326894140931935927252085303701e-82,310022086131.25729746491757051201582791031335467639093496153256344218362769334959,1.2877483394166162227121343814833964220601527639590988409000375645148719326813517e-76,3.5680274295836568904032485415677386191466018002449345835307332404870681874167972e-76,5.0879161481599214377664248644063441120878009023532232009400596845844620153516377e-76,-130,-0.00007164955935215300912632403093013516531709115859875078145897561403674539878993276,-0.000071649559352153009126324030930135165317091158598750781458975614036745398789932735,-0.000071649559352153009126324030930135165317091158598750781458975614036745398789932627,-223.62534129885459659000606211149791803570388859968784100066602277776982887743282,-223.62534129885459659000606211149791803570388859968784100066602277776982887743274,-223.6253412988545965900060621114979180357038885996878410006660227777698288774324
-120,-0.000062024343295629195973304918004444896847653631827178160460011635434323262823761608,-193.58409268298751282137257810468123749868487083940257000052202037976076748169191,-120,221549159379.66834730633680734168181632335858414082382060496273875159590714210787,26.335290586534957386691270528897118970602657484063467731337295959913880189527561,221549159353.33305671980184995499054579446146517022116312089927102025861118219399,8412633938.9224291219362729491419233834611076636989089611127271047264629219780069,443098318759.33669461267361468336363264671716828164764120992547750319181428421575,1.9404391222227830267664959341729647786351263318842769736975133734535054707730578e-76,6.2156757892826449186527847494670644295946183443408070638275873304775801910869066e-83,221548946414.72274644586901219807604956599514427468058350475707305274730506471923,-1.4078020659849111063063890405469116430497188268407784073406707800195671432931426e-76,1.826893796807708421850727285306138262041780263098659795311346823579249663561717e-76,2.5890154207322460929390857021592183081822457383276114194287530055045487103197207e-76,-120,-0.000062024343295629195973304918004444896847653631827178160460011635434323262823761625,-0.000062024343295629195973304918004444896847653631827178160460011635434323262823761608,-0.00006202434329562919597330491800444489684765363182717816046001163543432326282376167,-193.58409268298751282137257810468123749868487083940257000052202037976076748169197,-193.58409268298751282137257810468123749868487083940257000052202037976076748169191,-193.5840926829875128213725781046812374986848708394025700005220203797607674816921
-110,-0.000053673480355392827154468442890121154859985304492976485541145333787548499678491997,-167.52022582831719683859261880143297467494894596320891854444928251616295757110087,-110,158324220957.60816734340195603305444485749020944460964298394357142626908031259893,28.053401412867227049966725166142221367670994349718613119266845223600831880803206,158324220929.5547659305347289830877196913479880769386486342249583070022350889981,5643672887.5590019149492136236891152714087059215150405739888413556096185847652863,316648441915.21633468680391206610888971498041888921928596788714285253816062519786,4.8362543908528889902163570431682237598249602040843175756132739432944114097709592e-76,1.5494148344298767043598246042149783795511222539516214709831087258581794099520985e-82,158323996528.15361444451496156025350765992483599388528072640453652326549309755478,-2.7360504001844046026848884150523660073506003485361516635974281807410064873600637e-77,3.7225691060215932630230635470707717186716570799845247033080989210624159881730054e-76,5.8704379737502520875183320288441728109309258564591640029340540569451523635987371e-76,-110,-0.000053673480355392827154468442890121154859985304492976485541145333787548499678492014,-0.000053673480355392827154468442890121154859985304492976485541145333787548499678491997,-0.000053673480355392827154468442890121154859985304492976485541145333787548499678491859,-167.52022582831719683859261880143297467494894596320891854444928251616295757110093,-167.52022582831719683859261880143297467494894596320891854444928251616295757110087,-167.52022582831719683859261880143297467494894596320891854444928251616295757110044
-100,-0.000046428757582712783377654866636531625124835137395194118156167309321690904361076054,-144.90873153156300163585753038892001527574611634460940604389570866041288646238441,-100,113142223155.73027439674057532913480150800198418477620719167087701944350899100707,29.883601559112653645813719791389847776713422595554139259517178290522092505123342,113142223125.84667283762792168332108171661213640806278459611673775992633070048498,3786097299.2804771565108375294531694917644993018984456039578589221777858283320388,226284446311.46054879348115065826960301600396836955241438334175403888701798201414,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,4.426899526942504869599498869185652513003206439861775631380310645309084028434567e-83,113141986477.20991732637281843764965435433805862567374276833793926247013279132685,2.3050393702807516848392218907156341811895495171785074872991567992807670595143572e-76,4.7408409337881587582632206101055861597698076486269082697758946678185164596276957e-76,6.5673177153137946494099226851611481486771831404466740019071046756134843473404185e-76,-100,-0.000046428757582712783377654866636531625124835137395194118156167309321690904361076062,-0.000046428757582712783377654866636531625124835137395194118156167309321690904361076054,-0.000046428757582712783377654866636531625124835137395194118156167309321690904361076018,-144.90873153156300163585753038892001527574611634460940604389570866041288646238443,-144.90873153156300163585753038892001527574611634460940604389570866041288646238441,-144.9087315315630016358575303889200152757461163446094060438957086604128864623843
-90,-0.000040144177257500606112678787691738366381473778840909674485625342649637969825957651,-125.29393650905308408718724225552051587998592153982323231262490226871115962671592,-90,80854127844.78989438160889055699746325289515540282204103307715796532839845768223,31.833203717471321101611450798761884312980565397644800649310391085789175197304682,80854127812.956690664137569455386012454133271089841475635432357316018007371893055,2539930588.274844341163632765141211562770609166918430766426713674145542513046788,161708255689.57978876321778111399492650579031080564408206615431593065679691536446,1.5464139318965989907332436304326965482029588152568716355058069026270634697537721e-76,4.9545241798629778337087414669665006322855653469383244711669174373372016015910125e-83,80853878133.087252829639729887020158455711037134642720967359074136915042554238139,2.4271114953603376983165101780379850391972186745610257992273124227465214030566381e-77,1.0344671958982785470825848161904434428598839981416493378873095429350728567545755e-76,1.5078391931392666754153882801596319518157196343519357811488562226674614267141638e-76,-90,-0.000040144177257500606112678787691738366381473778840909674485625342649637969825957656,-0.000040144177257500606112678787691738366381473778840909674485625342649637969825957651,-0.000040144177257500606112678787691738366381473778840909674485625342649637969825957701,-125.29393650905308408718724225552051587998592153982323231262490226871115962671594,-125.29393650905308408718724225552051587998592153982323231262490226871115962671592,-125.29393650905308408718724225552051587998592153982323231262490226871115962671607
-80,-0.000034693022980160225918457404834538296615862994000362556059215590159708387722136561,-108.28034638002567937520675094471439990177936027257846800790812985946382538703715,-80,57780313417.585481726087487308684766740121223037524226860591074820092408154861641,33.909997659201823552715850166244227041995067470885540554407176338140207625825052,57780313383.675484066885663755968916573876995995529159389705534265685231816721433,1703931507.1113313584006049990464538921520848220109835576163409695504436098320187,115560626835.17096345217497461736953348024244607504845372118214964018481630972328,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.6561397161655029217596993215113915078019238639170653788281863871854504170607402e-82,57780049876.613914399219582830265417311144675330921282925979621820054270427770678,1.0546038227094569952642662435149515826548101977871291828091757172728872650328566e-76,5.2327232317150149050054088598690489875951361051611517815243261680011503464563351e-76,8.1311233672016540806702758903499307774152360882081054257658590465772043789401414e-76,-80,-0.000034693022980160225918457404834538296615862994000362556059215590159708387722136694,-0.000034693022980160225918457404834538296615862994000362556059215590159708387722136561,-0.000034693022980160225918457404834538296615862994000362556059215590159708387722136428,-108.28034638002567937520675094471439990177936027257846800790812985946382538703757,-108.28034638002567937520675094471439990177936027257846800790812985946382538703715,-108.28034638002567937520675094471439990177936027257846800790812985946382538703674
-70,-0.000029965312075392311321802944361079319188863841900693897877132320265135511676078469,-93.524694367641425830920382402354464775496960418620815476428482829542740236569888,-70,41291237266.344641467043172759487004860188105564274627342916957089065562174863159,36.122281359195056836219028026129954824609986585939293819842860662663254616122093,41291237230.222360107848115923267976834058150739664640756977663269222701512199904,1143096053.5341106933031336958336051638699253888197283414009087549171807777137663,82582474532.689282934086345518974009720376211128549254685833914178131124349726317,2.7797667536710243637962320058388786119529626173029280708045045544605154866429062e-77,8.9117090767665250645280609503228615269032571500124407695664683775480834002643537e-84,41290959078.566131972859291217298449126531790104992517382831010789385428668237207,-1.8352766414636780567968314145172336433423122036920410980026998643887627738448038e-76,3.9875052117264399162496142754101981985837447378341735117120851699129985593833783e-76,6.5585693780832128319766491282455400268400774750320089404625452047806566074662771e-76,-70,-0.00002996531207539231132180294436107931918886384190069389787713232026513551167607846,-0.000029965312075392311321802944361079319188863841900693897877132320265135511676078469,-0.00002996531207539231132180294436107931918886384190069389787713232026513551167607846,-93.52469436764142583092038240235446477549696041862081547642848282954274023656986,-93.524694367641425830920382402354464775496960418620815476428482829542740236569888,-93.52469436764142583092038240235446477549696041862081547642848282954274023656986
-60,-0.000025865582520408665872196158391814546644890456982597823956343719396692238663650389,-80.729034083672494317799343013204021072775241771844746533557748644272714529629629,-60,29507767499.967906157445540096227735177223389080735412254217017220254770478804521,38.478894151111054878078644402332436092633207210830167345022528699294520669168796,29507767461.48901200633448521814909077489095298810220504338684987523224177951,766855912.85673388185670128144005559968505596096725567897719871279319371846111365,59015534999.935812314891080192455470354446778161470824508434034440509540957609042,5.0170741699751789245603837852956071258452014617147022171122077347010663006496725e-76,1.6073248573113920296888878161665348804479665242405109777889558127880947533473181e-82,29507473819.019002982123896840131706941305658273282457877728293505545761793678571,-6.0000197288615568777562115955034331634985170079927521878992477460670736056855701e-76,6.2132800777132430985855893120284698109520532939863517814939114432132975288854078e-76,7.1148561868703894670437342596095546821000683829355911914201278409154259070246125e-76,-60,-0.000025865582520408665872196158391814546644890456982597823956343719396692238663650461,-0.000025865582520408665872196158391814546644890456982597823956343719396692238663650389,-0.000025865582520408665872196158391814546644890456982597823956343719396692238663650549,-80.729034083672494317799343013204021072775241771844746533557748644272714529629854,-80.729034083672494317799343013204021072775241771844746533557748644272714529629629,-80.729034083672494317799343013204021072775241771844746533557748644272714529630131
