voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-119.25957891237897,-372220907.9662265,-150,168230404240.14157,11.098700877325658,168230404229.04288,15157666298.028778,4.4771692534440128e+17,3.409385681152344e-05,1.0913936421275139e-11,32642707603.731396,5.3457914815706012e-07,4.7291926568156448e-05,6.7418906837701797e-05,-150,-119.2595789123791,-119.25957891237897,-119.25957891236818,-372220907.96622694,-372220907.9662265,-372220907.96619284
-140,-114.67471498412635,-357911095.4560748,-140,157504979217.18167,12.900009701092634,157504979204.28165,12209679129.453753,68761982517502840.0,2.1696090698242188e-05,6.94910795573378e-12,22521321326.64212,3.2433306867060101e-06,3.8251166574293811e-05,6.2274746596813202e-05,-140,-114.67471498412282,-114.67471498412635,-114.6747149841194,-357911095.45606375,-357911095.4560748,-357911095.4560531
-130,-108.39132040316306,-338300001.2583117,-130,147469453430.08176,14.993669270631093,147469453415.08807,9835447932.6110058,31700980992575372.0,1.6450881958007812e-05,5.272227099339943e-12,15589842191.244776,6.5695483479953015e-06,1.5596915525995599e-05,2.8531532734632492e-05,-130,-108.39132040315847,-108.39132040316306,-108.39132040316375,-338300001.2582974,-338300001.2583117,-338300001.25831383
-120,-99.75196774533727,-311335729.54225117,-120,138079514321.50046,17.427127839913613,138079514304.07333,7923251357.8775082,1.8851428965059917e+17,1.4185905456542969e-05,4.547473508864641e-12,10842677054.116562,1.0328362467669482e-06,3.1563694992722195e-05,5.1934272050857544e-05,-120,-99.75196774534122,-99.75196774533727,-99.75196774534182,-311335729.5422635,-311335729.54225117,-311335729.54226536
-110,-88.24998189345632,-275436897.29543173,-110,129293696222.47606,20.255534470376443,129293696202.22052,6383129332.4581022,1.1265804517047811e+17,3.1888484954833984e-05,1.021760454023024e-11,7561331315.1286039,1.6167740432597775e-06,2.8190750421955461e-05,4.6179164201021194e-05,-110,-88.24998189345328,-88.24998189345632,-88.2499818934635,-275436897.29542226,-275436897.29543173,-275436897.29545414
-100,-73.98102987982934,-230902090.76101542,-100,121073197459.29843,23.542988864804361,121073197435.75545,5142643449.1627808,5.214228315877063e+17,4.380941390991211e-06,1.4068746168049984e-12,5259880542.8215895,3.2689337576263919e-07,8.5745941607056954e-06,1.3914890587329865e-05,-100,-73.98102987982793,-73.98102987982934,-73.9810298798285,-230902090.76101103,-230902090.76101542,-230902090.7610128
-90,-58.05648575614697,-181200017.9655024,-90,113381709210.0881,27.363994048091939,113381709182.72411,4143463450.9429035,1.1996161744050856e+17,1.0907649993896484e-05,3.495870259939693e-12,3634753843.9353762,1.3299225660327883e-06,2.2694655603748871e-05,3.713974729180336e-05,-90,-58.05648575614436,-58.05648575614697,-58.05648575614347,-181200017.96549428,-181200017.9655024,-181200017.9654915
-80,-42.43805948449811,-132453369.17758462,-80,106185255356.24031,31.805144816740484,106185255324.43517,3338618829.3772593,20324754358742336.0,1.6644597053527832e-05,5.329070518200751e-12,2494451426.4635201,7.3480859890052811e-06,1.2495881362206972e-05,2.1235086023807526e-05,-80,-42.43805948449472,-42.43805948449811,-42.43805948450005,-132453369.17757404,-132453369.17758462,-132453369.17759068
-70,-29.038856995918245,-90633136.69138029,-70,99452042622.38562,36.967090222136967,99452042585.418533,2690285927.9638638,20443163677354596.0,8.538365364074707e-06,2.7355895326763857e-12,1703356411.0191789,6.8395721366481694e-06,1.2982409143793175e-05,2.225162461400032e-05,-70,-29.03885699592098,-29.038856995918245,-29.038856995920145,-90633136.69138883,-90633136.69138029,-90633136.69138622
-60,-18.840985182221033,-58804572.97821796,-60,93152320343.896347,42.966814563042938,93152320300.929535,2168006199.4639807,89083837954646496.0,1.1675059795379639e-05,3.7410075037769275e-12,1159735433.8344848,1.4696094390629152e-06,1.7721603016917736e-05,2.6713008992373943e-05,-60,-18.84098518222123,-18.840985182221033,-18.840985182224774,-58804572.97821858,-58804572.97821796,-58804572.978229634
-50,-11.777615239201813,-36759098.74906933,-50,87258249243.431808,49.940288581041536,87258249193.491516,1747251602.317673,31804733347480232.0,7.092952728271484e-06,2.2719603975929203e-12,788450183.87665617,3.854678437978435e-06,1.4868170034802448e-05,2.5708111934363842e-05,-50,-11.777615239199541,-11.777615239201813,-11.777615239201033,-36759098.74906224,-36759098.74906933,-36759098.7490669
-40,-7.20026031299331,-22472722.574885488,-40,81743778637.750198,58.045550942538341,81743778579.704651,1408269493.7062738,85325024935636400.0,1.5113502740859985e-05,4.842348744205083e-12,535700497.35630268,1.3457268897773568e-06,1.7915062933574436e-05,2.7119007427245378e-05,-40,-7.200260312997508,-7.20026031299331,-7.200260312992666,-22472722.57489859,-22472722.574885488,-22472722.574883476
-30,-4.358062505885824,-13601942.90226537,-30,76584531533.197113,67.466289842423365,76584531465.73082,1135152558.5899363,2.0300134451858819e+17,6.718561053276062e-06,2.1529444893531036e-12,363901649.45814896,5.2990185003622235e-07,5.2129728387117777e-06,9.2898262664675713e-06,-30,-4.358062505886493,-4.358062505885824,-4.35806250588434,-13601942.902267456,-13601942.90226537,-13601942.902260737
-20,-2.6363557383355,-8228326.2744553685,-20,71757697103.074677,78.416005898674157,71757697024.658676,915089926.8676976,23536059855931160.0,1.1314637959003448e-05,3.625100220006061e-12,247193769.38703963,4.2833554956901832e-06,1.6473477405766567e-05,2.6148991310037673e-05,-20,-2.6363557383318748,-2.6363557383355,-2.6363557383343954,-8228326.274444054,-8228326.2744553685,-8228326.274451921
-10,-1.6056368173005386,-5011350.86548233,-10,67241930072.653366,91.14285068087905,67241929981.510513,737764175.36126196,32386892579547192.0,2.689007669687271e-05,8.61555271569614e-12,167923748.41897252,2.918942551253517e-06,2.199630692131291e-05,3.7609075661748648e-05,-10,-1.605636817294527,-1.6056368173005386,-1.6056368173031426,-5011350.865463568,-5011350.86548233,-5011350.865490458
0,-0.9901243921216781,-3090275.8805295825,0,63017256568.055481,105.93525052743689,63017256462.120232,594865790.70046389,82005388868403856.0,8.521601557731628e-06,2.730260462158185e-12,114082711.83728479,1.08202008404944e-06,1.0859189675210187e-05,1.598912785993889e-05,0,-0.99012439211916,-0.9901243921216781,-0.9901243921218903,-3090275.880521723,-3090275.8805295825,-3090275.8805302447
10,-0.6208803744451931,-1937828.8840361834,10,59064986013.748421,123.12844310305459,59064985890.61998,479702207.91562277,50175402609968104.0,4.50480729341507e-06,1.443400954315166e-12,77512251.324749559,1.6624127508693822e-06,3.8455379748395983e-06,6.6292122937738895e-06,10,-0.6208803744443573,-0.6208803744451931,-0.6208803744458007,-1937828.8840335747,-1937828.8840361834,-1937828.8840380795
20,-0.3970715602501049,-1239299.5014048219,20,55367628690.064095,143.1120748334437,55367628546.952019,386882998.89790499,14383085757432908.0,1.3994984328746796e-05,4.483968751856082e-12,52672161.431637429,5.4660368992552517e-06,1.0042389508974701e-05,1.6331789083778858e-05,20,-0.39707156025271406,-0.3970715602501049,-0.3970715602482301,-1239299.5014129654,-1239299.5014048219,-1239299.5013989704
30,-0.25931766832828806,-809356.0185027719,30,51908818587.124619,166.33903139659768,51908818420.785583,312066375.22951436,42278531597625256.0,1.5547731891274452e-05,4.981515200341846e-12,35800556.146076381,1.7609501266882635e-06,1.4471164374497668e-05,2.5154948161798529e-05,30,-0.25931766833232606,-0.25931766832828806,-0.25931766832734454,-809356.0185153747,-809356.0185027719,-809356.018499827
40,-0.17284132470452063,-539454.821175158,40,48673241214.914482,193.33570139458593,48673241021.578781,251755060.56988138,16644326529311970.0,6.754184141755104e-06,2.164046719599355e-12,24343127.638375126,4.2741011710581831e-06,1.2214486070974483e-05,2.011931428569369e-05,40,-0.17284132470235658,-0.17284132470452063,-0.17284132470403077,-539454.8211684038,-539454.821175158,-539454.8211736291
50,-0.1172752597180099,-366027.6520537138,50,45646566051.099243,224.71390580972832,45646565826.385338,203131915.1639396,1.9022798846367994e+17,1.5337602235376835e-05,4.9141662961105226e-12,16565698.794198403,3.6389764628560035e-07,1.4377000215108006e-05,2.4714302071515704e-05,50,-0.11727525971534347,-0.1172752597180099,-0.11727525972025764,-366027.6520453916,-366027.6520537138,-366027.6520607292
60,-0.08064394062866313,-251697.69234913588,60,42815383328.645767,261.18476360040523,42815383067.461006,163927568.8919985,35134180264799256.0,2.739252522587776e-06,8.776590565418019e-13,11291299.279441535,1.9877368799564324e-06,7.1287315646301398e-06,1.3171180398785509e-05,60,-0.08064394062868607,-0.08064394062866313,-0.08064394062954079,-251697.69234920747,-251697.69234913588,-251697.69235187513
70,-0.05585673472932053,-174334.378056556,70,46410728642.102173,303.57480767016369,46410728338.527367,152880698.49500746,51454005312145328.0,6.329355528578162e-06,2.027926437886407e-12,7721777.5163010471,1.4472084975652034e-06,1.1616301863605093e-05,2.0077724002476316e-05,70,-0.05585673472946929,-0.05585673472932053,-0.05585673472744136,-174334.37805702025,-174334.378056556,-174334.3780506909
80,-0.0386773699824455,-120715.88633722067,80,55243635661.673912,352.84471644361224,55243635308.829193,156566424.51241675,5.3519385641234278e+17,1.4004530385136604e-05,4.487049620749417e-12,5316755.7216849839,1.5606697137788937e-07,1.9604315415319884e-05,3.0808191922915285e-05,80,-0.03867736998693255,-0.0386773699824455,-0.03867736998358636,-120715.8863512252,-120715.88633722067,-120715.8863407814
90,-0.026548212259019887,-82859.58882340789,90,65760985743.154938,410.11108555965109,65760985333.043854,160349203.0785155,11035737688100310.0,1.0250514606013894e-05,3.28426522089309e-12,3711316.3234178931,8.7427496400560344e-06,1.96240366907586e-05,3.3065218929095863e-05,90,-0.026548212261650245,-0.026548212259019887,-0.026548212262304152,-82859.5888316175,-82859.58882340789,-82859.5888336584
100,-0.01790323404814049,-55877.759201437235,100,78283345620.509979,476.67173309025276,78283345143.838242,164229049.4403784,47282780196131624.0,2.148794010281563e-06,6.884735836987232e-13,2659391.8207234032,2.3910887925271106e-06,5.2547295118944717e-06,9.5662144588004594e-06,100,-0.017903234047452015,-0.01790323404814049,-0.01790323404798744,-55877.75919928844,-55877.759201437235,-55877.759200959554
