voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.03628565918391459,-0.0063212072848653445,-113251.11788781892,-150,168230404240.14157,0.010454841432406244,168230404240.1311,16091148328533.027,3.0877793694762426e+17,1.8146621982850775e-08,1.7491402104496956e-08,8.278100427361323e-15,-7.207691025582577e-08,-113107.33423422856,4.1205648158666687e-08,9.014403624251767e-08,-150,-0.036285659183914055,-0.03628565918391459,-0.036285659183922334,-0.006321202512097557,-0.0063212072848653445,-0.00632122065871954,-113251.11788781965,-113251.11788781892,-113251.11788783642
-140,-0.031382339288150436,-0.005834038756872652,-97947.37313838149,-140,157504979217.18167,0.010392300195147183,157504979217.17126,15155930473479.838,1.0932874056515344e+17,2.2280396194673813e-08,2.293381839990616e-08,1.086630785351872e-14,-7.4304749656279095e-08,-130912.860585142,5.0248579386347904e-08,1.0495920967871606e-07,-140,-0.03138233928815044,-0.031382339288150436,-0.0313823392881613,-0.005834038440703182,-0.005834038756872652,-0.005834060721099377,-97947.37313838166,-97947.37313838149,-97947.37313840442
-130,-0.027103257620256234,-0.005217519024513547,-84591.93752936856,-130,147469453430.08176,0.010330133081817518,147469453430.07144,14275658625313.227,3.1518850359959226e+17,8.660177286401449e-08,2.472370397299528e-08,8.507083926190262e-15,1.8500527191641422e-07,-148884.64507214114,1.0436146997244014e-07,1.685185437215071e-07,-130,-0.02710325762025368,-0.027103257620256234,-0.027103257620247727,-0.0052175286579370095,-0.005217519024513547,-0.0052174420561641455,-84591.93752935577,-84591.93752936856,-84591.93752938049
-120,-0.023364236993286856,-0.0043697918141678395,-72922.08580913299,-120,138079514321.50046,0.010268337854394453,138079514321.4902,13447114448265.621,6.6072705411773811e+17,1.6347570408470347e-08,1.992157194763422e-08,3.7643499428696714e-15,-3.3311937660022066e-08,-164832.96431825601,3.1037281543721337e-08,6.3247945931723799e-08,-120,-0.023364236993287466,-0.023364236993286856,-0.023364236993283702,-0.004369790034303378,-0.0043697918141678395,-0.0043698063818737864,-72922.08580913578,-72922.08580913299,-72922.08580911586
-110,-0.02009070883787746,-0.0030815286254349075,-62705.08222289818,-110,129293696222.47606,0.010206912288243126,129293696222.46585,12667268275774.598,3.9617191223500595e+17,4.137935860626385e-08,3.688910510390997e-09,5.898059818321144e-15,8.2043207457652549e-08,-175474.69332895445,5.2067254256915456e-08,7.7700204345737263e-08,-110,-0.02009070883787701,-0.02009070883787746,-0.020090708837871563,-0.0030815322471298146,-0.0030815286254349075,-0.0030814908677712083,-62705.08222289496,-62705.08222289818,-62705.08222289865
-100,-0.017214615854447824,-0.0008961200744702245,-53728.51345471095,-100,121073197459.29843,0.010145854172036527,121073197459.28828,11933268052777.07,2.222979699284023e+17,5.6475080612017337e-08,4.3612089939415455e-08,4.926614671774132e-15,5.2482612912932464e-08,-177185.45313288178,3.3461270032666439e-08,6.7534467824265947e-08,-100,-0.01721461585444399,-0.017214615854447824,-0.017214615854448917,-0.0008961532867104438,-0.0008961200744702245,-0.0008960968116298318,-53728.513454682376,-53728.51345471095,-53728.51345472599
-90,-0.0146711811554845,0.0032330514497157826,-45790.204973218926,-90,113381709210.0881,0.010085161307675873,113381709210.07802,11242428926128.594,3.3908124812816102e+17,2.3411001501966178e-08,2.4330802261829376e-08,4.045375145977914e-15,-8.4495233478560349e-10,-167874.9297119246,3.483862603258662e-08,5.1774323607601513e-08,-90,-0.014671181155480455,-0.0146711811554845,-0.014671181155484374,0.0032330280387142807,0.0032330514497157826,0.0032330501126125455,-45790.204973194595,-45790.204973218926,-45790.20497321786
-80,-0.012395733965622487,0.01177737882391703,-38688.31414593812,-80,106185255356.24031,0.010024831510211496,106185255356.23029,10592223445159.937,2.9326012285673901e+17,1.5621580473634822e-08,1.705484464764595e-08,2.9611729734924097e-15,-1.671265574151679e-08,-148899.28977870545,1.5985841560001441e-08,3.0232527807858608e-08,-80,-0.012395733965623417,-0.012395733965622487,-0.012395733965620456,0.011777384694241277,0.01177737882391703,0.011777369072660804,-38688.314145943965,-38688.31414593812,-38688.31414592691
-70,-0.010321856783443616,0.030583270626235073,-32215.54832360665,-70,99452042622.38562,0.0099648626077641668,99452042622.375656,9980272336609.752,2.3746649433091267e+18,2.3083853786798336e-08,1.5083060134202242e-08,8.250344851745695e-15,-4.0814036273802e-08,-124899.0426294685,3.8394692953805767e-08,7.360995698228265e-08,-70,-0.010321856783443373,-0.010321856783443616,-0.010321856783451624,0.03058326886741014,0.030583270626235073,0.030583247542381287,-32215.548323605017,-32215.54832360665,-32215.5483236201
-60,-0.008384752651802801,0.07299861536348856,-26169.676486207813,-60,93152320343.896347,0.009905252441446924,93152320343.886444,9404335820267.998,2.6370900673767035e+18,1.4584387308946845e-08,2.1165760699659586e-08,8.633718739936569e-15,-2.42354663079611e-08,-101324.55696267757,3.2956218749623626e-08,6.6146915057124881e-08,-60,-0.008384752651802396,-0.008384752651802801,-0.00838475265181103,0.07299861233922655,0.07299861536348856,0.07299860077910125,-26169.676486205033,-26169.676486207813,-26169.6764862262
-50,-0.006537562249672991,0.16693264771883418,-20404.460025852546,-50,87258249243.431808,0.0098459988652873452,87258249243.421967,8862305433638.2227,6.441902667755849e+17,4.645598750130375e-08,1.074658939614892e-08,1.0619977119930013e-14,7.110130812313379e-08,-82044.516641179973,6.4577431178061584e-08,1.1251235940498914e-07,-50,-0.006537562249672941,-0.006537562249672991,-0.006537562249662371,0.16693264606247027,0.16693264771883418,0.16693269251845777,-20404.460025851564,-20404.460025852546,-20404.4600258418
