voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.03628565919582877,-0.006321207284773573,-113251.11792500425,-150,168230404240.14157,0.010454841432406244,168230404240.1311,16091148328533.027,3.0877793694762426e+17,8.58276372639466e-07,6.235495675355196e-08,1.1877304695318003e-13,124349.80312215208,1.1634338079602458e-06,1.1614728496399907e-06,1.7015489551283233e-06,-150,-0.03628565919582751,-0.03628565919582877,-0.036285659195709995,-0.00632121490057358,-0.006321207284773573,-0.00632035662420094,-113251.11792499654,-113251.11792500425,-113251.11792505889
-140,-0.03138233928765579,-0.00583403875686408,-97947.37313683763,-140,157504979217.18167,0.010392300195147183,157504979217.17126,15155930473479.838,1.0932874056515344e+17,6.713462497032197e-07,2.0784500520676374e-07,4.1092129698938606e-14,145666.57747975897,-9.2750724434154108e-07,8.4072412425099874e-07,1.341261009049203e-06,-140,-0.031382339287655936,-0.03138233928765579,-0.03138233928769688,-0.0058340378081922495,-0.00583403875686408,-0.005834709154441953,-97947.37313683856,-97947.37313683763,-97947.37313663072
-130,-0.027103257615942112,-0.005217519024618561,-84591.93751590376,-130,147469453430.08176,0.010330133081817518,147469453430.07144,14275658625313.227,3.1518850359959226e+17,1.590471683243777e-07,2.8667272999882698e-08,3.418099137064701e-14,167983.86635147876,2.1802043193019927e-07,2.4417669467729996e-07,3.7664227461393092e-07,-130,-0.027103257615941612,-0.027103257615942112,-0.02710325761590793,-0.005217522057328949,-0.005217519024618561,-0.005217363010160625,-84591.93751590069,-84591.93751590376,-84591.93751587509
-120,-0.023364236988166608,-0.004369791814408635,-72922.08579315219,-120,138079514321.50046,0.010268337854394453,138079514321.4902,13447114448265.621,6.6072705411773811e+17,2.58659295176121e-07,5.269248504191637e-08,5.6506882506468514e-14,188979.65095518742,3.6359779187478125e-07,4.0809107732777241e-07,6.2780418137121894e-07,-120,-0.023364236988168394,-0.023364236988166608,-0.023364236988111887,-0.004369780509186683,-0.004369791814408635,-0.004369533155113459,-72922.08579316342,-72922.08579315219,-72922.08579311073
-110,-0.02009070883178416,-0.003081528626022262,-62705.08220388039,-110,129293696222.47606,0.010206912288243126,129293696222.46585,12667268275774.598,3.9617191223500595e+17,3.5499000303196304e-07,1.542575773783028e-07,9.065664885454794e-15,204854.25751125879,5.0184098654426634e-07,4.410467063139361e-07,7.3209721398630221e-07,-110,-0.02009070883178578,-0.02009070883178416,-0.020090708831776716,-0.003081518439827846,-0.003081528626022262,-0.00308117363601923,-62705.082203890546,-62705.08220388039,-62705.08220403465
-100,-0.01721461584047425,-0.0008961200773473111,-53728.51341109804,-100,121073197459.29843,0.010145854172036527,121073197459.28828,11933268052777.07,2.222979699284023e+17,1.2315006360681668e-07,2.8114300221204758e-08,2.7863128471139476e-14,210961.16622091268,1.7405909602530301e-07,1.9237387315479579e-07,2.9333608839102329e-07,-100,-0.01721461584047512,-0.01721461584047425,-0.017214615840447256,-0.0008961146269115261,-0.0008961200773473111,-0.0008959969272837043,-53728.513411103486,-53728.51341109804,-53728.51341107537
-90,-0.014671181147163712,0.0032330514458526983,-45790.204947248916,-90,113381709210.0881,0.010085161307675873,113381709210.07802,11242428926128.594,3.3908124812816102e+17,3.893391209430774e-08,2.1340383682399988e-08,1.2307863062055446e-14,203937.68462831987,-4.843423084821552e-08,6.467294160569858e-08,1.1131740011466085e-07,-90,-0.014671181147164482,-0.014671181147163712,-0.01467118114717602,0.0032330562174038846,0.0032330514458526983,0.0032330172834917903,-45790.20494725371,-45790.204947248916,-45790.20494727026
-80,-0.012395733963409998,0.011777378821385527,-38688.31413903273,-80,106185255356.24031,0.010024831510211496,106185255356.23029,10592223445159.937,2.9326012285673901e+17,1.8446736049781975e-07,8.074857760220766e-08,5.300100636151939e-14,184391.77083831833,-2.386805135756731e-07,2.975205597698351e-07,5.0026508060565615e-07,-80,-0.012395733963412422,-0.012395733963409998,-0.012395733963463,0.011777393934615077,0.011777378821385527,0.011777209467254579,-38688.31413904785,-38688.31413903273,-38688.31413911348
-70,-0.01032185678391538,0.030583270627664548,-32215.54832507907,-70,99452042622.38562,0.0099648626077641668,99452042622.375656,9980272336609.752,2.3746649433091267e+18,4.0838867931825007e-07,1.3500539353117347e-08,6.90732193664445e-14,157409.39624572181,5.6431508710375056e-07,5.7824603678713401e-07,8.3525247443627326e-07,-70,-0.010321856783914706,-0.01032185678391538,-0.010321856783846306,0.030583266397933073,0.030583270627664548,0.03058367478661239,-32215.548325074855,-32215.54832507907,-32215.54832506557
-60,-0.008384752648524335,0.0729986153358849,-26169.676475975386,-60,93152320343.896347,0.009905252441446924,93152320343.886444,9404335820267.998,2.6370900673767035e+18,3.2991615363242577e-07,1.8677383195608854e-08,5.161843175116587e-14,129809.71723113266,4.5604929255205207e-07,4.6902788199647937e-07,6.9723701819665659e-07,-60,-0.008384752648527312,-0.008384752648524335,-0.008384752648475694,0.07299863412237073,0.0729986153358849,0.07299894525203854,-26169.676475994063,-26169.676475975386,-26169.676475988526
