voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.0002240232847203741,-1398.3978585281789,0.00016297078695782014,-150,18744865502.153824,1.384327187140912e-08,18744865502.153824,1.354077683099477e+18,1.172745899797241e+17,5.552008133236086e-07,4.0829409974846103e-07,6.540885996893231e-14,0.32793760176626985,-5.4164689382022921e-07,6.2775487262929205e-07,8.851312756331215e-07,-150,-0.00022402328469683943,-0.0002240232847203741,-0.00022402328465496524,-1398.3978583812714,-1398.3978585281789,-1398.3978589364722,0.0001629707872311063,0.00016297078695782014,0.0001633790810575686
-140,-0.00015319093381127629,-956.2484336237566,0.0002036680696097423,-140,17540629488.331306,1.2112031884257553e-08,17540629488.331306,1.4481987544244744e+18,2.3076649984436408e+18,2.435269834677456e-07,3.893015178637899e-08,3.2776407456192036e-14,0.37451087280817336,5.2615735273808632e-08,3.3941464881691523e-07,5.1576768789776037e-07,-140,-0.0001531909338440527,-0.00015319093381127629,-0.00015319093381751291,-956.2484338283539,-956.2484336237566,-956.2484335848269,0.00020366806984569244,0.0002036680696097423,0.00020362913969390606
-130,-0.0001042841867733188,-650.9629712751745,0.0002535111240404777,-130,16413757826.727316,1.0597300820787733e-08,16413757826.727316,1.548862121053503e+18,61177356143921336.0,4.1214241264242446e-07,2.223278368138743e-07,1.0164194789649694e-13,0.42769887290304143,-3.0517986952907942e-07,8.8791556173886283e-07,1.4144232444281396e-06,-130,-0.000104284186839344,-0.0001042841867733188,-0.00010428418673770205,-650.9629716873169,-650.9629712751745,-650.9629714975033,0.00025351112408406653,0.0002535111240404777,0.00025373345187729157
-120,-7.065489231835029e-05,-441.04240325781535,0.00031424329499347487,-120,15359280359.560997,9.2720020686398882e-09,15359280359.560997,1.6565225337373176e+18,86882746186039728.0,2.0422220359250787e-07,1.6753873620872035e-07,2.6839939775910593e-14,0.48844093391155197,-2.3304233359559574e-07,5.0541420675181886e-07,6.4438264211759576e-07,-120,-7.06548923124733e-05,-7.065489231835029e-05,-7.065489229151035e-05,-441.04240322113037,-441.04240325781535,-441.0424034253526,0.0003142432951915533,0.00031424329499347487,0.0003144108337296836
-110,-4.763244486703086e-05,-297.33189224662027,0.00038786166572452177,-110,14372546229.448353,8.1124452173918708e-09,14372546229.448353,1.7716663526597087e+18,3.6068508012822989e+17,2.881687919398246e-07,2.828212460065241e-07,4.5308002412803444e-14,0.55780982849923499,3.9728043868460673e-07,5.5440184411831934e-07,7.5965933218115216e-07,-110,-4.763244486788757e-05,-4.763244486703086e-05,-4.7632444912338864e-05,-297.3318922519684,-297.33189224662027,-297.3318919637996,0.00038786166591184333,0.00038786166572452177,0.0003875788446658368
-100,-3.194537044876227e-05,-199.41025695650998,0.0004766406698854845,-100,13449203366.423029,7.0979025800452807e-09,13449203366.423029,1.8948137445889306e+18,2.8374432917904774e+17,8.952884797963634e-07,8.014186231549477e-07,1.283872232702224e-13,0.63703070730298139,-1.1324329970750866e-06,9.6254643754594968e-07,1.5166828295517366e-06,-100,-3.194537043372434e-05,-3.194537044876227e-05,-3.1945370320375046e-05,-199.41025686264038,-199.41025695650998,-199.41025775792886,0.00047664066994745343,0.0004766406698854845,0.00047744208850863945
-90,-2.130866613341486e-05,-133.0140635283976,0.0005831580350588033,-90,12585179292.782887,6.2102386747470137e-09,12585179292.782887,2.026521032751703e+18,79028270696482000.0,1.0917565873569401e-06,7.850101113968545e-07,1.257586022080856e-13,0.72750273317513015,1.110967753697404e-06,9.4892478289911609e-07,1.50026634462137e-06,-90,-2.130866618255563e-05,-2.130866613341486e-05,-2.1308666259173463e-05,-133.01406383514404,-133.0140635283976,-133.01406274338746,0.0005831580351003493,0.0005831580350588033,0.0005823730249889525
-80,-1.4134175117778733e-05,-88.22972974828237,0.0007103242699795646,-80,11776663161.10071,5.4335860435375973e-09,11776663161.10071,2.1673832100454566e+18,1.0572299362746218e+18,3.3627971163241455e-07,1.983592693094796e-09,5.3554288282665896e-14,0.83082379007970641,-2.7361971720492317e-09,5.3312383213259102e-07,7.1723952723537692e-07,-80,-1.4134175064224445e-05,-1.4134175117778733e-05,-1.4134175117460955e-05,-88.2297294139862,-88.22972974828237,-88.22972975026592,0.0007103242701188019,0.0007103242699795646,0.0007103262535722576
-70,-9.320814074867528e-06,-58.18408285225573,0.0008614171780240277,-70,11020088946.176188,4.7540616132163838e-09,11020088946.176188,2.3180366269423447e+18,39123011805096800.0,2.3261605264224272e-07,2.3261605359308803e-07,5.851859930872463e-14,0.94881870255884004,-3.259502566012925e-07,3.3310057126918976e-07,4.7104475325261381e-07,-70,-9.320814096121054e-06,-9.320814074867528e-06,-9.320814037602454e-06,-58.184082984924316,-58.18408285225573,-58.18408308487178,0.0008614171779681363,0.0008614171780240277,0.0008616497940217294
-60,-6.109585033271481e-06,-38.13931516045105,0.0010401230735850536,-60,10312119716.795958,4.1595185281252791e-09,10312119716.795958,2.4791618662277468e+18,99915386482879472.0,5.089617900466692e-07,1.0357371746372301e-07,9.812821297986319e-14,1.0835714623584358,1.4359665639201991e-07,1.1965843537611722e-06,1.7725149883903116e-06,-60,-6.10958495173576e-06,-6.109585033271481e-06,-6.109585049863973e-06,-38.13931465148926,-38.13931516045105,-38.13931505687748,0.001040123073715038,0.0010401230735850536,0.0010400194999975743
