voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-6.05009843447865e-06,-18.882810136736055,-9.58524103588102e-05,-150,20236656.140373837,9.6045347052819838e-05,20236656.140277792,210698974612.94769,4.7863028370400774e+17,8.511626958807028e-10,2.2921600988795587e-10,3.355072093085866e-16,41.957150743384368,6.0080312954195307e-11,1.0791120982736048e-09,2.047330936619067e-09,-150,-6.050098434814157e-06,-6.05009843447865e-06,-6.050098434514096e-06,-18.882810137587217,-18.882810136736055,-18.88281013699452,-9.58525410175463e-05,-9.58524103588102e-05,-9.585231180153642e-05
-140,-1.0771452190444503e-05,-33.618621846150106,-9.519545986155129e-05,-140,19145354.152312629,9.547080033429762e-05,19145354.152217157,200536227676.6702,39966024846712904.0,2.7639828203973593e-09,1.2412202559167196e-09,7.779624926033957e-16,35.707390863135309,6.7906752301073294e-10,3.2443688126435351e-09,6.011694534541201e-09,-140,-1.0771452189864221e-05,-1.0771452190444503e-05,-1.077145218966654e-05,-33.61862184338612,-33.618621846150106,-33.61862184463098,-9.519609510435113e-05,-9.519545986155129e-05,-9.519485388409521e-05
-130,-2.014594144414089e-05,-62.87732842317675,-9.45013630030212e-05,-130,19076284.184731238,9.4899690574898278e-05,19076284.18463634,201015241136.90912,12829566030822950.0,2.9377886789916374e-09,4.473298217955168e-09,1.20860081925106e-15,30.351970051586285,2.1061879424351611e-09,4.4216207800311541e-09,1.0460449978433317e-08,-130,-2.014594144378521e-05,-2.014594144414089e-05,-2.0145941444993812e-05,-62.87732842543313,-62.87732842317675,-62.87732842249534,-9.449911868304739e-05,-9.45013630030212e-05,-9.450359198126534e-05
-120,-3.947148071373077e-05,-123.19424363551548,-9.374305372275446e-05,-120,19008717.38751987,9.4331997214608824e-05,19008717.387425538,201508692159.61078,16497642077721352.0,1.5389360896733706e-09,3.0332938695531997e-09,1.5262246219442666e-15,25.776175238072618,1.6313324142914756e-09,3.0372671548090156e-09,7.0353751990825941e-09,-120,-3.9471480714952195e-05,-3.947148071373077e-05,-3.947148071342597e-05,-123.19424363705441,-123.19424363551548,-123.19424363684084,-9.374456921421373e-05,-9.374305372275446e-05,-9.374153592034418e-05
-110,-8.052847482567311e-05,-251.33717289005153,-9.286662629015799e-05,-110,18942853.644892462,9.3767699816406944e-05,18942853.644798692,202018964760.59177,1.0422511939995046e+17,3.0698004138685064e-09,2.1361739460656892e-10,9.01541211476009e-16,21.878712928865202,2.5726451776903249e-10,3.9834108063577237e-09,7.1950472940729426e-09,-110,-8.052847482477157e-05,-8.052847482567311e-05,-8.05284748249722e-05,-251.33717288698173,-251.33717289005153,-251.33717288792832,-9.286679698999184e-05,-9.286662629015799e-05,-9.286658337259723e-05
-100,-0.00016964538848404737,-529.4798513925225,-9.175589504977962e-05,-100,18878926.867332853,9.3206778065525381e-05,18878926.867239647,202548862423.51132,20715891492875064.0,7.448761607520282e-10,2.648446559283535e-09,1.235394165438608e-15,18.570181336723024,1.232574517719222e-09,2.1289502269744233e-09,5.3845291003717932e-09,-100,-0.0001696453884832415,-0.00016964538848404737,-0.0001696453884844769,-529.4798513918945,-529.4798513925225,-529.4798513917776,-9.175463697121133e-05,-9.175589504977962e-05,-9.175728541777062e-05
-90,-0.00036519036497617097,-1139.7950114016203,-9.014376164111871e-05,-90,18817210.819516994,9.2649211768720534e-05,18817210.819424346,203101682791.32523,37085608171081864.0,1.3023964129388332e-09,1.357865042628248e-09,7.090682208055199e-16,15.772109384657321,7.5613057317181869e-10,2.037037595005851e-09,4.1116565707710606e-09,-90,-0.00036519036497688004,-0.00036519036497617097,-0.00036519036497626237,-1139.7950114028138,-1139.7950114016203,-1139.7950114029227,-9.014444139066047e-05,-9.014376164111871e-05,-9.014308352561784e-05
-80,-0.0007920047265976256,-2471.9247334566535,-8.738683709294788e-05,-80,18758025.964720648,9.2094980853545482e-05,18758025.964628551,203681305874.32007,1.3068465071587021e+17,2.863089321181178e-09,4.325962366102942e-09,1.161722627818218e-15,13.417911306126591,2.0328929424655297e-10,4.844278100280537e-09,8.5546876249509296e-09,-80,-0.0007920047265965478,-0.0007920047265976256,-0.0007920047265977095,-2471.92473345932,-2471.9247334566535,-2471.924733456457,-8.738281672238113e-05,-8.738683709294788e-05,-8.738714268474723e-05
-70,-0.0016902546882572608,-5275.4514634943625,-8.188445135822772e-05,-70,18701747.507501986,9.1544065367627425e-05,18701747.507410441,204292298276.22943,44196600202430632.0,6.6220309236086905e-09,1.3273405707892039e-09,2.1178805237331844e-15,11.461407086955715,5.9973175066633865e-10,8.8208530836384431e-09,1.3874590365503536e-08,-70,-0.0016902546882555148,-0.0016902546882572608,-0.001690254688255143,-5275.4514634877405,-5275.4514634943625,-5275.451463488571,-8.188523263596981e-05,-8.188445135822772e-05,-8.188390529539902e-05
-60,-0.0033941434396321424,-10593.456324008905,-6.953743088714501e-05,-60,18648814.850055452,9.0996445477949377e-05,18648814.849964455,204940036416.8566,24382273220983928.0,1.2278178473934531e-09,1.703467811253745e-09,1.1193303228740348e-15,9.9217608389072591,1.0852248605952307e-09,2.0106487499174853e-09,4.6952095544838812e-09,-60,-0.0033941434396313436,-0.0033941434396321424,-0.003394143439632463,-10593.456324007677,-10593.456324008905,-10593.456324008614,-6.953658795949558e-05,-6.953743088714501e-05,-6.953829142730683e-05
