voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.1380554630864854,-203235.0428543565,-48829.261082345125,-203235.04285442535,-150,433542989.0448944,12522.845398806083,433530466.19949561,34620.16620329977,20066516639451548.0,5.704350769519806e-08,1.8189894035458565e-09,7.418566383421421e-08,5.190292640122607e-15,337270.76556670811,3.4080585464835167e-08,4.6698644075071748e-08,1.0768235370051116e-07,-150,-0.13805546308648536,-0.1380554630864854,-0.13805546308649055,-203235.04285439372,-203235.0428543565,-203235.04285433667,-48829.26108234686,-48829.261082345125,-48829.26108234504,-203235.04285438717,-203235.04285442535,-203235.04285446135
-140,-0.12010427376800095,-176847.5778880711,-42324.25628770563,-176847.5778881789,-140,381737748.32482421,14312.805243240478,381723435.51958096,26671.064255912224,26669096508997616.0,1.3996032066643238e-07,1.0986695997416973e-09,6.085610948503017e-08,2.525757381022231e-14,332530.69547036249,1.7092679627239704e-07,1.2093939294694439e-07,2.2945414457353763e-07,-140,-0.12010427376800109,-0.12010427376800095,-0.12010427376797583,-176847.57788813298,-176847.5778880711,-176847.57788799301,-42324.256287704535,-42324.25628770563,-42324.256287705386,-176847.57788811804,-176847.5778881789,-176847.57788817876
-130,-0.10417309778091005,-153447.96068553746,-36477.18210770275,-153447.9606854241,-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188989,27600054772609536.0,1.1819065548479557e-07,1.964508555829525e-10,7.82310962677002e-08,1.2850831510036187e-14,332450.35386528639,-7.2439434006810188e-08,7.4334824999120618e-08,1.520811565569602e-07,-130,-0.10417309778091008,-0.10417309778091005,-0.1041730977809229,-153447.96068546912,-153447.96068553746,-153447.9606855873,-36477.18210770278,-36477.18210770275,-36477.182107702945,-153447.9606854925,-153447.9606854241,-153447.96068541426
-120,-0.08993127451067938,-132507.08149864883,-31340.428753728003,-132507.08149864254,-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,1.2896229862459747e+17,5.3230905905365944e-08,3.8562575355172157e-10,1.696753315627575e-08,2.09277040141842e-14,337897.56746461155,-4.030880518257618e-08,7.3061066553704997e-08,1.3992166714160703e-07,-120,-0.0899312745106792,-0.08993127451067938,-0.08993127451070013,-132507.0814986433,-132507.08149864883,-132507.08149869653,-31340.42875372839,-31340.428753728003,-31340.42875372828,-132507.0814986473,-132507.08149864254,-132507.0814986595
-110,-0.07711016820109157,-113599.36790520452,-26939.408535764185,-113599.36790522665,-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,51053987659255648.0,5.806214176118374e-08,9.822542779147625e-11,1.9121216610074043e-08,1.2490009027033011e-14,350169.61110170273,1.0451185517013073e-07,5.0422259028740509e-08,1.0232542990706861e-07,-110,-0.07711016820109162,-0.07711016820109157,-0.07711016820107913,-113599.36790522034,-113599.36790520452,-113599.36790516227,-26939.408535764145,-26939.408535764185,-26939.408535764087,-113599.36790521102,-113599.36790522665,-113599.36790523014
-100,-0.06550961952042146,-96417.03840151262,-23255.81343775182,-96417.03840152617,-100,234492411.26088765,24423.715527832945,234467987.54535982,9601.0130397098346,47345945310190120.0,4.020694177597761e-08,2.1827872842550278e-11,5.122274160385132e-08,3.524958103184872e-15,371195.02692065429,1.2444797903299332e-07,6.0056283422860525e-08,1.3661656339536421e-07,-100,-0.06550961952042106,-0.06550961952042146,-0.06550961952042458,-96417.03840152505,-96417.03840151262,-96417.03840148484,-23255.81343775183,-23255.81343775182,-23255.813437751844,-96417.03840151243,-96417.03840152617,-96417.03840156365
-90,-0.05499787546778839,-80772.48695660211,-20217.639363369184,-80772.48695655848,-90,209429907.32486603,27914.732836956453,209401992.59202906,7502.4865381337531,35407644744533704.0,7.8580342233181e-08,9.167706593871117e-10,5.1513779908418655e-08,8.81239525796218e-15,403777.26582568535,-9.1531546786427498e-08,4.8316690656441444e-08,9.2154095909791067e-08,-90,-0.05499787546778806,-0.05499787546778839,-0.05499787546779687,-80772.48695655691,-80772.48695660211,-80772.48695663549,-20217.639363368522,-20217.639363369184,-20217.63936336944,-80772.48695660295,-80772.48695655848,-80772.48695655144
-80,-0.04550156651827927,-66582.13495576257,-17701.213724207242,-66582.13495578947,-80,188066307.04156122,31904.740639099407,188034402.30092213,5894.6195228142706,52354484453218736.0,6.561458576470613e-08,2.9103830456733704e-10,3.5608536563813686e-08,1.026262408387879e-14,451924.92504940362,9.0221874415874481e-08,4.9253591201016738e-08,8.3278337115189061e-08,-80,-0.045501566518278774,-0.04550156651827927,-0.045501566518269004,-66582.1349557966,-66582.13495576257,-66582.13495573099,-17701.213724207308,-17701.213724207242,-17701.213724207017,-66582.13495575386,-66582.13495578947,-66582.13495578914
-70,-0.03698598613080935,-53831.83891562825,-15546.465378722578,-53831.83891563889,-70,170024291.33495164,36465.062416810317,169987826.27253482,4662.6628357715572,25730468936322952.0,6.135087460279465e-08,4.019966581836343e-10,3.058812581002712e-08,9.91567938868343e-15,521414.36830906331,1.046573743224144e-07,4.8446769867035908e-08,8.9056356955552474e-08,-70,-0.03698598613080935,-0.03698598613080935,-0.03698598613079943,-53831.838915647415,-53831.83891562825,-53831.838915586064,-15546.465378722525,-15546.465378722578,-15546.465378722176,-53831.83891561974,-53831.83891563889,-53831.838915650325
-60,-0.02942992966367347,-42531.485247275865,-13581.485126215724,-42531.4852472738,-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.70340466988,21607174914248168.0,2.3836037144064903e-08,1.4551915228366852e-10,7.30506144464016e-09,5.322131624296844e-15,620760.72158690123,-2.9103830456733704e-08,2.0630270081764878e-08,4.5821252570021898e-08,-60,-0.02942992966367257,-0.02942992966367347,-0.02942992966367789,-42531.48524726994,-42531.485247275865,-42531.48524729378,-13581.485126215586,-13581.485126215724,-13581.485126215732,-42531.485247276985,-42531.4852472738,-42531.48524726968
