voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.13805546308649186,-203235.0428544405,-48829.26108234032,-203235.04285436403,-150,433542989.0448944,12522.845398806083,433530466.19949561,34620.16620329977,20066516639451548.0,6.626942194998264e-08,1.4362740330398083e-08,2.2118911147117615e-08,1.4654943925052066e-14,208979.36763611715,6.1404727428003646e-08,6.3916608950784249e-08,1.9489789337967522e-07,-150,-0.1380554630864802,-0.13805546308649186,-0.13805546308649486,-203235.04285437835,-203235.0428544405,-203235.04285444462,-48829.261082347526,-48829.26108234032,-48829.26108233316,-203235.04285438615,-203235.04285436403,-203235.04285437267
-140,-0.12010427376800524,-176847.57788813437,-42324.25628770183,-176847.57788813097,-140,381737748.32482421,14312.805243240478,381723435.51958096,26671.064255912224,26669096508997616.0,1.5308614820241928e-08,5.908077582716942e-09,2.8405338525772095e-08,1.3225531780847177e-14,207263.64510710968,3.410551518635138e-08,4.4401928914360585e-08,1.5041905498947017e-07,-140,-0.12010427376800019,-0.12010427376800524,-0.12010427376801341,-176847.5778881234,-176847.57788813437,-176847.5778881387,-42324.256287707736,-42324.25628770183,-42324.256287702825,-176847.57788812323,-176847.57788813097,-176847.57788815163
-130,-0.10417309778090861,-153447.9606854676,-36477.18210770549,-153447.96068548807,-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188989,27600054772609536.0,2.8172507882118225e-08,3.13011696562171e-08,2.0605511963367462e-08,6.6058269965196814e-15,208425.36294825867,2.1023638988877224e-08,4.134622050998913e-08,1.4457327779382467e-07,-130,-0.10417309778091025,-0.10417309778090861,-0.10417309778090364,-153447.9606854834,-153447.9606854676,-153447.96068545524,-36477.18210770026,-36477.18210770549,-36477.18210767419,-153447.96068547998,-153447.96068548807,-153447.96068550058
-120,-0.0899312745106786,-132507.08149866626,-31340.428753729437,-132507.08149862196,-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,1.2896229862459747e+17,8.105416782200336e-08,1.070293365046382e-08,3.317836672067642e-08,2.881028748902281e-14,212863.3313021163,1.9074053397840367e-08,7.3421083542839768e-08,1.8897208065027371e-07,-120,-0.08993127451067372,-0.0899312745106786,-0.08993127451070253,-132507.08149863206,-132507.08149866626,-132507.08149871312,-31340.42875372289,-31340.428753729437,-31340.428753718734,-132507.0814986442,-132507.08149862196,-132507.08149865514
-110,-0.07711016820109112,-113599.36790521807,-26939.40853576471,-113599.36790521147,-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,51053987659255648.0,5.369656719267368e-09,3.747118171304464e-09,2.121669240295887e-08,9.117706589734098e-15,221079.80599892623,8.6775962063288932e-09,4.741286883241842e-08,1.3615635907626711e-07,-110,-0.07711016820109616,-0.07711016820109112,-0.07711016820108704,-113599.36790521945,-113599.36790521807,-113599.36790521408,-26939.408535766903,-26939.40853576471,-26939.408535763156,-113599.3679052247,-113599.36790521147,-113599.36790520349
-100,-0.06550961952042453,-96417.03840153564,-23255.813437748544,-96417.03840151436,-100,234492411.26088765,24423.715527832945,234467987.54535982,9601.0130397098346,47345945310190120.0,4.103640094399452e-08,9.931682143360376e-09,6.7229848355054855e-09,1.1407541578023483e-14,233736.42356098615,1.1769480565843996e-08,2.6454154755659559e-08,7.6431661000242457e-08,-100,-0.0655096195204189,-0.06550961952042453,-0.0655096195204303,-96417.03840150638,-96417.03840153564,-96417.03840154741,-23255.8134377584,-23255.813437748544,-23255.813437748468,-96417.03840152109,-96417.03840151436,-96417.03840152064
-90,-0.05499787546778827,-80772.4869565753,-20217.63936336889,-80772.48695658504,-90,209429907.32486603,27914.732836956453,209401992.59202906,7502.4865381337531,35407644744533704.0,1.6065314412117004e-08,4.973117029294372e-09,1.469743438065052e-08,7.931155732165962e-15,251758.56108033529,1.3174799277322007e-08,3.2600476998030156e-08,1.0002759154303931e-07,-90,-0.05499787546778964,-0.05499787546778827,-0.0549978754677962,-80772.48695658748,-80772.4869565753,-80772.48695659137,-20217.63936337011,-20217.63936336889,-20217.639363373863,-80772.48695657655,-80772.48695658504,-80772.48695659125
-80,-0.04550156651827855,-66582.13495577792,-17701.213724207835,-66582.13495577159,-80,188066307.04156122,31904.740639099407,188034402.30092213,5894.6195228142706,52354484453218736.0,2.371962182223797e-08,1.2034433893859386e-08,4.802132025361061e-09,9.249545573908335e-15,276512.00098487298,4.8982336251600345e-09,2.5565129051368193e-08,7.9697201726958156e-08,-80,-0.04550156651827511,-0.04550156651827855,-0.04550156651828436,-66582.13495576495,-66582.13495577792,-66582.13495578867,-17701.213724202666,-17701.213724207835,-17701.2137242147,-66582.13495577639,-66582.13495577159,-66582.13495577552
-70,-0.03698598613080939,-53831.83891563552,-15546.465378722844,-53831.838915631604,-70,170024291.33495164,36465.062416810317,169987826.27253482,4662.6628357715572,25730468936322952.0,2.546585164964199e-08,4.160028765909374e-09,9.022187441587448e-10,7.605027718682322e-15,310067.69527597912,9.006073644359046e-09,1.7619669283534673e-08,5.8318619267083704e-08,-70,-0.036985986130804525,-0.03698598613080939,-0.03698598613081213,-53831.8389156216,-53831.83891563552,-53831.838915647066,-15546.465378720342,-15546.465378722844,-15546.465378718683,-53831.83891563161,-53831.838915631604,-53831.83891563071
-60,-0.02942992966367293,-42531.485247273966,-13581.485126216354,-42531.485247273704,-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.70340466988,21607174914248168.0,2.473825588822365e-09,8.556526154279709e-09,2.121669240295887e-08,7.376044219853384e-15,355530.54316884623,1.1208733717698265e-08,2.2065717435855573e-08,6.2795152189210057e-08,-60,-0.029429929663671764,-0.02942992966367293,-0.02942992966367914,-42531.485247274424,-42531.485247273966,-42531.48524727195,-13581.485126208456,-13581.485126216354,-13581.485126217012,-42531.48524727355,-42531.485247273704,-42531.48524729477
