voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.036287985557195764,-0.006050308578382697,-0.006321156795567206,-113258.37267798871,-150,168230404240.14157,0.010454841432406244,168230404240.1311,16091148328533.027,4.9350745881889901e+17,1.5407745973181064e-07,6.558147163104877e-07,1.8870734493248165e-05,6.0741758844962135e-12,72082.548284297271,4.8573579652104163e-07,3.523373086467084e-05,6.4964966062357359e-05,-150,-0.0362879855560613,-0.036287985557195764,-0.03628798555112159,-0.006050366578862983,-0.006050308578382697,-0.0060502125014032515,-0.00632051839428982,-0.006321156795567206,-0.006321174209006131,-113258.37267470914,-113258.37267798871,-113258.37265911797
-140,-0.03138462081886888,-0.005241090837444664,-0.005833970588316132,-97954.48877971686,-140,157504979217.18167,0.010392300195147183,157504979217.17126,15155930473479.838,3.1070235815449062e+17,1.3460831744162988e-06,6.998615906727776e-07,1.4865276170894504e-05,5.306241557256897e-12,84565.624351617691,5.962094528828692e-07,2.7938539356721187e-05,5.0335628375220122e-05,-140,-0.03138462081823251,-0.03138462081886888,-0.031384620813562636,-0.005240826726876006,-0.005241090837444664,-0.005239744754270248,-0.005833789167674297,-0.005833970588316132,-0.005833270726725459,-97954.48877808554,-97954.48877971686,-97954.48876485159
-130,-0.027105486361853108,-0.0045339650865993085,-0.005217421432790262,-84598.88911778957,-130,147469453430.08176,0.010330133081817518,147469453430.07144,14275658625313.227,3.2049805125019373e+17,1.014723996268889e-06,3.9859299393041336e-07,2.7133268304169178e-05,8.585757105272762e-12,97698.274701914022,2.8640429072042949e-07,3.6459403683106797e-05,6.0457583563008254e-05,-130,-0.027105486362452646,-0.027105486361853108,-0.027105486370438865,-0.004534595871715004,-0.0045339650865993085,-0.004533581147718735,-0.005217820025784192,-0.005217421432790262,-0.005217516794800758,-84598.88911883072,-84598.88911778957,-84598.88914492284
-120,-0.023366404111626125,-0.00391783648046222,-0.004369641714616738,-72928.84568144417,-120,138079514321.50046,0.010268337854394453,138079514321.4902,13447114448265.621,3.5566555151999853e+17,8.938869688352585e-07,7.850300048871384e-07,1.8004473531618714e-05,6.16300066536013e-12,110123.69652107889,7.55343554665449e-07,2.4276484903026382e-05,3.9318063832484287e-05,-120,-0.023366404112124095,-0.023366404111626125,-0.023366404105961094,-0.003918469596753961,-0.00391783648046222,-0.003917575709785126,-0.004370426744621625,-0.004369641714616738,-0.004369752830825746,-72928.84568197276,-72928.84568144417,-72928.84566396828
-110,-0.020092803587851475,-0.003380289568227298,-0.003081277565100632,-62711.616764001345,-110,129293696222.47606,0.010206912288243126,129293696222.46585,12667268275774.598,1.194911414698857e+18,1.3969936619832868e-07,8.38975423417352e-07,4.317225830163807e-06,1.517150988172844e-12,119578.67483869633,4.2234132237084279e-08,8.3653247240920984e-06,1.7081044535079324e-05,-110,-0.020092803587797768,-0.020092803587851475,-0.020092803586334324,-0.0033804292675934963,-0.003380289568227298,-0.0033802911078097964,-0.0030810652410551143,-0.003081277565100632,-0.0030804385896772146,-62711.616763800186,-62711.616764001345,-62711.61675968412
-100,-0.01721662596809582,-0.002910755347030925,-0.0008956585677719715,-53734.784307132664,-100,121073197459.29843,0.010145854172036527,121073197459.28828,11933268052777.07,4.0295866923033715e+17,3.66576703173839e-07,1.5001569408923388e-07,5.094050720799714e-06,1.6323817297880794e-12,123263.07072671378,3.5251003775900808e-08,7.4245775631216518e-06,1.2945321778561098e-05,-100,-0.017216625967944075,-0.01721662596809582,-0.01721662596646344,-0.0029104469442309674,-0.002910755347030925,-0.0029108135209341413,-0.0008956907113315538,-0.0008956585677719715,-0.0008955406956374645,-53734.78430695139,-53734.784307132664,-53734.78430203861
-90,-0.01467308847562504,-0.002499221713234643,0.0032339863580241653,-45796.15540873601,-90,113381709210.0881,0.010085161307675873,113381709210.07802,11242428926128.594,1.6099142676567306e+18,2.470134301082484e-07,1.2832307814091004e-07,2.3032916942611337e-06,6.724256568224618e-13,119150.69044482549,3.851940034708221e-08,1.6897484161262799e-06,3.9313053070899073e-06,-90,-0.01467308847517849,-0.01467308847562504,-0.014673088475850915,-0.002499204784608541,-0.002499221713234643,-0.002498974699804535,0.003233909036183036,0.0032339863580241653,0.0032338580349460244,-45796.15540732055,-45796.15540873601,-45796.15540962384
-80,-0.01239751135436491,-0.00213866127346591,0.011779444575449183,-38693.85941387285,-80,106185255356.24031,0.010024831510211496,106185255356.23029,10592223445159.937,5.7565235603991917e+17,7.53403477994543e-07,3.047953782697732e-07,1.2064774637110531e-06,5.330215435694896e-13,107635.39148142468,2.4633921977761817e-07,3.0208506874420408e-06,6.0984670581401406e-06,-80,-0.01239751135430427,-0.01239751135436491,-0.012397511354837291,-0.0021381056276211217,-0.00213866127346591,-0.0021388590310991162,0.011779609156349125,0.011779444575449183,0.011779304360970855,-38693.859414321516,-38693.85941387285,-38693.85941507933
-70,-0.010323463445923773,-0.0018189664571318445,0.030588112679066273,-32220.56105912164,-70,99452042622.38562,0.0099648626077641668,99452042622.375656,9980272336609.752,5.0801831895333304e+18,2.3875122199396026e-07,2.2418262801693345e-07,2.5995686883106828e-06,8.152402364292044e-13,91788.370916826651,1.1459088916679008e-07,2.6244072113281158e-06,5.9764955030115262e-06,-70,-0.010323463445562698,-0.010323463445923773,-0.010323463446377938,-0.001818894915725541,-0.0018189664571318445,-0.0018187277059098506,0.03058818119043849,0.030588112679066273,0.030587957007810473,-32220.56105810048,-32220.56105912164,-32220.56106070005
-60,-0.008386130967288423,-0.0015328217595619135,0.07301012720371244,-26173.97681771133,-60,93152320343.896347,0.009905252441446924,93152320343.886444,9404335820267.998,1.340751379297983e+18,1.852341925462006e-07,1.8891685016342308e-07,2.842178218998015e-06,9.729838462702034e-13,75648.43588991063,4.4148055230247338e-08,2.9751422602969258e-06,6.5134312084284749e-06,-60,-0.008386130967848335,-0.008386130967288423,-0.008386130966875351,-0.0015330069937544597,-0.0015328217595619135,-0.0015329068489577935,0.07301003558288954,0.07301012720371244,0.0730102244997397,-26173.976819227824,-26173.97681771133,-26173.976816385646
