voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.09619245096653486,-27857.661625202894,-136184.23249346906,-27857.661625204546,-136184.2324934835,-150,433542989.0448944,12522.845398806083,433530466.19949561,34620.16620329977,21503594512966752.0,1.5446858014911413e-08,1.673470251262188e-08,1.7600541468709707e-08,9.89530235528946e-10,3.2751579226442118e-15,-7.2432407768367519e-08,-231509.43138074558,2.3892045764421117e-08,6.7255768954055384e-08,-150,-0.0961924509665378,-0.09619245096653486,-0.09619245096653814,-27857.661625196786,-27857.661625202894,-27857.661625212233,-136184.2324934858,-136184.23249346906,-136184.23249346952,-27857.661625195215,-27857.661625204546,-27857.661625212815,-136184.2324934837,-136184.2324934835,-136184.23249348448
-140,-0.083125336310228,-23760.572560164717,-117840.90022150036,-23760.572560165776,-117840.90022154292,-140,381737748.32482421,14312.805243240478,381723435.51958096,26671.064255912224,12727835409263258.0,1.5243131201714277e-09,2.7619535103440285e-08,3.8708094507455826e-09,3.0573573894798756e-08,4.107825191113079e-15,-3.0004061690927162e-08,-231810.73173863947,4.0662599739173948e-08,9.0498758709145477e-08,-140,-0.08312533631022845,-0.083125336310228,-0.08312533631023211,-23760.572560163193,-23760.572560164717,-23760.572560163273,-117840.90022152798,-117840.90022150036,-117840.9002215071,-23760.572560161905,-23760.572560165776,-23760.57256016537,-117840.90022151936,-117840.90022154292,-117840.90022154993
-130,-0.07135692880327933,-20202.885094158122,-101254.56370024575,-20202.88509415775,-101254.56370022596,-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188989,66074138184372648.0,2.6557245291769505e-10,1.2863893061876297e-08,9.240466170012951e-10,1.6792910173535347e-08,1.582067810090848e-15,2.3986952247562346e-09,-235376.02771237495,2.492508335289845e-08,4.9399034196540015e-08,-130,-0.07135692880327933,-0.07135692880327933,-0.07135692880327775,-20202.885094157857,-20202.885094158122,-20202.885094157886,-101254.56370023289,-101254.56370024575,-101254.56370024517,-20202.88509415846,-20202.88509415775,-20202.885094157537,-101254.56370023862,-101254.56370022596,-101254.56370022183
-120,-0.060675141148709796,-17172.602234021382,-86100.24874051506,-17172.60223402091,-86100.24874053807,-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,82571541073454400.0,9.378709364682436e-09,2.051820047199726e-08,7.828930392861366e-09,1.2660166248679161e-08,3.247402347028583e-15,-1.6941661723756568e-08,-242276.11281761769,2.7751569617012244e-08,5.73108991375193e-08,-120,-0.060675141148711,-0.060675141148709796,-0.060675141148713044,-17172.602234016573,-17172.602234021382,-17172.60223402595,-86100.24874053558,-86100.24874051506,-86100.24874052126,-17172.60223401754,-17172.60223402091,-17172.60223402537,-86100.2487405254,-86100.24874053807,-86100.2487405375
-110,-0.05095201644383326,-14634.019973664064,-72196.12428882101,-14634.019973664525,-72196.12428880451,-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,36314085959469464.0,5.573383532464504e-09,2.1143932826817036e-08,4.511093720793724e-09,9.211362339556217e-09,2.2898349882893854e-15,3.5925705163332742e-09,-252585.44141256055,1.9371445700408521e-08,4.3133695726282895e-08,-110,-0.05095201644383097,-0.05095201644383326,-0.050952016443833174,-14634.01997366843,-14634.019973664064,-14634.019973662857,-72196.1242888019,-72196.12428882101,-72196.12428882305,-14634.019973667251,-14634.019973664525,-14634.01997366274,-72196.12428881293,-72196.12428880451,-72196.12428880372
-100,-0.042138330897153006,-12526.611404715408,-59495.637645266586,-12526.61140471553,-59495.63764525204,-100,234492411.26088765,24423.715527832945,234467987.54535982,9601.0130397098346,69796822759279528.0,1.465377863496542e-08,2.4199835024774075e-08,1.4726538211107254e-08,6.4828782342374325e-09,3.1363800445660672e-15,2.3840824951995753e-08,-266374.75570697658,2.0099044546234145e-08,5.1394408728810959e-08,-100,-0.04213833089714987,-0.042138330897153006,-0.042138330897151084,-12526.611404722542,-12526.611404715408,-12526.611404707888,-59495.63764524339,-59495.637645266586,-59495.63764526759,-12526.611404722265,-12526.61140471553,-12526.611404707539,-59495.637645258525,-59495.63764525204,-59495.637645252806
-90,-0.034242164405833574,-10770.246238611431,-48051.463032119296,-10770.246238610947,-48051.46303212087,-90,209429907.32486603,27914.732836956453,209401992.59202906,7502.4865381337531,4.1764473269294566e+17,2.3355823941528797e-09,3.8708094507455826e-09,9.74978320300579e-10,1.4842953532934189e-09,1.4085954624931674e-15,3.2169891504042067e-08,-283699.86357151135,8.6742757400952912e-09,2.7809505809273105e-08,-90,-0.034242164405834705,-0.034242164405833574,-0.03424216440583498,-10770.246238609652,-10770.246238611431,-10770.246238611988,-48051.46303212317,-48051.463032119296,-48051.46303212171,-10770.246238611922,-10770.246238610947,-10770.246238611406,-48051.463032120926,-48051.46303212087,-48051.46303212235
-80,-0.027295055002027283,-9276.022650954867,-37957.26801601475,-9276.022650954797,-37957.26801601196,-80,188066307.04156122,31904.740639099407,188034402.30092213,5894.6195228142706,40995070823952760.0,1.6589183360338211e-09,6.548361852765083e-09,1.2623786460608244e-09,8.41100700199604e-09,7.563394355258879e-16,5.8949207766798624e-09,-304586.31910034158,1.0777360133606931e-08,2.7160240279044956e-08,-80,-0.027295055002026992,-0.027295055002027283,-0.027295055002026527,-9276.022650955536,-9276.022650954867,-9276.022650956525,-37957.26801600974,-37957.26801601475,-37957.268016016285,-9276.02265095606,-9276.022650954797,-9276.022650955885,-37957.26801601509,-37957.26801601196,-37957.26801600668
-70,-0.021316165727954216,-7959.199431110428,-29285.328074633533,-7959.199431110319,-29285.328074637542,-70,170024291.33495164,36465.062416810317,169987826.27253482,4662.6628357715572,77919625530540208.0,2.112938091158867e-08,1.9168510334566236e-08,1.979060471057892e-08,3.0231603886932135e-09,4.78089789979208e-15,-2.3936152363303898e-08,-329010.62095045135,2.6911986693194216e-08,6.2447952586808242e-08,-70,-0.02131616572795823,-0.021316165727954216,-0.021316165727958997,-7959.199431100336,-7959.199431110428,-7959.199431121466,-29285.3280746527,-29285.328074633533,-29285.328074636578,-7959.199431101093,-7959.199431110319,-7959.199431120884,-29285.328074640565,-29285.328074637542,-29285.328074638615
-60,-0.01628626138074034,-6749.682489443605,-22040.672770167686,-6749.682489443831,-22040.672770164936,-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.70340466988,57561330832804664.0,5.413312464952469e-09,8.36735125631094e-09,8.032657206058502e-09,9.138602763414383e-09,1.5439038936193583e-15,-4.6094438013688079e-09,-356879.84354489617,1.3504032527438819e-08,5.0258677219972014e-08,-60,-0.016286261380739606,-0.01628626138074034,-0.016286261380738794,-6749.682489442464,-6749.682489443605,-6749.682489447878,-22040.672770159435,-22040.672770167686,-22040.67277015932,-6749.682489440194,-6749.682489443831,-6749.682489448227,-22040.67277017329,-22040.672770164936,-22040.67277016415
