voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.000000016673132277692083367642106339259417815934292762152603209374770244756994178652889,0.000000000043213456594201174637628596972708089502986285813837290125929930673998873035155016,-0.03469246431813211603598744243798334222389023648794979456260776026177350925511134,0.00000041235803509810972349341921851065479402437359513805043972810580658927756139402081,-0.0000000000000018805713226156289601327157928728869611896186859663519457026463867633988123893307,-150,910818957109835.85058141033662569591144266224456469057461752139289934451943122573,0.00015677637784556192819581334266828963686922183658240157077951653139348121854357577,910818957109835.8504246339587801339832468489018964009377482995563169429486517092,5809669604735159924.1315530380392290787321417130659203632267080835713204592710101,1821637914219671.7011628206732513918228853244891293811492350427857986890388624515,1.4187899439089652665637863160037715687908656168138828542754246152599609217703614e-74,1.1452005900249392240730083580005813296167174201919793783033004406721647153978199e-74,5.0629947315798700981980543815065562244276617061841174735679989945866835822258625e-75,1.05799309636057013354354148442277716774708952160734387192414573108881336318186e-85,7.1914390644981734444723393535618156553267848315637875758170565809188401289536559e-81,0.0088930445401505678130585509368555761623061176822755278863129945768336077284188758,-1.1460258852837950589233200090544811795544595500444486624072064397225058601221661e-74,2.1031710947297419857908955597269368474046702051708578079817521782580531484515824e-74,3.9294839083609183717100006511563839470153269971165415060289759272495221547741685e-74,-150,-0.0000000166731322776920833676421063392594178159342927621526032093747702447569941804875,-0.000000016673132277692083367642106339259417815934292762152603209374770244756994178652889,-0.000000016673132277692083367642106339259417815934292762152603209374770244756994173296061,0.000000000043213456594201174637628596972708089502986285813837290125929930685450878648891252,0.000000000043213456594201174637628596972708089502986285813837290125929930673998873035155016,0.000000000043213456594201174637628596972708089502986285813837290125929930688186772474244668,-0.034692464318132116035987442437983342223890236487949794562607760261773509266563346,-0.03469246431813211603598744243798334222389023648794979456260776026177350925511134,-0.03469246431813211603598744243798334222389023648794979456260776026177350925511148,0.0000004123580350981097234934192185106547940243735951380504397281058065892775613939047,0.00000041235803509810972349341921851065479402437359513805043972810580658927756139402081,0.00000041235803509810972349341921851065479402437359513805043972810580658928262438863628,-0.0000000000000018805713226156289601327157928728869611896186859663519457026463867633987154279884,-0.0000000000000018805713226156289601327157928728869611896186859663519457026463867633988123893307,-0.000000000000001880571322615628960132715792872886961189618685966351945702646386763398821227298
-140,-0.000000012882227968656500816153512462738631633578740833774978454157732502771549752869951,0.00000000010365674716534233278324416540689129272676950880600150860494020105761363599988782,-0.026804771288458036153675616187342729656356335457405388075716495287697149968400728,0.0000009056140164125625765846356990079561102722794149633181434952757530253272029078064,-0.0000000000000019340403839600858687463068224490598300917216381604302975279067575609723724903378,-140,749903212202400.60279201184070283899620268850849159202372727288714620339615159115,0.00020332800130639046416906502985606616975523968074836665009791361709745059815661099,749903212202400.60258868383939644853203362347863552585397203320639783674605367754,3688145299143466485.2898934790256414433486907226676624190600000809671277736891565,1499806424404801.2055840236814056779924053770169831840474545457742924067923031823,1.1700029913728808776292869214585781640118397342963852118868954638650705888586426e-74,1.2211554987541076576924170752288626517580833767266560720632576800134018939444821e-75,3.9744012044036958608326566640099792474308190846905742380401101439683802304682649e-75,2.3436289489658482274001736099753563941259561783674682325731995502494461728822182e-86,4.5829424852863126382521962615820872235639458434524255349751236826611413558590419e-81,0.011533687508009031995043756058562685617695192950886022873479548844299857333337186,1.215955824616293131065705616358065349443944098338898413159054388881025311933089e-75,6.505479538431381739730651689332784629825862219352767503645600611224705330909806e-75,1.1346693805214186153487478720186093783428496266094710589353988042889139834660358e-74,-140,-0.000000012882227968656500816153512462738631633578740833774978454157732502771549752675285,-0.000000012882227968656500816153512462738631633578740833774978454157732502771549752869951,-0.000000012882227968656500816153512462738631633578740833774978454157732502771549757258228,0.00000000010365674716534233278324416540689129272676950880600150860494020105639848780271277,0.00000000010365674716534233278324416540689129272676950880600150860494020105761363599988782,0.00000000010365674716534233278324416540689129272676950880600150860494020104591360608615901,-0.026804771288458036153675616187342729656356335457405388075716495287697149967185582,-0.026804771288458036153675616187342729656356335457405388075716495287697149968400728,-0.026804771288458036153675616187342729656356335457405388075716495287697149968406737,0.00000090561401641256257658463569900795611027227941496331814349527575302532720290785025,0.0000009056140164125625765846356990079561102722794149633181434952757530253272029078064,0.00000090561401641256257658463569900795611027227941496331814349527575302532322850664584,-0.0000000000000019340403839600858687463068224490598300917216381604302975279067575609723490540484,-0.0000000000000019340403839600858687463068224490598300917216381604302975279067575609723724903378,-0.0000000000000019340403839600858687463068224490598300917216381604302975279067575609723692677316
-130,-0.0000000099530632479767628472765131880242671393148860027880279678914870335610337932411693,0.00000000024448832596248771122513368752828169212328566836703341907330328246161935299295166,-0.020710322264623035137890564509616910448074459640126967683087179531445108890117858,0.0000019822351289072361861750494098239333471689224659641826973740580697362708369849496,-0.0000000000000020059065135192051169448546118203067200547735376084347851573275628940855027568635,-130,617416692247174.2886333650280643271218399200042991263411198039976614985030248918,0.00026370220235587508984606990514995264751890812691381928195397531000832970404409923,617416692247174.28836966282570845203199385009914917369360089587074767922107091649,2341340674181967831.4578478253293645934002753019317773680774439272615825611686825,1234833384494348.5772667300561286542436798400085982526822396079953229970060497836,3.5416824246571114593661469625789248082231825833257635268904195143732230714170683e-75,1.6851036288790396317573404812753443452934041623722331311680900837193936024359248e-75,6.5890598029404990608401981818910999734048863999502896325496521190907963030589375e-75,1.7205194413436860114227937716957699422473816319587570857820352883952679012538481e-85,3.4895443392173040203169168487949631577462316229396259328622526041684946521338142e-82,0.014958616850874626429309947384060444745780465962238187208271347559377019748387664,1.6861238620330466948358301981713189731989555253383509270483479223678724199774268e-75,3.6516674832843155310630600968088091456258692991795189811797223630901866500003202e-75,6.9651879028458416097831148856928289386890754477108821245394992907893102861376371e-75,-130,-0.0000000099530632479767628472765131880242671393148860027880279678914870335610337929712148,-0.0000000099530632479767628472765131880242671393148860027880279678914870335610337932411693,-0.0000000099530632479767628472765131880242671393148860027880279678914870335610337933201692,0.00000000024448832596248771122513368752828169212328566836703341907330328245993425237685322,0.00000000024448832596248771122513368752828169212328566836703341907330328246161935299295166,0.00000000024448832596248771122513368752828169212328566836703341907330328245807767056829454,-0.020710322264623035137890564509616910448074459640126967683087179531445108888432755,-0.020710322264623035137890564509616910448074459640126967683087179531445108890117858,-0.020710322264623035137890564509616910448074459640126967683087179531445108890117467,0.000001982235128907236186175049409823933347168922465964182697374058069736270836985123,0.0000019822351289072361861750494098239333471689224659641826973740580697362708369849496,0.0000019822351289072361861750494098239333471689224659641826973740580697362774260447525,-0.0000000000000020059065135192051169448546118203067200547735376084347851573275628940856747073597,-0.0000000000000020059065135192051169448546118203067200547735376084347851573275628940855027568635,-0.0000000000000020059065135192051169448546118203067200547735376084347851573275628940855026554155
-120,-0.0000000076896077169560935845638851756236351824868997557738882474169822445838071635965529,0.00000000057275619414752632021782257704875944196455482802031167015082553566411341900299216,-0.016001457324311766055450275831761534288522847205586870013574961158295576385302423,0.0000043226566649575010155514150014947884823331260081377887899024278381778581171258645,-0.0000000000000020898249577061354247030108180072935569988459462322330611132074208849416680921612,-120,508336763650941.76885330784513997257179302682272366813623136091382956499387063858,0.00034200332015536005125556483769028823916042721707529492975395103487208962385210907,508336763650941.76851130452498461252053746198503337989707093369675427006411668754,1486350376423311616.3563969558319721756142946433205572417310350164353065457184363,1016673527301883.5377066156902799451435860536454473362724627218276591299877412772,6.3219570867234469090715801657082892476566972254932896710508709899931044931843145e-75,2.6687321080537432009881030845012822637561582200392700018840655231748664677126963e-75,6.4970909687509129537987319078121528723116843539862680542367756719528040602367293e-75,8.5428044483111037476972623560671168739054700348515421332071177737290005642667299e-86,3.4941270918581278429614877837368522017405439036455440590185141458573283336299388e-81,0.01940075934513845602237502334998227090104471168265697829850485151632845744875709,2.6695780697638122869026986497438677135891695142622462978727607082967587680470446e-75,8.0778852632501791605676832530627807859040147880410905291176206091505270460302059e-75,1.4651336764332457111022385258918850776910201226097359029908765769756697252647438e-74,-120,-0.0000000076896077169560935845638851756236351824868997557738882474169822445838071631691285,-0.0000000076896077169560935845638851756236351824868997557738882474169822445838071635965529,-0.0000000076896077169560935845638851756236351824868997557738882474169822445838071666632556,0.00000000057275619414752632021782257704875944196455482802031167015082553566144533359250322,0.00000000057275619414752632021782257704875944196455482802031167015082553566411341900299216,0.00000000057275619414752632021782257704875944196455482802031167015082553565779146191626871,-0.016001457324311766055450275831761534288522847205586870013574961158295576382634343,-0.016001457324311766055450275831761534288522847205586870013574961158295576385302423,-0.016001457324311766055450275831761534288522847205586870013574961158295576385303075,0.0000043226566649575010155514150014947884823331260081377887899024278381778581171257854,0.0000043226566649575010155514150014947884823331260081377887899024278381778581171258645,0.0000043226566649575010155514150014947884823331260081377887899024278381778516200348957,-0.0000000000000020898249577061354247030108180072935569988459462322330611132074208849415844710493,-0.0000000000000020898249577061354247030108180072935569988459462322330611132074208849416680921612,-0.0000000000000020898249577061354247030108180072935569988459462322330611132074208849416698990938
-110,-0.0000000059402404800806226085996075675047084190181394761054430724451815400985609500403179,0.0000000013382306075036351156584402250421414578665241284794946856462720810381668611235835,-0.012363181855926181831638657332882407800213738415712827902776902956878879797233226,0.0000093900818296691415836973586767731251140303807816683427154234103334337849072613349,-0.0000000000000021823780430036700927354070757867632467811104277461616705612079699841057303291759,-110,418528149007777.19277289064223308400286493947138887780805051396225715175425715154,0.00044355439564907271546785026209941533951100456081183558592627741824797328066843257,418528149007777.19232933624658401128739708920928946246853950940144531616833087412,943577953714845927.97146800225309042601675756806132187721151444068274335432748727,837056298015554.38554578128446616800572987894277775561610102792451430350851430308,1.6261377431607454097103090795644708079088735703843748295372607875199894193438454e-74,3.4883879981399163816812047169875262416056077175184214639026115983770246863355951e-75,8.6035973169819090154414736345641155356038072978124444225284060464634875888925407e-75,2.5227699990776187797814705630166456590524046267245586397506138345795521703013866e-85,4.3918824448542662506563427209172169622911563294283589376904958896766016316943221e-81,0.025162230936894344663632049812796024676869201083418082342168507390013140471595551,-3.4864708877887128613749530373680226631344908460569265767922314154878363969875318e-75,1.0966168545196422350890527939486618785594338213705786261006150044913019194253093e-74,2.0275875829884693841715311473292726837771333788580149282028380639621734519095539e-74,-110,-0.0000000059402404800806226085996075675047084190181394761054430724451815400985609505985533,-0.0000000059402404800806226085996075675047084190181394761054430724451815400985609500403179,-0.0000000059402404800806226085996075675047084190181394761054430724451815400985609462066709,0.0000000013382306075036351156584402250421414578665241284794946856462720810416515236044398,0.0000000013382306075036351156584402250421414578665241284794946856462720810381668611235835,0.0000000013382306075036351156584402250421414578665241284794946856462720810544282385551909,-0.012363181855926181831638657332882407800213738415712827902776902956878879800717873,-0.012363181855926181831638657332882407800213738415712827902776902956878879797233226,-0.012363181855926181831638657332882407800213738415712827902776902956878879797229485,0.0000093900818296691415836973586767731251140303807816683427154234103334337849072613406,0.0000093900818296691415836973586767731251140303807816683427154234103334337849072613349,0.0000093900818296691415836973586767731251140303807816683427154234103334337763036640237,-0.000000000000002182378043003670092735407075786763246781110427746161670561207969984105478052176,-0.0000000000000021823780430036700927354070757867632467811104277461616705612079699841057303291759,-0.0000000000000021823780430036700927354070757867632467811104277461616705612079699841057238328131
-100,-0.0000000045874852888910729173403529732022643122926902045651003338078613788937390247282305,0.0000000031240574407517929176550617552327002454641781470311269908603702021590930380804029,-0.0095521052261764160691838304957556150106870614338586490998127501295066204050350827,0.000020321359937825896357062155060756461718046024838186592803176524573484376231210352,-0.0000000000000022817071389912856654748239537212636759799751548134854876819846588655918769083323,-100,344586156562107.76479322316471147899938596500827476035980097843601526765541806114,0.00057525904079013604303591484038520055726849326763842809155169891926194923584503067,344586156562107.76421796412392134295635005016788955980253248516837683956386636222,599010414662597994.13915414886996046572224034469559278573915966522683582168187601,689172313124215.52958644632942295799877193001654952071960195687203053531083612228,2.3688926789100085874189869759128402012993578076844316909976313374944258117360684e-74,1.7474709259953213949010433464250717204455176034272173628676961428493341227003173e-75,1.8741295505927391345503628500903782695984636140047112575252725988620613486630326e-75,1.800891119557540390550077750142805247074171860329398074062041570541855188484152e-85,7.3312928693939691818327749038777425219184077707597305346298798808415879331646883e-81,0.032634890772545053925142911797907903392553002019352056970806276249694972156145769,-1.7483467445372069498882388027811145192088282124169657920498632438007032295571319e-75,3.2336524823558388439892971356253421759200255268868905344145042858929721230401385e-75,6.1665313834787242726210165455987982841834651319863184775721829289370815469461472e-75,-100,-0.0000000045874852888910729173403529732022643122926902045651003338078613788937390250081706,-0.0000000045874852888910729173403529732022643122926902045651003338078613788937390247282305,-0.0000000045874852888910729173403529732022643122926902045651003338078613788937390320595234,0.0000000031240574407517929176550617552327002454641781470311269908603702021608405237654993,0.0000000031240574407517929176550617552327002454641781470311269908603702021590930380804029,0.0000000031240574407517929176550617552327002454641781470311269908603702021371515969763992,-0.0095521052261764160691838304957556150106870614338586490998127501295066204067825536,-0.0095521052261764160691838304957556150106870614338586490998127501295066204050350827,-0.0095521052261764160691838304957556150106870614338586490998127501295066204050372042,0.000020321359937825896357062155060756461718046024838186592803176524573484376231210387,0.000020321359937825896357062155060756461718046024838186592803176524573484376231210352,0.000020321359937825896357062155060756461718046024838186592803176524573484374357080836,-0.0000000000000022817071389912856654748239537212636759799751548134854876819846588655920562127832,-0.0000000000000022817071389912856654748239537212636759799751548134854876819846588655918769083323,-0.0000000000000022817071389912856654748239537212636759799751548134854876819846588655918761236712
-90,-0.0000000035398844563649645906745516966879589041942129653218619863612186999750792816219957,0.0000000072926905539294727039404229877505497651817863862270439157256831870465930627403315,-0.0073801656282215694240889832633786116636083825322126021480681556691952324676092309,0.000043825268296085582255762228509071414043896865715461104708108914006214415129869264,-0.0000000000000023866987812368505703603183079851588599901541680224346756317276835091293048809414,-90,283707606559222.39911740344970240551601221740349057626197152983346483598694029713,0.00074607075762721973311349919403352658882376782473475490074781364157111645475341115,283707606559222.39837133269207518578289871820945704967314776200873008108619248348,380269034349392355.12946062177759444622336506152702444975623905832926357134878485,567415213118444.79823480689940481103202443480698115252394305966692967197388059425,2.1134002042975261802374701485206701121740541162043772221651818198451676074991614e-74,1.2531670936526860060736160073070250898753748286634456926092198089944032762468976e-74,1.1573589386475595255780478487805511919912718101249250963722548543732255758022035e-75,3.7728164469900798320815053723847653175917544580964940074452649938518989858722507e-85,2.5706838273042567155777175387321916569074222081461630606181818967415677261570681e-81,0.042327002536158881669532489529676821232931238179563196821916543670907706203896883,1.2536696360068055153501602886426049630919266031384657160274016923027507949493859e-74,1.7789135418143509604156847395315251142515138920089990480166794487550640986348396e-74,3.085184989977552234169685719782523319758172067976372519219669354898481201318258e-74,-90,-0.0000000035398844563649645906745516966879589041942129653218619863612186999750792796145162,-0.0000000035398844563649645906745516966879589041942129653218619863612186999750792816219957,-0.0000000035398844563649645906745516966879589041942129653218619863612186999750792790513119,0.0000000072926905539294727039404229877505497651817863862270439157256831870340619696928119,0.0000000072926905539294727039404229877505497651817863862270439157256831870465930627403315,0.0000000072926905539294727039404229877505497651817863862270439157256831870551959717357871,-0.0073801656282215694240889832633786116636083825322126021480681556691952324550781411,-0.0073801656282215694240889832633786116636083825322126021480681556691952324676092309,-0.0073801656282215694240889832633786116636083825322126021480681556691952324676098121,0.000043825268296085582255762228509071414043896865715461104708108914006214415129869316,0.000043825268296085582255762228509071414043896865715461104708108914006214415129869264,0.000043825268296085582255762228509071414043896865715461104708108914006214413972510378,-0.0000000000000023866987812368505703603183079851588599901541680224346756317276835091289275992967,-0.0000000000000023866987812368505703603183079851588599901541680224346756317276835091293048809414,-0.0000000000000023866987812368505703603183079851588599901541680224346756317276835091293010045821
-80,-0.0000000027253069167675160682350899645495884771274926719336226968665302769531014376232637,0.000000017030167804464336305898695003688084641471046721831385620271572220600197674419186,-0.0057020536637803071668967083504402085295744810914816259804670814595137263967588971,0.000094223580401590897632642943255584201523474256837345408890019403142449009294520045,-0.000000000000002496388269214902123065780648389245114985186017953835112986597958029555279809713,-80,233584561234021.82901592860137284866944312155370491928874922760898380447370438325,0.00096760161234826833759215826328613169950736892224781584867569778689846293437938005,233584561234021.82804832698902458033185096329041878758924185868673598862502868546,241405717242591635.10633816179973191204767739594289032401884063209158378566578778,467169122468043.6580318572027456973388862431074098385774984552179676089474087665,9.5628782090914816000182351613284805646487962796535375102432272295020407703007474e-75,4.1327825900385657823353188903051241791677615815603373697081571882047970069117849e-75,8.905010130254291597916472067257016333162378186863685121790444635107758290549565e-76,3.3781723528527910845628104769033270384809811912674217218559642768469024355983886e-85,1.5978200237075986888258522390953754491198379727919335335238132628677295363908098e-81,0.054897818229957700260017813457520000099840940948822361042629531444111254187457846,-4.1345055361076072096441681129876858996157496124754979740925306153254827124650002e-75,4.6852748228882363499731368948519544102784454774525637259048072973529527456770418e-75,7.7385175026150669557496157224213156490581027460630118281799302322538380123748634e-75,-80,-0.0000000027253069167675160682350899645495884771274926719336226968665302769531014382853278,-0.0000000027253069167675160682350899645495884771274926719336226968665302769531014376232637,-0.0000000027253069167675160682350899645495884771274926719336226968665302769531014392210837,0.000000017030167804464336305898695003688084641471046721831385620271572220604330480831364,0.000000017030167804464336305898695003688084641471046721831385620271572220600197674419186,0.000000017030167804464336305898695003688084641471046721831385620271572220594767602622273,-0.0057020536637803071668967083504402085295744810914816259804670814595137264008916797,-0.0057020536637803071668967083504402085295744810914816259804670814595137263967588971,-0.0057020536637803071668967083504402085295744810914816259804670814595137263967603188,0.000094223580401590897632642943255584201523474256837345408890019403142449009294520012,0.000094223580401590897632642943255584201523474256837345408890019403142449009294520045,0.000094223580401590897632642943255584201523474256837345408890019403142449010185021025,-0.0000000000000024963882692149021230657806483892451149851860179538351129865979580295549419924777,-0.000000000000002496388269214902123065780648389245114985186017953835112986597958029555279809713,-0.0000000000000024963882692149021230657806483892451149851860179538351129865979580295552771146886
-70,-0.0000000020848997903340864347712802221639931327545992328820594823971416560956228796892792,0.000000039795414859441657460983734413885178350659905934996388285450996963164254017492534,-0.0044054942229928986675080878181123231927410411765242632974873819269766170805202618,0.00020204733324728916889814394818376970057077400912142367063374188009784921093590298,-0.0000000000000026092817983942788750108040425699324060472608538720662363919772922744165408617376,-70,192316829687043.68420951529433818909444224753921327508753853177448898870147186404,0.0012549116429607801933697445035214835955999483503543781654546935518195979408475036,192316829687043.68295460365137740890107250303569179149193858342413461053601717049,153251291248920359.42177876279073103407630902621262490011028355308027374461039274,384633659374087.36841903058867637818888449507842655017507706354897797740294372809,1.8750975626061639840730836427135684316853685537776131846645846916710558440843463e-74,9.7310281024479513142599133007565500398718985653583889078918068507303275968484673e-75,1.6889718557447050282996080906428196378479419516027361832086393300358277709014053e-75,1.7135485286229632397173977755196894308343568259310078673995768886488622117921432e-85,3.1607370369499931889209173057560789726174865216382712205674663541475029293687577e-81,0.071202439207614666897119897733310637415144790139676253350732682842445960824601647,-9.734876456088621562786812800253302010399955960495195593704896898236898178710367e-75,1.4851212877125239487907632811051577121436149345132230064859269008324786453663117e-74,2.75836043956641274334126207406574103165818422072553415379828631019463225005938e-74,-70,-0.0000000020848997903340864347712802221639931327545992328820594823971416560956228812481894,-0.0000000020848997903340864347712802221639931327545992328820594823971416560956228796892792,-0.0000000020848997903340864347712802221639931327545992328820594823971416560956228828500162,0.000000039795414859441657460983734413885178350659905934996388285450996963173985047197691,0.000000039795414859441657460983734413885178350659905934996388285450996963164254017492534,0.000000039795414859441657460983734413885178350659905934996388285450996963155234071571629,-0.0044054942229928986675080878181123231927410411765242632974873819269766170902512899,-0.0044054942229928986675080878181123231927410411765242632974873819269766170805202618,-0.0044054942229928986675080878181123231927410411765242632974873819269766170805206219,0.000202047333247289168898143948183769700570774009121423670633741880097849210935903,0.00020204733324728916889814394818376970057077400912142367063374188009784921093590298,0.00020204733324728916889814394818376970057077400912142367063374188009784920924693114,-0.0000000000000026092817983942788750108040425699324060472608538720662363919772922744163706291337,-0.0000000000000026092817983942788750108040425699324060472608538720662363919772922744165408617376,-0.0000000000000026092817983942788750108040425699324060472608538720662363919772922744165419839866
-60,-0.0000000015665498811856507669103989458449549324645380855154864503112661806713435859359458,0.000000093076716608765273224654951112858401603878256626710760788596886814934432230079046,-0.0034037371473465634791867854365710122248888427988921491493567660512602447215839516,0.00043231192290872900046579595566775417013221773852193800954948783189298454728371597,-0.0000000000000027221665338698167667008688460757517316621118520771851046178328146767346573056965,-60,158339930663128.97502791459439370770985035033199491786355769126212635554099224635,0.0016275326658630107461328427559638463146091739992578502787249448389385303836219745,158339930663128.97340038192853069696371750757603107154894851726286850526226730151,97288327284766418.563938391708699716599761882493654875214172724082696057234926876,316679861326257.95005582918878741541970070066398983572711538252425271108198449269,7.3615229238260370361932103833618272324053660892807166833053250227497201823635737e-75,9.6915695285722066396088811044489349795244892558853605615238972745420983295355666e-76,1.0672237416766627137241126463654851958129730840799824161340855152962647748217318e-75,7.0486952838216948472247454852078542105307759886614879346268649192093906404714959e-86,1.877469338996108446103450638054418111277078649094651622685764076089768371375396e-81,0.092350009477739830245883946812095191274180545422447800042810181802833784543622621,-9.6940259955384369814722286817770843971392051407248053900743344418023664616753997e-76,1.542481265172383532349770119092836920170501960397462748761994768402899681465886e-74,2.4278806818287494411466826761329444996798543912114727981200198153572200676239088e-74,-60,-0.0000000015665498811856507669103989458449549324645380855154864503112661806713435860912131,-0.0000000015665498811856507669103989458449549324645380855154864503112661806713435859359458,-0.0000000015665498811856507669103989458449549324645380855154864503112661806713435878134152,0.000000093076716608765273224654951112858401603878256626710760788596886814935401360977577,0.000000093076716608765273224654951112858401603878256626710760788596886814934432230079046,0.000000093076716608765273224654951112858401603878256626710760788596886814928039838053751,-0.0034037371473465634791867854365710122248888427988921491493567660512602447225531086,-0.0034037371473465634791867854365710122248888427988921491493567660512602447215839516,-0.0034037371473465634791867854365710122248888427988921491493567660512602447215846095,0.000432311922908729000465795955667754170132217738521938009549487831892984547283716,0.00043231192290872900046579595566775417013221773852193800954948783189298454728371597,0.00043231192290872900046579595566775417013221773852193800954948783189298454835093971,-0.0000000000000027221665338698167667008688460757517316621118520771851046178328146767345868187437,-0.0000000000000027221665338698167667008688460757517316621118520771851046178328146767346573056965,-0.0000000000000027221665338698167667008688460757517316621118520771851046178328146767346557502705
