voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.6672427652461786e-08,1.538332639324444e-11,-0.03469099797213233,4.117853439458178e-07,1.2774732763180129e-14,-150,910818957109835.87,0.00015677637784556193,910818957109835.87,5.8096696047351603e+18,8.4028158031640847e+21,3.7584745074691093e-07,3.554086886389807e-07,6.964885198466016e-07,3.0649932362347977e-09,1.3094066361694608e-13,-2.2503248632024797e-05,-0.0088922446815559979,8.4863514795366204e-07,1.5375409965379834e-06,-150,-1.6672477415139098e-08,-1.6672427652461786e-08,-1.667234647447548e-08,3.758628340733042e-07,1.538332639324444e-11,1.30385160446167e-08,-0.034691353380820966,-0.03469099797213233,-0.03469106879194328,4.2181804720253845e-07,4.117853439458178e-07,1.1082738637924194e-06,-3.0649804615020345e-09,1.2774732763180129e-14,-1.6731618611071073e-09
-140,-1.2882255343963972e-08,1.0478150835474813e-10,-0.02680482760710693,9.036856806353326e-07,-2.001854497418269e-14,-140,749903212202400.62,0.00020332800130639048,749903212202400.62,3.6881452991434665e+18,1.4476914442609143e+22,8.373693636023465e-08,5.2562804775391214e-08,6.276411754785411e-07,1.4969151071693496e-08,1.03776601881158e-13,-1.9251671067850237e-05,-0.011531806327124219,6.5077692308514292e-07,1.3799923843081934e-06,-140,-1.2882235850127148e-08,-1.2882255343963972e-08,-1.288233962672903e-08,-2.4132291584844024e-08,1.0478150835474813e-10,5.960464477539063e-08,-0.026804785937648568,-0.02680482760710693,-0.026804838500453343,9.3684027025088e-07,9.036856806353326e-07,3.0919909477233887e-07,5.9977580584364465e-09,-2.001854497418269e-14,-8.97139301325705e-09
-130,-9.953208719817739e-09,2.509464303452991e-10,-0.020710625220652052,1.983026342294773e-06,1.362665161569205e-14,-130,617416692247174.25,0.0002637022023558751,617416692247174.25,2.3413406741819674e+18,1.3840010812737669e+21,2.1879086498143204e-07,2.7251772451511447e-07,7.122888108542783e-08,8.337967271980098e-09,4.682894697049858e-14,-5.2984923439424597e-06,-0.014956925660274765,3.4672416863878688e-07,8.790378078121012e-07,-130,-9.953161890870768e-09,-9.953208719817739e-09,-9.953166010468364e-09,-2.1853991855108675e-07,2.509464303452991e-10,-1.30385160446167e-08,-0.020710352702927537,-0.020710625220652052,-0.020710519371917258,1.911797461209345e-06,1.983026342294773e-06,1.97533518075943e-06,-8.213505545050438e-09,1.362665161569205e-14,-8.337953645328482e-09
-120,-7.689416827525369e-09,5.637635334424176e-10,-0.01600105922076553,4.319933494144138e-06,-3.2820656416702837e-15,-120,508336763650941.75,0.00034200332015536008,508336763650941.75,1.4863503764233114e+18,6.2405337299328224e+21,4.943748197536067e-07,5.335155075780751e-07,1.3238813080256614e-06,2.1988636853683e-09,2.7211456555941953e-13,-9.4053717044143004e-06,-0.019401395562783853,1.7207864021046341e-06,3.0259092968125892e-06,-120,-7.689508142780287e-09,-7.689416827525369e-09,-7.689236028214728e-09,4.83198948858221e-07,5.637635334424176e-10,-1.1175870895385742e-08,-0.016001592736273107,-0.01600105922076553,-0.01600111568464513,4.383229525464494e-06,4.319933494144138e-06,5.6438148021698e-06,9.861403673745817e-10,-3.2820656416702837e-15,-1.212723317993718e-09
-110,-5.940110957875367e-09,1.331765949193177e-09,-0.012362911972384136,9.388947296274825e-06,-6.945300951796487e-15,-110,418528149007777.19,0.00044355439564907272,418528149007777.19,9.4357795371484595e+17,3.5052912739309878e+21,5.492335525645042e-07,6.010003793660568e-07,5.473332522977157e-07,6.27193191701705e-09,1.30947568940552e-13,1.1586963729902366e-05,-0.025160714286890554,8.0446767683459717e-07,1.5159148796047439e-06,-110,-5.940220004635594e-09,-5.940110957875367e-09,-5.940089057066654e-09,5.505653185136974e-07,1.331765949193177e-09,1.862645149230957e-09,-0.012363512972763502,-0.012362911972384136,-0.012363051471893982,9.400246078229049e-06,9.388947296274825e-06,9.93628054857254e-06,6.271924971716098e-09,-6.945300951796487e-15,3.40633647674397e-09
-100,-4.587469677859279e-09,3.123230144946931e-09,-0.00955207279954577,2.0321528841910324e-05,-3.1046523469164875e-15,-100,344586156562107.75,0.00057525904079013608,344586156562107.75,5.9901041466259789e+17,3.8624342175889133e+22,1.1077629885715786e-07,1.1472489665383112e-07,2.648020990953434e-07,2.041682919531933e-09,2.508192349689896e-14,-1.8684476565056229e-05,-0.03263323992423707,2.9015375736670778e-07,5.4835684098550319e-07,-100,-4.587489501187834e-09,-4.587469677859279e-09,-4.5874644192643375e-09,1.1389952900210479e-07,3.123230144946931e-09,3.725290298461914e-09,-0.009552187524442424,-0.00955207279954577,-0.009552148792423054,2.0316961138619424e-05,2.0321528841910324e-05,2.0581763237714767e-05,1.7243311356366447e-09,-3.1046523469164875e-15,-3.1735178389528823e-10
-90,-3.5398705635280073e-09,7.291872454781131e-09,-0.007380136777232292,4.3825438794465736e-05,-3.044665896132919e-15,-90,283707606559222.37,0.00074607075762721979,283707606559222.37,3.8026903434939232e+17,1.3103539705715153e+21,1.6545391601968598e-07,4.034323207403531e-07,9.404867698457729e-07,2.1926585741925974e-09,3.206090785318436e-14,-7.5979654315175282e-06,-0.042325302475041585,1.1208832151081023e-06,2.0095140456041636e-06,-90,-3.539891863103986e-09,-3.5398705635280073e-09,-3.5399026244358605e-09,1.7274578847446712e-07,7.291872454781131e-09,4.284083843231201e-08,-0.007380292380215536,-0.007380136777232292,-0.007380540209553033,4.382399844033451e-05,4.3825438794465736e-05,4.476448521018028e-05,2.1926555295267012e-09,-3.044665896132919e-15,1.1048758683018177e-11
-80,-2.7253078592206035e-09,1.703023359528623e-08,-0.005702055629054429,9.422359311466961e-05,-2.6800961624435596e-15,-80,233584561234021.84,0.00096760161234826845,233584561234021.84,2.4140571724259162e+17,8.0655489620084326e+20,2.4242421559592692e-08,8.64032816849658e-07,9.974516954069663e-08,8.663982299560286e-10,3.978819001738519e-13,-3.7159065031378002e-06,-0.054895210618204265,1.1422877594320798e-06,1.8369969067579612e-06,-80,-2.7253142172863055e-09,-2.7253078592206035e-09,-2.7257057411207773e-09,-1.8906797688212076e-09,1.703023359528623e-08,2.2351741790771484e-08,-0.005702055141636464,-0.005702055629054429,-0.005702919174453314,9.421855159077997e-05,9.422359311466961e-05,9.431829676032066e-05,8.663955498598661e-10,-2.6800961624435596e-15,8.161123981131695e-10
-70,-2.0848979922263922e-09,3.9795247724789095e-08,-0.004405490329685147,0.00020204687780304043,-3.523169785100652e-15,-70,192316829687043.69,0.0012549116429607802,192316829687043.69,1.5325129124892035e+17,4.2733457202169617e+21,1.5205720264599949e-07,9.688280719899467e-07,1.4465012984187908e-07,1.0518193261552141e-08,5.136946161286909e-13,-1.5958019186454453e-05,-0.071200565924738932,1.4203572284655827e-06,2.4127202141458464e-06,-70,-2.084922922245904e-09,-2.0848979922263922e-09,-2.0844092276297755e-09,1.0270638006766729e-07,3.9795247724789095e-08,1.9185245037078857e-07,-0.0044055904753683706,-0.004405490329685147,-0.004404621647296381,0.00020204868478103252,0.00020204687780304043,0.0002021915279328823,8.594850311017585e-09,-3.523169785100652e-15,-1.9233429505345566e-09
-60,-1.5665509195720818e-09,9.307699649813837e-08,-0.0034037394310616038,0.0004323122916812629,-2.782089221972131e-15,-60,158339930663128.97,0.0016275326658630109,158339930663128.97,97288327284766400.0,2.960011237157449e+21,1.1729138343814082e-07,2.345760599098412e-07,1.3857018897237656e-07,4.746413875180796e-09,1.6983061112421915e-13,-9.0245512177344889e-06,-0.092347635290559754,5.2343505558399453e-07,1.0411554173752994e-06,-60,-1.5665666796420816e-09,-1.5665509195720818e-09,-1.566720750183206e-09,3.111477461703896e-08,9.307699649813837e-08,-2.421438694000244e-08,-0.003403733198343417,-0.0034037394310616038,-0.003403967774403327,0.0004323115808703381,0.0004323122916812629,0.0004321737214922905,3.779814448165508e-09,-2.782089221972131e-15,-9.66599427015288e-10
