"{'distance': [0.167, 0.333, 0.5, 0.667, 0.833], 'solute_5': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_4': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_3': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_5e': '1.0 mM', 'solute_5i': '1.0 mM', 'solute_4i': '1.0 mM', 'solute_3i': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM', 'solute_3e': '1.0 mM', 'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_4e': '1.0 mM'}"
voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1
-150,-0.11287301450264382896635192644750848426619641150288311239475750945978495866984924,-110053.17356348641009032987886254739317620761064299611364307799873817586388835952,-22128.289867105796791643701467737653660952530725936428888121901638321415856548194,-110053.17356348641009032987886254739317620761064299611364307799873817586388835952,-22128.289867105796791643701467737653660952530725936428888121901638321415856548194,-110053.17356348641009032987886254739317620761064299611364307799873817586388835952
-140,-0.097304560509355783670283955584246209547356438331042367372184602682228091151779407,-94980.869651090916972288155729425009376437838938852230316867266875466819445320607,-18754.521225740322079334025574843299019833029359697562111885780503168976517716205,-94980.869651090916972288155729425009376437838938852230316867266875466819445320608,-18754.521225740322079334025574843299019833029359697562111885780503168976517716205,-94980.869651090916972288155729425009376437838938852230316867266875466819445320608
-130,-0.083351064528620453134528610542056126667630744056647786565188199754766274871408491,-81429.241629358227784634819825756091203118935155206319287834889996395920522543408,-15859.168147569690388379063739303794873435329101037760229420755870998693945990919,-81429.241629358227784634819825756091203118935155206319287834889996395920522543409,-15859.168147569690388379063739303794873435329101037760229420755870998693945990919,-81429.241629358227784634819825756091203118935155206319287834889996395920522543409
-120,-0.070764689479525975740559276971813707738561814604966537835405270596913884714760786,-69143.832408666681312179370934508847232608662764749245825223615416645951217021706,-13432.077928575422096397411490511829917375032321787040509979314475098656134211586,-69143.832408666681312179370934508847232608662764749245825223615416645951217021708,-13432.077928575422096397411490511829917375032321787040509979314475098656134211586,-69143.832408666681312179370934508847232608662764749245825223615416645951217021708
-110,-0.059387824867775523589006681172809233860008238001384710076987491913344044300613873,-57972.259733323972278207794155918401746544265921157923896938402737512298848187234,-11438.479438528478266568605736185972690837561119004948667185111686201516291251625,-57972.259733323972278207794155918401746544265921157923896938402737512298848187234,-11438.479438528478266568605736185972690837561119004948667185111686201516291251625,-57972.259733323972278207794155918401746544265921157923896938402737512298848187234
-100,-0.049143431703339448915313324503556852119532675538732996070744140760673707045754417,-47854.049711057797386622995821542986345293886729380456323723144178502113752839644,-9819.3480682606009705453811149134780708819007508907045281143574094583009336241267,-47854.049711057797386622995821542986345293886729380456323723144178502113752839644,-9819.3480682606009705453811149134780708819007508907045281143574094583009336241267,-47854.049711057797386622995821542986345293886729380456323723144178502113752839644
-90,-0.040011257728971596338263475102118900129218105587854437942931126304011779479483751,-38793.786939655736774546038866426987979123983592931741119301000831175161449358648,-8497.7207321301628361678401811749221596439187024244616223956525061093444801034632,-38793.786939655736774546038866426987979123983592931741119301000831175161449358646,-8497.7207321301628361678401811749221596439187024244616223956525061093444801034632,-38793.786939655736774546038866426987979123983592931741119301000831175161449358646
-80,-0.031994876463967642487565468264905590143688091098812346429751859050621080949714327,-30823.221237811150615848397954873337267734169252639263294037331003159496871961976,-7389.5012802233649582040128357990879013861972583254199245454767877700574984391686,-30823.221237811150615848397954873337267734169252639263294037331003159496871961976,-7389.5012802233649582040128357990879013861972583254199245454767877700574984391686,-30823.221237811150615848397954873337267734169252639263294037331003159496871961976
-70,-0.025088880779864789018339789069092299413139537075633247114331499980951526113370247,-23963.1734859398425311059775982057583978931946236036831462933676302737192260245,-6415.3508900730762965467003438156906593459557777539774231543914959128816077833687,-23963.173485939842531105977598205758397893194623603683146293367630273719226024501,-6415.3508900730762965467003438156906593459557777539774231543914959128816077833687,-23963.173485939842531105977598205758397893194623603683146293367630273719226024501
-60,-0.019255258955924078216680650175901599294260976784125938335119569398267774065863509,-18195.853761631399272722210781164008958444493151598243017461223926525144619407709,-5510.0009995130406020165943172471605006902317486752147532637327666666185915372292,-18195.853761631399272722210781164008958444493151598243017461223926525144619407709,-5510.0009995130406020165943172471605006902317486752147532637327666666185915372292,-18195.853761631399272722210781164008958444493151598243017461223926525144619407709
-50,-0.014413373041802816075187520921214651670360037081081619449759504488998067711301317,-13452.908578758104787834070081089825825605734689183020258669756466738082081976669,-4626.8330708505820273478738429434997720990139755568224526494169075609527280247929,-13452.908578758104787834070081089825825605734689183020258669756466738082081976669,-4626.8330708505820273478738429434997720990139755568224526494169075609527280247929,-13452.908578758104787834070081089825825605734689183020258669756466738082081976669
-40,-0.010442246845050235873604682525805639724810065124418362249059318750468925825256294,-9617.8499060745965009188465191501535468238637788078333633899063537279102651795519,-3737.7325696982966437723269431175799191765291416493907042514596502826648471348504,-9617.8499060745965009188465191501535468238637788078333633899063537279102651795521,-3737.7325696982966437723269431175799191765291416493907042514596502826648471348504,-9617.8499060745965009188465191501535468238637788078333633899063537279102651795521
-30,-0.0071902324016181401385098306587617119377087247861243891961104316627765849170737404,-6537.2156054578967476663999305792215550688136353643117967904869083125175970813398,-2829.7776580899193134885501116783392779644534114598667190109368234312992057774302,-6537.2156054578967476663999305792215550688136353643117967904869083125175970813397,-2829.7776580899193134885501116783392779644534114598667190109368234312992057774302,-6537.2156054578967476663999305792215550688136353643117967904869083125175970813397
-20,-0.0044865831765802780071801610565140778116276422061641964875245767144874221203275221,-4034.1096454457733939832600210099070231285398239946320635824811142975127416626874,-1900.7396547372061411733228258241868344905709458408298980671288243830072244666479,-4034.1096454457733939832600210099070231285398239946320635824811142975127416626875,-1900.7396547372061411733228258241868344905709458408298980671288243830072244666479,-4034.1096454457733939832600210099070231285398239946320635824811142975127416626875
-10,-0.0021510676475017202162754618440653548548650691285806341953211603898470682742527216,-1919.5939570594086034371282629837524305556829353304654454680889444903330693926868,-954.9124094139100354713086900615756056700650370636672058961692493593689232610256,-1919.5939570594086034371282629837524305556829353304654454680889444903330693926868,-954.9124094139100354713086900615756056700650370636672058961692493593689232610256,-1919.5939570594086034371282629837524305556829353304654454680889444903330693926868
0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0021510676475017203270635789605746927599756251068228055917045282325522473432063715,1919.5939570594087097343235884484300177736305895261109114768012344133059819293266,954.91240941391006236036290252317175867674729429510426977843115161103904397598861,1919.5939570594087097343235884484300177736305895261109114768012344133059819293266,954.91240941391006236036290252317175867674729429510426977843115161103904397598861,1919.5939570594087097343235884484300177736305895261109114768012344133059819293266
20,0.0044865831765802784708847045581835339148657647952321881170488334292649898133092492,4034.1096454457738406941685029821284518234279293396579800136391816953684459992336,1900.7396547372062483082113052180079994389151590981146034170626698665467707944265,4034.1096454457738406941685029821284518234279293396579800136391816953684459992336,1900.7396547372062483082113052180079994389151590981146034170626698665467707944265,4034.1096454457738406941685029821284518234279293396579800136391816953684459992336
30,0.0071902324016181412492728375764028464717982479248657257413744593282963211783412956,6537.2156054578978230519003285382546400660434180536342823783711294059130593506428,2829.7776580899195541329444160571409942650868899815177634543746267402119002896272,6537.2156054578978230519003285382546400660434180536342823783711294059130593506428,2829.7776580899195541329444160571409942650868899815177634543746267402119002896272,6537.2156054578978230519003285382546400660434180536342823783711294059130593506428
40,0.01044224684505023805533815116518649081096075591290019508971863766288450149474281,9617.8499060745986297640068902414080059238991936729476017901075513744576686059791,3737.7325696982970666421786618692889179406414200228820829305147861843426461634065,9617.8499060745986297640068902414080059238991936729476017901075513744576686059791,3737.7325696982970666421786618692889179406414200228820829305147861843426461634065,9617.8499060745986297640068902414080059238991936729476017901075513744576686059791
50,0.01441337304180281952223991218331033281340799380151016164381238432833848054406547,13452.908578758108000541739582239645133301162072298291378350511402611832896715058,4626.833070850583147815349927808197137522436414161199447872284555820445384539624,13452.908578758108000541739582239645133301162072298291378350511402611832896715057,4626.833070850583147815349927808197137522436414161199447872284555820445384539624,13452.908578758108000541739582239645133301162072298291378350511402611832896715057
60,0.019255258955924084216254889098857043106370717565028395551034109753681193218189528,18195.853761631405191083740437574098929337631396242872197988017171452136167343977,5510.0009995130415721949233347701584594264471146566085726904079710905680156490639,18195.853761631405191083740437574098929337631396242872197988017171452136167343977,5510.0009995130415721949233347701584594264471146566085726904079710905680156490639,18195.853761631405191083740437574098929337631396242872197988017171452136167343977
70,0.025088880779864797229503999593477830333626005295604679693299187430721429925087756,23963.173485939850562368988816325497075612903175049753015674803092507846440472644,6415.3508900730778306110079016473170308166583702555879248795405578678367546303219,23963.173485939850562368988816325497075612903175049753015674803092507846440472645,6415.3508900730778306110079016473170308166583702555879248795405578678367546303219,23963.173485939850562368988816325497075612903175049753015674803092507846440472645
80,0.031994876463967656123990704981376463964629060664710449501946198066275362497910936,30823.221237811164237009028605299724577005132559103120773974596112028460430095438,7389.5012802233666553502005239442798919233532328229377981204465280022012323309703,30823.221237811164237009028605299724577005132559103120773974596112028460430095438,7389.5012802233666553502005239442798919233532328229377981204465280022012323309703,30823.221237811164237009028605299724577005132559103120773974596112028460430095438
90,0.040011257728971613779791593468751243303684981888515010255891259433563350577942579,38793.786939655753869820473433074849243733697040677831165870602412761184190802658,8497.7207321301659870739945543687436590534106980366103393333731425753809360584622,38793.786939655753869820473433074849243733697040677831165870602412761184190802657,8497.7207321301659870739945543687436590534106980366103393333731425753809360584622,38793.786939655753869820473433074849243733697040677831165870602412761184190802657
100,0.049143431703339471670716176515006155075070203143892215668273517540654341991811063,47854.049711057819525439032079717587438155854850585465104847262428464958519395564,9819.348068260605575953864136427293382145436395788396661118170916925034853596272,47854.049711057819525439032079717587438155854850585465104847262428464958519395564,9819.348068260605575953864136427293382145436395788396661118170916925034853596272,47854.049711057819525439032079717587438155854850585465104847262428464958519395564
"{'distance': [0.167, 0.333, 0.5, 0.667, 0.833], 'solute_5': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_4': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_3': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_5e': '1.0 mM', 'solute_5i': '1.0 mM', 'solute_4i': '1.0 mM', 'solute_3i': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM', 'solute_3e': '1.0 mM', 'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_4e': '1.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,433542989.04489437833366469291036292089122190270609443086286553099044813547894241,12522.84539880608081272830834132693143588450550445918159189310007279112055549179,433530466.19949557225285196460202159395978601820058997168127363789037534435838692,34620.166203299775547042946647579210923747629713796751500057822797958113493035385,867085978.08978875666732938582072584178244380541218886172573106198089627095788482,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,3.9533242287114462091307152692262571278912355183881903312791611344155541091136598e-82,375518.41278530790066027932025682053396941305909177226762796839486448371685124117,-6.5799955263373331059576456419499926659303861845981377778928860602021609970083856e-76,4.9984597656542531692131231214537770343528084405877706925091737074466320192864881e-76,2.1477770835610326401987066055546550124721039051032942910272853448161972938705014e-75
-140,381737748.32482417977502625897283712048736002755772088981039638086752983772938136,14312.80524324047572569334378442036683794718985099137118496012817963023357389975,381723435.51958093929930056562905270012052208036786989843921142073935020749580746,26671.0642559122283896413362025064186031699261839382384792172330626628293039449,763475496.64964835955005251794567424097472005511544177962079276173505967545876271,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-75,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,378267.63179631140779088848957177388914845886300007745008228190094475616313041268,3.1406662259412245382010031967560661906893346376761090108930916732519871319946108e-75,1.1564325688685453955458367293871650212277143221290623142372519782542680796556925e-75,3.2829663083472515294392000549564017211381006854244707476286560746811830573222385e-75
-130,336674673.37130937659873739600776550755746976429854512157969561035122311710051815,16358.61398963393068986452056300621746189504345850823319216762926451144294830112,336658314.75731974266804753148720250134000786925508661334650344272195860565756985,20580.880115188988892113691579438116541884833442444849695840721265746869430683617,673349346.7426187531974747920155310151149395285970902431593912207024462342010363,1.658144362578133368074179557657676717654272069971766025924551066272369626207186e-75,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,3.9533242287114462091307152692262571278912355183881903312791611344155541091136598e-82,386653.892471760752187790176317811014620798427415352798568384227650305538693571,2.2834592945507755909228012289398167789148427935501062663297047978573406576769461e-75,8.0312823320120281894295145211572878338333910645243683406430990116944806455908397e-76,2.3259561571284544477519277981014090545621777252128691535045685646517618524502014e-75
-120,297557870.34723130485104350034283427008815134460580255555730147273942745439225425,18696.841542522124424460672636237564933786903383158600810821584224982436801399221,297539173.50568878272661903967019803252321755770241939695649065115520247195545286,15914.873625606606781334260523201247378734513359383156969146106938180722948992741,595115740.69446260970208700068566854017630268921160511111460294547885490878450851,3.8690035126823111921730856345345790078599681632674540604906191546355291278167673e-75,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,402179.79477520480748579952843408054941509973153723704209953105280702435450912904,7.4735617966610235086734083956380488736502729839407807208038178314134570152948353e-75,2.2948540172741835818204555276180108345739419528880782897893168229854304232336304e-75,5.1695073527655410219386392271820687367280436470963468182858348971492124773613371e-75
-110,263696467.12531563798453966064135706202069515659772415385633264822239636067707601,21369.284946004380582654265081151508028148807122064619916169059075477892098406548,263675097.8403696336039570063762759105126670077906020892364164791633208827849776,12339.976175694240363514237829215509691171393656719698900958948009306930759488769,527392934.25063127596907932128271412404139031319544830771266529644479272135415201,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,427052.32481116068504811914478845011061979587876641435948450371432520897225961962,-2.6099640102286948283711147949407452042572628431814778199469980430563573421289696e-76,6.1365082473248421888154137826796790459964147615190008124548044075235943868437909e-76,2.2260237432650419482492270313914330892603784310873448746214601328580250155881762e-75
-100,234492411.26088761808575554082636250358747493086693215922904725508582164161376844,24423.715527832937641774875185702751209230571133294244944180880262903012280963732,234467987.54535978514811376595117680083626570029579886498410307420555873860148748,9601.0130397098353382655579311820674484706820354439109998086631037765382111594161,468984822.52177523617151108165272500717494986173386431845809451017164328322753688,3.6617354673600445211638131898273694181531841545209833072500502713514829245408691e-75,1.3126976203743555830587254831456607348096320553943147705236029274656259540806889e-75,9.6725087817057779804327140863364475196499204081686351512265478865888228195419183e-76,1.3126976203743555830587254831456607348096320553943147705236029274656259540806889e-75,9.6725087817057779804327140863364475196499204081686351512265478865888228195419183e-76,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,464306.03341264984118764787975465356819267341181967320005621833480139837442434473,7.4272931285366173571532774616140995624754756043893553447825474850336765063278502e-75,2.2048828403362352570326404736279971334713069840549778487538992896593575644728344e-75,3.92130510672113245223130506214883183730961623324413116523038410759115999652353e-75
-90,209429907.3248660219867210764933886993153250218878055426654255900799271928123989,27914.732836956449862790476702366224540062771304485257925361389740862284135653381,209401992.59202906553685828601668633309078495911650105740750022869018633052826324,7502.4865381337540294822561882009584156068853428936462195728899796532190918638932,418859814.64973204397344215298677739863065004377561108533085118015985438562479779,8.4289005097721779543770794180931899814092163556898106317831345868845455998865288e-75,7.5998283284831112703399896392643516225820803207039276188208590537483607867829358e-76,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,7.5998283284831112703399896392643516225820803207039276188208590537483607867829358e-76,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,1.5154409543393877135001075198700652323583069487154729603236784348592957418269029e-81,517934.95379888016242029925133197867404766598829392415795308290430942624268192008,-1.7795616627451515290052032905105521935477329917118122909717053235960159505402948e-74,5.0069781564277018375248058470583977848980093370907990911304050269484342072073563e-75,7.0404878705561151806096978406243420013682369836336388853831961484013387476696293e-75
-80,188066307.04156118268171404059109093842533908413331934286417669855258501804396751,31904.740639099404469950954951280895980725324872112441464034856845071687331635807,188034402.30092208327724408963613965752935835880844723042271266369573994635663587,5894.6195228142701076444295825476153471168392465934496712183526233114205264771792,376132614.08312236536342808118218187685067816826663868572835339710517003608793502,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,9.586147096154833534178850567708443523938760404524272337376310851887136901510294e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,9.586147096154833534178850567708443523938760404524272337376310851887136901510294e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,593150.68189763967059582917773731928163128486151983712821424748040882680975039629,2.1308579493092554316976584992685916929211238993790887429297511327997368544224053e-75,9.3416130429666061690229801448244539266137091436589695155218027039882339158288987e-76,3.4378908348179562617092788540852021437275046287990149378498871478346590648508522e-75
-70,170024291.33495161154401100540488204932756390514633346303231704219030408770061038,36465.062416810310685004754709754174146929279420830379351770701797995698304629761,169987826.27253480123332600065017229515341697586691263265296527148850609200230575,4662.6628357715576171690801923713656610824403736414125494546360435666074223424858,340048582.66990322308802201080976409865512781029266692606463408438060817540122076,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-75,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,8.5655358288748001197832164166568904437643436231744123844381824579003672364129297e-82,696791.27193947902365607244103136531397971502571533535934083678478531955191475565,8.9943306513396921674342910215688763105483201435879745160024495895996725196757664e-75,2.5670069444790449916115470275328959287639241805274152774587767037259362739000864e-75,5.4897702367788903962320896150444888950601774738365680035935198606898725762142967e-75
-60,154985206.20450797351393072382769704148267292659340578902852631753335967078230555,41677.216314127228196069894707854185499835104841768645854959175727133931095544336,154943528.98819384628573465393298918729717309148856402038267135835763253685121,3718.7034046698795937255839486387717560808656609875350431727385415227309891985007,309970412.4090159470278614476553940829653458531868115780570526350667193415646111,4.4217183002083556481978121537538045804113921865913760691321361767263190032191627e-75,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,7.5998283284831112703399896392643516225820803207039276188208590537483607867829358e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,7.5998283284831112703399896392643516225820803207039276188208590537483607867829358e-76,7.2477610859709847167396446602481380678005984503783489406784620797618492000417097e-82,837595.15044661364027443773031722619867210302746833012021365473978568447705158929,-8.6403128543531700341518491479626306495885880919131808275161991004279838662030412e-75,2.4309193267228500437140357523616129704925443554100849085630299854278299480967426e-75,6.3921859487776891703322174099898234184850481701463922921707304503979263895893433e-75
-50,142683434.73031142309757719423428082922932370607776277330795752011687780084284688,47634.372316165409407712301959757770265087695437871774627080428936682668394297621,142635800.35799525768816948193232107145905861838232490153333043968794111817445259,2995.388157594967346615827868031954390812670113344415482818775024624570615105874,285366869.46062284619515438846856165845864741215552554661591504023375560168569377,3.316288725156266736148359115315353435308544139943532051849102132544739252414372e-75,4.4044459630981667589470394500282037812691601858625035063620887697859818196128378e-76,6.5634881018717779152936274157283036740481602769715738526180146373281297704034446e-76,4.4044459630981667589470394500282037812691601858625035063620887697859818196128378e-76,6.5634881018717779152936274157283036740481602769715738526180146373281297704034446e-76,1.0048032414641592448207234642616736866723556942569983758667867883306200027330552e-81,1025697.5608947256191547822714838533454187207172985003419429985698920517493967931,-7.2442884814643716916050189365840665717517309415666646207111714908332718160966265e-75,1.8672120175233851127915956873390683863258047134175655722429673551684214142151005e-75,4.1625017895481276661784792760973456300860773552270496597834102778283374289663504e-75
