voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.414835358051368e-08,-0.04005987809462352,-0.0022668193073414754,-0.006101582452980529,-0.0076433830314306,-2.5794368763590103e-05,-150,21292345740423680.0,0.00022130930545022931,21292345740423680.0,9.6210801877972353e+19,1.224389911941668e+19,0.00023433765925107847,1.2663474545579045e-05,0.0005726574009821128,6.835942807553556e-06,3.563282523603032e-05,1.83715426689375e-10,104783010.26069069,0.00023898482322692871,0.00078255253986915377,0.0014998862246272547,-150,-2.4153378635800297e-08,-2.414835358051368e-08,-2.3969663209110922e-08,-0.04006433661561459,-0.04005987809462352,-0.040294215753874596,-0.0022794827818870544,-0.0022668193073414754,-0.002266819338437883,-0.006103728151174437,-0.006101582452980529,-0.005531070750192324,-0.007636547088623047,-0.0076433830314306,-0.0076433830299720285,-2.3482276253566914e-05,-2.5794368763590103e-05,9.83845647244022e-06
-140,-1.0805060170428195e-08,-0.016092671857509535,-0.0010952444898947996,-0.00416807135788377,-0.0044435202887681,-1.0359334763272165e-05,-140,18909310426831088.0,0.00026987564941921072,18909310426831088.0,7.0066752845338608e+19,2.7100341141369084e+20,0.00039820979145588353,2.0086936368055898e-05,0.0003508958590461263,7.384996933978982e-06,0.00038810836078333904,5.12472468562971e-10,106809153.22880818,-0.0004202183336019516,0.0012225318818464971,0.0023084043812356936,-140,-1.0804005877142534e-08,-1.0805060170428195e-08,-1.0292587701865224e-08,-0.01616356777958572,-0.016092671857509535,-0.015765357988129836,-0.0011153314262628555,-0.0010952444898947996,-0.0010952445057370419,-0.004129295048642234,-0.00416807135788377,-0.003817175498837644,-0.004436135292053223,-0.0044435202887681,-0.004443520288987202,3.48836056291435e-05,-1.0359334763272165e-05,0.0003777490260200669
-130,-4.915651913360962e-09,-0.006450335935433802,-0.0005282723334406514,-0.002561918151210334,-0.0025787087731359757,-4.151057488601312e-06,-130,16793263911582572.0,0.00032909988127824235,16793263911582572.0,5.1027863779095257e+19,7.3844300007097975e+19,0.000133752257575768,1.9587492357295505e-05,0.0001922752783658499,3.06633658410751e-05,7.738282650239557e-05,1.737436975835339e-11,108732623.41951682,-0.00010856986045837402,0.00024218449274554762,0.00049111135801286113,-130,-4.8982775436026085e-09,-4.915651913360962e-09,-4.904313594665712e-09,-0.0064000883139669895,-0.006450335935433802,-0.006316583677858034,-0.0005478598177433014,-0.0005282723334406514,-0.0005282723253860059,-0.002557185954628949,-0.002561918151210334,-0.0027494612329947987,-0.0026093721389770508,-0.0025787087731359757,-0.002578708774308325,2.9998367390149383e-07,-4.151057488601312e-06,7.323176901379426e-05
-120,-2.232576865089589e-09,-0.002580667390718086,-0.0002545031098768457,-0.0013951443445955527,-0.0014947584071685334,-1.661780825872592e-06,-120,14914300990585082.0,0.00037918357139880073,14914300990585082.0,3.9332666590924603e+19,2.8390354385904054e+19,5.1142271672688366e-05,1.9563688154950235e-06,4.0019432709925695e-05,9.066780514572093e-06,1.5824498273560402e-05,1.2671725398072243e-11,110632176.76137429,-5.1060691475868225e-05,6.3960231759099953e-05,0.00015637149976433255,-120,-2.2310084362508202e-09,-2.232576865089589e-09,-2.219905139691517e-09,-0.0026089283055625856,-0.002580667390718086,-0.0025577860338898972,-0.0002525467425584793,-0.0002545031098768457,-0.00025450311137397433,-0.0013674642959813355,-0.0013951443445955527,-0.0014074837286912611,-0.0015038251876831055,-0.0014947584071685334,-0.00149475840771629,3.90058142687999e-06,-1.661780825872592e-06,1.4162717447687811e-05
-110,-1.000020588511837e-09,-0.0010297778284229706,-0.0001225090102847433,-0.0006800690844988345,-0.0008657730478497753,-6.646546001906872e-07,-110,13245866318463050.0,0.00038932732610339995,13245866318463050.0,3.4022441864111874e+19,1.5669930186901963e+20,0.00012154077307968691,9.621010716772001e-07,4.754681636676139e-05,3.52419275494823e-05,1.9925169585968705e-05,3.3749855891894144e-11,112543089.99345221,0.00013224221765995026,0.00014967386694758009,0.00031968559840285716,-110,-1.0018309727302465e-09,-1.000020588511837e-09,-1.033770444403731e-09,-0.0010291093494743109,-0.0010297778284229706,-0.0011506501225539978,-0.0001215469092130661,-0.0001225090102847433,-0.0001225090062106807,-0.0006948204786567658,-0.0006800690844988345,-0.0006472736622900044,-0.000830531120300293,-0.0008657730478497753,-0.000865773047280527,-2.737374420469507e-06,-6.646546001906872e-07,1.7187795165499197e-05
-100,-4.421082288611667e-10,-0.00040831970600751626,-5.8935900574380156e-05,-0.00030496963328008797,-0.0005011898859891242,-2.656889722327875e-07,-100,11764379176441252.0,0.00039974244214131723,11764379176441252.0,2.9429897694681866e+19,5.7289611374175119e+20,4.3652308949875104e-05,4.3021643703579555e-07,2.171367193771112e-05,3.465587064965803e-05,1.59517769406526e-05,4.515611596271575e-12,114481139.28524818,4.5668333768844604e-05,6.4993362416286278e-05,0.0001586189816554065,-100,-4.419157590080752e-10,-4.421082288611667e-10,-4.4643137060434677e-10,-0.0004089238354936242,-0.00040831970600751626,-0.00045197201495739137,-5.850568413734436e-05,-5.8935900574380156e-05,-5.8935899068035614e-05,-0.0002896914375014603,-0.00030496963328008797,-0.00028325596134237685,-0.0005358457565307617,-0.0005011898859891242,-0.0005011898858811037,-3.2741311127848505e-06,-2.656889722327875e-07,1.2677645827867748e-05
-90,-1.9420833743543455e-10,-0.00015871468404997862,-2.8339460821079342e-05,-0.00012970990173423648,-0.0002900155922291302,-1.0615976978842593e-07,-90,10448900271738292.0,0.00041043617885343426,10448900271738292.0,2.5458039057199116e+19,6.6922747935064379e+20,7.37013240836859e-05,1.224442987514408e-06,6.634835954675932e-05,1.404608713073685e-05,8.55377883342967e-06,1.4890540038511682e-11,116453454.43121706,7.0255249738693237e-05,0.00010347513386159346,0.00021281633057961393,-90,-1.9443778165513837e-10,-1.9420833743543455e-10,-2.0909887747394624e-10,-9.533442789688706e-05,-0.00015871468404997862,-0.00016903575198057297,-2.956390380859375e-05,-2.8339460821079342e-05,-2.8339462946039103e-05,-0.0001960582612809958,-0.00012970990173423648,-0.00014181828285986242,-0.0002759695053100586,-0.0002900155922291302,-0.00029001559244079544,-1.4812020501520085e-06,-1.0615976978842593e-07,-8.659938603218097e-06
-80,-8.462285022623706e-11,-5.751004082410892e-05,-1.3622096703623797e-05,-5.352301550409031e-05,-0.00016776195539676964,-4.240182376393412e-08,-80,9280835860327796.0,0.00042141598977937621,9280835860327796.0,2.2022979871235047e+19,3.1251050780100906e+20,6.446783536373933e-05,4.4273681821916e-07,4.2848616976350584e-05,3.143676744258583e-05,2.9572176029064976e-06,7.591355399305656e-12,118463358.89162011,-6.7826360464096069e-05,8.1881593177259249e-05,0.00016539215670448616,-80,-7.966419853330796e-11,-8.462285022623706e-11,-8.725555393261361e-11,6.957794539630413e-06,-5.751004082410892e-05,-5.423067835863549e-05,-1.4064833521842957e-05,-1.3622096703623797e-05,-1.3622098830011985e-05,-9.63716324804409e-05,-5.352301550409031e-05,-6.471003539243458e-05,-0.00019919872283935547,-0.00016776195539676964,-0.00016776195542433925,-5.699125253666448e-07,-4.240182376393412e-08,2.3873050775398527e-06
-70,-3.5376120106353637e-11,-1.516404562804403e-05,-6.545820881072415e-06,-2.1724986413660067e-05,-9.701518922188875e-05,-1.6930885286044278e-08,-70,8243675012305202.0,0.00043268952785263312,8243675012305202.0,1.9052171318351991e+19,4.6543716495365394e+20,2.609980992216172e-05,1.003479975949892e-06,2.1582665924446687e-05,5.8552933641880785e-05,1.2107462241260267e-06,1.2232484053973889e-11,120512514.5550147,-1.1764466762542725e-05,6.4990813588754255e-05,0.00011963765380681242,-70,-2.3143636052379748e-11,-3.5376120106353637e-11,-2.8856205082228365e-11,1.0935764294117689e-05,-1.516404562804403e-05,1.6562177052037441e-06,-7.549300789833069e-06,-6.545820881072415e-06,-6.545820813883177e-06,-2.8978301997995004e-06,-2.1724986413660067e-05,-2.4480496124246187e-05,-0.00015556812286376953,-9.701518922188875e-05,-9.701518931137798e-05,6.952602532861452e-07,-1.6930885286044278e-08,-5.154859708398816e-07
-60,-1.2139941658928906e-11,4.2835440724022275e-06,-3.1446354201862732e-06,-8.744114149201474e-06,-5.608865396102069e-05,-6.758482804808113e-09,-60,7322756307404566.0,0.0004442646507346575,7322756307404566.0,1.6482869603276567e+19,2.7461417979954861e+21,8.933905472468067e-05,3.401818538794979e-08,5.890221911463626e-05,4.404714926163556e-05,2.427531159385046e-07,9.354043873507853e-12,122601868.85917367,-8.8702887296676636e-05,0.00011508836329311283,0.00021381512633249678,-60,-4.674119550056646e-12,-1.2139941658928906e-11,-1.4028163423564499e-11,9.36225987970829e-05,4.2835440724022275e-06,5.836726415964222e-06,-3.1106173992156982e-06,-3.1446354201862732e-06,-3.144635584603648e-06,-6.764633326383773e-05,-8.744114149201474e-06,-1.4002326117368291e-05,-0.00010013580322265625,-5.608865396102069e-05,-5.6088653991537285e-05,-2.4951159874331275e-07,-6.758482804808113e-09,-2.3061297610990975e-07
