voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,1.3773808891531178e-07,0.3511267825871361,2.196464949268974e-05,-2.879503552159071e-05,-0.06451879640975505,-4.2634314089974256e-09,-150,3.5684562472902733e+17,2.217178301510586e-05,3.5684562472902733e+17,1.6094584025376073e+22,6.294784256940523e+22,11.055399883450814,10.911428568286103,10.91140527458958,10.917150542010278,54.384974985837644,1.0488071006364817e-05,1635.7731576273638,50.26180046067428,25.871019138900287,108.52438509419167,-150,1.0625809095280128e-05,1.3773808891531178e-07,2.1513493422334938e-07,-10.259632839469159,0.3511267825871361,0.7957670439816562,-10.91140660363661,2.196464949268974e-05,-0.02893260252312757,-10.911434069625102,-2.879503552159071e-05,-0.02963830756650876,-10.981669338420033,-0.06451879640975505,-0.19594329595565796,54.26219254220587,-4.2634314089974256e-09,-0.12278244363177476
-140,1.351345817039182e-07,0.3349905916238842,2.2790395280085994e-05,-2.7409231244578016e-05,-0.05380100711901355,-3.5637864261754314e-09,-140,2.9276715672565414e+17,2.7916570718225847e-05,2.9276715672565414e+17,1.048721777759457e+22,1.2945742449154772e+22,12.541370531028058,12.320567377424407,12.320495282939682,12.32700998381059,61.44737568212796,1.184245197866079e-05,1830.4581414531706,41.199648500119189,29.406990986916544,122.62441572266015,-140,1.1977586560364708e-05,1.351345817039182e-07,2.2717751551816035e-07,-11.688714232881756,0.3349905916238842,0.8526562981463013,-12.320544587029127,2.2790395280085994e-05,-0.04427609019330703,-12.320522692170925,-2.7409231244578016e-05,-0.04458861788608204,-12.380810990929604,-0.05380100711901355,-0.20030841045081615,61.31220785755738,-3.5637864261754314e-09,-0.1351678245705812
-130,-3.6896053320607855e-08,-0.031116079348654836,-4.060039809767072e-07,-3.352063456417629e-05,-0.04563224974473129,-2.7157186090054167e-09,-130,2.4030617763175251e+17,3.5149853312867792e-05,2.4030617763175251e+17,6.8366196436950791e+21,1.4094732001572295e+22,7.43784340763413,16.12301915694885,13.322058754762589,32.68895754031837,6.628735125949147,1.0410143561789101e-05,2047.9512735742519,33.779028368375187,28.011918108221494,89.187929350874725,-130,-1.0447039615109709e-05,-3.6896053320607855e-08,-3.4788172873160463e-07,7.406727328285475,-0.031116079348654836,-0.026895061672647602,0.05895235970134302,-4.060039809767072e-07,-16.064066797247506,-13.322092275397154,-3.352063456417629e-05,-1.6800149233705168,-20.499424943700433,-0.04563224974473129,12.189532596617937,0.21694768179736457,-2.7157186090054167e-09,-6.411787444151782
-120,-2.368129505379737e-08,-0.011195011204436264,-4.0010021905798416e-07,-3.0775699454151556e-05,-0.03805877436573348,-2.2443062527578794e-09,-120,1.9736960360360346e+17,4.4257305110526931e-05,1.9736960360360346e+17,4.4595938028919346e+21,1.4439791988620831e+23,5.64763963213307,23.93468230933994,11.466437690047858,34.097038954496384,6.3982173787333325,9.949637101626537e-06,2290.3822914077568,27.715826112639036,29.901410579419085,104.73038912426422,-120,-9.525495912207872e-06,-2.368129505379737e-08,4.2414118941866415e-07,5.6027465817235536,-0.011195011204436264,-0.044893050409516945,0.06965503387963547,-4.0010021905798416e-07,-23.865027275460307,-11.466468465747312,-3.0775699454151556e-05,-1.522101532307146,-18.332297755405307,-0.03805877436573348,15.764741199091077,0.5306369992956661,-2.2443062527578794e-09,-5.867580379437666
-110,-1.2497498220301091e-08,0.005754635296098076,-3.743193725372451e-07,-2.8188394838957264e-05,-0.0317396661216601,-1.8266044582105934e-09,-110,1.6224300466556512e+17,5.5724530006195531e-05,1.6224300466556512e+17,2.911518583423256e+21,7.7338836032583578e+21,6.121842224692824,34.7008809411787,14.234256168481902,32.98734719771892,4.610869882932098,9.312755686248735e-06,2561.2296245401017,22.754793192983151,38.383451966184857,132.29064509771453,-110,-7.451542492260988e-06,-1.2497498220301091e-08,1.8612131939877473e-06,6.057882129560627,0.005754635296098076,-0.06396009513219676,0.08007190022960611,-3.743193725372451e-07,-34.6208090409491,-14.234284356876742,-2.8188394838957264e-05,-1.1997675381302115,-13.15283951535821,-0.0317396661216601,19.83450768236071,1.053123630628079,-1.8266044582105934e-09,-3.5577462523040198
-100,6.761384037179089e-10,0.027893067815824412,-3.1772831126535037e-07,-2.579008223502287e-05,-0.0264689039778255,-1.4448622601744065e-09,-100,1.3352228696788608e+17,7.0162953588260516e-05,1.3352228696788608e+17,1.9030311601680731e+21,7.2568249400356692e+21,7.657921404445476,43.274784464165094,20.10171742142184,25.92488948162645,1.9747940353227147,7.097314209112952e-06,2863.9857752515013,18.693343953094789,48.748427419289733,154.67436245842251,-100,-3.7699455259537946e-06,6.761384037179089e-10,3.3273686831591576e-06,7.589869508897943,0.027893067815824412,-0.06805189554753353,0.0859894332331552,-3.1772831126535037e-07,-43.18879503093194,-20.101743211504072,-2.579008223502287e-05,-0.7511944107702393,-3.5989548843353987,-0.0264689039778255,22.325934597291052,1.537336502795256,-1.4448622601744065e-09,-0.43745753252745867
-90,1.2880511486356013e-08,0.048891040301533795,-2.5169363665494785e-07,-2.3699778588317355e-05,-0.0220742576554207,-1.0881931991504246e-09,-90,1.1005772273879254e+17,8.8342423986008902e-05,1.1005772273879254e+17,1.245808273907254e+21,3.4422646528580958e+21,8.317465073130991,43.11457570169353,25.282543703500657,21.577444373330454,1.5396583510237005,3.5672876676813266e-06,3202.5388341591133,15.36835216498425,51.389784063632767,153.06323410733276,-90,1.6683641507874388e-07,1.2880511486356013e-08,3.580168179167683e-06,8.267656875522286,0.048891040301533795,-0.04980819760870433,0.0933010622253582,-2.5169363665494785e-07,-43.021274639468174,-25.282567403279245,-2.3699778588317355e-05,-0.34674071779172516,7.363771293312311,-0.0220742576554207,21.555370115675032,1.5396583499355074,-1.0881931991504246e-09,0.5153954318940434
-80,1.9863435708565146e-08,0.059753658357582416,-1.962852863542721e-07,-2.193066249898329e-05,-0.018408477176797736,-7.027724153325003e-10,-80,90908098774275840.0,0.00011123225971247551,90908098774275840.0,8.1728177607165739e+20,1.2018927875619669e+21,7.495488682942859,36.62966778485835,28.029956395335446,19.217164404560698,2.624227664880091,2.926234237399035e-06,3581.2292259522014,12.647919593848135,46.894460117241223,137.76377762387278,-80,2.9460976731076003e-06,1.9863435708565146e-08,2.6076574120461664e-06,7.468458934393904,0.059753658357582416,-0.02702974854895516,0.11582739136039263,-1.962852863542721e-07,-36.51384039349796,-28.029978325997945,-2.193066249898329e-05,-0.11714131053822036,16.181911950930953,-0.018408477176797736,19.1987559273839,1.1277131360263866,-7.027724153325003e-10,-1.496514528853704
-70,2.1871511418026742e-08,0.060869070833997174,-1.3694903073288773e-07,-2.036749261587387e-05,-0.015346683879509972,-1.4238650883756208e-10,-70,75303157045122992.0,0.00014005293314911868,75303157045122992.0,5.3767640100008041e+20,5.4770563543160072e+21,5.916138045610475,29.580207594973814,29.68511609553483,23.25172815317394,5.500149307356403,4.825304329590899e-06,4004.9137774029878,10.424405812875182,42.127146910490424,124.01493163381882,-70,4.847175841008926e-06,2.1871511418026742e-08,1.2630798140081487e-06,5.9043575307154015,0.060869070833997174,-0.011780514895072751,0.16299525798027115,-1.3694903073288773e-07,-29.417212336993543,-29.685136463027447,-2.036749261587387e-05,-0.024961043599258992,23.23638146929443,-0.015346683879509972,17.281742949038744,0.6806961298996157,-1.4238650883756208e-10,-4.819453177456787
-60,2.090269877429374e-08,0.056287286904046385,-4.4728755033259795e-08,-1.8905397498388662e-05,-0.012781746336491534,8.997751113793999e-10,-60,62612831011148336.0,0.00017634114540488439,62612831011148336.0,3.550664869925136e+20,8.5140494742754265e+22,4.095468567773088,24.191833975995124,31.49632818913926,30.14253974298504,8.674643269962127,6.577268141698382e-06,4479.0364598639762,8.6095951794202925,40.232085876776736,126.72616448587327,-60,6.587010745452522e-06,2.090269877429374e-08,9.742603754140676e-09,4.090377418656654,0.056287286904046385,-0.005091149116433637,0.24293230515572034,-4.4728755033259795e-08,-23.948901670839405,-31.49634709453676,-1.8905397498388662e-05,-0.0019465087154001415,30.12975799664855,-0.012781746336491534,16.282012392766774,0.40225867386698155,8.997751113793999e-10,-8.272384596095145
