"{'distance': [0.291, 0.616, 0.76, 0.787, 0.949], 'solute_6': [16.98, -18.11, 2.33, -4.11, 11.86], 'solute_5': [12.55, -18.21, 14.55, -15.17, 7.28], 'solute_4': [16.18, -18.12, 18.02, -2.15, 10.8], 'solute_3': [15.05, -14.71, 13.44, -7.9, 8.18], 'solute_2': [10.0, -0.37, 7.85, -11.08, 9.84], 'solute_1': [14.59, -12.85, 19.17, -4.53, 18.37]}","{'solute_5e': '225.0 M', 'solute_6e': '384.0 mM', 'solute_6i': '340.0 mM', 'solute_5i': '27.0 M', 'solute_4i': '303.0 M', 'solute_3i': '168.0 uM', 'solute_1e': '235.0 nM', 'solute_2i': '33.0 M', 'solute_3e': '153.0 M', 'solute_1i': '184.0 nM', 'solute_2e': '385.0 nM', 'solute_4e': '95.0 uM'}"
voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1
-150,-0.00000000051057115051769473199472821949061820888091651621790244409461870389464574643217202,-0.000031333886768664375834851627970316104101698366942712380489944647908994066678982656,-0.00033835362651454969914249255531393140756831812719179211405775439712828233116219313,0.00000000000086448822443744036119020689985205456260471349533264011089476615814799876103559211,-0.00069267784511126931621355592460551621122395983048505788165339602599926187819928469,0.000000010240010759269523767849873322654791442437777834834287931346310168973972561443531,-0.000000000000000036435577851281347644020322457722665230643398534346043528074473194394140588050479
-140,-0.00000000040941633141337296008711888791544144648855775448584088388498449172812641383334165,-0.000053058420929930983525826103509663608256056850423256467914757888904078836599532256,-0.00026140218035822017926889407786280105407190805867911885856767632289337475693349949,0.0000000000020746549440338840384714863980407477134756669921633628873625243731427273842660634,-0.00053743251625109287708433755838939141142786149799872217954105929131390825692194535,0.000000021849009241603381346233853496686295597060903474207123289918301177074586796838041,-0.000000000000000038144798866838397666884177610089074852810530424980575789427171260133824509834546
-130,-0.0000000003403554447318077925123753410608654856334962176042281593434182674488010483735693,-0.000090208099874924149890252215327386390921832947804514969245436826986314736652938466,-0.00020195980219330977164879171613524095613605642686657379622285797099739379824938624,0.000000000004897679493759840104040333621629076249000361260106924657560758736887092894315202,-0.00041603623466825891164211408194348017679307974366417542298264847379066334364271943,0.000000046578118270605628193855485689857470908740104710017672376423286477786007414176339,-0.000000000000000039938087067999144330126425096087243741061233493474814426795793864663929521656951
-120,-0.00000000030352755289866300555920556842919638769032310929232664122410254363697729072710459,-0.00015383312738827036710577756224074221106512650623415208088647360994465880361142768,-0.00015603681541758186690856934284080094863126462386954182153785759092686442400225851,0.000000000011479465445519135075087530097127893369947217138874495363117164254686394637836492,-0.00032172275649771014388683210554347177422758347410768354665147234836243020502746067,0.000000099217906502771650933527597206355901359378397019531500871878529486903964385074878,-0.000000000000000041816868414838988869033470400608262779041692442731035171546063327195109610174544
-110,-0.0000000003036763341644540410011383033978537503810739623252401524266570126488845759510213,-0.00026271464862201927465168301666418641193065531312523577576449102343973069287278093,-0.00012055630871639618732653688870769551463670797472019270578794057983315635530261516,0.000000000026820807469996003157431181319212758247831486669684108465331207494471001052306571,-0.0002486686521503309056113740750400494002396484617063027177993344819552377104202997,0.0000002111957706915066919156638428983066244856411873237029106185193873235532351752576,-0.000000000000000043783135490455397423377798402643898589533139508161257125897594162582385730057102
-100,-0.00000000035235101395809800198674413639824464499214409447279451065307732353860541889587107,-0.00044799618424430982329125679261610218391663818620256085900465765523435905177611845,-0.00009314285515937531678221369535966603844380094074280784183563947588097193187497155,0.000000000062575343329953283501241504699991821975297095123093025661435648218458399317926796,-0.00019215893090268972031551310190256614799884587157719456907988299440294056997048402,0.00000044925419488415198882491814530681773634205957008727902851046913778383041337051917,-0.000000000000000045838160909544240272328074089301517517930333252451927583244501819794460180546585
-90,-0.00000000047018026541157659833797256289383577241738032176083957974775923988611620650290496,-0.00075820276056781417600535626566311335556037516076752139869500035901654480258569317,-0.0000719616231061811865249087133857240704487893767550200482912258259759628954815006,0.0000000001458992706390654801945416710944457716753992288693703903825090708015904385593411,-0.00014847338913976817599583704066921061332872948069003420576876996699591547552525829,0.00000095506527220487258520001040058942673559548270392102018404676599796495695473104092,-0.000000000000000047980415984881728677712950433486616148414261822860281237224093911536684328712661
-80,-0.00000000068570649786379488339692412893961743005183046292593747560338959509986535990098225,-0.0012571434376549058781247486797180923054730280926914398718478524156383687111266222,-0.000055594916011685175587646419365490653091086389834223352141407182233196043605612456,0.00000000034006921574979719396343702764896963385374352488142215177047176908444976774053754,-0.00011471001518960419933067800554067260489360924293819701874410293633099045168060767,0.0000020292088035700161070707896722957620694575409662499673394200945735677574273821539,-0.000000000000000050201219210175974058188387571564809936640843624097615633139170632817284498473911
-70,-0.0000000010179675184287995025974559571730169380112394366163412919543046114816313833255579,-0.0019879909551536901696320414332761570886962633118343850976217103924457051313957644,-0.000042947154845486878614799027992036771453332131867110170535946568497927428433220272,0.00000000079250518017416574870227410023171018993111099320010919301379142348549314634513832,-0.000088616799914692376574659558609602547459814875167537326525128927697881521092008104,0.0000043090971108816032822930267381656430645287950921153648987917733134673880912635295,-0.000000000000000052475093384835426240681874620766334347081935915109234756639466641923768664289304
-60,-0.0000000014195608850652670051775235643562188362950307912668926141215132071606854632108169,-0.002855153027123475598137659317247724470789484272820583538333129255303337775447375,-0.000033171848511861805116057744275795484741119135052328367440819477211410022715454687,0.0000000018466044814982565900622027413279565774080333597008766815566956552233409342638453,-0.000068451307504294538840936563686827038313705983538885596050602995114072751751267151,0.000009145798374418095430299561692140295958002822046144993031577682921594563388823729,-0.000000000000000054738497146127860004718978948545474212721356406274741325006961029537829570153983
-50,-0.0000000017096715384713407954783627805859142313215916157234281271150386642011447486813711,-0.0034853550350372194765763561470926798712411380142206549985952631042178016696642367,-0.000025615226412929397207696226744549025083203719716434347309505184527767546080813092,0.0000000043022894151923224868988935216115026567873305027704231239098952121029961050823054,-0.00005286910871905381436788805677335975814023166571426579295375611236122201861923185,0.000019402524210159856575655480734947190021802015818304810409055394641541496208656946,-0.000000000000000056842283189323761472658982327730230175669760305548283923129547137540212625872289
-40,-0.0000000016807593619916948763590731351907283440934569234860848844419132207442946004654656,-0.0034503296851392637765493220026502813259746261065517374735347297445714962154249025,-0.000019770243698963813420463581304504218389536101310655106826498526993462888915515568,0.00000001002365489306650210216256304279749015849423057362529242857536117104446845833707,-0.000040833474821058973817076355600355094410720047415720799916926902121765604074600464,0.000041148690561480894426125604155915519351973705033676301777583334962444060532744522,-0.000000000000000058438227543618068632714751551715610225905178071783554994581776167842777090064318
-30,-0.0000000013487316523708715348708231722270752150424485937596676493371346076804157480907238,-0.0027886729998279439241531343249783337070208196280632955646289287413847157274081007,-0.000015235848533557077692464720453475111456430738963751198442406362693945091848339289,0.000000023356202223385517716751703181697117005288423097814135796936950879486445190874682,-0.000031540489272816151158934157724223148801440243053109104022038581741168048508113972,0.000087252284450734903790725172946229583756235800439389510022593767161764932267918198,-0.000000000000000058703352502830524232650026259777665362642417593325909624610248664200198097469434
-20,-0.0000000008938114984391418286247843971458157365386962641936027722778757768782119820677861,-0.0018854367170013761704259038419591542065608830503779160308693442701925410880199385,-0.000011679779323836050212259996326992494756512054107935820191656187105095658113425132,0.00000005443008275861747433384747462664396475867557148356169979287627713976230425701314,-0.000024364856928489974003974336293694856036952556652833127365778383154650598966641613,0.00018498751895186914448922891578259347407690020793837967968794691678650796148629229,-0.000000000000000055699678792708749955950249866410476402259365038996659543472357119417591055941466
-10,-0.00000000042536778129091140562415452888863938558208937580481248739458978419675255523357497,-0.00098826138688502443900302474412658916732656011659373233539637732520755163470656728,-0.0000087926976530364114949585373786600446928007721826771345305839127282291620060458722,0.0000001268601048062296204821364717360032010726668254779365732960945928021601275296896,-0.000018822836823157618797699807045768744989920481400796482005281412487305291728230521,0.00039214744780102787449045517951685233608538018651559490838224319908804557737513978,-0.000000000000000044898102829725902602057109705126882318068086482903577339860142454793892034046002
0,0.000000000077252530152859315115454748178100460841388451302716418810765930160335529907134877,-0.000095770745005243690338451275853439190319114539278911536108781457930080892887156564,-0.0000062018848234256068477417321698222449898558075823865514594028993819895463732096172,0.00000029570047861152022021160899172077269555319273007362306212061287463729986227909581,-0.000014541728838632347280345495075522237184249582666267459522267457028108985869781561,0.00083117720658565795417368975728811998232795513752619142991803353086210138168464027,-0.000000000000000015739396737149337249184487400217152013844721954418792505958806766066074490007534
10,0.00000000073956900611039842872885562392323351790429568703014923596849285423770854817919072,0.00096573779864635042775784631213154566047978891929014771845797431300129851020121571,-0.0000032754514871241113230416219968858944589831649407017359390814254222452058217469458,0.00000068931906928338961784408429586235338578634035846097707912545772429343845907814783,-0.000011234333792133940303170039462015499284734082383190360716389752179882921429438281,0.001761472940426700255216238405769288007426928255407197680381322396756944564936247,0.000000000000000056385890291016049556643417194192010458727851676119440748906663351910093569309833
20,0.0000000018040696633094365738267563663520453634649186133275519590988248410131844682882085,0.0025158697233045488887108988573723279106416050955221082091666804987614688965708805,0.0000013577229165770317452192428977013495958642744915135698138700888611960980312990847,0.000001607078126396890481587548275510103569011731671401285661777542225408414527179942,-0.0000086790536243863020102065564101295138935989841412347777192677975979163502466229717,0.0037324993632688680281736175665450430580857902693497042511947345245121775858931504,0.00000000000000022882694605034762880902453795466936161388848460197021003659468003107027035704323
30,0.0000000037107640272472941339808647021510629375775461783151173669071298308036198539078794,0.0050782843836966665470997890916076869014526897456735164085767875779274167805659823,0.000011021811480986754998275597121274226057578511789864226402720474858397257645537057,0.0000037472587449312671989343869939010679062742539299577089720878314249099652878722753,-0.0000067047335431242269215547843887156854744647366007822743605854060264277984860027199,0.0079080221166270912107402559960347856918099473385613689619714165109522594958338014,0.00000000000000063521686560809518455043740072603485240891644581187220833128479345163523369745582
40,0.0000000072794905099346133994688506223374514416824610977069617179091275007840908782826242,0.009527753522497417879767102866548202331750654484872703352051371170049806177812799,0.000034093610639514720987192558362152262438516512660289426376375282730374836843717617,0.0000087390579698925908629568976084094123379104252435803752878315204941082717943108989,-0.0000051790441438587364458413555224020016498922071002920528758595984748638515939384075,0.016752533284584770176779953037984795078999099109026689668693348191546206229387843,0.0000000000000015869125672615540187921783564994095816054991051652869380499679378787516987883328
50,0.000000014077577308269348278776175492715656935769051815502010387264668814646330633162817,0.01736218573865201426426320218510056618417428572642031509621600960511586546389417,0.000091939437183744960797536749537485953121582311071946543672161459880461673217956336,0.000020384679062359854518021309094540549427947525120186464896981908579475023594415593,-0.0000039994457070595388976547043355159494336454017371926803983276047981768416724948082,0.035483867860154150310706314824758880893875341820164838288075908958591091430233719,0.0000000000000038092447330711975752328206778831590475752572018708316453816006466669115597273083
60,0.000000027152170218512691598365020649456867787149611437722630022625292341744850945983337,0.031180375434040352567718035211983154045365510943438341520649123889754640418333907,0.00023924645427460104492373472417441297495825144711636642775279245226762675148470911,0.00004755956918495246825470440265420833150106913714134741945396970727413608356572248,-0.0000030859429690685084438215935132169600315419142409739839003773265017676311213067285,0.075144475388325344237857245243580818547852827510508681754054543196638735029627359,0.0000000000000089913864390617758915960359206379266915801629802567972038044493349914995378334866
70,0.000000052493940581914752644935990533927859384269139572729119822093067830178955572336786,0.055511045879615069287464573451381948524733027744936999880916436951391606645590652,0.00061605443316058291694735092788755625111206868414642690875840705097257581826015004,0.00011098025980045977635532282382472723017707783470012610750363585116237518510344349,-0.0000023747827869274071125370844977598891246248549003723228077594506760453804031779298,0.15908139461270509607890571942991693098346901948792213182732860680948845622269383,0.000000000000021064202757312126237503077097002994633431774927143090952064771518761858777005123
80,0.00000010196890400844055394727370219126413051132721929547164973152606141474634944042349,0.098235747354217506358880453555279408012005996971328993250229969338411539995573153,0.0015805307977763876291859371402413604398122390786486226092565839418380809816292438,0.00025895706331918883884235708309701273630806320656848475446315643920966189532416425,-0.000001811793840625564939834484343028854904388888970180157049301098461307263386014988,0.33654869933588562485163699520150487909237182528233098651055239313703387350270927,0.000000000000049158705634235883920591176743543049066375796918224282795983291223894072366899612
90,0.00000019915039460944339371353714438473343309080169417923916334523688762967797531308927,0.17296451553873330423020815538329450256472378876330702754415941815230685390616224,0.0040453173193355973207117787437214360487746323887824506264887238469190309026115019,0.00060377748884737046686538326946161045260454312788976727965450329733760165550088528,-0.0000013427450109403957194213409408924177187137184511617574151731325192157943097027696,0.71090302093410982749107150089111687175981924484006641164576417312715333099771215,0.00000000000011439169858710851136668129516877550899295333656780977932477019341677009061734691
100,0.00000039058036862876920225515320410290280418003744326923438984644871657877959340540809,0.30270912791635883362403446339992114528003123121699942632807666528356184353485806,0.010314097339103320704742114773124249569302693836900116013807168154866859573474449,0.0014039794407242356981070315061892351321289627747784267833113282216060013318984176,-0.00000089486328205651473852942638181858273536328622554119541800961523074573849917126645,1.4962047542409143934459911287801257373584231133756541910408254008286269519028946,0.00000000000026506789015652942064491445212242915474692944967030611152324741680969120213719376
"{'distance': [0.291, 0.616, 0.76, 0.787, 0.949], 'solute_6': [16.98, -18.11, 2.33, -4.11, 11.86], 'solute_5': [12.55, -18.21, 14.55, -15.17, 7.28], 'solute_4': [16.18, -18.12, 18.02, -2.15, 10.8], 'solute_3': [15.05, -14.71, 13.44, -7.9, 8.18], 'solute_2': [10.0, -0.37, 7.85, -11.08, 9.84], 'solute_1': [14.59, -12.85, 19.17, -4.53, 18.37]}","{'solute_5e': '225.0 M', 'solute_6e': '384.0 mM', 'solute_6i': '340.0 mM', 'solute_5i': '27.0 M', 'solute_4i': '303.0 M', 'solute_3i': '168.0 uM', 'solute_1e': '235.0 nM', 'solute_2i': '33.0 M', 'solute_3e': '153.0 M', 'solute_1i': '184.0 nM', 'solute_2e': '385.0 nM', 'solute_4e': '95.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,1016727227961015.6298892681986288670293251028997308620080572877445810157217364413,0.000010123105102142332710511787533001374200766432672252016169058420663100783370917102,1016727227961015.6298791450935267246966145911121978606338565213119087637055673829,100436300690570490826.67939514091437546445457247551087842631041871543998075423961,2033454455922031.2597785363972577340586502057994617240161145754891620314434728826,1.9969351289363898913241839460202095278634601908799934182514418914283149320067147e-73,9.8989789906336301540947297241522359658189153655146309452512020908592040815193588e-74,1.5578637684061248115978834050711563529162344788073916839877225428179171179143646e-74,7.977145463139133009814110332983017628582781449502210831078381684273199971826243e-76,1.0188665747937805232790310604497362197196720360306459567948107262363124432131e-74,6.1848123795163128983982255444276753542671047083528405699223527916036761287917256e-87,5.565980104878745204091120897888949297004982511931008717824604825513126212225743e-80,54.535966556746727531740556871279416825111412159032451735028410910424918165741375,1.0187451534979622965193618349807628158419991343934844424707347706364486331511412e-73,1.0336263999203910352655745397489560426115472188564678586607952723151878475263563e-73,1.4621962516293565800363919588702427905827481991412553222387889818357841711948302e-73
-140,837100510720270.92468060954800634640393780160653683082422754054842640409349573695,0.00001495163181031960736030704261177678118299146883327012224688721989092349972991348,837100510720270.92466565791619602679657749456392505404304454907959313397124884973,55987234125341733690.73329935159933693765660794427932526196457622087093956131814,1674201021440541.8493612190960126928078756032130736616484550810968528081869914739,1.7176321155529063253125960999855657376425637213366641992674640099700931610008425e-73,1.3888768499446843044627480984633202496417011923785210197754010527276725181371285e-73,8.8680126614493592782245397928568707867575765713973061893284134480538512712483874e-76,5.8812207709312707208910424874217234014119389237177943731189694893099371652165364e-76,7.8667040010635025558586140658134131642615111093380128672691416863626828170848316e-76,7.6664085374188271148058396678031920147433196854825778995955784675831725986675356e-87,1.5359220056731366532864862301003495806646365953713789818741840544974959861744014e-80,53.994542565522266083167440737130184783861537465678889544411157591257505114868959,-8.765375563008930497777359420368796825577277560558713293188823463593946533788304e-74,1.0036478379000998126882833354914687687882567822361775967147809177653484171070139e-73,1.7030191091876339708185599484099519386440310874129160423216222672758418312462159e-73
-130,689208713849516.32227054150268369625991133163830148038025625297111401792474085856,0.000022083273021046819034023948397929739665489612481762855333373906699121895117833292,689208713849516.32224845822966264944087730768990355064059076335863225506940748466,31209536430249938806.049866740566779115501029711342572003079363199161390600900961,1378417427699032.6445410830053673925198226632766029607605125059422280358494817171,5.4701047345103821945828644030992062237383294651832358702122965876149458420623257e-74,2.6918496246721035594612608949914321547589990160147832767424141233996977145654569e-74,2.6202973214114467060725066337290202983339309092683924909220818462028174577614983e-74,6.1121512510533934965488142081150276387882374653145608826471388819787864010420012e-76,3.3222494510750505191384083432798464497547774611774858720959685164394119241565414e-75,9.3147593957291712481715724959887087187633226741920805773209088724066728655717198e-87,3.5071397247757349178319915258067814960109697569253667717196695704488554136769295e-80,44.733482304259947637483512657506838250943227415516449437295815637521725814569181,2.7952497600036247212717736876477440031797787857599780663957720213741607152509454e-74,5.5901149481867744768152056080578480367607704382521241881744361274414390504938908e-74,1.0125173383774961858349878517494385678066861235717457710626345046482052997941208e-73
-120,567445181610643.33877839042529852438903089597366561860057522989386266607612470135,0.000032616570118152892016937767871672481860027881804693740694334611402858369684165911,567445181610643.33874577385518037149701395820579394611871520201205797233543036674,17397451036546276481.168197023816720563227319633895934400419198163259684069411568,1134890363221286.6775567808505970487780617919473312372011504597877253321522494027,9.8301008272546428736550621412085239447316110666610610148342956618656655464990103e-74,1.3092350565442974041667346426956691996065877339981985989557949863555552343046085e-73,1.6340782486621190383181587000258170700421628141707061700042844678754149356364533e-74,4.7811661355005378911075235694633122755001718008807509394103425926067088017784967e-76,8.8280988968550586613695469820930510064589333259331485301441813014826844055329177e-75,1.1316442256204319250196373510634362612186466799413731137495143024939715033184499e-86,2.2098439495409471089547630181279071744288575699549850691190869003515148315863827e-80,34.98077677904948358281628604868873034515626160136737797441941497496498101381132,5.0193455121063462082058294387700004745454745271729111399369733347942607465374734e-74,5.2506073436384214347936171574335621448217028491507659527765935679228588852807122e-74,8.0102010871944807287816005249299292148786705254621994333542914164444859224410298e-74
-110,467193794517121.56988738315780917154900479986644892737749370481760530653676757164,0.000048174047626838320247504465337750628712800179797401105576730794255583857918276425,467193794517121.56983920911018233322875729540111117674878090463780790543119084085,9698039038281734342.0646629324810295671513892338219613202020356112748816637288798,934387589034243.13977476631561834309800959973289785475498740963521061307353514328,1.1953109915913470860315111684236542701246274002089210059145261845010215747289691e-74,2.3526727968365148225128430950145865858974104938113091981297141565769142586117065e-74,3.2431228084265609182944884254193882615286471731023812509129234822886132644922412e-75,1.5430615129506516843479007838843926821585070475372784501048821739850790798692437e-76,6.0584867223174307293346983612022037069340486276141899796650133582239448819754103e-75,1.5257462490145334127021659236097344698366969812848289248366694656217523131675093e-86,7.6461192551085703040214401529323881285081582483644607770428623481041481160871918e-81,26.977354301453347050740617954767768336104741372332722139960307524955474693508276,6.114594370219355055703864736709814216577071558770008716556237051243463401781102e-75,1.8595724749429389497856858179340298643043679795638937445662788479396613148522537e-74,3.5470573232338927153504177697832818681338639554469699860789139599963460536364866e-74
-100,384653969821055.77174175180979364607634916569380448008157973339750316826718800774,0.000071152143108427904714881023351908605351984012057403589255491120484818096855700801,384653969821055.77167059966668521817163428467045257147622774938544576467793251662,5406077076763326180.9297203454750552540394358352074421454022901058949566254773784,769307939642111.54348350361958729215269833138760896016315946679500633653437601548,1.0316622580103186400313536168128609010867128329945779839339648024323858293853484e-73,6.4365870266620170858119249165005838964439920794289958850944065695791719899895535e-74,7.1569150794282248284290640156205918937915963311756898863200590435839666513949702e-75,1.2566468623497875371795089846298682977494397327165378895813494770137309725144609e-75,2.3124869493939626379727503713594180603875752939361302844552856521828185709700248e-75,1.3103352277572691715523234502249366946229445245963530779195746903595821345903204e-86,1.537997043693626640280053240837544727528972781679191413084369376646137911271575e-80,20.759191830993239479542391565406000412294991280841396146545429319261028932233619,5.2686577759686962350577638861245387327412512884345343662132316402792554800287743e-74,6.600778297877712839246679313905905141547615369726470626860733377456276445362683e-74,1.1695736229781511804464414578687290680935431210329195708791621889634954602074522e-73
-90,316696579428094.91711869579351532721475557041002692187334382260643835567939656203,0.00010509034881473725571425553919143220546466097300993515436483872390561519968006359,316696579428094.91701360544470058995904131487083548966787916163342842052503172331,3013564832546100004.665473563758103900835339925986679849437774863048647741540573,633393158856189.83423739158703065442951114082005384374668764521287671135879312406,2.0391384664946326676867538296130336321364485642850439261867863755908142914331154e-74,3.3100140089404559287252268440400375199951551709287463161552958479921948849323868e-74,4.7309157989441480978270238569901077512882348163941724820453704492961062152467549e-75,2.4563193085018717253492405060939546577625781358350845661919019178813648589702019e-76,1.4322867701059276745209507476806952318156711996897678940996573943537329086991833e-75,1.9446073962870244867658326647311500893008088867560764909297715154688420553099338e-86,7.2800713459588489014173252626757769089776338425154578703722397173935352691278168e-81,16.037657754278033734541448391903823239954205653298015581750481083529771698982333,-1.0403379225993254818554596030971349897702978724417454133877999076277238171944978e-74,1.852833727797196193820806941045506203586246224344795481610574662547740303695872e-74,3.7661236856621932508763774152112822494352723349957724940327252005994370232245081e-74
-80,260745323013307.90986136449819201439092787663718821217704668180950913233343334192,0.0001552164268217944087055564180578319487094891930724934686204176081510869775874232,260745323013307.90970614807137021998222232021913038022833719261643663886481292431,1679882267311000031.0248849598245412704699636037322595617640671458840683591380347,521490646026615.81972272899638402878185575327437642435409336361901826466686668384,6.4151322866562472083418949106005521336827122456302591963141754211131845976449673e-74,6.3555453558811444907979966622818128031248828306966315148942407772104766458929243e-74,1.3408058451468260668612671107037152511203421066155411253593150648907599331622102e-74,2.1725220015051327784622581765062006434358941372430332219418734687794445677249153e-76,1.9454006870308404106315640264839113345673453094365416834938058622723627528197047e-75,2.8280305634887143127074123078284936724051621524406829054694612154291475951400861e-86,4.7979946066476037348519231455558735161544608965149549571340728046565932789207423e-81,12.573173183037474550691968576764254137869436810997275219221311274510571954831558,-3.2745415742688309813628465077823825768724093766801615019073642078677291926580858e-74,3.6473777064758808861126946559220429711409914251166396001584717009310301529975025e-74,6.1409058489465694721612798065476138858892844585609036153382756292840618552051355e-74
-70,214679059131513.82370602671940109989965533046569026036793466966977430555170704107,0.00022925168131088103093367149522463452770301044223905954232609821910256694846464061,214679059131513.82347677503809021886872165897046562584023165922753524600938094285,936433957229715012.12745862831280001169855978211192827270783954385731795674751185,429358118263027.64741205343880219979931066093138052073586933933954861110341408214,4.5524370355606551904077866594406606818418163870641436052530279947465882136468967e-74,2.3556829416485832513144706835936536302421267885825852784587202296535289718268517e-74,2.9959590916052552666495421816915423510301067912612851014962478867062692837860937e-74,8.4997946825008145769561787088731706052322643039939623713558975276757928486144422e-76,1.5473522932475966184669421501711740681115562226413992684751883332121043141327662e-75,2.0256883275204538848694393395055367813172929290777728685476296277160871123083688e-86,2.8500829967897861480201670107738048203975096965573124328278727119114108218811368e-81,10.240078657344324030777325319691066564553357946926931617648542688244661187358143,2.3232440626741559256731153771828762403368576365963098064851933925770010317942665e-74,3.9729262420659124062033743042259045325064530158863584812292450115018134814615297e-74,7.2825466790552097220341973530894277047684565620712328415618181945255261506045078e-74
-60,176751391644628.42612238876942087547003952821673301741445985963253314897292130246,0.00033860033026147568149150571156850431443378697600936129036944091811604643838261832,176751391644628.42578378843915939978854802250516451310002607265652378768255186154,522005963514969288.62911063448185513786948108462094110502458697237573045449102804,353502783289256.85224477753884175094007905643346603482891971926506629794584260492,9.4500840207343173506114852401799635623028953933809572752717156394455219164411874e-75,4.999037941109715267969691793973784323215678067140401465203556545438735637860673e-75,4.1145796859346829445549554073849498878161604356308810932995816182888208099957136e-75,2.7115201108537290999137239351690040308907476984870058235804290480708893348739768e-76,4.714398255600714721188276877514728091966015911484403318366336446326346297244713e-75,3.0491361331657239166588458766810755273647658591236581138820853876672548158127522e-86,1.9131470790283572886097599303593205869871193352713956722989322398239632212414529e-81,9.0578708740803741005079491589782510641733014062351323450455148445919421101682782,4.825199521744618366282239241007495628249760341235369918032921265658625535361445e-75,3.5185215941553819102370656913874410046788354916945175487477182516550944405628734e-74,5.8447992005946892098414169306584606084220540414182376136186296111262574392528135e-74
-50,145524462947440.8651555862192392415242072429500361387106212736844927620792147131,0.00050010618459851926864003913049534737433519334411660156097570879774753105653424857,145524462947440.8646554800346407222555672038195407913362860803403761605182390043,290987129191906695.97475251953054998534723316232823460535207224096464169731532181,291048925894881.73031117243847848304841448590007227742124254736898552415842942619,2.7146678886477071048094261676736515299402524400763470265508589810736827216939117e-74,1.3858445590523331421350239429624975177014357410851155253426823890750155725528845e-74,5.7379594806719645240782490007216790630957854214588944822782947548977789621633231e-75,5.4853873607308417266965058574440765131260233191841367850157417519397394660140793e-77,2.0408304504068958131674784799468472506927739113044087078037147898329488186186206e-75,1.1331798288777737222640926769726904778386871804030394715226080907887880843431971e-86,1.167516001499171432406138996231477133462496475891421114106303152296262467269384e-80,9.245146794299986638684988033761339200071950394471145319175521557637027116058752,-1.3873393838096239293828956149886661834553491151847540526527948518010456705005449e-74,1.7638432438968574907230980905344375008090601456919167870062596345997684871750528e-74,3.4196966333019719050661275677271841371146819964848470385787721301553616492865629e-74
-40,119814444061489.09444256163312702582297044231736355389511814907001179247627820557,0.00073864722955394031544174156854874229309189648523683305247821010454551252917821212,119814444061489.09370391440357308550752870074881481160202625258477495942379999547,162207938062454408.88953928398592798808553459156500356270340797317984631258535424,239628888122978.18888512326625405164594088463472710779023629814002358495255641115,5.1015402480889852327653539025832699998401209076107681556641515445363532691980096e-74,2.5802660488090313962145363853295038341095822476084528418388021670620473184735353e-74,1.2793619080817840413265205385747589735068970245671856607921664280424677575725363e-74,2.8228755589518107765924688695866889602572714291570598898004680116284214945233277e-76,1.7050223925216005772327058020266528035399387713831719486454219176548555783475575e-75,4.6045924067533417529855412927415039592565087041097429751830026804335914761351975e-86,1.6201839635345109913770336342500902512331105092089087134543789126992238708957989e-80,11.32314303192920363357768740300444608377554103084480523756473335986193921505664,2.6057326962905137560300317579417280288231546835725951023558021876028279520192373e-74,2.8271970379342462150231588214095917506554454117568376442219759890216274791834924e-74,4.4944009485308047245061056523129059535889776008138241431644975267764515475286454e-74
-30,98646655102683.779007965319593885012519696830125699427718044162733769904110580663,0.0010909677715057934332755264258724725480224229383813877577968498300067050464955879,98646655102683.777916997548088091579244170404253226879695621224352382146313730833,90421236703012843.864229433484294431166491197872062306680321820614240690215901302,197293310205367.55801593063918777002503939366025139885543608832546753980822116133,5.5898801926860738229980726191095789340526146917977058956985391131832826984381256e-74,4.6972120771158684317476367781771373267299925982168934453143923174246970817400441e-74,1.4998369190417411748788890165166910624234566256627003955406003020627700836240754e-74,6.1026675453772852841109025467991886031831424450254816505890154599746025671565744e-76,1.5739125796145821928851613801079616246253931196729598504059386792620438817910938e-75,1.3452409822965774771905855220348125713578138165483054554994007224863899479302634e-85,5.5708129713152599578296636335638346931559307883300904194367152007268553889224589e-82,16.305732423746969680721793421704931513204480995911499981259157424024479570953081,-2.8544075124343907034416415884324410724557214188980377638256948854980020932197007e-74,3.1061039697304351749564150168579032674249703460334550346903564257388706565693358e-74,4.8538130554425148236439455691385936214517338460873133129492084380938699945943479e-74
