voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.08704902634146595,-14781.811753058619,-83171.95964723155,-14781.811753058391,-83171.95964732023,-14781.811753056945,-83171.95964722814,-150,433542989.0448944,12522.845398806083,433530466.19949561,34620.16620329977,27612151867747860.0,4.2531610233709216e-08,1.2165401130914688e-08,4.325920599512756e-08,9.47329681366682e-08,4.6351487981155515e-08,1.5730620361864567e-08,1.1629586182948515e-14,1.3559438174348526e-07,-222282.83419857349,9.9149762646250796e-08,2.0937903855156037e-07,-150,-0.08704902634145514,-0.08704902634146595,-0.08704902634145432,-14781.811753079626,-14781.811753058619,-14781.811753037095,-83171.95964724311,-83171.95964723155,-83171.95964723095,-14781.811753079888,-14781.811753058391,-14781.811753036629,-83171.95964722549,-83171.95964732023,-83171.95964731471,-14781.811753081874,-14781.811753056945,-14781.811753035523,-83171.95964724387,-83171.95964722814,-83171.95964723034
-140,-0.07451884052577629,-12427.80739439014,-71312.97991263944,-12427.807394389665,-71312.9799126536,-12427.807394389356,-71312.97991263642,-140,381737748.32482421,14312.805243240478,381723435.51958096,26671.064255912224,29119609347942860.0,7.887138053774834e-09,5.77711034566164e-09,7.587004802189767e-09,1.6152625903487206e-08,7.277776603586972e-09,9.42964106798172e-09,1.5543122344752192e-15,-1.913242817845925e-09,-225528.07795320582,2.4510800223196103e-08,8.7815635652077617e-08,-140,-0.07451884052577631,-0.07451884052577629,-0.07451884052577476,-12427.807394387302,-12427.80739439014,-12427.807394382253,-71312.97991264521,-71312.97991263944,-71312.97991264105,-12427.80739438816,-12427.807394389665,-12427.807394382078,-71312.97991264105,-71312.9799126536,-71312.9799126572,-12427.807394388532,-12427.807394389356,-12427.807394382078,-71312.97991264585,-71312.97991263642,-71312.97991263776
-130,-0.06318003963464269,-10447.205579354531,-60506.77552352618,-10447.205579354531,-60506.775523496515,-10447.205579356776,-60506.77552352834,-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188989,31022657707174580.0,1.899024937301874e-08,1.2238160707056522e-08,1.8939317669719458e-08,3.6219717003405094e-08,2.708111423999071e-08,1.3562384992837906e-08,9.769962616701378e-15,-7.5110923587921534e-08,-231925.52794766618,4.367941632879543e-08,1.3829838962919894e-07,-130,-0.06318003963464515,-0.06318003963464269,-0.06318003963465246,-10447.205579349,-10447.205579354531,-10447.20557936799,-60506.77552351939,-60506.77552352618,-60506.77552353163,-10447.20557934905,-10447.205579354531,-10447.20557936799,-60506.775523532735,-60506.775523496515,-60506.77552349726,-10447.205579343878,-10447.205579356776,-10447.205579370959,-60506.77552351853,-60506.77552352834,-60506.775523532095
-120,-0.052892717387927,-8810.372037494868,-50622.6098488425,-8810.372037494324,-50622.60984884196,-8810.372037494173,-50622.60984884228,-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,1.606061600632967e+17,9.102222975343466e-09,7.639755494892597e-09,1.0251824278384447e-08,8.294591680169106e-10,1.106673153117299e-08,3.368768375366926e-09,3.635980405647388e-15,8.863161317403464e-08,-241498.47654807189,2.3596451232814351e-08,9.0583739620342385e-08,-120,-0.05289271738792624,-0.052892717387927,-0.052892717387923366,-8810.37203749453,-8810.372037494868,-8810.372037485766,-50622.60984884093,-50622.6098488425,-50622.60984884857,-8810.372037496018,-8810.372037494324,-8810.372037485766,-50622.60984884113,-50622.60984884196,-50622.60984884115,-8810.372037496425,-8810.372037494173,-8810.372037485358,-50622.60984884049,-50622.60984884228,-50622.60984883891
-110,-0.043605173149853974,-7473.179305678836,-41628.75902573916,-7473.179305678824,-41628.759025746534,-7473.179305678216,-41628.759025745385,-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,26038298714574716.0,4.612957127392292e-09,9.633367881178856e-09,4.357389116194099e-09,1.0477378964424133e-08,7.436028681695461e-09,7.887138053774834e-09,3.760880495917718e-15,5.1619599342274416e-08,-254275.0789865492,2.3785181166006277e-08,8.412320084971725e-08,-110,-0.04360517314985191,-0.043605173149853974,-0.04360517314985021,-7473.179305683021,-7473.179305678836,-7473.179305678408,-41628.75902574317,-41628.75902573916,-41628.75902573354,-7473.179305683181,-7473.179305678824,-7473.179305679048,-41628.75902573606,-41628.759025746534,-41628.759025743755,-7473.179305685495,-7473.179305678216,-7473.179305678059,-41628.7590257375,-41628.759025745385,-41628.75902574218
-100,-0.03532693490052922,-6380.921201665249,-33562.48873388073,-6380.92120166534,-33562.488733891594,-6380.921201665292,-33562.48873387836,-100,234492411.26088765,24423.715527832945,234467987.54535982,9601.0130397098346,2.1921607017842566e+17,5.427864380180836e-09,4.089088179171085e-09,4.642060957849026e-09,2.267915988340974e-08,4.2273313738405704e-09,1.257285475730896e-08,3.406996906818449e-15,1.7902443512780729e-08,-270281.61701616971,2.2550218216715411e-08,5.1303629788890248e-08,-100,-0.03532693490052755,-0.03532693490052922,-0.03532693490052581,-6380.9212016676465,-6380.921201665249,-6380.921201662219,-33562.48873388482,-33562.48873388073,-33562.48873388089,-6380.92120166721,-6380.92120166534,-6380.921201662568,-33562.488733868915,-33562.488733891594,-33562.48873388712,-6380.921201667319,-6380.921201665292,-6380.921201663092,-33562.488733888604,-33562.48873387836,-33562.48873387603
-90,-0.028089950414810997,-5475.188402356559,-26486.241020222376,-5475.188402356382,-26486.24102022354,-5475.188402356356,-26486.241020223548,-90,209429907.32486603,27914.732836956453,209401992.59202906,7502.4865381337531,24738038724572444.0,6.046320777386427e-09,1.3227690942585468e-08,4.583853296935558e-09,6.83940015733242e-09,4.083631210960448e-09,4.889443516731262e-09,5.533767888366015e-15,2.4824958374834227e-08,-289532.31116191705,9.5259763242933362e-09,5.1715687732212245e-08,-90,-0.02808995041481483,-0.028089950414810997,-0.028089950414809297,-5475.188402350883,-5475.188402356559,-5475.188402356929,-26486.24102023158,-26486.241020222376,-26486.241020218353,-5475.1884023521125,-5475.188402356382,-5475.188402356696,-26486.241020228423,-26486.24102022354,-26486.241020221583,-5475.1884023522725,-5475.188402356356,-5475.188402356231,-26486.241020228437,-26486.241020223548,-26486.24102022394
-80,-0.021910153775500547,-4701.491484046925,-20443.837877933503,-4701.4914840469555,-20443.837877925795,-4701.491484046925,-20443.837877934682,-80,188066307.04156122,31904.740639099407,188034402.30092213,5894.6195228142706,2.3801768250407773e+17,1.673470251262188e-08,4.6566128730773926e-09,1.7404090613126755e-08,3.3716787584125996e-08,1.682201400399208e-08,7.828930392861366e-09,5.35682609381638e-15,-4.0485247154720128e-08,-312015.69933213911,3.7148110457467233e-08,8.8525894170743413e-08,-80,-0.021910153775504544,-0.021910153775500547,-0.021910153775505904,-4701.491484039667,-4701.491484046925,-4701.4914840564015,-20443.83787793218,-20443.837877933503,-20443.837877936836,-4701.4914840392885,-4701.4914840469555,-4701.491484056693,-20443.83787795673,-20443.837877925795,-20443.83787792301,-4701.491484039696,-4701.491484046925,-4701.491484056518,-20443.83787792863,-20443.837877934682,-20443.837877936458
-70,-0.01676172294093997,-4015.061753483643,-15430.799274046967,-4015.0617534836674,-15430.799274052997,-4015.0617534835956,-15430.799274046534,-70,170024291.33495164,36465.062416810317,169987826.27253482,4662.6628357715572,43952102592825552.0,1.735315890982747e-08,7.727066986262798e-09,1.724401954561472e-08,3.231434675399214e-08,1.875014277175069e-08,1.3184035196900368e-08,8.579942312181288e-15,3.6787323409726014e-08,-337678.4001159512,3.727715604136897e-08,9.9823864729842171e-08,-70,-0.016761722940936332,-0.01676172294093997,-0.01676172294093139,-4015.061753491762,-4015.061753483643,-4015.0617534744088,-15430.799274049714,-15430.799274046967,-15430.799274041987,-4015.061753491478,-4015.0617534836674,-4015.061753474234,-15430.799274020683,-15430.799274052997,-15430.799274052843,-4015.061753492344,-4015.0617534835956,-4015.061753473594,-15430.799274052406,-15430.799274046534,-15430.799274039222
-60,-0.012569677864522235,-3383.3094604316784,-11385.413376861892,-3383.3094604316957,-11385.41337686029,-3383.309460431841,-11385.413376860655,-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.70340466988,3.7902268865292122e+17,9.793438948690891e-09,5.4569682106375694e-09,9.909854270517826e-09,8.383722160942852e-09,1.1394149623811245e-08,4.787580110132694e-09,4.484260185400046e-15,-1.078595681706766e-09,-366408.19443870976,2.1654321942218542e-08,7.447829375450965e-08,-60,-0.012569677864522729,-0.012569677864522235,-0.012569677864526719,-3383.309460427481,-3383.3094604316784,-3383.3094604372745,-11385.41337685789,-11385.413376861892,-11385.413376863347,-3383.3094604272483,-3383.3094604316957,-3383.309460437158,-11385.413376868673,-11385.41337686029,-11385.413376863318,-3383.30946042524,-3383.309460431841,-3383.3094604366343,-11385.413376865443,-11385.413376860655,-11385.413376862241
