voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-7.33757080235225e-07,-1.3757004359180645,2.805661020289023e-06,-0.00014592844290605087,-0.29123912600170093,-0.4773515869149736,-9.197538435387502e-09,-150,2772604398.3678417,9.6045347052819838e-05,2772604398.3677459,28867659740383.43,1.8918659900925565e+17,3.7120589269079574e-08,1.5765843362379114e-08,7.680846324462369e-08,3.8940341340332196e-08,1.5609963710527808e-08,1.7705970062893e-08,4.1469188744749463e-14,4.8805149635070004e-08,-1.0503212489289926,1.2184200572206232e-07,3.3186679994708437e-07,-150,-7.337570795633967e-07,-7.33757080235225e-07,-7.337570387660362e-07,-1.3757004472069525,-1.3757004359180645,-1.3757004100863632,2.818600572116912e-06,2.805661020289023e-06,2.802834728754533e-06,-0.00014590577365747052,-0.00014592844290605087,-0.00014585163444280624,-0.2912391649420423,-0.29123912600170093,-0.29123912653034445,-0.47735158215133505,-0.4773515869149736,-0.47735159776129876,8.5084316275055e-09,-9.197538435387502e-09,-8.239226190198679e-09
-140,-9.128076534786648e-07,-1.4307212901628126,5.104401063876651e-06,-0.00027948115366311233,-0.2680696529695565,-1.0157202625639672,-8.011726282067222e-09,-140,2315947023.6688466,9.547080033429762e-05,2315947023.6687512,24258171247746.93,1.6030934168832547e+17,4.3796524584749363e-07,2.782850147542426e-08,2.530672694998383e-07,4.3728859094871453e-07,5.1623622931984414e-08,2.686176469487143e-08,8.716054302288715e-14,4.0012917794431177e-07,-2.2454028926143534,5.2845289581860664e-07,1.1447821201312676e-06,-140,-9.128077197371373e-07,-9.128076534786648e-07,-9.128077406392078e-07,-1.4307208521975667,-1.4307212901628126,-1.4307212714532285,5.0880291737886996e-06,5.104401063876651e-06,5.115857675264124e-06,-0.00027945942346793836,-0.00027948115366311233,-0.0002797124907374382,-0.26807009025814743,-0.2680696529695565,-0.26806965449809717,-1.0157202367125135,-1.0157202625639672,-1.0157202109403443,-3.407331871548556e-08,-8.011726282067222e-09,-7.2115540206141304e-09
-130,-1.268721789923207e-06,-1.4664844632557499,8.998295671603753e-06,-0.0004882025046621865,-0.23737723171564243,-2.1365277103950318,-6.920900742123126e-09,-130,1934543938.0771687,9.4899690574898278e-05,1934543938.0770738,20385144844601.535,1.2676235753828874e+18,8.351395797134842e-09,5.496362716244629e-09,6.231563392015103e-08,1.6471021879738146e-08,1.5960696764238946e-08,1.10515987660415e-08,2.3078930530984892e-14,4.9624994884481505e-08,-4.6269919893469984,8.4198024251580119e-08,2.0269555291637376e-07,-130,-1.2687217923005725e-06,-1.268721789923207e-06,-1.2687218130021375e-06,-1.4664844716071457,-1.4664844632557499,-1.4664844696703456,8.992799308887509e-06,8.998295671603753e-06,8.997851296044246e-06,-0.0004881984452694383,-0.0004882025046621865,-0.00048826076090335846,-0.23737724800686344,-0.23737723171564243,-0.23737723153584156,-2.136527704945103,-2.1365277103950318,-2.136527694434335,4.130698023918373e-09,-6.920900742123126e-09,-3.0814817364444025e-09
-120,-1.9395498012210052e-06,-1.4427970411926188,1.5051980574993787e-05,-0.0006627312376136763,-0.19980915046858835,-4.310028874642117,-5.757061045090456e-09,-120,1616010185.6727734,9.4331997214608824e-05,1616010185.6726789,17131092666216.848,1.9765440144312099e+17,2.5535268122212074e-08,2.3162407919364214e-09,7.219708444364953e-09,1.3984665869770652e-08,2.06457428930662e-08,2.846652422008704e-08,2.776216553195855e-15,-9.7410149495283452e-08,-9.084138977161123,4.9040921911577374e-08,1.4837152633244008e-07,-120,-1.9395498019671604e-06,-1.9395498012210052e-06,-1.939549799190944e-06,-1.4427970198300955,-1.4427970411926188,-1.4427970453653636,1.5049664334201851e-05,1.5051980574993787e-05,1.505090847331303e-05,-0.0006627325969979816,-0.0006627312376136763,-0.0006627384573221207,-0.19980913665243705,-0.19980915046858835,-0.19980915063710292,-4.310028884265407,-4.310028874642117,-4.310028863619664,-2.682045249671576e-08,-5.757061045090456e-09,1.6460717233712785e-09
-110,-3.125513492637223e-06,-1.3412963957931898,2.3580290512927796e-05,-0.0002986686190697297,-0.1583536057036621,-8.175772845732322,-4.526601792953961e-09,-110,1350005640.880276,9.3767699816406944e-05,1350005640.8801823,14397341979418.584,1.1809936858075185e+18,2.405935428662076e-08,7.61947103264523e-10,1.1512958719619298e-08,1.8441149052250694e-08,1.9084426483573225e-08,7.345197806202127e-09,7.458283919251725e-15,-9.6033897920375514e-09,-16.834789588392102,8.4560279374926856e-08,2.4134052509853054e-07,-110,-3.125513494300116e-06,-3.125513492637223e-06,-3.125513500095507e-06,-1.3412963834384755,-1.3412963957931898,-1.3412964074978297,2.3580587726244884e-05,2.3580290512927796e-05,2.358105246003106e-05,-0.0002986801320284493,-0.0002986686190697297,-0.0002986770123243332,-0.15835358747638395,-0.1583536057036621,-0.158353605917533,-8.175772862479379,-8.175772845732322,-8.175772843394952,-1.1871799599156088e-08,-4.526601792953961e-09,-5.447304829431232e-09
-100,-5.0484869912638295e-06,-1.1712177382193072,3.4433111528932716e-05,0.0019444435892216174,-0.11773389383088595,-14.411941113420488,-3.3224362937244144e-09,-100,1127900024.5886757,9.3206778065525381e-05,1127900024.5885825,12101051532923.387,2.9509738071842345e+18,4.149750987281209e-09,1.2997822505800283e-09,2.8115328997227462e-09,1.333388399693547e-09,8.335476309184742e-09,6.00839632629694e-10,2.5115035105858358e-15,6.6073349481170599e-09,-29.340600231560586,1.8808219900442721e-08,6.8536879658318147e-08,-100,-5.048486990813585e-06,-5.0484869912638295e-06,-5.0484869933250885e-06,-1.1712177396184416,-1.1712177382193072,-1.1712177423690582,3.443206185175032e-05,3.4433111528932716e-05,3.44333616340009e-05,0.001944442262071684,0.0019444435892216174,0.0019444450736045837,-0.11773389249749755,-0.11773389383088595,-0.11773389352675245,-14.411941109275219,-14.411941113420488,-14.411941117610695,-3.8727019373470395e-09,-3.3224362937244144e-09,-3.923275926354108e-09
-90,-7.855615230398961e-06,-0.9634498069547921,4.7034756257768035e-05,0.008795847422390465,-0.08242822095054562,-23.444275054383304,-2.2400256417557874e-09,-90,942493845.10110617,9.2649211768720534e-05,942493845.10101354,10172713044271.178,8.7451472878100634e+17,1.6598584284821527e-08,9.226619349052062e-10,9.959221145688923e-09,6.598342719432715e-09,5.962625948541245e-09,5.71373194504371e-09,3.758734114429375e-15,-7.4066421419005881e-09,-48.257423372723416,1.8456882108821277e-08,6.6065596855158767e-08,-90,-7.855615231907344e-06,-7.855615230398961e-06,-7.85561522814861e-06,-0.9634497903562078,-0.9634498069547921,-0.9634498051484406,4.70342855780001e-05,4.7034756257768035e-05,4.703383359583313e-05,0.00879584374499295,0.008795847422390465,0.008795853704214096,-0.08242822754888834,-0.08242822095054562,-0.08242822141368755,-23.44427505389833,-23.444275054383304,-23.444275059860956,-6.3349736697734804e-09,-2.2400256417557874e-09,-6.212417247297708e-10
-80,-1.1444859420086406e-05,-0.7535204203905396,6.066577696486707e-05,0.025457390054208776,-0.05486028324191571,-34.9229405897556,-1.3047073113166378e-09,-80,787786348.140558,9.2094980853545482e-05,787786348.14046586,8554063867968.4326,2.7714525089514458e+17,1.2087237322155886e-08,1.0821336882127497e-09,1.3328023164282943e-09,1.882917567003206e-08,3.639065937477426e-09,6.747552028403547e-09,2.2801195203843785e-15,1.5532237291476791e-08,-75.587133788452277,1.7357926897630972e-08,4.7826391851401847e-08,-80,-1.1444859422366525e-05,-1.1444859420086406e-05,-1.144485942154589e-05,-0.7535204083033022,-0.7535204203905396,-0.7535204189887128,6.066631823939406e-05,6.066577696486707e-05,6.0665236105705844e-05,0.02545738917826196,0.025457390054208776,0.02545738872140646,-0.05486030207109138,-0.05486028324191571,-0.0548602832488001,-34.92294058929365,-34.9229405897556,-34.92294059293272,5.1095520705105035e-09,-1.3047073113166378e-09,-1.6379999578930438e-09
-70,-1.5207952622668539e-05,-0.566796222042127,7.473311363813484e-05,0.06217349710640914,-0.035114143807913785,-46.939350219583794,-4.403987464545836e-10,-70,658783147.3195529,9.1544065367627425e-05,658783147.31946135,7196350136668.9062,3.6751957212165361e+18,6.739360181029497e-09,1.0073761955766694e-09,7.275962762842703e-09,7.816186246845103e-09,3.1520173138233076e-09,5.314270563536172e-09,5.863814276263653e-15,5.2924200869003867e-09,-114.05063207474254,2.1809696421054751e-08,6.2302980843874711e-08,-70,-1.5207952621434686e-05,-1.5207952622668539e-05,-1.5207952616804724e-05,-0.5667962196166627,-0.566796222042127,-0.5667962153027668,7.4733310895303e-05,7.473311363813484e-05,7.473412101433041e-05,0.06217350249476467,0.06217349710640914,0.0621735043823719,-0.03511415162410003,-0.035114143807913785,-0.035114143811043164,-46.93935022229714,-46.939350219583794,-46.939350219145126,4.680921190589049e-09,-4.403987464545836e-10,-6.333493729471229e-10
-60,-1.791048043586816e-05,-0.4143987270208917,8.885382064472601e-05,0.1394671369216544,-0.021846862795460026,-55.66245200411511,5.424319707326151e-10,-60,551337579.52464306,9.0996445477949377e-05,551337579.52455211,6058891384479.9072,4.4849177916191757e+17,5.975605565922137e-10,1.249253960369269e-10,1.0257293514559507e-08,2.3396138359998986e-09,3.054012154279917e-09,2.5402571627413665e-09,4.333772923859058e-15,-7.766925659239789e-09,-167.57912422046468,1.1740738095750073e-08,3.4563306074926723e-08,-60,-1.791048043519991e-05,-1.791048043586816e-05,-1.791048043153439e-05,-0.41439872721093707,-0.4143987270208917,-0.4143987266133765,8.885391891072514e-05,8.885382064472601e-05,8.885394557012205e-05,0.13946713859156912,0.1394671369216544,0.13946714717894793,-0.021846865105374036,-0.021846862795460026,-0.0218468627657602,-55.6624520047389,-55.66245200411511,-55.66245200716912,3.0826891334739814e-09,5.424319707326151e-10,9.955556379281916e-10
-50,-1.825074622759604e-05,-0.2969093881808358,0.00010278703411772835,0.29821328943123215,-0.013322917651037262,-57.0928565534912,1.9876243992165404e-09,-50,462021042.74105328,9.0452101470136175e-05,462021042.7409628,5107908331942.9014,2.2788538308916204e+18,5.451333162653782e-09,1.3516652797029849e-09,1.2852672981455981e-08,2.7754072859376144e-09,4.525844587988104e-09,9.285692084502178e-10,2.7101801705620154e-15,-3.5206732603727491e-09,-241.87221934211689,1.2235399611404066e-08,4.6599813787983889e-08,-50,-1.825074622837465e-05,-1.825074622759604e-05,-1.825074622566447e-05,-0.2969093860810972,-0.2969093881808358,-0.29690939153243034,0.00010278568741756144,0.00010278703411772835,0.00010278703908284115,0.29821328651117857,0.29821328943123215,0.29821329936385155,-0.013322914875629976,-0.013322917651037262,-0.013322917574916104,-57.09285655573788,-57.0928565534912,-57.09285655801705,1.0590551907663226e-09,1.9876243992165404e-09,1.2479404176701792e-09
-40,-1.596255141979146e-05,-0.20966136803500707,0.0001163661554261498,0.6189768783846428,-0.008010049374025201,-50.52754438052617,4.5088159258348946e-09,-40,388018679.74162346,8.991101374774471e-05,388018679.74153358,4315585639266.0942,1.1408824074587436e+18,9.838853981536388e-08,3.4703946383274342e-09,5.205578634814856e-09,1.0018485019358536e-07,1.2028991136503464e-09,8.554238099117706e-09,1.500753324780793e-14,1.473992780484202e-07,-345.08066643253119,1.2876482428386057e-07,2.4504994559001721e-07,-40,-1.5962551434798994e-05,-1.596255141979146e-05,-1.596255142257654e-05,-0.20966128386498895,-0.20966136803500707,-0.20966138225352876,0.00011636625583211213,0.0001163661554261498,0.0001163627854374738,0.618976882467547,0.6189768783846428,0.6189768835902214,-0.008010149138954148,-0.008010049374025201,-0.008010048954103954,-50.527544379323274,-50.52754438052617,-50.52754438018201,1.2015448084407021e-08,4.5088159258348946e-09,3.4612099852893152e-09
-30,-1.1994975024395919e-05,-0.14644899705215664,0.00012944277431337108,1.2589656772042832,-0.004765164183809769,-39.172416583860695,9.235279655142175e-09,-30,327047824.44272923,8.937316283155858e-05,327047824.44263989,3659351578047.1553,5.996850711947393e+18,6.869265345432751e-08,1.452901132465833e-09,1.8292598547020589e-09,5.229844735055167e-08,1.3703129297937267e-08,1.2302199289405953e-09,8.2481222372921e-15,-3.2892526072097509e-08,-488.72831844480106,8.1038448219199062e-08,1.6482295753700798e-07,-30,-1.1994975016147797e-05,-1.1994975024395919e-05,-1.1994975022515572e-05,-0.14644905987370294,-0.14644899705215664,-0.14644899118104948,0.00012944422721450355,0.00012944277431337108,0.00012944290540062298,1.2589656753750234,1.2589656772042832,1.2589656768832356,-0.0047651128072629945,-0.004765164183809769,-0.004765165105710345,-39.172416570157566,-39.172416583860695,-39.17241658021885,9.111435439468352e-09,9.235279655142175e-09,8.00505972620158e-09
-20,-7.463996317864584e-06,-0.10139358408283043,0.000141851791067665,2.5218301058985433,-0.002810425435871415,-26.97307554744109,1.8286292031757273e-08,-20,277297689.01575446,8.8838529358886714e-05,277297689.01566565,3121367395621.0732,1.7329544089724122e+18,1.089109613883199e-07,4.961002237106275e-09,1.2259210091514205e-08,9.421818327045792e-08,2.8198066104323516e-08,6.95560808510412e-09,1.479193286954561e-14,-1.2070870147617577e-07,-689.00739396394727,1.4999483296955771e-07,3.0776588382793246e-07,-20,-7.4639963031032625e-06,-7.463996317864584e-06,-7.463996317895195e-06,-0.10139369015814736,-0.10139358408283043,-0.10139358124718598,0.00014185675206990211,0.000141851791067665,0.00014185385720999477,2.521830093639333,2.5218301058985433,2.5218301001004875,-0.0028103312176881445,-0.002810425435871415,-0.00281042330069714,-26.973075519243025,-26.97307554744109,-26.97307553547762,1.730617694983838e-08,1.8286292031757273e-08,1.1330683946653153e-08
