voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.9978454441331902e-07,-0.033275774234463956,1.5842191131064808e-08,-2.7738246282525893e-08,-0.6008162049524391,-0.012186362515895341,4.1469384487293845e-09,-150,9549419818775.627,6.8509300867020845e-10,9549419818775.627,1.3938866253082065e+22,2.6537141917829595e+19,2.556769474824916e-06,2.1499545241436206e-07,0.0001156874000683282,3.291824896223261e-06,4.953581553626685e-09,0.00012254826272649352,1.9335648130069217e-11,-5.2296033958539392e-05,-0.056710502617761636,0.00016753949511768074,0.00024295287506228365,-150,-1.9980348470747618e-07,-1.9978454441331902e-07,-1.9978414905934611e-07,-0.0332732218230376,-0.033275774234463956,-0.03327577859251243,7.258017787509999e-10,1.5842191131064808e-08,2.1572125419311305e-07,0.00011565966182204568,-2.7738246282525893e-08,-2.731111215568854e-08,-0.6008137333701598,-0.6008162049524391,-0.600817025195056,-0.012186357562313788,-0.012186362515895341,-0.01218635975681914,-0.00012068922757334241,4.1469384487293845e-09,1.8590351531511118e-06
-140,-1.1871877698187437e-07,-0.022955798594355568,-1.789142143262936e-08,-1.9912428494873418e-08,-0.3543223195860568,-0.009465540293082091,5.073808364944417e-09,-140,8408333456063.2754,7.3242035757918644e-10,8408333456063.2754,1.1480201729857297e+22,8.9627369527752991e+18,4.86148872178363e-06,3.9685271712634605e-08,0.0001667516105248271,8.085602834495553e-07,2.830869556130766e-09,0.00017243761808379018,2.7502427044841042e-11,-0.00011134108448980409,-0.053204498754238404,0.00023881321986401574,0.00034634942947725549,-140,-1.1874626886655445e-07,-1.1871877698187437e-07,-1.1871876643950961e-07,-0.022950937105633784,-0.022955798594355568,-0.02295579404037903,1.6547920295264817e-09,-1.789142143262936e-08,2.1793850280005245e-08,0.00016673068585135176,-1.9912428494873418e-08,-2.092467347533607e-08,-0.35432151102577336,-0.3543223195860568,-0.3543219529134376,-0.009465543123951647,-0.009465540293082091,-0.00946554173905073,-0.00017243254427542524,5.073808364944417e-09,-3.6942820380581054e-07
-130,-7.096418666617905e-08,-0.01616422320707054,1.6143373964672365e-08,-1.4278626448330888e-08,-0.20969024839434422,-0.007427760754442588,5.821167801160585e-09,-130,7415753176990.8701,7.8301715738958261e-10,7415753176990.8701,9.4707416140323897e+21,1.1794067182487392e+19,1.9110919382940572e-06,3.2337072918851246e-08,1.1878740609392687e-05,1.2349247526799445e-06,9.476086521367777e-10,1.5276212896427498e-05,2.279610648109489e-12,3.9894829278898882e-05,-0.049844350925466442,1.8626799461815217e-05,2.991023511824215e-05,-130,-7.096197998596075e-08,-7.096418666617905e-08,-7.096425959660886e-08,-0.01616613279475132,-0.01616422320707054,-0.016164221702813026,2.269830202108243e-09,1.6143373964672365e-08,3.460690312095949e-08,-1.1893019235841018e-05,-1.4278626448330888e-08,-1.5040750421828696e-08,-0.20969123717804905,-0.20969024839434422,-0.20969000225329637,-0.0074277602034271695,-0.007427760754442588,-0.007427761151035822,1.4789633652752709e-05,5.821167801160585e-09,-4.865792436747896e-07
-120,-4.227384963466206e-08,-0.011432303946308026,1.145543004247762e-08,-1.0246211541131484e-08,-0.1233263940216027,-0.005796644105763308,7.674546107954741e-09,-120,6554148253178.8232,8.3710926713308182e-10,6554148253178.8232,7.8295014886471914e+21,2.8751763674823664e+19,1.1888903508165682e-06,7.654861874228953e-09,2.5495443215071377e-05,2.4726756533977046e-07,2.6014876954028043e-09,2.44061831864863e-05,3.945184362256701e-12,2.7289021160137515e-05,-0.046625843707232335,3.5268039190444064e-05,5.2106285023465732e-05,-120,-4.227774233906719e-08,-4.227384963466206e-08,-4.227379715470493e-08,-0.011433492836658843,-0.011432303946308026,-0.011432306061652527,3.800568168248667e-09,1.145543004247762e-08,8.185311095587622e-09,2.5485197003530247e-05,-1.0246211541131484e-08,-1.0103494713359741e-08,-0.12332664128916804,-0.1233263940216027,-0.12332658307411748,-0.0057966415042756125,-0.005796644105763308,-0.0057966439257532395,-2.4041494575731852e-05,7.674546107954741e-09,3.646886107544489e-07
-110,-2.5270798601243772e-08,-0.008139907674305872,7.498209377248354e-09,-7.350146614234925e-09,-0.07254756222725825,-0.004510305146186488,1.0003994535519377e-08,-110,5808301213347.1387,8.9493814855379086e-10,5808301213347.1387,6.4901705472420442e+21,5.8677876872133253e+18,6.53576605688308e-07,5.960389283759336e-09,1.147993156121668e-05,4.7222238208632916e-07,7.775725176586978e-10,1.0648790422847963e-05,1.7477143862784882e-12,1.6102394766606695e-05,-0.043550778268219285,1.5812873438698826e-05,2.3645383860566869e-05,-110,-2.5272533998928796e-08,-2.5270798601243772e-08,-2.5270786284542517e-08,-0.00814056125091156,-0.008139907674305872,-0.0081399229876837,3.103751253047082e-09,7.498209377248354e-09,1.5378200934890174e-09,1.1472581414602445e-05,-7.350146614234925e-09,-6.4704585630960525e-09,-0.07254773817840032,-0.07254756222725825,-0.07254726595601824,-0.004510305923759006,-0.004510305146186488,-0.004510305191774089,-1.0638786428312444e-05,1.0003994535519377e-08,-2.346255781326967e-07
-100,-1.5181935292081272e-08,-0.0058251110721815064,6.89740333011986e-09,-5.270582396428269e-09,-0.04272468870155551,-0.003494180925450583,1.3047244219015206e-08,-100,5165039075779.6904,9.5676194396920866e-10,5165039075779.6904,5.3984579009822285e+21,7.0286114756805274e+18,4.582560950176437e-06,9.612040056813226e-09,0.00010254694130567443,5.336001139069624e-07,5.7361048489204536e-09,0.00010764767782742546,1.715939026910082e-11,0.00010936577707648438,-0.040624844552363717,0.00014886749325361185,0.00021627356764808946,-100,-1.516477590181217e-08,-1.5181935292081272e-08,-1.5181929638465133e-08,-0.005829693633131683,-0.0058251110721815064,-0.0058251133172554734,1.6509443386933086e-08,6.89740333011986e-09,1.0116107507229799e-08,-0.0001025520542261571,-5.270582396428269e-09,-5.1129204826726824e-09,-0.04272522230166942,-0.04272468870155551,-0.042724850127001446,-0.003494186661555432,-0.003494180925450583,-0.0034941810317701974,0.00010766072507164447,1.3047244219015206e-08,1.8999634537886223e-07
-90,-9.111930197715352e-09,-0.004156115830691719,2.4458001222231412e-08,-3.781564297454479e-09,-0.025024024419866526,-0.0026743802693540582,1.7075843395681948e-08,-90,4613000690100.7021,1.0228566285916005e-09,4613000690100.7021,4.509919143264946e+21,3.5186430074245218e+19,8.698282085370379e-07,1.2311783147103671e-08,4.461191244640275e-05,6.003387511555047e-07,2.1885675216548606e-10,4.562790538140119e-05,7.529783461433356e-12,-2.2770305596727317e-05,-0.037854394064458889,6.4131878564427955e-05,9.3055334614754764e-05,-90,-9.119211069694992e-09,-9.111930197715352e-09,-9.111681286233559e-09,-0.004155246002483182,-0.004156115830691719,-0.004156113537518799,1.8294018301653904e-08,2.4458001222231412e-08,3.0605801448757575e-08,4.46081308821053e-05,-3.781564297454479e-09,-3.2711285509190146e-09,-0.02502427551371511,-0.025024024419866526,-0.025023675174963955,-0.002674380419193767,-0.0026743802693540582,-0.002674380200337015,-4.5190781269660504e-05,1.7075843395681948e-08,4.371241117406832e-07
-80,-5.505587310716511e-09,-0.002975049136439541,1.6488516801407307e-08,-2.7120568703447686e-09,-0.014678112852547257,-0.0020357620126104092,2.2299838198189718e-08,-80,4142436079206.5649,1.0935172424536211e-09,4142436079206.5649,3.7881762796092869e+21,1.0941587246193437e+19,2.6411932778709797e-06,1.91260379458491e-08,7.553814389377113e-05,1.768901199739048e-06,5.4244536085157335e-09,7.9268392161553e-05,1.2533804989676838e-11,-5.343001471779617e-05,-0.03524514062536041,0.00010877869399716232,0.00015879941517945131,-80,-5.518121115706188e-09,-5.505587310716511e-09,-5.505819086588841e-09,-0.00297240794316167,-0.002975049136439541,-0.002975046762845337,3.5614554747256405e-08,1.6488516801407307e-08,2.3035775065238795e-08,7.553528457181907e-05,-2.7120568703447686e-09,-2.8593219520667718e-09,-0.014677090061013587,-0.014678112852547257,-0.014678858962213326,-0.0020357565881568007,-0.0020357620126104092,-0.0020357617565756737,-7.923116645431404e-05,2.2299838198189718e-08,3.722570723896368e-08
-70,-3.349985230573914e-09,-0.0021355507833508403,6.718270484074991e-08,-1.944283066397058e-09,-0.008617380222909136,-0.0015411481404555179,2.917158385679884e-08,-70,3745034237375.5645,1.1690592074373846e-09,3745034237375.5645,3.2034598534874892e+21,1.1665682658084936e+20,2.0749885148740356e-06,2.954563297939851e-08,3.817804615880725e-05,6.023918217579194e-07,1.510074416552487e-08,4.014838108253301e-05,6.446803204227543e-12,5.3074446466627198e-05,-0.032798742664008354,5.533383803384808e-05,8.1461647597415673e-05,-70,-3.3435384273696865e-09,-3.349985230573914e-09,-3.3499566346121146e-09,-0.0021376257718657143,-0.0021355507833508403,-0.002135551594619764,4.6797807034771974e-08,6.718270484074991e-08,7.634344001417048e-08,-3.8179990441873646e-05,-1.944283066397058e-09,-2.8027293057297205e-09,-0.008617253042757511,-0.008617380222909136,-0.008617855434579269,-0.0015411632411996834,-0.0015411481404555179,-0.0015411483052970379,4.017755266638981e-05,2.917158385679884e-08,5.853906142605503e-07
-60,-2.042823609205254e-09,-0.0015296723810150506,8.349734677556272e-08,-1.3941873372760006e-09,-0.005033517205841894,-0.0011552429202212789,3.809489217725659e-08,-60,3413776343164.6602,1.249819735286059e-09,3413776343164.6602,2.7314149767232744e+21,2.4471480214184321e+19,1.5780084278984793e-08,2.2615695499628023e-08,8.153457411777219e-07,1.9885942492692266e-07,5.719185357504902e-09,7.623454965860487e-07,1.3501780699334548e-13,1.497250029493324e-06,-0.030515302408476264,1.1399104333679222e-06,1.9222925713444083e-06,-60,-2.042688902685809e-09,-2.042823609205254e-09,-2.0428239204928022e-09,-0.0015296881610993296,-0.0015296723810150506,-0.0015296749774417623,8.182612941175402e-08,8.349734677556272e-08,6.08816512759347e-08,-8.167399285149979e-07,-1.3941873372760006e-09,-2.8683403080220684e-09,-0.00503343902528286,-0.005033517205841894,-0.005033637884707787,-0.0011552486394066364,-0.0011552429202212789,-0.0011552429639683666,8.004403887633053e-07,3.809489217725659e-08,1.8247505781388007e-07
