voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.442144277120259e-08,-0.002559623400971761,-0.039837119777678426,-0.0022543082465460882,-0.006061906678168299,-0.007601203755703632,-2.564665798977917e-05,-150,21292345740423680.0,0.00022130930545022931,21292345740423680.0,9.6210801877972353e+19,1.0838625012623041e+19,0.0033107217942032197,0.001595512882431649,5.952060602025175e-06,0.00037535828370061693,1.6115486687340308e-06,0.0007934416981543211,8.104046118207338e-10,813.15051690189375,0.0019039078949845134,0.0033470574249469458,0.0057546115367862558,-150,-2.494864570269738e-08,-2.442144277120259e-08,-2.5231847383023324e-08,-0.0009042624813559996,-0.002559623400971761,-0.004214984275559219,-0.041398280882276595,-0.039837119777678426,-0.039802767999844946,-0.002260260283946991,-0.0022543082465460882,-0.002254308223344966,-0.006110534744038887,-0.006061906678168299,-0.006437264961868916,-0.007599592208862305,-0.007601203755703632,-0.007601203757531039,-6.118184839903895e-05,-2.564665798977917e-05,-0.0008190883561441003
-140,-1.0975145068424919e-08,-0.001447713917989976,-0.016003222122533953,-0.0010891492852092984,-0.004141213337316547,-0.004418790878419281,-1.0303551924565935e-05,-140,18909310426831088.0,0.00026987564941921072,18909310426831088.0,7.0066752845338608e+19,4.5454210092166824e+19,0.0009805141796582623,0.0004605595364484544,3.452865396726102e-05,0.00034389456775274496,2.378279214099166e-05,7.577154147429936e-05,2.3617386699513996e-10,803.39407605035012,-0.00055892324235173874,0.001011750152076576,0.0018943361937684238,-140,-1.082706032658749e-08,-1.0975145068424919e-08,-1.0738971201429779e-08,-0.001937971197094157,-0.001447713917989976,-0.0009574570174358948,-0.015542662586085498,-0.016003222122533953,-0.015995476864191005,-0.0011236779391765594,-0.0010891492852092984,-0.00108914932344115,-0.004190909093722439,-0.004141213337316547,-0.003847014525969694,-0.004395008087158203,-0.004418790878419281,-0.004418790879299195,6.546798954973343e-05,-1.0303551924565935e-05,1.5748058612066696e-05
-130,-5.020347040634237e-09,-0.000828388119351922,-0.006414233109854501,-0.0005253109765689545,-0.0025465498684771673,-0.0025642537545619614,-4.127915427259223e-06,-130,16793263911582572.0,0.00032909988127824235,16793263911582572.0,5.1027863779095257e+19,7.242913940475931e+19,0.0006465343819665945,0.00032438135247048194,9.590424776185439e-06,7.3843334688517e-05,5.072588438373871e-05,2.825468955928872e-05,8.956165051436195e-11,794.22445749644783,-0.00036590042054740479,0.00048033369935250201,0.00086011480482230801,-130,-4.930785390119875e-09,-5.020347040634237e-09,-4.9435617471939845e-09,-0.0011516553926185225,-0.000828388119351922,-0.000505121010651928,-0.006091465009376407,-0.006414233109854501,-0.006415846361846889,-0.0005349013954401016,-0.0005253109765689545,-0.0005253109706639162,-0.002595020698663575,-0.0025465498684771673,-0.002521177363975058,-0.0025135278701782227,-0.0025642537545619614,-0.0025642537534622534,5.169386107339857e-06,-4.127915427259223e-06,2.4126774132029495e-05
-120,-2.293512625396059e-09,-0.00046046360386432946,-0.0025661122969448556,-0.00025306735722235786,-0.0013867798590197402,-0.0014863263487601064,-1.6523586662421164e-06,-120,14914300990585082.0,0.00037918357139880073,14914300990585082.0,3.9332666590924603e+19,8.8947621312696762e+19,2.706008157868367e-05,5.1788105265448796e-05,3.7262525435412122e-06,9.087842750083765e-05,2.4770605585596774e-05,1.6755844664693595e-05,2.416502239448612e-11,785.60442966024971,1.5220593240883318e-05,0.00011525862651175476,0.00024779569453225309,-120,-2.282249142894114e-09,-2.293512625396059e-09,-2.3064141652886e-09,-0.0004469339951924667,-0.00046046360386432946,-0.00047399407677115035,-0.002530719735659659,-0.0025661122969448556,-0.002514324191679407,-0.00024934113025665283,-0.00025306735722235786,-0.00025306738280019404,-0.0013990596185067261,-0.0013867798590197402,-0.0014776582865205778,-0.0015110969543457031,-0.0014863263487601064,-0.0014863263488678058,-6.601962443397724e-08,-1.6523586662421164e-06,1.5103485998451478e-05
-110,-1.0333785279896031e-09,-0.00024327433495630014,-0.0010239351696091049,-0.00012181397969359217,-0.0006763335111583029,-0.0008608616504519217,-6.608740253076841e-07,-110,13245866318463050.0,0.00038932732610339995,13245866318463050.0,3.4022441864111874e+19,1.5792432831631812e+20,0.0002761919419738204,0.00012994083476769447,1.813505670906045e-06,3.362729218963343e-05,3.7261137023664247e-05,4.913965750413757e-05,2.97233827573546e-11,777.51290920831411,0.00015452546642791276,0.00021597031803419155,0.00046766693119822757,-110,-1.0631019107469578e-09,-1.0333785279896031e-09,-1.0622765513570766e-09,-0.00010517811267618526,-0.00024327433495630014,-0.0003813700546500057,-0.0011479267850518227,-0.0010239351696091049,-0.0010179859502841282,-0.00012362748384475708,-0.00012181397969359217,-0.00012181397817385104,-0.0006427062189686694,-0.0006763335111583029,-0.0006472402214070527,-0.0008981227874755859,-0.0008608616504519217,-0.000860861650608058,-4.545649160497822e-06,-6.608740253076841e-07,-4.980053152944526e-05
-100,-4.5858971054490845e-10,-0.00011837536618993665,-0.00040599115332012935,-5.859981780650037e-05,-0.0003033114760100276,-0.0004983320276682753,-2.641713848247339e-07,-100,11764379176441252.0,0.00039974244214131723,11764379176441252.0,2.9429897694681866e+19,2.863504392773574e+20,0.00033179664778704154,0.00016597364492554334,2.392641813168787e-06,0.00012518666382921317,9.380336528502027e-06,7.777483389448668e-06,8.571292038268755e-11,769.92786519734773,-0.00018474222588338307,0.00019977151754948074,0.00035278599564487659,-100,-5.069064803162018e-10,-4.5858971054490845e-10,-4.2119355993351423e-10,4.7523157775231084e-05,-0.00011837536618993665,-0.00028427349001181046,-0.0004526480915956199,-0.00040599115332012935,-0.0002866744466700766,-5.620718002319336e-05,-5.859981780650037e-05,-5.8599821836362146e-05,-0.00040692660286367754,-0.0003033114760100276,-0.00028173993903446437,-0.0005077123641967773,-0.0004983320276682753,-0.0004983320278597603,-4.294196443821452e-06,-2.641713848247339e-07,-8.041654774273402e-06
-90,-2.0086847236694313e-10,-4.866265407538964e-05,-0.0001578054817523481,-2.817708480703041e-05,-0.0001289189225525703,-0.00028835393273882745,-1.0555238907458244e-07,-90,10448900271738292.0,0.00041043617885343426,10448900271738292.0,2.5458039057199116e+19,3.7413334931033856e+20,0.0001287685250993282,6.420904786727999e-05,4.497498887866207e-07,7.981222426050894e-05,5.589497924374329e-06,1.5965925804852137e-05,2.9503175485152886e-11,762.83673660640375,-7.1381041493623343e-05,0.00010801153237433845,0.00021725229950546264,-90,-2.2315147408889706e-10,-2.0086847236694313e-10,-1.9364829860374417e-10,1.5721512909294688e-05,-4.866265407538964e-05,-0.0001130470121900335,-0.0001474921591579914,-0.0001578054817523481,-9.359643388506811e-05,-2.7727335691452026e-05,-2.817708480703041e-05,-2.8177085580238647e-05,-0.00020873114681307925,-0.0001289189225525703,-0.0001406773418284324,-0.0002827644348144531,-0.00028835393273882745,-0.0002883539326035134,-5.960024853368662e-07,-1.0555238907458244e-07,-1.607147819392672e-05
-80,-8.605993513422832e-11,-1.1997510241729307e-05,-5.7178775621835876e-05,-1.354369816804406e-05,-5.321965664890422e-05,-0.0001667964120990813,-4.2158412133728356e-08,-80,9280835860327796.0,0.00042141598977937621,9280835860327796.0,2.2022979871235047e+19,2.154920683140714e+20,0.0003028955408223583,0.00017580739537770258,9.522169592427912e-07,0.0001013891663312429,6.034251657638379e-05,6.858908194472962e-06,7.535428467009107e-11,756.22353017101318,-0.00016721789938856091,0.00019418470137336677,0.00037724619130096056,-80,-6.614078329140398e-11,-8.605993513422832e-11,-1.4149506796149505e-10,-0.00016344550022040494,-1.1997510241729307e-05,0.0001394500406019534,-8.820061339065433e-05,-5.7178775621835876e-05,-0.00023298617099953844,-1.259148120880127e-05,-1.354369816804406e-05,-1.3543694867752885e-05,4.8169509682338685e-05,-5.321965664890422e-05,-3.7194326424350166e-05,-0.00010645389556884766,-0.0001667964120990813,-0.00016679641214523144,7.706178434263578e-07,-4.2158412133728356e-08,-6.088290351046605e-06
-70,-3.377925189380465e-11,8.686771710908532e-06,-1.5076378400635356e-05,-6.5079896343189465e-06,-2.159780429144387e-05,-9.645449895173165e-05,-1.6832936279072013e-08,-70,8243675012305202.0,0.00043268952785263312,8243675012305202.0,1.9052171318351991e+19,3.7626925063050609e+21,8.651326388477067e-05,5.360938636726997e-05,5.605648753288097e-07,4.425977910371692e-05,4.349720700247417e-05,8.420341171853441e-07,2.9721201259966585e-11,750.06778803647433,4.7577299369550019e-05,7.8104404671340731e-05,0.00017552787808905928,-70,-4.332453931388615e-11,-3.377925189380465e-11,-1.3603338053919566e-11,5.1943550602118194e-05,8.686771710908532e-06,-3.456971328265248e-05,5.396490450948477e-06,-1.5076378400635356e-05,3.8533007966634614e-05,-5.947425961494446e-06,-6.5079896343189465e-06,-6.5079908368232555e-06,-6.24629351477779e-05,-2.159780429144387e-05,-1.8203156044060975e-05,-0.0001399517059326172,-9.645449895173165e-05,-9.645449893014302e-05,2.2067367752565126e-07,-1.6832936279072013e-08,-6.213604396596928e-07
-60,-9.062918615129347e-12,1.8767169636301796e-05,4.258687353439403e-06,-3.1263890819803724e-06,-8.693201944448649e-06,-5.576321558037138e-05,-6.719268797017316e-09,-60,7322756307404566.0,0.0004442646507346575,7322756307404566.0,1.6482869603276567e+19,6.8254761783359984e+21,0.00023205878116131125,0.00011917253556248397,1.891195413019004e-07,3.399996774485205e-05,7.357886358222627e-05,1.5611871758950302e-06,4.7752702105769296e-11,744.35694944856425,0.00012715574757748982,0.00014170997216936528,0.00023764792367655295,-60,-1.980150572599828e-11,-9.062918615129347e-12,2.7951196379771014e-11,0.00013479666131388512,1.8767169636301796e-05,-9.726211984742612e-05,2.1050800569355488e-06,4.258687353439403e-06,0.00012127761561941952,-3.3155083656311035e-06,-3.1263890819803724e-06,-3.126388824329203e-06,-4.26931696893007e-05,-8.693201944448649e-06,-1.1365737608404203e-05,-0.00012934207916259766,-5.576321558037138e-05,-5.5763215613069406e-05,-2.214003931994002e-07,-6.719268797017316e-09,1.33978678269563e-06
