voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,0.00061144470731032769028991976811342609048558547313436402904920132310346704458400169,1908.3792362993998788759908426256743165774465084836299034463124933770949074651059,-150,216927752600.86608727820612488588527564226443598843833382060935266532102283909751,4681.2005655227091123382589248060163750090833088573763875524007099776875539238675,216927747919.66552175549701254762635083624806097935502496323296511292031286140996,46340196.1878220965444339739904678413038714636335486767475817539189109299391298,433855505201.73217455641224977177055128452887197687666764121870533064204567819502,3.316288725156266736148359115315353435308544139943532051849102132544739252414372e-75,1.0624558864662011687038797286045566031207695455668261515312745548741801668242961e-81,135106623.9009101684163012616024620124620029068913921625014316585064342174822994,5.3961030837271175413070002424479437542389015582756883533139285876242919664150537e-77,9.10259152471622025608065569848745923418144639529695414512354025291183372282057e-76,2.0349404969604647222576462318090942302924725358314525832330041556923165262391454e-75,-150,0.00061144470731032769028991976811342609048558547313436402904920132310346704458400191,0.00061144470731032769028991976811342609048558547313436402904920132310346704458400169,0.00061144470731032769028991976811342609048558547313436402904920132310346704458400195,0.00061144470731032769028991976811342609048558547313436402904920132310346704458400275,1908.3792362993998788759908426256743165774465084836299034463124933770949074651066,1908.3792362993998788759908426256743165774465084836299034463124933770949074651059,1908.3792362993998788759908426256743165774465084836299034463124933770949074651067,1908.3792362993998788759908426256743165774465084836299034463124933770949074651092
-140,0.0011689480813280378983901637735489129011520976825542484322401385723143538254796378,3648.4022513359486812356599706202500333856871613918509944126184405748313429619026,-140,218117583654.74496165487395888934578784887773846102720336715978924308310156421779,5713.0590063588017556147971886183103071389858713988887001621131679905897451157089,218117577941.68595529607220327454859923056743132204133196827108908096993357362804,38178773.125216055370517102810043678451661072061955825891763121233091915112077735,436235167309.48992330974791777869157569775547692205440673431957848616620312843557,2.0381357790022889315911790396208942987833760860069624068655940189597876655463328e-75,6.5271030234454606682001913559621016121954253090055017448723649979673471489011988e-82,153504901.05375052585781878769288179206106595469846735344794516134319969487381383,-8.0312684381971918852041565540984553548487984721499451883395133854111006611498914e-76,6.7636749454412249125417103388247934260272615996601183475286241007668994080233004e-76,1.153062935302256861513423874579937266403541928162468504115482453591370332727353e-75,-140,0.0011689480813280378983901637735489129011520976825542484322401385723143538254796379,0.0011689480813280378983901637735489129011520976825542484322401385723143538254796378,0.0011689480813280378983901637735489129011520976825542484322401385723143538254796376,0.0011689480813280378983901637735489129011520976825542484322401385723143538254796373,3648.402251335948681235659970620250033385687161391850994412618440574831342961903,3648.4022513359486812356599706202500333856871613918509944126184405748313429619026,3648.4022513359486812356599706202500333856871613918509944126184405748313429619022,3648.402251335948681235659970620250033385687161391850994412618440574831342961901
-130,0.0017193505907219455242633571270311036008630857275585791725063695089422034544571195,5366.2627675466467264607382208149147215125469779821099829354258583498854322985485,-130,219319289536.11779573493658563682707964345083612284009103215106300539924655611493,6972.3659034235194195459672326302196640466979528062247902370708429167474639239436,219319282563.75189231141716609085984701323117207614213822592627276832840363936747,31455504.856454717043355596040546855806256656358381688691900508917972245256041489,438638579072.23559146987317127365415928690167224568018206430212601079849311222986,1.0881572379419000227986803347128503459606160459189714545129866372412425671984658e-75,3.500339160838259664334487477960748498653698115239543522486757254430438534111053e-82,176731375.56533882222136130992957558552629517540688854580139720398630034188211048,1.1092919069348028498050035950778973778791789855620506394335215966238848402434929e-76,5.4320674644592796998832471300462483102936686779724514573084705637982592290228671e-76,8.9300503796655434610548861197177490708943210394588922625043805455848315813247948e-76,-130,0.0017193505907219455242633571270311036008630857275585791725063695089422034544571193,0.0017193505907219455242633571270311036008630857275585791725063695089422034544571195,0.0017193505907219455242633571270311036008630857275585791725063695089422034544571194,0.0017193505907219455242633571270311036008630857275585791725063695089422034544571197,5366.2627675466467264607382208149147215125469779821099829354258583498854322985479,5366.2627675466467264607382208149147215125469779821099829354258583498854322985485,5366.2627675466467264607382208149147215125469779821099829354258583498854322985481,5366.262767546646726460738220814914721512546977982109982935425858349885432298549
-120,0.002311023211895490247853222908042528463455906483398674632247720761903850581366957,7212.9313729572108759381020564180102719953214328371599690884861808521652464308399,-120,220533908941.68768755544639174586978996376361308426124466422273715708450621434516,8509.256816201998151714498272679011397369802128000459042877690051503725478774307,220533900432.43087135344824003137151728475221571445911666376369427939445471061968,25916941.244713810189686599983200776448687827936472026589496469970828434441716124,441067817883.37537511089278349173957992752722616852248932844547431416901242869032,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,7.1242197038237520227043098080848175325539973404287179928259882943113631341319078e-82,205774014.93623991285580356607821696061029186424370605688298732129670957269688314,2.6041630564248334567713024816163001900248798540027634474318326762406273847816593e-76,5.7016380540180284676780257811517759025914063195938362133664526124040895195860332e-76,1.0836031511811967789761838891508932222749536826120719561809385168376839699580252e-75,-120,0.0023110232118954902478532229080425284634559064833986746322477207619038505813669568,0.002311023211895490247853222908042528463455906483398674632247720761903850581366957,0.0023110232118954902478532229080425284634559064833986746322477207619038505813669569,0.0023110232118954902478532229080425284634559064833986746322477207619038505813669563,7212.9313729572108759381020564180102719953214328371599690884861808521652464308395,7212.9313729572108759381020564180102719953214328371599690884861808521652464308399,7212.9313729572108759381020564180102719953214328371599690884861808521652464308397,7212.9313729572108759381020564180102719953214328371599690884861808521652464308377
-110,0.0029833069057834197076253322553984146472772188955412914947454739466404758671250163,9311.1950867147935655411385096460474767083945970219473368752347555248978493302548,-110,221762703262.60521954099912769439063964767539583608179095701882052082697597546455,10384.918486352993637578510217579788450344813118003706083891343814033560968468642,221762692877.68673318800549011588042206788694549126867295331273662948316194190358,21354303.70050834178495644732197215524238039487017131375198788568939332390114404,443525406525.2104390819982553887812792953507916721635819140376410416539519509291,1.9863187676717222638388609284440919013566800838203447185554517981387761147273582e-75,6.3829714109403558584923006951048943210743906807309323057111455816084467386730966e-82,241849988.97280116388911024072696496156419459880960678491272002229076663111190099,2.4451162104921718124240631538341804351364995759899017641824188647817661581588894e-76,1.0624400613628251721102733940596189923354848275818518494608454485149428246415682e-75,2.0800490189424248678526551358328185044817794818462291131524898372323748096806727e-75,-110,0.0029833069057834197076253322553984146472772188955412914947454739466404758671250163,0.0029833069057834197076253322553984146472772188955412914947454739466404758671250163,0.0029833069057834197076253322553984146472772188955412914947454739466404758671250164,0.0029833069057834197076253322553984146472772188955412914947454739466404758671250158,9311.1950867147935655411385096460474767083945970219473368752347555248978493302549,9311.1950867147935655411385096460474767083945970219473368752347555248978493302548,9311.1950867147935655411385096460474767083945970219473368752347555248978493302552,9311.1950867147935655411385096460474767083945970219473368752347555248978493302532
-100,0.0037715743080507475408860039365116079881419738678154307732604953936106481706051693,11771.455393416815641381035816171054213465489431559757769363950789570753691561614,-100,223007205597.66403939300144321923785601008553223892377272970434804807618504750013,12674.024805885700632228953691912677082700004654413866358864939883782486402397059,223007192923.63923350730081099028416409740844953891911831583798918313630126501373,17595610.629868859242276991621847126617177560816398860539379743456642033715279186,446014411195.32807878600288643847571202017106447784754545940869609615237009500027,1.537238002806811143318770631578471123658648064869658086534219217690009340962912e-75,4.9004748251735635300682824691450478981151773613353609314814601562026139477554742e-82,286453322.07511375243684963369870165771469607847428928809138661337432444401322354,3.419310509671846959016741294230930723808063388309486377393415808099079198572623e-76,7.3591331684570532885985872930381823858649915904933203496342346757867288045285559e-76,1.5539608642004035456043019995391483919751461261501754926192415769231166575053332e-75,-100,0.0037715743080507475408860039365116079881419738678154307732604953936106481706051692,0.0037715743080507475408860039365116079881419738678154307732604953936106481706051693,0.0037715743080507475408860039365116079881419738678154307732604953936106481706051694,0.0037715743080507475408860039365116079881419738678154307732604953936106481706051697,11771.455393416815641381035816171054213465489431559757769363950789570753691561614,11771.455393416815641381035816171054213465489431559757769363950789570753691561614,11771.455393416815641381035816171054213465489431559757769363950789570753691561615,11771.455393416815641381035816171054213465489431559757769363950789570753691561616
-90,0.0047111513346488625819526245565949951164506493869154545649560611064272472813450151,14703.967960826662983928241447676858407623993059140933836623277245393762742371742,-90,224269280570.45507191119107073810007285036883236375711639738413118108558354301991,15467.709736123017281196552385505275450271636758978770195279928009801027100303078,224269265102.74533578817378954154768734509338209212035741861393590115757374199281,14499191.179331516570732257601874065107025679312732399927738566384666996895035825,448538561140.91014382238214147620014570073766472751423279476826236217116708603982,2.5563058923079556091143601513889182730503361078731392899670162271699031737360784e-75,8.1537312217173578063321002427791553262756732566756425582632698397320803500469234e-82,341413803.46849068874159976702900235406819282268730730048333076378180396045385665,-1.0056470126320405578232922632573022108186852802911396952898261372887420958317437e-75,1.195438581726538991572569086853317507759051704646429164054679593362652290290749e-75,2.0708364606836897675523685291203010951750663167284207964987447999516071481313347e-75,-90,0.0047111513346488625819526245565949951164506493869154545649560611064272472813450152,0.0047111513346488625819526245565949951164506493869154545649560611064272472813450151,0.004711151334648862581952624556594995116450649386915454564956061106427247281345015,0.0047111513346488625819526245565949951164506493869154545649560611064272472813450144,14703.967960826662983928241447676858407623993059140933836623277245393762742371743,14703.967960826662983928241447676858407623993059140933836623277245393762742371742,14703.967960826662983928241447676858407623993059140933836623277245393762742371742,14703.96796082666298392824144767685840762399305914093383662327724539376274237174
-80,0.0058404142557335943440300502289380458983776317342892401079349637461236449528578842,18228.508913026200496879270528084069367251930582032507507101223172246249261826332,-80,225551197331.94501697974127408878427546740373182198081838151070453568296445980722,18877.195535379515684302800318298524325034661946058700361837779824212487745968427,225551178454.74948160022558978598395716887940678731887232281034269790314024731948,11948342.480704744874959117921179148016433836020113180275613131535439024536811995,451102394663.89003395948254817756855093480746364396163676302140907136592891961445,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.7179104072391192687773667475930517754252244188918808527544232799106934500156411e-82,408969418.37817505798981552559934060071586300813525085680834705900050367686716849,7.3160284065271168736943168950888934846374002690550490073824343939513151269159208e-77,6.8639239371999554822918136241633696296970353788160978564681362829339393519333312e-76,1.3571282546625438517200156627271692769763392719909161752207791777626301839260669e-75,-80,0.0058404142557335943440300502289380458983776317342892401079349637461236449528578843,0.0058404142557335943440300502289380458983776317342892401079349637461236449528578842,0.0058404142557335943440300502289380458983776317342892401079349637461236449528578843,0.0058404142557335943440300502289380458983776317342892401079349637461236449528578845,18228.508913026200496879270528084069367251930582032507507101223172246249261826332,18228.508913026200496879270528084069367251930582032507507101223172246249261826332,18228.508913026200496879270528084069367251930582032507507101223172246249261826332,18228.508913026200496879270528084069367251930582032507507101223172246249261826333
-70,0.0072033869588638959780703279894382809713755160663928222446406834752003303509242425,22482.481145018403065305847873049091209928531126862860802434149336740427475896892,-70,226855718654.88198229482668553181262387066007662590104850506907680367292746098376,23038.220742450465939372495917001497750982233359828013427436732345136020512692154,226855695616.66123984436074615931670686916232564366768867705564936694058232496325,9846928.7707134113836417034627131732478815078834178744508207978036257003617352102,453711437309.76396458965337106362524774132015325180209701013815360734585492196752,9.6725087817057779804327140863364475196499204081686351512265478865888228195419183e-76,3.0473540929650731195382596866952398694161607120908967136943533744453229591084461e-82,491855122.94410883935761030927682134545363711864585795273765350300353725151801936,2.0541538581121819693413348717487452474141657940803676764498709240442126076856395e-77,2.5043082158114983364878624029245690129612104251712311309087063367449034290206103e-76,5.8861817733932261685488567099377453413276207369569505085381522096507143025605137e-76,-70,0.0072033869588638959780703279894382809713755160663928222446406834752003303509242425,0.0072033869588638959780703279894382809713755160663928222446406834752003303509242425,0.0072033869588638959780703279894382809713755160663928222446406834752003303509242425,0.0072033869588638959780703279894382809713755160663928222446406834752003303509242428,22482.481145018403065305847873049091209928531126862860802434149336740427475896892,22482.481145018403065305847873049091209928531126862860802434149336740427475896892,22482.481145018403065305847873049091209928531126862860802434149336740427475896892,22482.481145018403065305847873049091209928531126862860802434149336740427475896893
-60,0.0088521277392337796596533089325869505576785615181843983503948675317358310588452438,27628.363730442509697356654832039084843270217274536394391533370072332355329507522,-60,228186209667.07795517017336894806737546390191927611967283570930711325141391238162,28116.44420290761513788636150604753246324947232600770605897522244377919149551001,228186181550.63375226255823106170586941636945602664734682800324813802897013319013,8115756.317560257468326606229645360034056751333707652240035284934478686854837579,456372419334.15591034034673789613475092780383855223934567141861422650282782476324,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-83,593411451.26160411705733135978302944623694665504568615749079909034588671245428142,5.7025516001893998132847828544007991192692704982094129071602515615604043357731809e-77,5.5669740756957080302941933759652264711092557319319055066737912164664458899884471e-76,1.1497199441038444209060349407316155387737884945113504621151934161601216917775988e-75,-60,0.0088521277392337796596533089325869505576785615181843983503948675317358310588452438,0.0088521277392337796596533089325869505576785615181843983503948675317358310588452438,0.0088521277392337796596533089325869505576785615181843983503948675317358310588452438,0.0088521277392337796596533089325869505576785615181843983503948675317358310588452437,27628.363730442509697356654832039084843270217274536394391533370072332355329507522,27628.363730442509697356654832039084843270217274536394391533370072332355329507522,27628.363730442509697356654832039084843270217274536394391533370072332355329507522,27628.363730442509697356654832039084843270217274536394391533370072332355329507522
