voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,1.5250296050282256e-06,9.519535611911522,-150,236011738510.54465,11240.851615800242,236011727269.69302,20995894.846508287,8.6096821396643158e+20,8.227769285440445e-06,1.3180886393674286e-12,2.0527036956035473e-05,-294296.77236724453,9.9704885327771891e-06,1.6319359911645182e-05,-150,1.525028868875932e-06,1.5250296050282256e-06,1.5250301739273855e-06,1.5250301869645713e-06,9.519531016703695,9.519535611911522,9.519539163092295,9.51953924447298
-140,2.3063716013268877e-06,14.396826475199049,-140,256156845770.39572,12940.405274891198,256156832829.99045,19795117.720727604,5.4019508167432009e+21,2.0446503185667098e-05,3.2755298103421214e-12,1.5942899161688639e-05,-284175.97645274672,2.8101241590163958e-05,4.0324297544131209e-05,-140,2.3063715150819595e-06,2.3063716013268877e-06,2.30637478002904e-06,2.30637479061177e-06,14.396825936841196,14.396826475199049,14.396846317284895,14.396846383344382
-130,3.1832788198404024e-06,19.870654306119867,-130,278035009332.50494,14896.921906082005,278034994435.58301,18663923.398765411,5.7377318631152366e+20,1.9979452154927912e-05,3.200708235336937e-12,2.6341268962342138e-05,-274566.58410820476,2.7474310763573354e-05,3.9944541092656449e-05,-130,3.1832788839756683e-06,3.1832788198404024e-06,3.183281989477995e-06,3.1832820205486377e-06,19.870654706464848,19.870654306119867,19.87067409162294,19.870674285572022
-120,4.189831435233911e-06,26.153754277365238,-120,301795019610.16345,17149.252868185136,301795002460.91058,17598143.891740382,2.721025296337049e+21,3.5192010258811024e-05,5.6377600435241165e-12,3.5694252796027025e-05,-265443.24291656091,4.7536906612406181e-05,7.0401456224214107e-05,-120,4.189831825720978e-06,4.189831435233911e-06,4.189837072993954e-06,4.189837058468163e-06,26.15375671486254,26.153754277365238,26.153789469375496,26.15378937870264
-110,5.365028059051734e-06,33.489563414804834,-110,327598448014.81635,19742.123627357163,327598428272.69269,16593880.891357344,2.3798357440462533e+20,8.001737654694807e-07,1.2818783764366936e-13,4.1430736246184097e-06,-256781.95320452965,1.0309724345274539e-05,2.0641587372507248e-05,-110,5.3650281872395716e-06,5.365028059051734e-06,5.365028102148425e-06,5.36502811688811e-06,33.4895642149786,33.489563414804834,33.48956368382288,33.4895637758309
-100,6.75415574431468e-06,42.160772436421226,-100,355620744686.1051,22727.021889152453,355620721959.08319,15647485.465565637,1.6908430580315891e+21,2.161142829493201e-05,3.46215081258684e-12,4.3595702322818397e-05,-248560.01274894111,2.2815353911906421e-05,3.9631104550290341e-05,-100,6.754152583006478e-06,6.75415574431468e-06,6.754156045157291e-06,6.75415601467886e-06,42.16075270291185,42.160772436421226,42.160774314340145,42.160774124087766
-90,8.410426905436758e-06,52.49954372931809,-90,386052430506.73828,26163.220011157417,386052404343.51825,14755539.65995411,4.7732320690245383e+20,1.354146677101653e-05,2.1693429760611792e-12,-3.1157734696307671e-05,-240755.96727861636,1.5250042824317502e-05,2.7082964855366931e-05,-90,8.410429074779734e-06,8.410426905436758e-06,8.410427116415734e-06,8.410427115830267e-06,52.49955727078486,52.49954372931809,52.49954504629048,52.49954504263587
-80,1.0396833385917557e-05,64.89908480597727,-80,419100391500.30444,30118.951998675409,419100361381.35242,13914839.783228045,1.5835349996923657e+20,1.2469653398738956e-05,1.9976384743158448e-12,5.4650710133719027e-07,-233349.5648355828,1.0277656717283764e-05,1.7271490776633435e-05,-80,1.0396834660729382e-05,1.0396833385917557e-05,1.0396832663090908e-05,1.0396832675120117e-05,64.89909276360413,64.89908480597727,64.89908029395073,64.89908036903944
-70,1.2788339554814191e-05,79.8273380450324,-70,454989284405.69043,34672.768455551522,454989249732.922,13122381.184789449,1.7977412205439294e+20,8.696631994098425e-06,1.3932004455533085e-12,-1.0621593986570588e-06,-226321.71740741489,7.9419780286134313e-06,1.4612589109998415e-05,-70,1.2788338387904001e-05,1.2788339554814191e-05,1.2788339779150205e-05,1.2788339781104447e-05,79.82733076094883,79.8273380450324,79.82733944538205,79.82733945758082
-60,1.5674465502341974e-05,97.84310550775265,-60,493963062977.05566,39915.096395955617,493963023061.95929,12375344.357858203,6.6284871241514602e+20,4.2197352456696535e-06,6.760015859802807e-13,-2.1807402347917559e-05,-219654.46844408664,5.4120475490996522e-06,8.473941526978071e-06,-60,1.567446617834356e-05,1.5674465502341974e-05,1.5674465632926364e-05,1.567446562616222e-05,97.8431097274879,97.84310550775265,97.84310632288617,97.84310628066305
