voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,2.6990066909827e-10,0.0008423866076725031,-150,416373.11552211206,8.3628504269429141e-09,416373.11552210368,49788420725625.672,1.1624724114526331e+17,1.4223654806050368e-12,4.557259044029877e-19,2.7867774277448576e-12,-0.0016883405692692012,1.9824092551210604e-12,2.8973190491742018e-12,-150,2.699006695539959e-10,2.6990066909827e-10,2.6990066911861616e-10,2.6990066912548e-10,0.0008423866090948686,0.0008423866076725031,0.0008423866077360056,0.0008423866077574282
-140,2.9916934908272495e-10,0.0009337370445777933,-140,460161.30011079623,7.5670199877359512e-09,460161.30011078867,60811429183032.5,12092052517187240.0,1.2065629853737214e-11,3.8658278172847506e-18,2.3794986705842625e-11,-0.0018711030009871759,1.6833011204610884e-11,2.4163488972304276e-11,-140,2.9916935294855277e-10,2.9916934908272495e-10,2.9916934919454587e-10,2.9916934919900277e-10,0.0009337370566434232,0.0009337370445777933,0.0009337370449267974,0.0009337370449407079
-130,3.3143185460825533e-10,0.001034431506267963,-130,508554.93365654355,6.8469228279294947e-09,508554.93365653668,74274962116132.141,47295526537919336.0,5.495850085787679e-12,1.760870396645667e-18,1.0878345750239826e-11,-0.0020726430889817233,7.6899562753035151e-12,1.102307416352144e-11,-130,3.3143185636912573e-10,3.3143185460825533e-10,3.314318546517519e-10,3.314318546447109e-10,0.0010344315117638131,0.001034431506267963,0.00103443150640372,0.0010344315063817444
-120,3.67011212037966e-10,0.0011454781898812922,-120,562038.35590954183,6.195351973115194e-09,562038.35590953566,90719358375200.344,25160515498713128.0,4.42573451844841e-12,1.418005325212144e-18,-8.7813328657204703e-12,-0.0022949649294374528,6.1840772510170433e-12,8.8728409385410711e-12,-120,3.6701121061996067e-10,3.67011212037966e-10,3.670112120128224e-10,3.670112120102527e-10,0.0011454781854555577,0.0011454781898812922,0.0011454781898028166,0.0011454781897947963
-110,4.0626359501453035e-10,0.0012679887484848013,-110,621146.8469360976,5.6057862831775406e-09,621146.84693609201,110804589322304.94,43358454564270152.0,8.086880774402228e-12,2.59103656252334e-18,1.605619998935881e-11,-0.0025402838445778763,1.1337970889424785e-11,1.6190502389289152e-11,-110,4.062635976055669e-10,4.0626359501453035e-10,4.0626359505610837e-10,4.0626359505718004e-10,0.001267988756571682,0.0012679887484848013,0.0012679887486145706,0.0012679887486179153
-100,4.4958190759054095e-10,0.0014031894743774687,-100,686471.984381455,5.0723251865317635e-09,686471.98438144987,135336745799382.56,39935376271721400.0,2.2057075350218058e-11,7.06708694312067e-18,4.3816219099171438e-11,-0.0028110478629422442,3.1012580784752362e-11,4.4273146238525685e-11,-100,4.495819146576279e-10,4.4958190759054095e-10,4.495819077167303e-10,4.49581907717224e-10,0.001403189496434544,0.0014031894743774687,0.0014031894747713182,0.001403189474772859
-90,4.973997276859554e-10,0.0015524336070098484,-90,758667.56417770381,4.5896296252201689e-09,758667.56417769927,165300389384101.94,7.8060133800363366e+17,1.1825674987864243e-12,3.7889462907328337e-19,2.3017701026445403e-12,-0.0031099615472383125,1.6074835990860117e-12,2.3153708767972847e-12,-90,4.97399728056416e-10,4.973997276859554e-10,4.973997276815131e-10,4.973997276775214e-10,0.0015524336081660923,0.0015524336070098484,0.0015524336069959836,0.0015524336069835248
-80,5.501956528472366e-10,0.0017172148965269559,-80,838456.14395321754,4.1528686198255666e-09,838456.14395321335,201898066303006.56,75982632786140656.0,4.914599543298648e-12,1.5746376610657711e-18,-9.7737124383351359e-12,-0.003440012399879025,6.8992673541723503e-12,9.8366684806242e-12,-80,5.50195651272599e-10,5.501956528472366e-10,5.50195652828658e-10,5.501956528306834e-10,0.0017172148916123563,0.0017172148965269559,0.0017172148964689703,0.0017172148964752915
-70,6.084980959890181e-10,0.001899182571750993,-70,926636.27463225718,3.7576709194055246e-09,926636.27463225345,246598569834011.44,34428586734601192.0,7.06157506601135e-12,2.262528709885535e-18,1.4084171546038804e-11,-0.0038045006753029851,9.9508026441058695e-12,1.4134087888799385e-11,-70,6.084980982515468e-10,6.084980959890181e-10,6.084980960068491e-10,6.084980960079711e-10,0.001899182578812568,0.001899182571750993,0.0018991825718066453,0.001899182571810147
-60,6.728905763539767e-10,0.002100157853788941,-60,1024090.4926010241,3.4000812525437046e-09,1024090.4926010207,301195888137929.25,46250522913403816.0,6.047172311507421e-13,1.937514454564848e-19,1.0857668930608355e-12,-0.0042070721367958646,7.134647828063377e-13,1.093658583833923e-12,-60,6.72890576526096e-10,6.728905763539767e-10,6.72890576336793e-10,6.728905763323446e-10,0.0021001578543261424,0.002100157853788941,0.002100157853735309,0.002100157853721425
-50,7.440175608276725e-10,0.0023221521873522865,-50,1131794.1524284431,3.0765207416641174e-09,1131794.1524284401,367881203302483.06,36239621708878512.0,1.8148069852452764e-11,5.814641610715861e-18,3.6104166531436555e-11,-0.0046517541128602551,2.5588239385853661e-11,3.6434732184412177e-11,-50,7.440175666423142e-10,7.440175608276725e-10,7.440175609067897e-10,7.44017560906087e-10,0.0023221522055003564,0.0023221521873522865,0.0023221521875992188,0.0023221521875970257
-40,8.225909162014121e-10,0.002567387378905781,-40,1250825.1885425178,2.7837510844214353e-09,1250825.188542515,449330831173249.37,46416754320368680.0,1.6382016403138078e-11,5.248798062748576e-18,-3.2684396855664488e-11,-0.0051429960502635038,2.3129360367167629e-11,3.2852209017400491e-11,-40,8.22590910952614e-10,8.225909162014121e-10,8.225909161565923e-10,8.225909161578709e-10,0.0025673873625237644,0.002567387378905781,0.0025673873787658936,0.0025673873787698843
-30,9.093970329193908e-10,0.002838317830584865,-30,1382374.9035603907,2.5188421436826941e-09,1382374.9035603881,548813631305722.87,58481540315886336.0,3.957806304910605e-12,1.2680811139335923e-18,-7.7489529549945591e-12,-0.0056857133521543476,5.5229546342643746e-12,7.9279486621397499e-12,-30,9.093970316513096e-10,9.093970329193908e-10,9.093970329008326e-10,9.093970328993071e-10,0.002838317826627059,0.002838317830584865,0.0028383178305269436,0.002838317830522182
-20,1.005304697513734e-09,0.0031376551108418665,-20,1527759.8912453461,2.2791426217300103e-09,1527759.8912453437,670322197777022.75,65923649945558288.0,5.562390825719632e-13,1.7821895810669375e-19,8.2381280616661279e-13,-0.0062853371467828777,6.5190168998212784e-13,1.1250468872486818e-12,-20,1.005304697691953e-09,1.005304697513734e-09,1.0053046975328675e-09,1.005304697531284e-09,0.0031376551113981056,0.0031376551108418665,0.003137655110901584,0.003137655110896642
-10,1.1112737872419095e-09,0.003468395091266884,-10,1688435.2134197177,2.0622535251818903e-09,1688435.2134197156,818733096005156.87,4.6417802404494528e+17,3.022107737671309e-12,9.682833561890077e-19,7.0919051881057626e-12,-0.0069478681661891868,4.558926483403011e-12,6.8454525901928687e-12,-10,1.1112737862736262e-09,1.1112737872419095e-09,1.1112737872264603e-09,1.1112737872322441e-09,0.003468395088244776,0.003468395091266884,0.0034683950912186654,0.003468395091236717
0,1.2283648766589055e-09,0.0038338479296470213,0,1866008.962712667,1.8660041550611373e-09,1866008.9627126651,1000002576442028.1,4.6311641057428685e+17,6.890142970061852e-12,2.207601745862906e-18,-1.52412318876749e-11,-0.0076799368385312905,9.7236205016271329e-12,1.4576533773416611e-11,0,1.2283648788665073e-09,1.2283648766589055e-09,1.228364876931394e-09,1.2283648769336476e-09,0.0038338479365371643,0.0038338479296470213,0.0038338479304974842,0.0038338479305045185
10,1.3577498545412232e-09,0.004237671206433281,10,2062258.3568917164,1.6884303817098917e-09,2062258.3568917147,1221405619817883.7,24520393835049064.0,4.561078945086727e-12,1.461369648439777e-18,-3.1862490076917105e-12,-0.0084888697286431107,5.6197827853535448e-12,8.9845984384967492e-12,10,1.3577498555715378e-09,1.3577498545412232e-09,1.357749854110385e-09,1.3577498541101682e-09,0.0042376712096489945,0.004237671206433281,0.004237671205088592,0.0042376712050879155
20,1.500723647600298e-09,0.004683906515606424,20,2279147.5258555086,1.527754987119848e-09,2279147.5258555072,1491827907662209.5,49907923088647264.0,4.14500985618238e-12,1.3280612209207311e-18,6.7386599772456535e-12,-0.0093827626347168774,5.9554701864168522e-12,8.942617046175938e-12,20,1.5007236462722368e-09,1.500723647600298e-09,1.5007236474252422e-09,1.5007236474352567e-09,0.004683906511461414,0.004683906515606424,0.004683906515060057,0.004683906515091313
30,1.658717186965319e-09,0.005177019934348686,30,2518847.1693060007,1.3823698779370841e-09,2518847.1693059993,1822122435903252.0,17414396952469006.0,1.0829796261158098e-11,3.469866746114485e-18,-2.1542548994668564e-11,-0.010370561823122097,1.5207131307512454e-11,2.2003259674344133e-11,30,1.6587171903281127e-09,1.658717186965319e-09,1.6587171868634508e-09,1.658717186858246e-09,0.005177019944844297,0.005177019934348686,0.005177019934030746,0.005177019934014501
40,1.833311724720915e-09,0.005721946706369897,40,2783756.2818406774,1.2508199911232759e-09,2783756.281840676,2225545083702073.0,17725352258003222.0,5.511762053711511e-12,1.7659685692547726e-18,-7.9780739306589687e-12,-0.011462153391461137,7.6073900544656161e-12,1.1672588460034938e-11,40,1.8333117264868835e-09,1.833311724720915e-09,1.8333117250452262e-09,1.8333117250454408e-09,0.005721946711881659,0.005721946706369897,0.005721946707382105,0.005721946707382774
50,2.0262546632092037e-09,0.006324140646720361,50,3076526.1628968143,1.1317887311957467e-09,3076526.1628968134,2718286618427833.5,44692831823211016.0,4.579110528257768e-12,1.4671470914281537e-18,-1.5300141362195596e-11,-0.012668462302728504,6.0408963526939945e-12,9.562858534553631e-12,50,2.026254664351699e-09,2.0262546632092037e-09,2.0262546628877162e-09,2.026254662884552e-09,0.006324140650286201,0.006324140646720361,0.0063241406457169675,0.006324140645707091
60,2.2394770389668475e-09,0.006989628710882795,60,3400086.9518473744,1.0240847932973544e-09,3400086.9518473735,3320122488001949.5,10778828019415740.0,1.0838101249799337e-11,3.472527786145068e-18,-1.2632899934472697e-11,-0.014001561619657772,1.3139575496866573e-11,2.0539012548018154e-11,60,2.2394770417155307e-09,2.2394770389668475e-09,2.239477038243003e-09,2.2394770382495016e-09,0.006989628719461707,0.006989628710882795,0.0069896287086236054,0.006989628708643889
70,2.475112851531333e-09,0.007725071321883062,70,3757676.9538207143,9.2663024021706726e-10,3757676.9538207133,4055206479059502.5,1.2701377916977331e+17,1.977376595796443e-11,6.335514450705935e-18,3.1713584883186208e-11,-0.015474793361758939,2.7233965520337693e-11,4.2037189159314925e-11,70,2.475112846046662e-09,2.475112851531333e-09,2.4751128523821766e-09,2.4751128523776275e-09,0.0077250713047648635,0.007725071321883062,0.0077250713245386295,0.007725071324524431
80,2.7355204266494037e-09,0.008537829046970674,80,4152875.0497467322,8.3844971403205207e-10,4152875.0497467313,4953040093216583.0,1.6724815165754406e+17,4.6523930541386704e-12,1.4906266131154714e-18,-1.5487784665868531e-13,-0.017102902181067459,5.4709669135489194e-12,8.7707901922154385e-12,80,2.7355204262536983e-09,2.7355204266494037e-09,2.735520427740501e-09,2.735520427744325e-09,0.008537829045735638,0.008537829046970674,0.008537829050376096,0.00853782905038803
90,3.0233060088644855e-09,0.009436036232411004,90,4589636.5150001226,7.5866067439775074e-10,4589636.5150001217,6049656545916953.0,14779487647010022.0,2.289561769341919e-11,7.335755723065776e-18,-4.7344283007899612e-11,-0.018902182698587441,2.9267578728092896e-11,4.6374562068067504e-11,90,3.0233060162002412e-09,3.0233060088644855e-09,3.0233060109028343e-09,3.023306010884214e-09,0.009436036255306621,0.009436036232411004,0.009436036238772892,0.009436036238714775
100,3.3413498549148663e-09,0.010428682443554514,100,5072332.6051257383,6.8646456578748059e-10,5072332.6051257374,7389066905889005.0,13416520196815860.0,5.72648178875923e-12,1.8347647672105016e-18,-2.130023588065022e-12,-0.020890642578529378,6.8911344754887657e-12,1.1466399878201639e-11,100,3.341349856048905e-09,3.3413498549148663e-09,3.3413498567447503e-09,3.341349856749631e-09,0.01042868244709396,0.010428682443554514,0.010428682449265763,0.010428682449280996
