voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.12257664748335367,-382573.80612782046,-150,282353003.86175507,20729.433698919936,282332274.42805618,13620.873969001212,1.0950482184552801e+18,2.6193447411060333e-09,8.326672684688674e-16,10992339.956199622,1.1175870895385742e-08,3.3731971718791669e-09,6.1633613768208306e-09,-150,-0.1225766474833545,-0.12257664748335367,-0.12257664748335444,-0.12257664748335419,-382573.8061278231,-382573.80612782046,-382573.80612782284,-382573.8061278221
-140,-0.10978063913558393,-342636.20204614213,-140,258079062.99318367,22909.567272223612,258056153.42591146,11265.121681546909,4.8936383744070406e+17,3.172317519783974e-08,1.0172418463127997e-14,10184068.212071275,-6.8219378590583801e-08,4.1148466803384898e-08,6.3586867327103391e-08,-140,-0.10978063913558567,-0.10978063913558393,-0.1097806391355941,-0.10978063913559293,-342636.20204614755,-342636.20204614213,-342636.20204617386,-342636.2020461702
-130,-0.09804482222584397,-306007.5600057552,-130,236388064.13041654,25318.987494959183,236362745.1429216,9336.394837174259,1.7516554002071408e+17,2.735760062932968e-08,8.770761894538737e-15,9488477.5576660447,-1.4202669262886047e-08,3.4138337115395728e-08,5.2772520575672388e-08,-130,-0.09804482222584257,-0.09804482222584397,-0.09804482222585087,-0.09804482222585134,-306007.56000575086,-306007.5600057552,-306007.56000577676,-306007.5600057782
-120,-0.08725064514288128,-272317.86873558455,-120,217062916.46623883,27981.808654549885,217034934.65758428,7757.286855399323,2.2144891360604e+17,2.735760062932968e-09,8.743006318923108e-16,8903097.9628794007,-5.2386894822120667e-09,2.6678487526865739e-09,4.5787373892380856e-09,-120,-0.08725064514288065,-0.08725064514288128,-0.0872506451428808,-0.08725064514288153,-272317.86873558257,-272317.86873558455,-272317.86873558303,-272317.8687355853
-110,-0.07729046652067506,-241231.16891596463,-110,199910207.42742097,30924.681160165994,199879282.74626082,6464.4225882892797,4.126974320445751e+17,2.971501089632511e-08,9.520162436160717e-15,8428716.8073173855,4.7730281949043274e-09,3.8966392351404051e-08,5.958668225503061e-08,-110,-0.07729046652067663,-0.07729046652067506,-0.07729046652068458,-0.07729046652068447,-241231.1689159695,-241231.16891596463,-241231.16891599435,-241231.168915994
-100,-0.06806664816764378,-212442.7221212353,-100,184758266.9366779,34177.058268977336,184724089.87840894,5405.9148532506606,2.4241424094277907e+17,3.271270543336868e-08,1.0477729794899915e-14,8070645.2952022459,2.1711457520723343e-08,4.2836795118938453e-08,6.530751761602005e-08,-100,-0.06806664816764316,-0.06806664816764378,-0.06806664816763379,-0.0680666481676333,-212442.72212123332,-212442.7221212353,-212442.7221212041,-212442.7221212026
-90,-0.05949063893357524,-185676.15147807504,-90,171455449.28083509,37771.490864250583,171417677.78997084,4539.282018203623,1.2100258024484986e+17,1.5221303328871727e-08,4.8780424144467815e-15,7840937.3914778018,-1.234002411365509e-08,1.9562840175248807e-08,3.0522642191499472e-08,-90,-0.059490638933576236,-0.05949063893357524,-0.05949063893358012,-0.059490638933579754,-185676.15147807816,-185676.15147807504,-185676.15147809027,-185676.15147808913
-80,-0.051482045503087014,-160680.54152024662,-80,159868615.38956153,41743.953235529756,159826871.436326,3829.7430645234554,4.3026770348640544e+17,7.30506144464016e-09,2.345346139520643e-15,7762402.6830724822,7.2759576141834259e-09,1.0598214611298413e-08,1.7482989278505556e-08,-80,-0.05148204550308895,-0.051482045503087014,-0.051482045503086604,-0.05148204550308701,-160680.54152025265,-160680.54152024662,-160680.54152024534,-160680.5415202466
-70,-0.043967687343291394,-137227.4885870518,-70,149881800.33480391,46134.203121417318,149835666.13168249,3248.8217026387274,1.5422147016756269e+17,4.831235855817795e-09,1.547373340571312e-15,7876220.1333894189,1.4086253941059113e-08,6.1901184987066511e-09,1.0471012501511723e-08,-70,-0.043967687343289846,-0.043967687343291394,-0.04396768734328989,-0.04396768734329034,-137227.48858704697,-137227.4885870518,-137227.4885870471,-137227.48858704852
-60,-0.036880602996809474,-115107.99936582232,-60,141395052.71480983,50986.179618385198,141344066.53519145,2773.2035185437571,1.8586482895626e+17,9.19681042432785e-09,2.949029909160572e-15,8257358.6783935502,1.4173565432429314e-08,1.1632993843427426e-08,1.8322225514566526e-08,-60,-0.03688060299680886,-0.036880602996809474,-0.036880602996806525,-0.036880602996806885,-115107.99936582042,-115107.99936582232,-115107.99936581313,-115107.99936581426
-50,-0.030158908841292877,-94128.92896783046,-50,134323434.30690402,56348.442938020635,134267085.86396599,2383.8002845021015,2.0695047928985488e+17,3.521563485264778e-09,1.1275702593849246e-15,9048647.0360401589,-7.2031980380415916e-09,3.7363237660465488e-09,7.3052888183156028e-09,-50,-0.030158908841292593,-0.030158908841292877,-0.030158908841292083,-0.03015890884129175,-94128.92896782958,-94128.92896783046,-94128.92896782797,-94128.92896782694
-40,-0.023744333746845786,-74108.40744958111,-40,128596169.97720705,62274.660413945508,128533895.3167931,2064.9838814441741,3.253741246767209e+17,6.984919309616089e-10,2.220446049250313e-16,10545453.491548963,1.4915713109076023e-08,7.8668873356576792e-10,1.6580088413320482e-09,-40,-0.02374433374684566,-0.023744333746845786,-0.023744333746845883,-0.023744333746845786,-74108.40744958071,-74108.40744958111,-74108.40744958141,-74108.40744958111
-30,-0.017580248450552283,-54869.68929635544,-30,124155939.33930735,68824.143622529344,124087115.19568482,1803.9590876749439,1.9158214670886874e+18,1.960142981261015e-08,6.279698983036042e-15,13444200.074204797,1.4406396076083183e-08,2.4170794086464904e-08,4.0454324334859848e-08,-30,-0.0175802484505549,-0.017580248450552283,-0.01758024845054862,-0.01758024845054888,-54869.689296363606,-54869.68929635544,-54869.689296344004,-54869.68929634482
