voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,0.0000015250299941863447134297062826375115786300842393093212581725971942853728834260519,9.5195380411132633614454145143003211596909233326846203706296058637336164265508386,-150,236011738510.54461630297311805968362926747389897276524270645655386320977055642151,11240.851615800241898241705796297640197883879760234993314837126404520436762640276,236011727269.69300050273121981797783296983370108888548247146323902608336603598475,20995894.846508284021656848523270278467562627587672960887474019143764315192668473,472023477021.08923260594623611936725853494779794553048541291310772641954111284302,2.6253952407487111661174509662913214696192641107886295410472058549312519081613778e-75,4.2058762729447213779269076102372118679135841415925140137379942635265738011428121e-82,462861428.58526025231803785957335821108448564891780291516875789140342400818342808,-7.7518056977000237577850618354600133879821655093411121189825582975624864651336335e-77,5.5767093211743823059449216444426256131295908458973303009683105924292007993360458e-76,8.0075354318769489460514109896101076145444317902331236476645370502282909581081571e-76,-150,0.0000015250299941863447134297062826375115786300842393093212581725971942853728834260434,0.0000015250299941863447134297062826375115786300842393093212581725971942853728834260519,0.0000015250299941863447134297062826375115786300842393093212581725971942853728834260519,0.000001525029994186344713429706282637511578630084239309321258172597194285372883426464,9.5195380411132633614454145143003211596909233326846203706296058637336164265507853,9.5195380411132633614454145143003211596909233326846203706296058637336164265508386,9.5195380411132633614454145143003211596909233326846203706296058637336164265508386,9.5195380411132633614454145143003211596909233326846203706296058637336164265534107
-140,0.0000023063737407518538499240353436327558969471251742011517471998054990725816171060868,14.396839829911697668454429588803080701931940512737696850389014435002259089320878,-140,256156845770.39571051940486659444910335824713174946149903777268806845904070581625,12940.405274891195270682496664886655327831913293448821923397507967788723366821052,256156832829.99043562820959591195243847159180391754820558895076467095107291709288,19795117.720727607810167038801676549245068421523172968700885525207587655590977824,512313691540.79142103880973318889820671649426349892299807554537613691808141163249,1.0750680449755850051633291451707934903606433578666227155388100866692682952467978e-75,1.7222601666137328628767091076648324357001754995777652906022273228198295112803304e-82,437592283.94698774791504716930439812871764761354332864437240318325836249638845616,-2.6611984121117486627781280557208615766878282781176365960158349293542619798217718e-76,3.1142657289174428329885962144850916901796160479233392424699871378373857378511419e-76,3.5373330131115106541263624559019897476952793217356458204783688292375100167073119e-76,-140,0.0000023063737407518538499240353436327558969471251742011517471998054990725816171061041,0.0000023063737407518538499240353436327558969471251742011517471998054990725816171060868,0.0000023063737407518538499240353436327558969471251742011517471998054990725816171060868,0.000002306373740751853849924035343632755896947125174201151747199805499072581617106259,14.396839829911697668454429588803080701931940512737696850389014435002259089320986,14.396839829911697668454429588803080701931940512737696850389014435002259089320878,14.396839829911697668454429588803080701931940512737696850389014435002259089320878,14.396839829911697668454429588803080701931940512737696850389014435002259089321953
-130,0.0000031832809169398861840974837041832422568843810822817526923304966843016381516422447,19.87066739662850402608031056937209152024262230276941379805900762763042019311907,-130,278035009332.50494809022928285493906944462084931348230220789449185428101254953106,14896.921906082003481441468610321349553024446496511647124362402897184321141542884,278034994435.58304200822580141347045912327129628903580569624736749187811536520992,18663923.398765412135347313515778046728184547765160953958221287159039263868223766,556070018665.00989618045856570987813888924169862696460441578898370856202509906212,3.1781100282747556221421774855105470421706881341125515496887228770220417835637732e-75,5.0913366089205577897986533052020528656543599354958259309957311802091266003622189e-82,413747033.18551408289254665764626404382743408057357030961092775120582900990026795,5.242432623943839089610171393668161666254598495135894325333369148364183539855518e-76,1.6509874061272938435680334293949087434931090315557316228956784089466650143435518e-75,2.2912687038311651656731410803159368106105940580590120019390603615365661620721523e-75,-130,0.0000031832809169398861840974837041832422568843810822817526923304966843016381516422346,0.0000031832809169398861840974837041832422568843810822817526923304966843016381516422447,0.0000031832809169398861840974837041832422568843810822817526923304966843016381516422447,0.0000031832809169398861840974837041832422568843810822817526923304966843016381516427437,19.870667396628504026080310569372091520242622302769413798059007627630420193119007,19.87066739662850402608031056937209152024262230276941379805900762763042019311907,19.87066739662850402608031056937209152024262230276941379805900762763042019311907,19.870667396628504026080310569372091520242622302769413798059007627630420193122185
-120,0.0000041898350998128793153980686687261287394369953004727022519908465976032676083701841,26.15377715239000953276609873068870813922619820610029766281826835963674028141257,-120,301795019610.16341742054862693782370042193891244176277626317590194285873232590585,17149.252868185134299855564779168692801663193896439441580710989525210635865311804,301795002460.91054923541432708225892125324611077856887982373432123186920711526999,17598143.891740380241758867256283813720095567272545093485176206113255930880053897,603590039220.32683484109725387564740084387782488352555252635180388571746465181171,1.658144362578133368074179557657676717654272069971766025924551066272369626207186e-75,2.6563005773401737976633911637668124980821928757789789607915359624269224041257269e-82,391261470.04813664706416611014142557722865935193773568846460734973524766463827115,-1.2464192973143809058538917689559277965028338352210206629563985146614396972339339e-75,9.8955903506783478076140363932915457836804748887658040529824855751367149718821428e-76,1.2458782631365744261998915584706753440989223172815117947649867514960920078199749e-75,-120,0.0000041898350998128793153980686687261287394369953004727022519908465976032676083701795,0.0000041898350998128793153980686687261287394369953004727022519908465976032676083701841,0.0000041898350998128793153980686687261287394369953004727022519908465976032676083701841,0.0000041898350998128793153980686687261287394369953004727022519908465976032676083704451,26.153777152390009532766098730688708139226198206100297662818268359636740281412541,26.15377715239000953276609873068870813922619820610029766281826835963674028141257,26.15377715239000953276609873068870813922619820610029766281826835963674028141257,26.1537771523900095327660987306887081392261982061002976628182683596367402814142
-110,0.0000053650280864302586260152338908285683371846795197870561574765255198745039549050608,33.489563585706984376776833053756289499563365622607242600166193293704572392353187,-110,327598448014.81632101814075958285751100843531472506127818121824087741645410939618,19742.12362735716063157331841597533359784067237106884825484600725236252246067409,327598428272.69269366098012800953909503310171688438890711236998603140920174687372,16593880.891357343947136612197687248267094325618022133113795706738506305228927943,655196896029.63264203628151916571502201687062945012255636243648175483290821879237,8.9033500197676790059842421235557869328474016257110288403728742962769326120727646e-76,1.4263560358066566380355652788179208151453281795877312690206836661321093052372567e-82,370071270.73482500116582342979787788443784570610691802329210251221800131186335778,-7.9852578195798356209710056618629644618410496907559074050470157365642235253272788e-76,6.2162989553628216280046436782997190806015378096662812114246824559914877052288038e-76,7.9829202181255180833571724986690369906679948267668565899275892190924122699623516e-76,-110,0.0000053650280864302586260152338908285683371846795197870561574765255198745039549050706,0.0000053650280864302586260152338908285683371846795197870561574765255198745039549050608,0.0000053650280864302586260152338908285683371846795197870561574765255198745039549050608,0.0000053650280864302586260152338908285683371846795197870561574765255198745039549052034,33.489563585706984376776833053756289499563365622607242600166193293704572392353248,33.489563585706984376776833053756289499563365622607242600166193293704572392353187,33.489563585706984376776833053756289499563365622607242600166193293704572392353187,33.489563585706984376776833053756289499563365622607242600166193293704572392354078
-100,0.0000067541559320787890366698338648365457237877369965702377962010730976206895011815702,42.160773608481831323468833594922455645518235407297853125543378626447308302317771,-100,355620744686.10510799039314505021034246106906482700360915118306913801817351230558,22727.021889152447540463815155279961317309123106332244546397105271856253826650029,355620721959.08321883794560458639518718110774751788050281893852274091290165605176,15647485.465565641375914123730748599064109507073543020680457085547457159166220608,711241489372.21021598078629010042068492213812965400721830236613827603634702461117,5.293701444005547853967290368400932424607510848388051855226248236479904006844719e-76,8.4806011286485776426339237057946075757823053600840411077896067304031580660999409e-83,350112546.02980285120816115513117497234958204964013742518103334583327666612160021,-1.4929084537610988634519694042471951980524629349908008909940426138808949932277581e-75,1.537161289837340443119731353638626779308257968983404315063997412768403907784082e-75,1.7613607887366192523952639678775037568935728984234913479663597768097027223743766e-75,-100,0.0000067541559320787890366698338648365457237877369965702377962010730976206895011815297,0.0000067541559320787890366698338648365457237877369965702377962010730976206895011815702,0.0000067541559320787890366698338648365457237877369965702377962010730976206895011815702,0.0000067541559320787890366698338648365457237877369965702377962010730976206895011814854,42.160773608481831323468833594922455645518235407297853125543378626447308302317518,42.160773608481831323468833594922455645518235407297853125543378626447308302317771,42.160773608481831323468833594922455645518235407297853125543378626447308302317771,42.160773608481831323468833594922455645518235407297853125543378626447308302317242
-90,0.0000084104270354869254402129962891673967529799424875228101393994004787554125830267101,52.49954454111689054475370747650039400803730339581161411743241158908257077104527,-90,386052430506.73828149483659266861507076662896218548048394565125513678373714581384,26163.220011157415355999850024801983824567379017622285055913286789815962712365378,386052404343.51827033742123666876504596464513761810146632336619922349694732985113,14755539.659954111027113627030784089012140388067351244712197701800606627533969152,772104861013.47656298967318533723014153325792437096096789130251027356747429162768,6.0264263698518421401524136592604038257193840043081926039868530777770204676442811e-76,9.6532790919992629805474537478136267189434018334340536206080102407339437698531383e-83,331322309.35776278160082469478195215642033557155760982202823793538891636465999167,3.3927173681659823791483097528651320305081358628694856973404865390490726124746112e-76,2.9336120136958623573226996622271459058402899167593623815922944392905087270816522e-76,4.1122421523472338667819085888728742523531925543197849853439356347981543936871719e-76,-90,0.0000084104270354869254402129962891673967529799424875228101393994004787554125830267022,0.0000084104270354869254402129962891673967529799424875228101393994004787554125830267101,0.0000084104270354869254402129962891673967529799424875228101393994004787554125830267101,0.0000084104270354869254402129962891673967529799424875228101393994004787554125830266136,52.499544541116890544753707476500394008037303395811614117432411589082570771045221,52.49954454111689054475370747650039400803730339581161411743241158908257077104527,52.49954454111689054475370747650039400803730339581161411743241158908257077104527,52.499544541116890544753707476500394008037303395811614117432411589082570771044668
-80,0.00001039683295109452577378088345141075871878853303808875595458741302249813892759072,64.899082091726131705548478761141019955772616165426504995974576270269335659142984,-80,419100391500.30441592741436849951746698658479765689296369910293310896705871502073,30118.951998675406615293330937089953223426306774075283592503254971448184153123435,419100361381.35241725200775320618652989663157423058618962381934060571208726683658,13914839.783228045937771387898957929371123072936107838178047972629173644554748475,838200783000.60883185482873699903493397316959531378592739820586621793411743004146,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.426899526942504869599498869185652513003206439861775631380310645309084028434567e-83,313638865.98632510502750117781176867927023365753486518638155224670355982241063177,1.0716862772943858166794598908634094776499331815784518657012689400634579208550315e-76,1.5793890295384535720380351490088562706522719028258999275467912553197633678879831e-76,2.0352306811794483505301081469744160122650597282399751429074146877185820462536564e-76,-80,0.000010396832951094525773780883451410758718788533038088755954587413022498138927590696,0.00001039683295109452577378088345141075871878853303808875595458741302249813892759072,0.00001039683295109452577378088345141075871878853303808875595458741302249813892759072,0.00001039683295109452577378088345141075871878853303808875595458741302249813892759074,64.899082091726131705548478761141019955772616165426504995974576270269335659142832,64.899082091726131705548478761141019955772616165426504995974576270269335659142984,64.899082091726131705548478761141019955772616165426504995974576270269335659142984,64.899082091726131705548478761141019955772616165426504995974576270269335659143108
-70,0.000012788339686826984954033467591044527373199935794560956675045879173123451121961868,79.827338869082307118266985928006094479722749536831177894595136097825973854738673,-70,454989284405.69038940100506110723363797436183380784944948262969294732804675490079,34672.768455551521981611543693512800411187468252207092562169420085919889478558522,454989249732.92193384948307949568994446156142262038119727553713077790796083501131,13122381.184789448268084883966993094454479575356899444665132320545917757730434677,909978568811.38077880201012221446727594872366761569889896525938589465609350980157,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,1.7709206719516728237434913899296819954815515878066238345154738333651055984388135e-82,297002129.65686228987252915380768683036075551113717794790434389551603669354294265,1.5071394632491983143438845787259893982209407172141749151023542032637183121039797e-75,9.6652600281390048882790503065223532746201774035065239957596681159672507700657199e-76,1.5060801393283911243849971791225442107808627232335096630210324290983338562164829e-75,-70,0.000012788339686826984954033467591044527373199935794560956675045879173123451121961881,0.000012788339686826984954033467591044527373199935794560956675045879173123451121961868,0.000012788339686826984954033467591044527373199935794560956675045879173123451121961868,0.000012788339686826984954033467591044527373199935794560956675045879173123451121961704,79.827338869082307118266985928006094479722749536831177894595136097825973854738755,79.827338869082307118266985928006094479722749536831177894595136097825973854738673,79.827338869082307118266985928006094479722749536831177894595136097825973854738672,79.827338869082307118266985928006094479722749536831177894595136097825973854737649
-60,0.000015674465577905561487942952964479742611724541904914716201264214083675397764828847,97.843105979435469913348632404078956707047301271960032728566987722952046749096191,-60,493963062977.05568246903837500159468874731125522117757893949504380419628902472403,39915.096395955612302345198012621416388763570778760047530616838693132750352644454,493963023061.95928651342607265639667612589486645760680017944751318735759589197368,12375344.357858205572170480013376535859505020341525193526015472859677862991610653,987926125954.11136493807675000318937749462251044235515787899008760839257804944806,4.8011699560978178089257249887255971365673014526037951824866151479468515055706118e-76,7.6923813727612857145438966542317552024641472367074894873766880471904214476650071e-83,281353873.53106978793191133992572346758412928226408235640467610035031513999041313,1.170132936367556236866683554003122029132318669878755676921477126827253840971047e-75,1.4561864489768900726886458087675301637100899957277044392090208959332163186979915e-75,1.6962594259044626094027578785116903887956727763069949830700857233833749080846121e-75,-60,0.000015674465577905561487942952964479742611724541904914716201264214083675397764828924,0.000015674465577905561487942952964479742611724541904914716201264214083675397764828847,0.000015674465577905561487942952964479742611724541904914716201264214083675397764828847,0.000015674465577905561487942952964479742611724541904914716201264214083675397764828924,97.843105979435469913348632404078956707047301271960032728566987722952046749096671,97.843105979435469913348632404078956707047301271960032728566987722952046749096191,97.843105979435469913348632404078956707047301271960032728566987722952046749096191,97.843105979435469913348632404078956707047301271960032728566987722952046749096671
