voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.05984803129773267,-186791.6082950458,-150,2013254875059.8921,0.0024920921942168171,2013254875059.8896,807857301480209.5,6.781806381004457e+18,9.032327216118574e-05,2.8939572960240412e-11,-54017745.134800225,-9.1642141342163086e-05,0.0001154929964072724,0.00018064060386071976,-150,-0.059848031304680915,-0.05984803129773267,-0.05984803127574228,-0.05984803127574134,-186791.60831673196,-186791.6082950458,-186791.60822641163,-186791.6082264087
-140,-0.050089891724577465,-156335.49227396213,-140,2095350632763.0154,0.0028143254230858731,2095350632763.0125,744530328857808.25,8.2766419465981194e+18,7.247162284329534e-05,2.321990516529482e-11,-47831771.425259821,4.0300190448760986e-05,8.8885034077568973e-05,0.00014495823449389982,-140,-0.050089891735086774,-0.050089891724577465,-0.05008989174779737,-0.0500898917477903,-156335.49230676272,-156335.49227396213,-156335.49234643375,-156335.4923464117
-130,-0.042274946809482836,-131944.27843159437,-130,2181143592828.2605,0.0031782241465254501,2181143592828.2573,686277459446265.25,4.3435737663440947e+18,2.191812382079661e-05,7.022563086600542e-12,-42361045.733500235,2.142786979675293e-05,3.0435190426136274e-05,4.3840106909279566e-05,-130,-0.042274946809740435,-0.042274946809482836,-0.0422749468165054,-0.04227494681650244,-131944.27843239837,-131944.27843159437,-131944.2784535125,-131944.27845350327
-120,-0.03593910580000545,-112169.49375781976,-120,2270738098751.2397,0.0035891758084186593,2270738098751.2363,632662822875677.25,2.1042695398055949e+18,6.788264727219939e-06,2.174961599710201e-12,-37520847.5265816,2.9206275939941406e-06,8.354464939220189e-06,1.3599080890169877e-05,-120,-0.03593910580127523,-0.03593910580000545,-0.03593910580217994,-0.03593910580218041,-112169.49376178287,-112169.49375781976,-112169.49376460657,-112169.49376460802
-110,-0.0307435984750985,-95953.80298095662,-110,2364252517213.5103,0.0040532644614826819,2364252517213.5063,583295893885164.37,2.3766191301222651e+18,1.89068668987602e-05,6.057761930966521e-12,-33237082.717879537,8.8028609752655029e-06,2.3171909094977329e-05,3.7815814271727373e-05,-110,-0.03074359847837785,-0.0307435984750985,-0.030743598481151626,-0.03074359848115626,-95953.8029911918,-95953.80298095662,-95953.80299984902,-95953.80299986349
-100,-0.026438596925382658,-82517.46855612565,-100,2461817813830.5767,0.0045773608403866031,2461817813830.5723,537824720330034.56,7.1537641658044529e+18,3.6610421375371516e-05,1.1729981569397196e-11,-29444754.943939466,-2.7745962142944336e-05,4.659024953660219e-05,7.3230297507369518e-05,-100,-0.026438596922388324,-0.026438596925382658,-0.026438596913652676,-0.026438596913653908,-82517.46854678004,-82517.46855612565,-82517.46851951523,-82517.46851951907
-90,-0.02283783009085802,-71279.12013376411,-90,2563576502270.209,0.0051692240815296893,2563576502270.2036,495930619728829.62,2.001091456466146e+18,2.0771127310581505e-05,6.655068857108759e-12,-26086693.391887136,-1.3716518878936768e-05,2.5807845891788183e-05,4.1542641779867846e-05,-90,-0.02283783008851621,-0.02283783009085802,-0.022837830084203332,-0.02283783008420295,-71279.12012645509,-71279.12013376411,-71279.12011299418,-71279.12011299298
-80,-0.019800790161533178,-61800.218981064856,-80,2669681887082.8662,0.0058376165954199966,2669681887082.8604,457323951212796.56,3.3673003649050743e+19,1.666948082856834e-05,5.340901332306913e-12,-23112462.353038069,-1.6979873180389404e-05,2.1548468711711754e-05,3.3339108671483556e-05,-80,-0.01980079016264047,-0.019800790161533178,-0.019800790157299568,-0.019800790157300078,-61800.21898452082,-61800.218981064856,-61800.21896785134,-61800.21896785293
-70,-0.017220194162621754,-53745.924352752045,-70,2780297538455.3916,0.0065924337923146453,2780297538455.3848,421740684251788.5,3.4016891380884465e+18,1.4632401871494949e-05,4.6882220328114954e-12,-20477380.44499312,1.4912337064743042e-05,1.9877778736566869e-05,2.9257931948978907e-05,-70,-0.017220194162229863,-0.017220194162621754,-0.017220194166915916,-0.017220194166918085,-53745.92435152891,-53745.924352752045,-53745.92436615455,-53745.924366161315
-60,-0.015013094208458522,-46857.3477167869,-60,2895596950970.0962,0.007444850581682514,2895596950970.0889,388939565569588.62,6.1553528881258281e+18,1.0393458069302142e-05,3.3300653901058297e-12,-18141560.019424509,-8.0130994319915771e-06,1.3262863655965803e-05,2.0786916820472474e-05,-60,-0.015013094207644935,-0.015013094208458522,-0.015013094205131264,-0.015013094205128457,-46857.34771424762,-46857.3477167869,-46857.3477064022,-46857.34770639344
