voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,2.699006691259841e-10,0.0008423866077590016,-150,416373.11552211206,8.3628504269429141e-09,416373.11552210368,49788420725625.672,1.1624724114526331e+17,1.736891880321778e-16,5.562789619419111e-23,0.53665891279381739,-2.2204460492503131e-16,1.6915858532126893e-16,2.8931934972775686e-16,-150,2.699006691259892e-10,2.699006691259841e-10,2.699006691259503e-10,2.6990066912593355e-10,0.0008423866077590175,0.0008423866077590016,0.0008423866077588961,0.0008423866077588438
-140,2.9916934924660417e-10,0.0009337370450892765,-140,460161.30011079623,7.5670199877359512e-09,460161.30011078867,60811429183032.5,12092052517187240.0,2.9869769851975647e-16,9.569445711472839e-23,0.59299553093937307,4.4408920985006262e-16,3.2857973495746803e-16,5.4600421406370003e-16,-140,2.9916934924657294e-10,2.9916934924660417e-10,2.991693492466586e-10,2.9916934924666864e-10,0.000933737045089179,0.0009337370450892765,0.0009337370450894464,0.0009337370450894777
-130,3.314318546715549e-10,0.0010344315064655272,-130,508554.93365654355,6.8469228279294947e-09,508554.93365653668,74274962116132.141,47295526537919336.0,2.8406096919120216e-17,9.098986738083304e-24,0.65528368586845098,0.0,2.1378586448668996e-17,4.5428071027142636e-17,-130,3.3143185467154943e-10,3.314318546715549e-10,3.3143185467155367e-10,3.3143185467155853e-10,0.00103443150646551,0.0010344315064655272,0.0010344315064655233,0.0010344315064655385
-120,3.6701121199958404e-10,0.0011454781897614983,-120,562038.35590954183,6.195351973115194e-09,562038.35590953566,90719358375200.344,25160515498713128.0,1.6132928326584306e-16,5.169878828456423e-23,0.72414247074151883,-1.1102230246251565e-16,2.0525573650329588e-16,3.2732063587337379e-16,-120,3.6701121199957267e-10,3.6701121199958404e-10,3.670112119995327e-10,3.6701121199953234e-10,0.0011454781897614627,0.0011454781897614983,0.001145478189761338,0.001145478189761337
-110,4.062635950763634e-10,0.0012679887486777884,-110,621146.8469360976,5.6057862831775406e-09,621146.84693609201,110804589322304.94,43358454564270152.0,2.3830763751231387e-16,7.635911029630137e-23,0.80025785392307325,1.1102230246251565e-16,3.0263984500323995e-16,5.0588873368173637e-16,-110,4.0626359507641147e-10,4.062635950763634e-10,4.0626359507643975e-10,4.062635950764376e-10,0.0012679887486779385,0.0012679887486777884,0.0012679887486780267,0.00126798874867802
-100,4.495819077631169e-10,0.0014031894749160952,-100,686471.984381455,5.0723251865317635e-09,686471.98438144987,135336745799382.56,39935376271721400.0,2.5652223401007035e-16,8.220107337245713e-23,0.88438925678055003,-3.3306690738754696e-16,3.6696278059141187e-16,5.3158432516964282e-16,-100,4.495819077631981e-10,4.495819077631169e-10,4.495819077631159e-10,4.495819077631202e-10,0.0014031894749163487,0.0014031894749160952,0.0014031894749160921,0.0014031894749161056
-90,4.97399727683568e-10,0.001552433607002397,-90,758667.56417770381,4.5896296252201689e-09,758667.56417769927,165300389384101.94,7.8060133800363366e+17,1.6132928326584306e-16,5.169878828456423e-23,0.97737694058834057,2.2204460492503131e-16,2.1132468761951351e-16,3.3946370020521144e-16,-90,4.973997276835574e-10,4.97399727683568e-10,4.973997276836091e-10,4.973997276836063e-10,0.001552433607002364,0.001552433607002397,0.0015524336070025253,0.0015524336070025166
-80,5.501956528212855e-10,0.00171721489644596,-80,838456.14395321754,4.1528686198255666e-09,838456.14395321335,201898066303006.56,75982632786140656.0,1.5048726154098802e-16,4.828666825778299e-23,1.0801502575870867,-2.2204460492503131e-16,1.9647998998744815e-16,3.1073234263434557e-16,-80,5.501956528213338e-10,5.501956528212855e-10,5.501956528212988e-10,5.501956528213014e-10,0.0017172148964461104,0.00171721489644596,0.0017172148964460013,0.0017172148964460093
-70,6.084980960159602e-10,0.001899182571835082,-70,926636.27463225718,3.7576709194055246e-09,926636.27463225345,246598569834011.44,34428586734601192.0,2.478486166301863e-16,7.940933880509066e-23,1.1937368346457673,-2.2204460492503131e-16,3.2107830469385644e-16,4.9851615890883494e-16,-70,6.084980960158944e-10,6.084980960159602e-10,6.084980960158808e-10,6.084980960158813e-10,0.0018991825718348767,0.001899182571835082,0.0018991825718348342,0.0018991825718348357
-60,6.728905763375389e-10,0.002100157853737637,-60,1024090.4926010241,3.4000812525437046e-09,1024090.4926010207,301195888137929.25,46250522913403816.0,3.369700352084948e-16,1.0805046751473924e-22,1.3192727708983614,-2.2204460492503131e-16,4.5578853518938748e-16,6.9063678387326632e-16,-60,6.728905763375492e-10,6.728905763375389e-10,6.728905763374412e-10,6.728905763374435e-10,0.002100157853737669,0.002100157853737637,0.002100157853737332,0.0021001578537373396
