voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.12257664748335374076905962656325321884095091726813321169200065297112188799906599,-382573.80612782068340820726695138593470860420342656777405422058454744516442408403,-150,282353003.86175506039887650540794339557182667208131365259299127974695039319156207,20729.433698919934473358501048546294204566750958210916403737750673053815661631496,282332274.42805614046440314690689484927762210533035544167658754199627733937590044,13620.873969001212841406433810062661967401833705156933555809193224270800536143922,564706007.72351012079775301081588679114365334416262730518598255949390078638312414,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,3.9533242287114462091307152692262571278912355183881903312791611344155541091136598e-82,10992339.956199658498035317558666861217301857011679897006022631914225362885131804,7.6896028691667715697397166443433901720699502809004519984699791059085530861273522e-76,8.5196089869802308244886101482496055878017181684463344792833758522247737455618371e-76,1.990827814188247405027753403733822473321339207189565557328185373967905589807978e-75,-150,-0.12257664748335374076905962656325321884095091726813321169200065297112188799906599,-0.12257664748335374076905962656325321884095091726813321169200065297112188799906599,-0.12257664748335374076905962656325321884095091726813321169200065297112188799906599,-0.12257664748335374076905962656325321884095091726813321169200065297112188799906599,-382573.80612782068340820726695138593470860420342656777405422058454744516442408403,-382573.80612782068340820726695138593470860420342656777405422058454744516442408403,-382573.80612782068340820726695138593470860420342656777405422058454744516442408403,-382573.80612782068340820726695138593470860420342656777405422058454744516442408403
-140,-0.10978063913558411588178696525014314445477584691319583619133340482841138837741419,-342636.20204614270109243594009568912190357841005276089757214304805117904584718904,-140,258079062.99318360657314695405733280310325643542781125795141695340937977026081517,22909.567272223608961269040749603843843869630379363077060051070904041704764124875,258056153.42591138296418568501658319925941256579743189487435690233847572855605105,11265.121681546906889798843711366249697527124229849860313476098823700449170243759,516158125.98636721314629390811466560620651287085562251590283390681875954052163035,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,3.9533242287114462091307152692262571278912355183881903312791611344155541091136598e-82,10184068.212071350227720562294068414989958973516790109478144260875868481033216435,-7.3942993193463313482365388414634140138821374063812993640375517689695772367829409e-76,6.2151189063984440725448026110545937363716653525054049415948504233119295123667608e-76,1.201746061046455430054078349401768249249763719406297117711805674948377609591833e-75,-140,-0.10978063913558411588178696525014314445477584691319583619133340482841138837741419,-0.10978063913558411588178696525014314445477584691319583619133340482841138837741419,-0.10978063913558411588178696525014314445477584691319583619133340482841138837741419,-0.10978063913558411588178696525014314445477584691319583619133340482841138837741419,-342636.20204614270109243594009568912190357841005276089757214304805117904584718904,-342636.20204614270109243594009568912190357841005276089757214304805117904584718904,-342636.20204614270109243594009568912190357841005276089757214304805117904584718904,-342636.20204614270109243594009568912190357841005276089757214304805117904584718904
-130,-0.098044822225843942816332048743456232542442853717331527995367950302334101784980142,-306007.56000575514285718586462469400930863694349714800872375334984301803728509171,-130,236388064.13041652871928499312773926259078156771017974290158207355778147997712012,25318.987494959178415384314649220369871337289280810486671513728151415735822936556,236362745.14292156954086960881309004222091023042089893241491055982963006424129719,9336.3948371742602004526228011983406637856859085109344720153096370114064166561358,472776128.26083305743856998625547852518156313542035948580316414711556295995424025,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,9488477.5576660033289460245660650193097700669069899776109140068410856600020052337,-7.2637540197768089621153382754085168245779454033783378372536904619631680138733763e-77,4.6070723365942323412128345305829112403739697738240158134924260169179368474551452e-76,8.7368110260347063152230664135635393681376713977529666913347690052112904250419996e-76,-130,-0.098044822225843942816332048743456232542442853717331527995367950302334101784980142,-0.098044822225843942816332048743456232542442853717331527995367950302334101784980142,-0.098044822225843942816332048743456232542442853717331527995367950302334101784980142,-0.098044822225843942816332048743456232542442853717331527995367950302334101784980142,-306007.56000575514285718586462469400930863694349714800872375334984301803728509171,-306007.56000575514285718586462469400930863694349714800872375334984301803728509171,-306007.56000575514285718586462469400930863694349714800872375334984301803728509171,-306007.56000575514285718586462469400930863694349714800872375334984301803728509171
-120,-0.087250645142881255680100860361069681716544629569053303375907851060319734830473576,-272317.86873558445720874441752882741677932041577815989057755148960784236362008637,-120,217062916.46623882098345341360385131042582374883468188242629792643036933276854151,27981.808654549879333770921591202499052728881436207167462989264607628656217526933,217034934.65758427110411964268226010792677101995324567525883493716576170411232398,7757.2868553993239401963822027709058073271557013690404284537437715807060135182612,434125832.93247764196690682720770262085164749766936376485259585286073866553708302,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,8903097.9628793218586118376381677211298784405704269729495720095917664537441571174,-2.7990725911969603642332783738812015793543938157966548051985247688449015796805613e-78,6.910022167566653261069886809739533038967279705359646739805216255646228149621634e-76,1.451402240470694103863419055047214309442357886522071632702436728996459324413018e-75,-120,-0.087250645142881255680100860361069681716544629569053303375907851060319734830473576,-0.087250645142881255680100860361069681716544629569053303375907851060319734830473576,-0.087250645142881255680100860361069681716544629569053303375907851060319734830473576,-0.087250645142881255680100860361069681716544629569053303375907851060319734830473576,-272317.86873558445720874441752882741677932041577815989057755148960784236362008637,-272317.86873558445720874441752882741677932041577815989057755148960784236362008637,-272317.86873558445720874441752882741677932041577815989057755148960784236362008637,-272317.86873558445720874441752882741677932041577815989057755148960784236362008637
-110,-0.077290466520675472128157260886807349853213372079808431413585875067171979414213801,-241231.16891596590522583740561322440001270033735277931745053387268177232213835085,-110,199910207.42742098758345548929587924124860890822833257526133356607900741590964498,30924.681160165988262750059677022719102768119062388033944983607901638836670257482,199879282.74626082159519273923620221852950614010927018722738858247110577707297472,6464.4225882892811467338377320360672221810856456141412527462709503979134760599189,399820414.85484197516691097859175848249721781645666515052266713215801483181928996,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,8428716.8073174010801152779076149586433582940950251889380690808615130431885371801,4.1845037939977657532398068156762834868250360508645132029713152501679101603659292e-76,4.4636477661325889353947786922718731200050809941992059059386319630360312029743379e-76,9.3211700217286842223287766967092148129213481498378144976630349882299356557122372e-76,-110,-0.077290466520675472128157260886807349853213372079808431413585875067171979414213801,-0.077290466520675472128157260886807349853213372079808431413585875067171979414213801,-0.077290466520675472128157260886807349853213372079808431413585875067171979414213801,-0.077290466520675472128157260886807349853213372079808431413585875067171979414213801,-241231.16891596590522583740561322440001270033735277931745053387268177232213835085,-241231.16891596590522583740561322440001270033735277931745053387268177232213835085,-241231.16891596590522583740561322440001270033735277931745053387268177232213835085,-241231.16891596590522583740561322440001270033735277931745053387268177232213835085
-100,-0.068066648167643336374341978954828799457041989898015908443087149626686847548897847,-212442.72212123389455174251031810048181824561021115857803107250890283399659672725,-100,184758266.93667786026431405888685383826262721130531414258803004500001886869114869,34177.058268977331994079195178859424786681629871723197556794384352601885798467118,184724089.87840888293231997969167497883784052967544241939047325061566626680535022,5405.9148532506603128270223677578666664079065160736253479980111372152053933849548,369516533.87335572052862811777370767652525442261062828517606009000003773738229737,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,8070645.2952022428000721889107309191456998690093380621338476527329194524868709717,4.9619166941290328514996808675660809243509299394788118236274635015920553989593014e-76,4.3822199832468047352469426961640790439777405839603128335220390373063691768822319e-76,7.6503720294684009679010601487439547265349883706303175415560803254721434739467684e-76,-100,-0.068066648167643336374341978954828799457041989898015908443087149626686847548897847,-0.068066648167643336374341978954828799457041989898015908443087149626686847548897847,-0.068066648167643336374341978954828799457041989898015908443087149626686847548897847,-0.068066648167643336374341978954828799457041989898015908443087149626686847548897847,-212442.72212123389455174251031810048181824561021115857803107250890283399659672725,-212442.72212123389455174251031810048181824561021115857803107250890283399659672725,-212442.72212123389455174251031810048181824561021115857803107250890283399659672725,-212442.72212123389455174251031810048181824561021115857803107250890283399659672725
-90,-0.059490638933575541167078051371484020453377738893486466916169885898816848409316338,-185676.15147807598056707062248078316736321286051156997359771766401295697980155172,-90,171455449.28083506525112561285855340885381046754155695626804063463028786595799122,37771.490864250581363491171820879641089028783039612856216740501241670053309832225,171417677.78997081466976212168673252921272143875851734341182389412904619590468139,4539.2820182036224158963128961356602641278343172833760548374802880367492332109645,342910898.56167013050225122571710681770762093508311391253608126926057573191598244,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,7840937.3914778650388064001336072075767730532280092013334840786930606038345125467,2.9356215933514545952598008364719073773562587494530391355498293939030910865461972e-76,3.3644329700163846694573237721578554221937503810540369330775095571087232030542382e-76,7.13089663317312644576334019039556562224967052142322034684429170753331629407686e-76,-90,-0.059490638933575541167078051371484020453377738893486466916169885898816848409316338,-0.059490638933575541167078051371484020453377738893486466916169885898816848409316338,-0.059490638933575541167078051371484020453377738893486466916169885898816848409316338,-0.059490638933575541167078051371484020453377738893486466916169885898816848409316338,-185676.15147807598056707062248078316736321286051156997359771766401295697980155172,-185676.15147807598056707062248078316736321286051156997359771766401295697980155172,-185676.15147807598056707062248078316736321286051156997359771766401295697980155172,-185676.15147807598056707062248078316736321286051156997359771766401295697980155172
-80,-0.051482045503087392785590435680046361176653123211152780806361176171904452735693543,-160680.54152024780083474914813051600101325490052938079021365572493854779898824569,-80,159868615.38956148744081034028115377064176979211619690059724328624269652850399492,41743.953235529751030098947400442513401622819735664207827407750312375876250284793,159826871.43632595768978024133375332812836816929646123638941587849238415262774464,3829.7430645234546173514737701113235457036304848039089080039836817491431724196576,319737230.77912297488162068056230754128353958423239380119448657248539305700798985,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,7762402.6830724641987584164585978970459797374748141897038480669823086452193179342,2.4475747419069246245506916464554424653444078349221697089341898989593177607858379e-76,4.6531101835790089676559085918926659645055756961623790928337179575321622322723862e-76,1.1078384705726980878335187625256779846952768608120231239596979953834508192021599e-75,-80,-0.051482045503087392785590435680046361176653123211152780806361176171904452735693543,-0.051482045503087392785590435680046361176653123211152780806361176171904452735693543,-0.051482045503087392785590435680046361176653123211152780806361176171904452735693543,-0.051482045503087392785590435680046361176653123211152780806361176171904452735693543,-160680.54152024780083474914813051600101325490052938079021365572493854779898824569,-160680.54152024780083474914813051600101325490052938079021365572493854779898824569,-160680.54152024780083474914813051600101325490052938079021365572493854779898824569,-160680.54152024780083474914813051600101325490052938079021365572493854779898824569
-70,-0.043967687343291023936447366864587011541508313031624676141304263419075800212940561,-137227.48858705064344113809613601547382393647842020828678567576762822959873565619,-70,149881800.33480389938624424630176861612622757615200693046070085127979633748320692,46134.203121417315050379640363416256788695661830744979035754757154434973378446901,149835666.13168248207119386666140519986943888049017618548166509652264190250982848,3248.8217026387275222777137072554427498246635376885712493504041475292282585457335,299763600.66960779877248849260353723225245515230401386092140170255959267496641385,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,7876220.1333893717081044475102731899375969867525099983797596499436432744475769643,2.7134679353853015750950344562424878385271494904897146709074989502845584288073935e-76,3.0599452868381008422147117311379093898845794275788514948069819197043161465578738e-76,6.4966186816685332850126728992069566704509602966338965514382902028662079348428042e-76,-70,-0.043967687343291023936447366864587011541508313031624676141304263419075800212940561,-0.043967687343291023936447366864587011541508313031624676141304263419075800212940561,-0.043967687343291023936447366864587011541508313031624676141304263419075800212940561,-0.043967687343291023936447366864587011541508313031624676141304263419075800212940561,-137227.48858705064344113809613601547382393647842020828678567576762822959873565619,-137227.48858705064344113809613601547382393647842020828678567576762822959873565619,-137227.48858705064344113809613601547382393647842020828678567576762822959873565619,-137227.48858705064344113809613601547382393647842020828678567576762822959873565619
-60,-0.036880602996809103763620749531423097366629494770016333571084981178187476485178418,-115107.99936582117861279091150957605129953379507260081269095710008696604087330437,-60,141395052.71480981972483588213621501530513004481798340771745745966091708135072622,50986.179618385186952521824527921212518039588717708981739610584860585135065006106,141344066.53519143453788336031168709409261200522926569873571784907605649621566122,2773.2035185437575828689383615968827989530242828377183604955287746048213066425028,282790105.42961963944967176427243003061026008963596681543491491932183416270145245,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,8257358.6783934988781354281051467282634769321943033365613977650610241019969400027,-6.2621725396998047007776948031252883696467763351842356828010812699795496771951588e-76,5.4923055617562927251343847225984934028468140883135026360649492185808973636091941e-76,8.0831000628806202392186755701412155366598192863531276138280125278813113122893207e-76,-60,-0.036880602996809103763620749531423097366629494770016333571084981178187476485178417,-0.036880602996809103763620749531423097366629494770016333571084981178187476485178418,-0.036880602996809103763620749531423097366629494770016333571084981178187476485178417,-0.036880602996809103763620749531423097366629494770016333571084981178187476485178417,-115107.99936582117861279091150957605129953379507260081269095710008696604087330437,-115107.99936582117861279091150957605129953379507260081269095710008696604087330437,-115107.99936582117861279091150957605129953379507260081269095710008696604087330437,-115107.99936582117861279091150957605129953379507260081269095710008696604087330437
