voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.11356880255993063,-236306.28913843242,-150,28128404558.970608,16.832472153522041,28128404542.138134,1671079821.3371763,27950857055383012.0,5.749141564592719e-06,2.763025919172435e-12,2431733.7739624241,1.3642408354547921e-06,9.0947317023685961e-06,1.9175536152715722e-05,-150,-0.11356880256263596,-0.11356880255993063,-0.11356880256124195,-0.11356880256269365,-236306.2891440615,-236306.28913843242,-236306.28914116096,-236306.28914418156
-140,-0.09652438167351242,-200841.410057246,-140,28234211440.191872,26.146357469722872,28234211414.045513,1079852574.9862752,21558654276431148.0,5.8475707191973925e-06,2.810349175597082e-12,2162555.8065690477,1.7767417893742142e-06,8.4310661045946793e-06,1.9752767784098069e-05,-140,-0.09652438167424726,-0.09652438167351242,-0.09652438167632277,-0.09652438167542306,-200841.41005877499,-200841.410057246,-200841.41006309356,-200841.4100612215
-130,-0.08114827097876579,-168847.83807483516,-130,28341862102.004669,40.613880284453039,28341862061.390789,697836845.51938546,1.551135544674185e+17,1.8236751202493906e-06,8.764655667903298e-13,1922024.5027849544,2.4808121640021253e-07,3.1280399713667883e-06,7.2669762367638668e-06,-130,-0.08114827097788932,-0.08114827097876579,-0.08114827097818528,-0.08114827097861335,-168847.8380730115,-168847.83807483516,-168847.8380736273,-168847.838074518
-120,-0.06726128830362295,-139952.7430370848,-120,28451344686.574692,63.086694721051131,28451344623.487995,450988038.16521525,23382070339936540.0,5.663867341354489e-06,2.722044811775959e-12,1706777.1338133239,1.5017683276214826e-06,7.8281703686878568e-06,1.550686804385748e-05,-120,-0.06726128830476656,-0.06726128830362295,-0.06726128830204452,-0.06726128830329912,-139952.74303946435,-139952.7430370848,-139952.74303380048,-139952.743036411
-110,-0.05470594742488246,-113828.43825402093,-110,28562647701.217026,97.994356189369554,28562647603.222668,291472374.65411818,12470415819262738.0,1.0848903912119567e-05,5.213982023910546e-12,1513753.6215837197,3.1148835294873509e-06,9.9255624702725633e-06,2.3498767886209748e-05,-110,-0.05470594742853704,-0.05470594742488246,-0.05470594742737984,-0.05470594743009644,-113828.43826162512,-113828.43825402093,-113828.4382592173,-113828.43826486984
-100,-0.0433366679774625,-90172.00994062111,-100,28675760012.292587,152.21741902044317,28675759860.075169,188386849.52634338,12483851014012612.0,5.2768446039408445e-06,2.5360546995756295e-12,1340180.4597387339,3.1264142160173131e-06,3.599476496589866e-06,9.5485573670117674e-06,-100,-0.04333666797868303,-0.0433366679774625,-0.04333666797749013,-0.04333666797614698,-90172.0099431607,-90172.00994062111,-90172.00994067859,-90172.00993788385
-90,-0.03298912392114808,-68641.53957791942,-90,28790670839.225723,236.44364384077346,28790670602.782078,121765467.54039207,16418769205019072.0,5.736350431106985e-06,2.756884998067477e-12,1183562.6153474664,2.3886082224445541e-06,9.7739220029580168e-06,1.7886013609746954e-05,-90,-0.03298912392390496,-0.03298912392114808,-0.03298912392353521,-0.03298912392215315,-68641.53958365577,-68641.53957791942,-68641.53958288641,-68641.5395800107
-80,-0.023407126066997828,-48703.9660153929,-80,28907369748.640625,367.27463303785402,28907369381.365993,78707776.547315255,1.4380810880191405e+17,1.8654682207852602e-06,8.965432563012854e-13,1041689.4293878071,2.7403677033105538e-07,3.8538001521393987e-06,7.2841365632569932e-06,-80,-0.023407126066330306,-0.023407126066997828,-0.023407126066101284,-0.02340712606652144,-48703.96601400396,-48703.9660153929,-48703.96601352743,-48703.96601440167
-70,-0.014127346868658042,-29395.22860727849,-70,29025846648.614407,570.49812751121692,29025846078.11628,50878075.227413803,1.2648739078304008e+17,1.14471185952425e-05,5.501484684478086e-12,912662.41567150794,6.5666595427505632e-07,1.1484089151134612e-05,2.0630976848678984e-05,-70,-0.014127346865643249,-0.014127346868658042,-0.014127346871144733,-0.014127346870084077,-29395.22860100551,-29395.22860727849,-29395.22861245263,-29395.228610245686
-60,-0.004418186743246167,-9193.064384615413,-60,29146091783.044567,886.17095823293505,29146090896.873608,32889919.842513449,38426194322358336.0,8.748756954446435e-06,4.204653118733415e-12,794951.94343050744,1.0356715778841087e-06,6.5565384620647131e-06,1.3300820992157014e-05,-60,-0.004418186740925387,-0.004418186743246167,-0.00441818674513004,-0.0044181867441336125,-9193.06437978649,-9193.064384615413,-9193.064388535247,-9193.064386461949
-50,0.006456407344951764,13434.056065234632,-50,29268095726.128838,1376.5145393926612,29268094349.6143,21262467.550137438,13606309836816388.0,6.198868504725397e-06,2.979175933726097e-12,687480.22386214056,2.9393941398676686e-06,5.0002107548658742e-06,1.0601885787497878e-05,-50,0.006456407344099749,0.006456407344951764,0.006456407343726372,0.006456407341972588,13434.056063461816,13434.056065234632,13434.056062684918,13434.056059035764
-40,0.018460874752669665,38412.14055902968,-40,29391849376.955093,2138.1791623341969,29391847238.775932,13746205.133188533,15616938482580300.0,7.126043783500791e-06,3.4247778224472114e-12,589702.24111281976,2.5737334646128786e-06,9.0938328137917662e-06,1.7927411442020258e-05,-40,0.01846087475199283,0.018460874752669665,0.018460874749244887,0.01846087475225994,38412.14055762137,38412.14055902968,38412.140551903634,38412.140558177154
-30,0.030244630902301,62930.983983148144,-30,29517343954.199512,1961.9808646729903,29517341992.218647,15044664.545757057,33434894809166740.0,2.7684218366630375e-06,1.3305016810516435e-12,501619.4973719985,1.2081832661858608e-06,7.6687477313011113e-06,1.5947213764966328e-05,-30,0.030244630902890524,0.030244630902301,0.0302446309036315,0.03024463090277085,62930.98398437479,62930.983983148144,62930.983985916566,62930.98398412578
