voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,2.699006764383084e-10,0.0008423866305814869,-150,416373.11552211206,8.3628504269429141e-09,416373.11552210368,49788420725625.672,1.1624724114526331e+17,4.524378929230549e-11,1.4496110071986367e-17,0.00099066870240498866,5.0653592574342208e-12,5.2200312932077865e-11,9.6763264122255027e-11,-150,2.699006692276554e-10,2.699006764383084e-10,2.699006691012531e-10,2.699006835973632e-10,0.0008423866080763279,0.0008423866305814869,0.0008423866076818137,0.000842386652925603
-140,2.9916934434074666e-10,0.0009337370297776114,-140,460161.30011079623,7.5670199877359512e-09,460161.30011078867,60811429183032.5,12092052517187240.0,3.4446354189171524e-11,1.103661187975387e-17,0.0010949528135749038,5.3817200444691135e-11,5.365461689267824e-11,1.2940054854460731e-10,-140,2.9916934934479015e-10,2.9916934434074666e-10,2.991693491501418e-10,2.9916933830817827e-10,0.0009337370453957245,0.0009337370297776114,0.0009337370447882078,0.0009337370109493703
-130,3.314318584578447e-10,0.001034431518282911,-130,508554.93365654355,6.8469228279294947e-09,508554.93365653668,74274962116132.141,47295526537919336.0,4.008074536328288e-11,1.2841870804321875e-17,0.0012101815549638564,1.5206508336714853e-11,4.2950573583394833e-11,9.3248437942582141e-11,-130,3.314318544337891e-10,3.314318584578447e-10,3.3143185469297775e-10,3.314318672756599e-10,0.0010344315057234366,0.001034431518282911,0.00103443150653239,0.001034431545804182
-120,3.670112037750066e-10,0.001145478164091781,-120,562038.35590954183,6.195351973115194e-09,562038.35590953566,90719358375200.344,25160515498713128.0,1.0162836457799918e-10,3.256172803269959e-17,0.0013375117483127098,3.1590657087067599e-11,9.425529944200153e-11,1.8286662841534435e-10,-120,3.6701121133271026e-10,3.670112037750066e-10,3.67011211975543e-10,3.6701123633673465e-10,0.0011454781876801194,0.001145478164091781,0.001145478189686464,0.0011454782657201457
-110,4.0626358662454606e-10,0.001267988722298833,-110,621146.8469360976,5.6057862831775406e-09,621146.84693609201,110804589322304.94,43358454564270152.0,8.831016170066097e-11,2.829457580855036e-17,0.0014782202713805952,2.0259707677331202e-11,1.4049146407825148e-10,2.5718075011196134e-10,-110,4.062635959776551e-10,4.0626358662454606e-10,4.062635950600635e-10,4.062635676830793e-10,0.0012679887514908087,0.001267988722298833,0.0012679887486269149,0.001267988663180647
-100,4.49581923589283e-10,0.0014031895243111206,-100,686471.984381455,5.0723251865317635e-09,686471.98438144987,135336745799382.56,39935376271721400.0,4.9730629770455836e-11,1.5933693780020664e-17,0.0016337174094002115,2.4309615257731981e-11,1.0453389381807747e-10,2.1511176856708197e-10,-100,4.495819080763197e-10,4.49581923589283e-10,4.4958190771406465e-10,4.4958192364775843e-10,0.0014031894758936322,0.0014031895243111206,0.0014031894747629984,0.0014031895244936282
-90,4.973997081922676e-10,0.0015524335461681261,-90,758667.56417770381,4.5896296252201689e-09,758667.56417769927,165300389384101.94,7.8060133800363366e+17,6.917354449659241e-11,2.2163203742758222e-17,0.0018055609014491266,1.3744709728571422e-12,2.5009095769409683e-10,4.721549164013808e-10,-90,4.973997272017724e-10,4.973997081922676e-10,4.973997277117865e-10,4.973997055485828e-10,0.0015524336054986653,0.0015524335461681261,0.0015524336070904697,0.0015524335379169252
-80,5.501956593518647e-10,0.0017172149168285418,-80,838456.14395321754,4.1528686198255666e-09,838456.14395321335,201898066303006.56,75982632786140656.0,6.706348367260806e-11,2.1487140135927047e-17,0.0019954717733794312,1.5605568926858922e-11,1.4778014499519228e-10,2.8511134848429459e-10,-80,5.50195651763249e-10,5.501956593518647e-10,5.501956528253602e-10,5.501956732503891e-10,0.0017172148931437234,0.0017172149168285418,0.0017172148964586774,0.001717214960207207
-70,6.08498117000944e-10,0.001899182637331286,-70,926636.27463225718,3.7576709194055246e-09,926636.27463225345,246598569834011.44,34428586734601192.0,1.8289959304029768e-10,5.860102960873408e-17,0.0022053515037081259,3.806307720638307e-11,2.1166763331196833e-10,3.5952403922880072e-10,-70,6.084980968547964e-10,6.08498117000944e-10,6.084980959906349e-10,6.084980583999144e-10,0.0018991825744531724,0.001899182637331286,0.0018991825717560391,0.001899182454431693
-60,6.72890534487536e-10,0.0021001577231196506,-60,1024090.4926010241,3.4000812525437046e-09,1024090.4926010207,301195888137929.25,46250522913403816.0,1.3081125722555487e-10,4.191192683447826e-17,0.0024373014064089228,3.1313790897758684e-11,1.4867842122080861e-10,2.8884669027277876e-10,-60,6.728905748151063e-10,6.72890534487536e-10,6.728905763994628e-10,6.728905629682972e-10,0.002100157848985975,0.0021001577231196506,0.002100157853930908,0.002100157812010915
