"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,current,solute_2,solute_1
-150,-0.06654708707211993916303392777128403155896217550524915984660277826041098048298106,-76476.395045336780996621030846586619412336527769706437819462401100103649580116466,-169461.82455011545009554964048823153138283762044105169519669431249764407255170125
-140,-0.059911169310759242631629174256460323135510729597050964736117590330917774514767463,-71098.515611840894827249065205792998706230158490245238995300104025018022353340486,-151439.41045487619946369704619713845109967394916401781569936081580540467598368314
-130,-0.053810818132476645200456783688050292528179987496162639332713253351400606191597198,-65824.630380313605527086086509818677350799534498524269470694955969250505304195464,-135036.55538561300972089628895516022014295546747001327008323041060645472163655283
-120,-0.048171297392180344096225296335315480151789852854594528063239154763202117746019494,-60653.099788148177825538782709687514592708654108847909705204996723896259653896871,-120020.82024381712997226747258991209628374533855891168095689625732876753064651375
-110,-0.042924386123979841776068985949910412260064610506981616825167384583449144920717527,-55582.530139113057441699596888265304413751040898573979446360331580050332086429638,-106179.97751465022516627448270932813443346453573914722130951288045867907501067455
-100,-0.038009155235156380584559040503171618577153636806944236224559156643817509087548169,-50609.116576804811521291020447533433815791513117923851115337337629380114135624376,-93325.763918702408551191773492277780985743697192663849551500896626665148441729716
-90,-0.03337283384225477877129270933468540383384151844720147813241176268548217281800678,-45723.670011234907945776469301011874798724422011821618706465089181533195827814498,-81298.070869085356445121124073705742989668878991220695514032227537984265827999966
-80,-0.02897178942272108822230212404150411524131289533081985910396729788412851251386377,-40908.528824510110922522830077778709436711727138074960924691055369722499465034932,-69969.547768522378017247309896680541010651330061032626836337846696482221012764039
-70,-0.024772594627481473231655914039194077182450480462848439135930654071818473067412992,-36134.73712435560077528856568438680166994368545339441226844330132223786079958411,-59250.342509861757925851014515012742384598075929763733320809005711573659891007626
-60,-0.020752966060858033950770636718826680448131981902698144002236912252450717578288021,-31360.247217427740484311366098468752791123738285269978540130319979503508820449792,-49091.930264126438745390083396473236791924906279142852665083899862593897880000823
-50,-0.016901939707295939851918795151749406517334913061221091907821419724113540226986169,-26530.55070635343434667258140668446975466588440138875308080372067564829935853872,-39487.345456111487277755770691407766394279755253379094743984578397556125864482808
-40,-0.013217966072153328517777191583943735712353706710278283388406004452230484168518843,-21583.955378267561419182289972403698310689174855995548729222181032994649389008095,-30462.598066650642467072662599788793698473321727372290223658201443122888347991778
-30,-0.0097030119376606887503517340623048646247277583657075450704475475008847620284330015,-16464.009909685540326545682097825041411411797168341275122684501555217827737069309,-22052.052278804824221042183059345711319516201860854382912529041103149487867773555
-20,-0.006351433352040646393660144294371912431472160649724168936568430578649026264233999,-11139.599082461621848826091054743924945769244511435535875127388980305172104406435,-14253.650371505289932817686354392636144030322315243630255838820591123916561299658
-10,-0.0031360667682645236153945307949590451093132544860223898848993401319611522913232212,-5627.029396892825546219318925296417324045980964018147942182688261021456536717562,-6974.4589852755715399020318387271783190191837412282883648150258016638312526068388
0,3.3204340860627119017563462820883448397113044922423726342450967235491577078988441e-83,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77
10,0.0031360667682645236153945307949590451093132544860223898848993401319611522913232212,5627.029396892825546219318925296417324045980964018147942182688261021456536717562,6974.4589852755715399020318387271783190191837412282883648150258016638312526068388
20,0.0063514333520406463936601442943719124314721606497241689365684305786490262642339989,11139.599082461621848826091054743924945769244511435535875127388980305172104406435,14253.650371505289932817686354392636144030322315243630255838820591123916561299658
30,0.0097030119376606887503517340623048646247277583657075450704475475008847620284330014,16464.009909685540326545682097825041411411797168341275122684501555217827737069309,22052.052278804824221042183059345711319516201860854382912529041103149487867773555
40,0.013217966072153328517777191583943735712353706710278283388406004452230484168518843,21583.955378267561419182289972403698310689174855995548729222181032994649389008095,30462.598066650642467072662599788793698473321727372290223658201443122888347991778
50,0.016901939707295939851918795151749406517334913061221091907821419724113540226986169,26530.55070635343434667258140668446975466588440138875308080372067564829935853872,39487.345456111487277755770691407766394279755253379094743984578397556125864482808
60,0.020752966060858033950770636718826680448131981902698144002236912252450717578288021,31360.247217427740484311366098468752791123738285269978540130319979503508820449793,49091.930264126438745390083396473236791924906279142852665083899862593897880000822
70,0.024772594627481473231655914039194077182450480462848439135930654071818473067412992,36134.73712435560077528856568438680166994368545339441226844330132223786079958411,59250.342509861757925851014515012742384598075929763733320809005711573659891007626
80,0.02897178942272108822230212404150411524131289533081985910396729788412851251386377,40908.528824510110922522830077778709436711727138074960924691055369722499465034932,69969.547768522378017247309896680541010651330061032626836337846696482221012764038
90,0.03337283384225477877129270933468540383384151844720147813241176268548217281800678,45723.670011234907945776469301011874798724422011821618706465089181533195827814498,81298.070869085356445121124073705742989668878991220695514032227537984265827999966
100,0.038009155235156380584559040503171618577153636806944236224559156643817509087548169,50609.116576804811521291020447533433815791513117923851115337337629380114135624376,93325.763918702408551191773492277780985743697192663849551500896626665148441729716
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,286685067.63369460968674256766846641646475211664422121749493443870830386293339735,20729.433698919934473358501048546294204566750958210916403737750673053815661631496,286664338.19999568975226920916741787017054754989326300657853070095763080911773572,13829.855257870925802918129520951789302242486331959705601429521380855144766895984,573370135.2673892193734851353369328329295042332884424349898688774166077258667947,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,352166.01154995103557181084133536187854267928923692099358397396186771348826357646,1.0969195388379098889821076051926536808732248843136148365278300934353609860687964e-75,4.835649916149861925754238900771143610269521707292896138284008106924864739146024e-76,1.3591372638065860012726155582368176416290418578325094555679788645238056163363636e-75
-140,262199849.52186605669845049741829992541141585409083711429451961666879921389060619,22909.567272223608961269040749603843843869630379363077060051070904041704764124875,262176939.95459383308948922837755032156757198446045775121745956559789517218584207,11444.993543800658024947017630599527828685760141594056043476626271875715923376449,524399699.04373211339690099483659985082283170818167422858903923333759842778121238,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,350606.25753129960466859776355660577520696059288113500478126931196300682119283274,-2.4756567990028700633796081253205613242634384283309037599360143548851658778466086e-76,2.0979078785323390792049476867391920249906371930162323034993638950005941774370915e-76,8.1606218588357357100711456973916174397075789141237439107879167090467992833866493e-76
-130,240307877.52858543060019805434521115218926943651334749134110138826913109187894923,25318.987494959178415384314649220369871337289280810486671513728151415735822936556,240282558.54109047142178267003056193181939809922406668085442987454097967614312629,9491.2119837504930571197050118106641324073240095944251579182573450437700752327011,480615755.05717086120039610869042230437853887302669498268220277653826218375789846,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,351266.8409523903543232584342147300505635363696418119243562353793772641072242678,-1.3143086667227707508682711009940379832160159894541782798373975830317104549603873e-75,5.9896431992386423065649623035405352282537973125032250280178085677458454113982855e-76,1.527623625493582401834426828941715501534576243504367670997611522708187576692372e-75
-120,220791558.30912921349024933475084003516943775240238997956439130311361480392347193,27981.808654549879333770921591202499052728881436207167462989264607628656217526933,220763576.5004746636109155638292488326703850235209537723969283138490071752672544,7890.5392083448548710553744492923578174407306163653770647625432233672843436979426,441583116.61825842698049866950168007033887550480477995912878260622722960784694385,6.2180413596680001302781733412162876912035202623941225972170664985213860982769475e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,354322.28142465082513792837945080926933412876718678484743373664725120944420096684,1.1639392501078176910790143596597603075688484891331242222157410704127951916453593e-75,4.1373428248023747468431485579193046280190194885042393616347725838827825119155138e-76,9.8863518603828057561668147436534870920981748650147547617719158030607730254399222e-76
-110,203457001.26180289758471250901833056779562173915725355344507341763656970497516526,30924.681160165988262750059677022719102768119062388033944983607901638836670257482,203426076.580642731596449758958653545076518971038191165411128434028668066138495,6579.1139513469066883499521044896120599620612245567785355388110167150288804233753,406914002.52360579516942501803666113559124347831450710689014683527313940995033052,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,359973.94704207293479001108286873110065495927629886085549121609275531326834544631,-3.8695388976643646074008911404631827775607473719523777891169144569761864335787077e-76,2.3493455822052544470900541381822697267690455224843607765048261078935164697460746e-76,8.6404646985420687679915423758944098257781660049100247404188746447034332755497365e-76
-100,188132081.5945796451212362594268890171692763644581993458306512830113721633806835,34177.058268977331994079195178859424786681629871723197556794384352601885798467118,188097904.53631066778924218023171015774448968282832762263309448862701956149488503,5504.6306242614208102551326358725866921621282255552951519929419147996933614722959,376264163.18915929024247251885377803433855272891639869166130256602274432676136699,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,368460.66458299498604032559252723236517044213725974515069950575756831348885470834,2.614533181812963242724975506774315397413747174472490444010043252028233910397161e-76,2.1294986088768135204915140232904969648978911283893174345661094170920122804446556e-76,7.9111372426771031711988205366209224772958445852817179809968237767451921220358013e-76
-90,174664721.05624305340806713257238054255702943483662232295881188460424189863871247,37771.490864250581363491171820879641089028783039612856216740501241670053309832225,174626949.56537880282670364140055966291594040605358271010259514410300022858540263,4624.2474697115334698530901824555618885611349878416891055476677434161915746809275,349329442.11248610681613426514476108511405886967324464591762376920848379727742493,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,380075.95806758881338241495614339241553427288110125995882216147587015054610219819,2.2228546632578893851324424623877345489683944513088155839444337877479287216395732e-76,1.5903441710608417379781912894494152632957474348761212476364143082166702925592409e-76,5.0549163818730416819591351571406835974883847455255819784516220889044862870050401e-76
-80,162921369.13354921275115750869009362836532171577178972713342151873367315487598207,41743.953235529751030098947400442513401622819735664207827407750312375876250284793,162879625.18031368300012740974269318585192009295205406292559411098336077899973179,3902.8735063568701195345488223974628167294174958899479214448580517915247936291296,325842738.26709842550231501738018725673064343154357945426684303746734630975196414,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,395192.87932294557274759015823926828137403043846783794307372392431874578123357314,8.3828910591356387404396900515859472491276945515370998306265564266335817438675977e-77,1.6249125076786239069483526646118075590642066250998430025434211298043317952818504e-76,6.7914765015116160524666479202024457739669487075642448190636394699116874893279233e-76
-70,152785669.52183974339443638144109007276692905343189564487173117164280755473654301,46134.203121417315050379640363416256788695661830744979035754757154434973378446901,152739535.31871832607938600180072665651014035777006489989269541688565311976316456,3311.7656572442369756725886399582217032679897461957654966122065204340420988386472,305571339.04367948678887276288218014553385810686379128974346234328561510947308601,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,2.3061058000816769553262505737153166579365540523931110265795106617424065636496349e-82,414294.09611759516969066714964650478524754186390191447454598458409414979861461645,6.7263269237708432265340692376258792810255941240729922699091730121661033868935086e-76,3.6110278922291602170348470336449101719189527986115387335154902645089706932367547e-76,9.1317791518584687877833222014614191718926486319259640543126619991436626681868306e-76
