"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,current,solute_2,solute_1
-150,-0.06654708707212158,-76476.39504533565,-169461.82455012112
-140,-0.05991116931075866,-71098.515611841,-151439.41045487433
-130,-0.053810818132477824,-65824.6303803124,-135036.5553856173
-120,-0.04817129739218094,-60653.09978814758,-120020.8202438193
-110,-0.04292438612398061,-55582.53013911239,-106179.97751465296
-100,-0.03800915523515579,-50609.11657680505,-93325.76391870044
-90,-0.03337283384225493,-45723.670011234186,-81298.07086908618
-80,-0.02897178942272111,-40908.5288245104,-69969.5477685223
-70,-0.024772594627481798,-36134.737124354695,-59250.34250986323
-60,-0.020752966060858368,-31360.247217426528,-49091.93026412809
-50,-0.016901939707296174,-26530.550706353417,-39487.34545611223
-40,-0.01321796607215339,-21583.955378267427,-30462.598066650906
-30,-0.009703011937660544,-16464.00990968605,-22052.05227880412
-20,-0.006351433352040854,-11139.599082461973,-14253.650371505762
-10,-0.0031360667682646145,-5627.029396892805,-6974.458985275865
0,-1.002423232421279e-16,-8.585629984736443e-10,1.1641532182693481e-10
10,0.0031360667682631487,5627.029396894512,6974.458985270438
20,0.006351433352040777,11139.599082460485,14253.650371506264
30,0.009703011937660757,16464.00990968394,22052.052278805837
40,0.013217966072153422,21583.95537826739,30462.59806665102
50,0.01690193970729721,26530.55070635373,39487.345456115305
60,0.02075296606085845,31360.24721742698,49091.930264128125
70,0.0247725946274798,36134.73712435574,59250.34250985646
80,0.02897178942272045,40908.52882451085,69969.54776852002
90,0.03337283384225413,45723.670011232556,81298.0708690845
100,0.03800915523515785,50609.11657680388,93325.76391870745
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,286685067.63369465,20729.433698919936,286664338.19999576,13829.855257870926,1.2245074822305907e+17,7.246853783726692e-09,4.743924364447594e-09,8.743006318923108e-16,1.9103517066690195e-08,-285705.50248748861,8.1453323488383857e-09,3.0186104282847737e-08
-140,262199849.52186611,22909.567272223612,262176939.9545939,11444.99354380066,1.9080749551067494e+17,1.1161318980157375e-08,8.847564458847046e-09,2.456368441983159e-15,-7.6043385178614418e-09,-267374.09964759584,1.0337964203821214e-08,3.2544800632194892e-08
-130,240307877.52858543,25318.987494959183,240282558.54109049,9491.2119837504906,1.4935517637143572e+18,9.720679372549057e-09,1.3562384992837906e-08,4.822531263215524e-15,3.6237094252599708e-09,-249874.08638093362,1.3052745002253099e-08,3.9433981413594665e-08
-120,220791558.30912921,27981.808654549885,220763576.50047466,7890.5392083448533,4.013091593632944e+17,7.494236342608929e-09,3.1141098588705063e-09,8.604228440844963e-16,3.9852166353707519e-09,-233115.38799843288,6.1049104167922473e-09,2.0983279114261677e-08
-110,203457001.26180288,30924.681160165994,203426076.58064273,6579.1139513469052,7.677213922042848e+17,4.71482053399086e-09,5.398760549724102e-09,2.157996004115148e-15,7.3024074056665559e-09,-217008.40793413893,8.7012365891736027e-09,2.7663595858484769e-08
-100,188132081.5945797,34177.058268977336,188097904.53631073,5504.6306242614219,3.7882982756749786e+17,2.000888343900442e-09,2.8812792152166367e-09,7.355227538141662e-16,-2.2911568311425349e-09,-201472.8220799797,6.3972290579053208e-09,2.2888748674176895e-08
-90,174664721.05624309,37771.490864250583,174626949.56537884,4624.247469711534,5.7142459506573434e+17,1.877197064459324e-09,5.4569682106375694e-09,1.9984014443252818e-15,-2.899018573079604e-09,-186455.80401857744,6.8724090341656347e-09,2.3340476218436379e-08
-80,162921369.13354927,41743.953235529756,162879625.18031374,3902.8735063568711,1.2331065152656026e+18,2.3283064365386963e-09,2.1827872842550278e-09,7.91033905045424e-16,5.5105132313712557e-09,-171958.38314943473,3.1382305891492656e-09,1.1812147704404197e-08
-70,152785669.52183977,46134.203121417318,152739535.31871834,3311.7656572442374,2.2012396268840689e+18,3.899913281202316e-09,5.704350769519806e-09,2.0712598303163077e-15,2.388843728526777e-10,-158063.51364980958,5.5166274831532983e-09,1.9785616700573883e-08
-60,144157298.53041929,50986.179618385198,144106312.3508009,2827.3798823404559,4.2481134210988678e+17,2.4010660126805305e-09,3.5579432733356953e-09,1.0547118733938987e-15,2.5059615879047694e-09,-144954.6829075288,3.7340946107698627e-09,1.5385012375190854e-08
-50,136950963.8044157,56348.442938020635,136894615.36147767,2430.4303129556256,3.9192184673963994e+17,1.775333657860756e-09,4.925823304802179e-09,1.2906342661267445e-15,4.3612950877757503e-09,-132914.30408929614,5.0954111048918666e-09,1.6689824633431272e-08
-40,131095553.34898375,62274.660413945508,131033278.6885698,2105.11871887505,2.7315270911769487e+18,1.949956640601158e-09,4.503817763179541e-09,1.3721662694976544e-15,-1.464034555511456e-08,-122298.92224816862,3.6200579386625539e-09,1.4670519021819928e-08
-30,126533426.34564915,68824.143622529344,126464602.20202662,1838.5034623842218,6.5959913600059558e+17,1.9936123862862587e-09,2.3246684577316046e-09,5.30825383648903e-16,3.5980949176570969e-09,-113498.03991701151,3.2639362142773523e-09,1.23997665468778e-08
-20,123219838.66936821,76062.441993080982,123143776.22737512,1619.9826805531288,1.0940177086042724e+18,6.752088665962219e-09,5.0640664994716644e-09,5.759281940243e-16,1.412582529255335e-09,-106886.79967654475,6.8386773150484682e-09,2.0596132799255429e-08
-10,121122497.36270043,84061.998848568997,121038435.36385186,1440.8710121310935,9.297458507128215e+17,2.35741026699543e-09,1.877197064459324e-09,5.928417479150738e-16,-3.3717897397572933e-09,-102779.15662397727,4.3924131395770783e-09,1.6677859093761072e-08
0,120221239.61384445,92902.876442747045,120128336.73740171,1294.0529315896135,2.8194432489799907e+17,5.398760549724102e-09,2.7066562324762344e-09,6.24766107648611e-16,-2.8452986608129083e-09,-101385.22826162707,7.5235032070134648e-09,2.2260451260081027e-08
10,121122497.36270043,84061.998848568997,121038435.36385186,1440.8710121310935,1.3746242416403919e+18,7.887138053774834e-09,7.850758265703917e-09,2.1918231118966958e-15,-3.4360676384433825e-09,-102779.15662396634,6.8950039952575323e-09,2.0729657990159467e-08
20,123219838.66936821,76062.441993080982,123143776.22737512,1619.9826805531288,1.2104025712223514e+18,5.8607838582247496e-09,3.6161509342491627e-09,4.761815941556335e-16,-1.7457703697781029e-09,-106886.79967654047,4.4978547224477197e-09,1.8067225937556941e-08
30,126533426.34564915,68824.143622529344,126464602.20202662,1838.5034623842218,4.5120829292214682e+17,3.0995579436421394e-09,1.367880031466484e-09,1.717376241217039e-16,-3.2997600729137146e-09,-113498.03991701102,3.380342436362477e-09,1.2702230378636159e-08
40,131095553.34898375,62274.660413945508,131033278.6885698,2105.11871887505,4.071025953193808e+17,2.6775524020195007e-09,3.4633558243513107e-09,1.536964999715451e-15,-9.1546432358991802e-10,-122298.92224816642,9.2678018780115958e-09,3.0955618512962246e-08
50,136950963.8044157,56348.442938020635,136894615.36147767,2430.4303129556256,1.2037599578433388e+18,1.2369127944111824e-09,4.343746695667505e-09,1.4918621893400541e-15,-6.9550008125681379e-09,-132914.30408929006,5.5002039682512903e-09,1.7384337525072624e-08
60,144157298.53041929,50986.179618385198,144106312.3508009,2827.3798823404559,5.7216777640399686e+17,2.8558133635669947e-09,3.259629011154175e-09,5.863365348801608e-16,5.350029425259689e-09,-144954.68290752827,1.9604045676357291e-09,7.9159292454278329e-09
70,152785669.52183977,46134.203121417318,152739535.31871834,3311.7656572442374,1.5675494312663288e+18,9.74978320300579e-10,6.26459950581193e-09,1.9567680809018384e-15,5.2012285901250535e-10,-158063.51364980591,6.4375088257477974e-09,2.3205458887787245e-08
80,162921369.13354927,41743.953235529756,162879625.18031374,3902.8735063568711,1.6328031098688328e+18,3.230525180697441e-09,3.637978807091713e-09,1.4606371667724716e-15,2.5894054918022851e-09,-171958.38314943353,4.447690809261633e-09,1.6641820366203319e-08
90,174664721.05624309,37771.490864250583,174626949.56537884,4624.247469711534,3.9831655597233172e+18,3.3396645449101925e-09,3.1141098588705063e-09,1.2212453270876722e-15,7.829924928047695e-09,-186455.80401858041,7.8520749814643024e-09,2.5912626711033226e-08
100,188132081.5945797,34177.058268977336,188097904.53631073,5504.6306242614219,1.8042666605547597e+18,6.024492904543877e-09,4.94765117764473e-09,1.3877787807814457e-15,6.2549115817684773e-09,-201472.82207997912,5.642745455987218e-09,1.6273688174806011e-08
