"{'distance': [0.278, 0.569, 0.709, 0.759, 0.849, 0.913, 0.919], 'solute_2': [8.65, -5.1, 19.78, -6.33, 13.6, -10.51, 15.14], 'solute_1': [15.75, -0.22, 16.34, -7.47, 16.86, -19.6, 12.79]}","{'solute_1i': '136.0 M', 'solute_2e': '418.0 M', 'solute_1e': '7.0 M', 'solute_2i': '117.0 uM'}"
voltage,current,solute_2,solute_1
-150,-8.08716194236316e-11,-0.0003633153242004238,-7.075063822323258e-05
-140,-1.5783185344087803e-10,-0.0008800277814162497,-5.2594890318335974e-05
-130,-1.0071869629405879e-10,-0.0005139615328757004,-5.737221825022343e-05
-120,-1.2181887311738847e-10,-0.0007399551674359284,-1.0231133876881238e-05
-110,-2.6463761309835218e-11,-9.310695757062427e-05,-3.604253029657056e-05
-100,-2.9005723395029693e-11,-0.0001854620138805052,2.2012834851037333e-06
-90,-5.501323789914799e-11,-0.00032278431973390906,-1.0309581391310108e-05
-80,-3.975993109969922e-11,-0.0002544249492260932,3.117808259428534e-06
-70,-3.946410809534835e-11,-0.00024289882312313743,-1.7219620194186547e-06
-60,-3.204236255783227e-11,-0.00016191043366533403,-1.9052156943338838e-05
-50,-6.960367202741064e-11,-0.0003877382584231287,-2.337079596761993e-05
-40,-1.4247228901737922e-11,-0.00013019542804634798,2.0630707463442644e-05
-30,-2.4814886888800042e-11,-0.0001536125454883186,-6.4343664660238e-07
-20,-1.2515568462662794e-11,-7.696863484357719e-05,-5.780061196059005e-07
-10,-1.390106492212127e-11,-8.800662356983624e-05,6.167171465870647e-07
0,-1.9058526732503966e-12,-2.3343686290977494e-05,5.723488984282765e-06
10,-6.10524908540338e-12,-5.1462470331331556e-05,6.6761506294504835e-06
20,-1.2320026471987876e-11,-9.068071471451944e-05,6.8883396544261455e-06
30,-1.4550012895788631e-11,-9.798378485292858e-05,3.5798671587095043e-06
40,-8.386448534787544e-12,-6.313851185879571e-05,5.3943229244429736e-06
50,-3.6565360712276766e-13,-2.5207555329531672e-05,1.1462536693720993e-05
60,3.9722458199375514e-13,-2.7009662972421467e-05,1.4744608583569518e-05
70,-8.374184433368682e-12,-9.652007827920528e-05,2.2123383604744085e-05
80,1.3320852014796497e-11,1.382620738654694e-05,3.466258923680299e-05
90,7.616493688232227e-12,-4.7985159626451335e-05,4.776440780396296e-05
100,2.1463001480262983e-11,1.7207587705847516e-06,6.612776505997287e-05
"{'distance': [0.278, 0.569, 0.709, 0.759, 0.849, 0.913, 0.919], 'solute_2': [8.65, -5.1, 19.78, -6.33, 13.6, -10.51, 15.14], 'solute_1': [15.75, -0.22, 16.34, -7.47, 16.86, -19.6, 12.79]}","{'solute_1i': '136.0 M', 'solute_2e': '418.0 M', 'solute_1e': '7.0 M', 'solute_2i': '117.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,2368396317967.8159,0.00041439533973635577,2368396317967.8154,5715306353287234.0,8.8005241007898309e+20,0.0001991610459571258,0.00013283777035155708,7.310247255452272e-11,-0.00022855799788283547,-0.16109310232431509,0.00025720060494007456,0.00045363332188482169
-140,2119280135246.1892,0.00043616492713714853,2119280135246.1887,4858896264668706.0,2.0451681134567149e+21,0.0003871034804302226,0.0001735447787941614,1.1561869549262399e-10,0.00038273358791034032,-0.28351183632420623,0.00045501043212868981,0.00077429030077775596
-130,1896394339366.269,0.0004590781445215755,1896394339366.2686,4130874802028706.5,3.2333687533950222e+21,7.762401683132712e-05,2.3517759924374104e-05,1.9491297200939782e-11,5.0754350032729888e-05,-0.50599109733755254,8.8497713642013935e-05,0.00020163804921057509
-120,1696978464690.2688,0.00048319507063689934,1696978464690.2683,3511994570750653.0,3.2627298931556876e+20,0.0003647772429003378,0.00019368665411722177,1.1503393729726685e-10,0.00038409089311528601,-0.90489497830432564,0.0004346963864365222,0.00075060134364461563
-110,1518562732284.6389,0.00050857894036997729,1518562732284.6384,2985893853921529.0,5.2480989863465419e+20,0.0002537032347343244,7.413541288265844e-05,5.490284798878841e-11,-0.00032237766064841032,-1.6177049892898077,0.00032463856971880683,0.00054711132098830286
-100,1358937435195.6465,0.00053529631054993808,1358937435195.646,2538663929515110.0,3.6470338360553479e+20,0.00012134431321494124,0.0001436934034906301,6.476948665325184e-11,-0.00014903217865597137,-2.8814679650109887,0.00026124848697752434,0.00049718207556150257
-90,1216125550976.2493,0.00056341723446103401,1216125550976.2488,2158481275674141.0,2.6514484846431237e+20,5.892784389631303e-05,4.700886575609298e-05,2.405315053522355e-11,8.6480966319077502e-05,-5.099775758028513,8.8351187885899162e-05,0.00016653227057200235
-80,1088358240814.603,0.00059301544552324299,1088358240814.6024,1835294930394768.8,3.8220127029207925e+20,2.4113412921108633e-05,1.2144985759604543e-05,2.815959767767528e-12,1.592041103050179e-06,-8.9331118457297141,3.3054428032926817e-05,6.9449622856381345e-05
-70,974052930670.18616,0.00062416855062223295,974052930670.18555,1560560732672535.0,1.3159812350003588e+20,3.85735749334414e-05,3.5038303753486942e-06,7.150473475741062e-12,1.995448291311794e-05,-15.388577735611745,4.3831316193142091e-05,9.4078425428057612e-05
-60,871793702043.93372,0.00065695823359560241,871793702043.93311,1327015413556070.2,1.1021828571748544e+20,1.6922429733643742e-05,2.920779772810911e-05,6.647205148756429e-12,-4.6736459230677815e-06,-25.786754073869044,3.9539928589583829e-05,7.6484595453757951e-05
-50,780313748805.677,0.00069147046940894164,780313748805.67627,1128484560552061.2,7.4359435532971114e+19,0.000241261650956375,9.434996519155914e-05,6.712491438041257e-11,0.00026649424956298165,-41.201900321867392,0.00033973564030150499,0.00059189788005727844
