"{'distance': [0.319, 0.324, 0.478, 0.529, 0.68, 0.696, 0.848], 'solute_2': [15.01, -12.32, 13.62, -0.1, 12.99, -9.76, 13.91], 'solute_1': [16.4, -10.74, 4.21, -7.11, 17.16, -0.91, 18.56]}","{'solute_1i': '291.0 nM', 'solute_2e': '357.0 mM', 'solute_1e': '126.0 M', 'solute_2i': '447.0 M'}"
voltage,current,solute_2,solute_1
-150,-0.0012513616526986825,-5.475532708209166,-3902.885369409574
-140,-0.0008768363601854997,-4.155368368364265,-2734.615075445967
-130,-0.0005991224867265044,-3.015740789041946,-1868.412500162609
-120,-0.00039702027317292383,-2.024051493248912,-1238.1274036320392
-110,-0.0002535310062121341,-1.1118518325664468,-790.7393494024873
-100,-0.00015487214622657075,-0.14212166112077407,-483.30018207384273
-90,-8.971643409800962e-05,1.1326060634517945,-280.58014228893444
-80,-4.87004743412196e-05,3.1017340642093467,-153.5498506189324
-70,-2.4191916431163546e-05,6.274744313154924,-78.64272930752486
-60,-1.0217975548603129e-05,11.155377024132846,-37.46899796463549
-50,-2.4165506051174785e-06,18.012964790415793,-16.548775170231238
-40,2.1005516117832833e-06,26.669507176002107,-6.778724837116897
-30,5.015575672128274e-06,36.485918510717674,-2.5888529128860682
-20,7.166959664031946e-06,46.59869501714097,-0.9305595434270799
-10,8.907093424027152e-06,56.23693300536586,-0.3185494489152916
0,1.0365188761720242e-05,64.91178133819332,-0.10511425923323259
10,1.159202892544907e-05,72.42733708464671,-0.03380298224510625
20,1.261916470176421e-05,78.79270275040389,-0.010693754215026274
30,1.3475441330832111e-05,84.123072533779,-0.0033548348292242736
40,1.4188543774980504e-05,88.56979038310719,-0.0010507003535167314
50,1.478354017973104e-05,92.28243460377884,-0.0003303489211248234
60,1.5281906237066497e-05,95.39288308399185,-0.00010497187577129807
70,1.5701399270352197e-05,98.01129913555609,-3.386755270184949e-05
80,1.6056429891031695e-05,100.22742504063922,-1.123744914366398e-05
90,1.635861031671277e-05,102.11368009504355,-3.853037469525589e-06
100,1.661729903607071e-05,103.7284611676593,-1.3826102076563984e-06
"{'distance': [0.319, 0.324, 0.478, 0.529, 0.68, 0.696, 0.848], 'solute_2': [15.01, -12.32, 13.62, -0.1, 12.99, -9.76, 13.91], 'solute_1': [16.4, -10.74, 4.21, -7.11, 17.16, -0.91, 18.56]}","{'solute_1i': '291.0 nM', 'solute_2e': '357.0 mM', 'solute_1e': '126.0 M', 'solute_2i': '447.0 M'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,2013259346809.8967,0.0024920921942168171,2013259346809.8943,807859095856041.62,1.6713347602079803e+20,4.187000968158827e-07,1.402270299877273e-06,4.5206698627564545e-13,1.1336387444368996e-06,-99.693845517175049,1.3259014243414957e-06,3.056044213570875e-06
-140,2095354568821.4763,0.0028143254230858731,2095354568821.4734,744531727437527.75,2.8475313077981312e+20,3.8326732010318665e-07,6.137352102086879e-07,2.2485160434959628e-13,4.5655040401766384e-07,-93.575319630319783,9.9319542934282739e-07,2.2615047561000254e-06
-130,2181147057368.1367,0.0031782241465254501,2181147057368.1335,686278549532966.62,5.9530140783162294e+20,1.0670266306078702e-06,2.6572824936010875e-06,8.546074004717186e-13,-2.8983113535911357e-06,-88.123697432352643,2.5611481080042817e-06,5.5974977354554608e-06
-120,2270741148257.9155,0.0035891758084186593,2270741148257.9121,632663672515493.87,3.6829691457950961e+20,4.1669321717563435e-06,9.813831638894044e-06,2.4768091223814626e-12,7.1972843518883082e-06,-83.325284428361769,1.0616651616667471e-05,2.030648632258821e-05
-110,2364255201405.7261,0.0040532644614826819,2364255201405.7222,583296556114890.87,2.8111513757501201e+20,2.0842984440605505e-06,3.3444504197177594e-06,1.0685675434773945e-12,-2.154435733221732e-06,-79.196385661154636,4.6297175839236783e-06,8.004734626598421e-06
-100,2461820176471.0352,0.0045773608403866031,2461820176471.0308,537825236487825.19,1.0553127717260098e+20,4.456554734133533e-07,1.7687852960079908e-06,6.064011326498836e-13,9.2388890935042299e-07,-75.80160638774106,2.9021252680606119e-06,5.3296172654655929e-06
-90,2563578581879.0771,0.0051692240815296893,2563578581879.0718,495931022034637.12,7.321077869814747e+20,6.003701855661348e-07,6.9290733222260315e-06,2.221568076526091e-12,1.8565085476233916e-06,-73.275633507077075,9.0856169913493268e-06,1.4141482070773253e-05
-80,2669683717565.8032,0.0058376165954199966,2669683717565.7974,457324264779627.69,2.1263672846463084e+20,2.308016178176331e-07,1.6030917322495952e-06,5.12979232930675e-13,-7.5413925895832456e-09,-71.842714103474663,2.413617929068302e-06,3.9664769646683818e-06
-70,2780299149656.3403,0.0065924337923146453,2780299149656.3335,421740928653325.12,1.2777826842232368e+20,7.419686767207168e-07,1.7374604937003824e-06,5.783587042444693e-13,1.6227046497748447e-06,-71.826277763529831,1.9604965329444746e-06,4.2559050582461619e-06
-60,2895598369157.8574,0.007444850581682514,2895598369157.8501,388939756062029.75,2.4655565363341237e+20,2.951908300019568e-07,3.751069016288966e-06,1.2308224626539311e-12,-1.4553119856171664e-06,-73.641504415302364,5.7320591126600331e-06,9.1275268309793772e-06
-50,3015764597518.7466,0.008407486814383025,3015764597518.7383,358699890240631.37,4.6930344999604363e+19,1.8140371764729935e-06,3.697500901012063e-07,1.9025926709822475e-13,2.7615275874732796e-06,-77.765302241610243,2.2475900934556311e-06,5.332324010299168e-06
-40,3140990710273.2241,0.0094945941168975926,3140990710273.2148,330818850348029.31,1.8593077644362495e+20,7.258963847789346e-07,1.4302495401352644e-06,3.820322756703336e-13,-8.8929009590475789e-07,-84.681645889649687,1.3780928336454947e-06,2.9850603135583763e-06
