"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -2.0, 8.0, -2.0, 8.0, -2.0, 8.0], 'solute_1': [15.0, -20.0, 15.0, -20.0, 15.0, -20.0, 15.0]}","{'solute_1i': '1.0 M', 'solute_2e': '1.0 M', 'solute_1e': '1.0 fM', 'solute_2i': '1.0 fM'}"
voltage,current,solute_2,solute_1
-150,-7.900102470672119e-06,-49.31209387257695,-0.0009520358467307623
-140,3.2702148902554464e-05,204.13159957528114,0.0008322428040885115
-130,-6.895583222838758e-06,-43.04503180831671,0.0007205769462478064
-120,1.4977917139237252e-06,9.347148075699806,0.001181623584944641
-110,-1.5766836851093667e-07,-0.9867646801285446,0.001283811628140336
-100,-6.765955431021528e-06,-42.2366509437561,0.0011112676910083118
-90,-2.493346390149646e-06,-15.56707763671875,0.0015588241345117666
-80,-3.4758886787092514e-06,-21.69991347193718,0.0013653542293520049
-70,-1.1628765344108153e-06,-7.262372836470604,0.0017340636447425667
-60,-1.088596609134362e-06,-6.798335999250412,0.0015506178075967618
-50,8.641146742510885e-07,5.3884605169296265,0.0027568646659249605
-40,-3.210913368006369e-07,-2.0093363225460052,0.0025104309339360814
-30,-3.0614959925983604e-07,-1.9165095537900925,0.0027316830753332274
-20,-2.0634454082267862e-07,-1.2941267490386963,0.003041711527217561
-10,-1.2882446573257742e-07,-0.8109185993671417,0.003385436598123244
0,-7.981036675088714e-08,-0.5054795891046524,0.00364376848838383
10,-5.227034000701707e-08,-0.33448056876659393,0.004099397969385998
20,-3.4014059330167075e-08,-0.22135362029075623,0.004515576280936558
30,-1.9919844164313002e-08,-0.1348196268081665,0.0052380151384371736
40,-1.2539897044152652e-08,-0.08943262696266174,0.005578058037658427
50,-7.282997451049987e-09,-0.05796998739242554,0.0062540403533601205
60,-3.6840941319926725e-09,-0.036789655685424805,0.006896406706655372
70,-1.3183555254139702e-09,-0.02331303060054779,0.007541797680380105
80,3.9532537428579974e-10,-0.014485672116279602,0.008476685540929438
90,1.577234749643027e-09,-0.00897233933210373,0.009408874877172423
100,2.4315682265654707e-09,-0.005546636879444122,0.010362482692423281
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -2.0, 8.0, -2.0, 8.0, -2.0, 8.0], 'solute_1': [15.0, -20.0, 15.0, -20.0, 15.0, -20.0, 15.0]}","{'solute_1i': '1.0 M', 'solute_2e': '1.0 M', 'solute_1e': '1.0 fM', 'solute_2i': '1.0 fM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,18989090711.323696,8.3628504269429141e-09,18989090711.323696,2.2706481333381043e+18,1.6962808379770019e+17,0.0011473980778120563,0.0017014034857957632,6.052177317774032e-10,0.005282474461732775,-0.0016044104842005648,0.0027749939888448887,0.0047538763140050188
-140,18062981829.127594,7.5670199877359512e-09,18062981829.127594,2.3870667526189568e+18,3.0908829907158995e+17,0.0025885451075282617,0.0017809357788588303,2.850294225970507e-10,-0.0018870702801039173,-0.0018870702801039173,0.0025398764695350735,0.0049225846692495653
-130,17182039810.091549,6.8469228279294947e-09,17182039810.091549,2.5094542821490202e+18,77777747776618160.0,0.0009687582583737253,0.0007670971982056199,1.4092286831656517e-10,0.0030103964163508837,-0.0041359574447630328,0.00094492974059376237,0.0016789822546768218
-120,16415111481.440657,6.195351973115194e-09,16415111481.440657,2.6495849715519365e+18,82471243200289424.0,0.0016336496191993177,0.0012401018299606375,2.090253585677178e-10,-0.00095665091097508603,-0.00095665091097508603,0.0014328251034916109,0.0025137504374034875
-110,15994664536.281025,5.6057862831775406e-09,15994664536.281025,2.8532419411491963e+18,28531055087186664.0,0.0015640888712258327,0.0012552033723437165,2.1128948923044493e-10,-0.00058745065298712682,-0.00058745065298712682,0.0014587666062917618,0.0025107773143730671
-100,15614212583.710781,5.0723251865317635e-09,15614212583.710781,3.0783145814803533e+18,1.0093730866160325e+17,0.00017822182677207365,0.00015202559426037091,2.550821752969932e-11,-0.00021676829321830987,-0.0029009764355982719,0.0002124237260985955,0.00037540437737217921
-90,15272804295.679935,4.5896296252201689e-09,15272804295.679935,3.3276768590989051e+18,77092337187058704.0,0.0007078989415667536,0.0007736180714030998,1.3446181963839077e-10,-0.00048871847480614402,-0.00048871847480614402,0.00056561588516406769,0.0011841233965951649
-80,14969585973.636772,4.1528686198255666e-09,14969585973.636772,3.6046375033808655e+18,1.1222600395460936e+17,0.0005836307377435901,0.0005198401995651488,8.98449238912472e-11,-0.00067792769984005618,-0.0021533586413331166,0.00060952973424416778,0.0010140309842052257
-70,14703799413.836809,3.7576709194055246e-09,14703799413.836809,3.9130088102986404e+18,96897607269503488.0,0.0007259382640150136,0.0006615590674003602,1.1748435926681014e-10,0.0017295353984428342,-0.0051054813653100741,0.00079134193913275354,0.0013139508126674762
-60,14474780011.438519,3.4000812525437046e-09,14474780011.438519,4.2571865012371379e+18,4.84928073398144e+17,0.00013038218117422673,0.0003269040056799969,1.0859722643431191e-10,0.00022941182983015566,-0.004084681687641839,0.0005590511880492606,0.00089716748061039494
-50,14281955098.645016,3.0765207416641174e-09,14281955098.645016,4.6422424218468874e+18,88407602185566128.0,0.0052394389655230356,0.005130738534345761,8.747967078874708e-10,-0.0027397135334070281,-0.0027397135334070281,0.0061239951175350062,0.0099490591859476025
-40,14124842512.736313,2.7837510844214353e-09,14124842512.736313,5.0740321545925755e+18,74590674641581776.0,0.0009119320647781315,0.0009786727796037313,1.6747524180761072e-10,0.0024974742103832195,-0.0050409960743003478,0.0010599312947544264,0.0018590021304885256
-30,14003049390.411343,2.5188421436826941e-09,14003049390.411343,5.5593199540238234e+18,95956275329574976.0,0.00010853741658323202,0.00024066250576725316,5.976735205443837e-11,0.00021005343199063944,-0.0054675480054214576,0.00016824906704542667,0.00031702023995815333
