voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.06654708707212158,-76476.39504533565,-169461.82455012112,-150,286685067.63369465,20729.433698919936,286664338.19999576,13829.855257870926,1.2245074822305907e+17,7.246853783726692e-09,4.743924364447594e-09,8.743006318923108e-16,1.9103517066690195e-08,-285705.50248748861,8.1453323488383857e-09,3.0186104282847737e-08,-150,-0.0665470870721207,-0.06654708707212158,-0.06654708707212106,-0.06654708707212152,-76476.39504533933,-76476.39504533565,-76476.39504533209,-76476.39504533689,-169461.82455011655,-169461.82455012112,-169461.8245501213,-169461.82455012036
-140,-0.05991116931075866,-71098.515611841,-151439.41045487433,-140,262199849.52186611,22909.567272223612,262176939.9545939,11444.99354380066,1.9080749551067494e+17,1.1161318980157375e-08,8.847564458847046e-09,2.456368441983159e-15,-7.6043385178614418e-09,-267374.09964759584,1.0337964203821214e-08,3.2544800632194892e-08,-140,-0.059911169310757274,-0.05991116931075866,-0.059911169310756206,-0.059911169310758086,-71098.5156118392,-71098.515611841,-71098.51561184338,-71098.51561185037,-151439.4104548709,-151439.41045487433,-151439.4104548655,-151439.41045486787
-130,-0.053810818132477824,-65824.6303803124,-135036.5553856173,-130,240307877.52858543,25318.987494959183,240282558.54109049,9491.2119837504906,1.4935517637143572e+18,9.720679372549057e-09,1.3562384992837906e-08,4.822531263215524e-15,3.6237094252599708e-09,-249874.08638093362,1.3052745002253099e-08,3.9433981413594665e-08,-130,-0.053810818132478844,-0.053810818132477824,-0.05381081813248002,-0.0538108181324752,-65824.63038031748,-65824.6303803124,-65824.63038031074,-65824.63038030776,-135036.55538561795,-135036.5553856173,-135036.555385625,-135036.55538561143
-120,-0.04817129739218094,-60653.09978814758,-120020.8202438193,-120,220791558.30912921,27981.808654549885,220763576.50047466,7890.5392083448533,4.013091593632944e+17,7.494236342608929e-09,3.1141098588705063e-09,8.604228440844963e-16,3.9852166353707519e-09,-233115.38799843288,6.1049104167922473e-09,2.0983279114261677e-08,-120,-0.04817129739218122,-0.04817129739218094,-0.0481712973921818,-0.04817129739218102,-60653.0997881494,-60653.09978814758,-60653.099788147185,-60653.0997881419,-120020.82024381925,-120020.8202438193,-120020.82024382218,-120020.82024382237
-110,-0.04292438612398061,-55582.53013911239,-106179.97751465296,-110,203457001.26180288,30924.681160165994,203426076.58064273,6579.1139513469052,7.677213922042848e+17,4.71482053399086e-09,5.398760549724102e-09,2.157996004115148e-15,7.3024074056665559e-09,-217008.40793413893,8.7012365891736027e-09,2.7663595858484769e-08,-110,-0.04292438612398032,-0.04292438612398061,-0.04292438612397852,-0.042924386123980675,-55582.53013911442,-55582.53013911239,-55582.53013911011,-55582.530139114824,-106179.97751465105,-106179.97751465296,-106179.97751464756,-106179.97751465192
-100,-0.03800915523515579,-50609.11657680505,-93325.76391870044,-100,188132081.5945797,34177.058268977336,188097904.53631073,5504.6306242614219,3.7882982756749786e+17,2.000888343900442e-09,2.8812792152166367e-09,7.355227538141662e-16,-2.2911568311425349e-09,-201472.8220799797,6.3972290579053208e-09,2.2888748674176895e-08,-100,-0.038009155235156376,-0.03800915523515579,-0.038009155235155974,-0.03800915523515564,-50609.11657680491,-50609.11657680505,-50609.11657680691,-50609.11657680609,-93325.76391870235,-93325.76391870044,-93325.76391870009,-93325.76391869946
-90,-0.03337283384225493,-45723.670011234186,-81298.07086908618,-90,174664721.05624309,37771.490864250583,174626949.56537884,4624.247469711534,5.7142459506573434e+17,1.877197064459324e-09,5.4569682106375694e-09,1.9984014443252818e-15,-2.899018573079604e-09,-186455.80401857744,6.8724090341656347e-09,2.3340476218436379e-08,-90,-0.03337283384225471,-0.03337283384225493,-0.033372833842256554,-0.033372833842254555,-45723.670011235066,-45723.670011234186,-45723.67001123568,-45723.6700112338,-81298.07086908506,-81298.07086908618,-81298.07086909052,-81298.07086908522
-80,-0.02897178942272111,-40908.5288245104,-69969.5477685223,-80,162921369.13354927,41743.953235529756,162879625.18031374,3902.8735063568711,1.2331065152656026e+18,2.3283064365386963e-09,2.1827872842550278e-09,7.91033905045424e-16,5.5105132313712557e-09,-171958.38314943473,3.1382305891492656e-09,1.1812147704404197e-08,-80,-0.0289717894227219,-0.02897178942272111,-0.028971789422721137,-0.02897178942272112,-40908.528824510955,-40908.5288245104,-40908.528824509805,-40908.52882450863,-69969.54776852448,-69969.5477685223,-69969.54776852268,-69969.54776852322
-70,-0.024772594627481798,-36134.737124354695,-59250.34250986323,-70,152785669.52183977,46134.203121417318,152739535.31871834,3311.7656572442374,2.2012396268840689e+18,3.899913281202316e-09,5.704350769519806e-09,2.0712598303163077e-15,2.388843728526777e-10,-158063.51364980958,5.5166274831532983e-09,1.9785616700573883e-08,-70,-0.024772594627482297,-0.024772594627481798,-0.02477259462748104,-0.024772594627480226,-36134.737124358595,-36134.737124354695,-36134.737124355204,-36134.737124356296,-59250.34250986282,-59250.34250986323,-59250.3425098606,-59250.342509857524
-60,-0.020752966060858368,-31360.247217426528,-49091.93026412809,-60,144157298.53041929,50986.179618385198,144106312.3508009,2827.3798823404559,4.2481134210988678e+17,2.4010660126805305e-09,3.5579432733356953e-09,1.0547118733938987e-15,2.5059615879047694e-09,-144954.6829075288,3.7340946107698627e-09,1.5385012375190854e-08,-60,-0.020752966060858004,-0.020752966060858368,-0.020752966060857733,-0.020752966060857313,-31360.24721742893,-31360.247217426528,-31360.247217428303,-31360.247217427066,-49091.93026412575,-49091.93026412809,-49091.930264125214,-49091.93026412453
