voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-8.08716194236316e-11,-0.0003633153242004238,-7.075063822323258e-05,-150,2368396317967.8159,0.00041439533973635577,2368396317967.8154,5715306353287234.0,8.8005241007898309e+20,0.0001991610459571258,0.00013283777035155708,7.310247255452272e-11,-0.00022855799788283547,-0.16109310232431509,0.00025720060494007456,0.00045363332188482169,-150,-8.075384983862931e-11,-8.08716194236316e-11,-1.1739509406639347e-10,-1.5385632239315203e-10,-0.00036490708589553833,-0.0003633153242004238,-0.0005624763701575496,-0.0005555515985914423,-6.958718688565568e-05,-7.075063822323258e-05,-8.516348179511247e-05,-0.00020242495723721277
-140,-1.5783185344087803e-10,-0.0008800277814162497,-5.2594890318335974e-05,-140,2119280135246.1892,0.00043616492713714853,2119280135246.1887,4858896264668706.0,2.0451681134567149e+21,0.0003871034804302226,0.0001735447787941614,1.1561869549262399e-10,0.00038273358791034032,-0.28351183632420623,0.00045501043212868981,0.00077429030077775596,-140,-1.5784362748945567e-10,-1.5783185344087803e-10,-9.84547860612669e-11,-4.222493199683168e-11,-0.0008803978562355042,-0.0008800277814162497,-0.0004972026588189265,-0.0004932943758052816,-5.2446600875555305e-05,-5.2594890318335974e-05,-5.868576816003401e-05,0.0001148590106341274
-130,-1.0071869629405879e-10,-0.0005139615328757004,-5.737221825022343e-05,-130,1896394339366.269,0.0004590781445215755,1896394339366.2686,4130874802028706.5,3.2333687533950222e+21,7.762401683132712e-05,2.3517759924374104e-05,1.9491297200939782e-11,5.0754350032729888e-05,-0.50599109733755254,8.8497713642013935e-05,0.00020163804921057509,-130,-1.0065050939956563e-10,-1.0071869629405879e-10,-8.122739909311901e-11,-8.212571468459194e-11,-0.000513443723320961,-0.0005139615328757004,-0.0004363375160443733,-0.0004448438204794864,-5.741830500483047e-05,-5.737221825022343e-05,-3.534996573910863e-05,-3.390054508045637e-05
-120,-1.2181887311738847e-10,-0.0007399551674359284,-1.0231133876881238e-05,-120,1696978464690.2688,0.00048319507063689934,1696978464690.2683,3511994570750653.0,3.2627298931556876e+20,0.0003647772429003378,0.00019368665411722177,1.1503393729726685e-10,0.00038409089311528601,-0.90489497830432564,0.0004346963864365222,0.00075060134364461563,-120,-1.2036577202593434e-10,-1.2181887311738847e-10,-6.984959232341541e-11,-6.784935820121615e-12,-0.0007482152432203293,-0.0007399551674359284,-0.0003897267176991172,-0.0003834380003199915,-1.56582416366291e-06,-1.0231133876881238e-05,-2.3144107827767908e-05,0.00017054254628945387
-110,-2.6463761309835218e-11,-9.310695757062427e-05,-3.604253029657056e-05,-110,1518562732284.6389,0.00050857894036997729,1518562732284.6384,2985893853921529.0,5.2480989863465419e+20,0.0002537032347343244,7.413541288265844e-05,5.490284798878841e-11,-0.00032237766064841032,-1.6177049892898077,0.00032463856971880683,0.00054711132098830286,-110,-2.6590533385069645e-11,-2.6463761309835218e-11,-6.001451980006173e-11,-8.136660929862363e-11,-9.541958570480347e-05,-9.310695757062427e-05,-0.0003468101923049487,-0.0003318233209626149,-3.528188437940116e-05,-3.604253029657056e-05,-1.3906139178554788e-05,-8.804155206121322e-05
-100,-2.9005723395029693e-11,-0.0001854620138805052,2.2012834851037333e-06,-100,1358937435195.6465,0.00053529631054993808,1358937435195.646,2538663929515110.0,3.6470338360553479e+20,0.00012134431321494124,0.0001436934034906301,6.476948665325184e-11,-0.00014903217865597137,-2.8814679650109887,0.00026124848697752434,0.00049718207556150257,-100,-2.8441727928748148e-11,-2.9005723395029693e-11,-5.064329626053672e-11,-9.321121458199998e-11,-0.00018988922238349915,-0.0001854620138805052,-0.00029818929946283157,-0.00030680632709544645,6.175173211886431e-06,2.2012834851037333e-06,-8.968072679747511e-06,-0.00013751823027874366
-90,-5.501323789914799e-11,-0.00032278431973390906,-1.0309581391310108e-05,-90,1216125550976.2493,0.00056341723446103401,1216125550976.2488,2158481275674141.0,2.6514484846431237e+20,5.892784389631303e-05,4.700886575609298e-05,2.405315053522355e-11,8.6480966319077502e-05,-5.099775758028513,8.8351187885899162e-05,0.00016653227057200235,-90,-5.4458518475848904e-11,-5.501323789914799e-11,-4.4205765067338777e-11,-3.096008736392444e-11,-0.00032344087958335876,-0.00032278431973390906,-0.00026451303568704573,-0.00026665754103870706,-8.249967436313455e-06,-1.0309581391310108e-05,-5.714034801105043e-06,3.669928436478287e-05
-80,-3.975993109969922e-11,-0.0002544249492260932,3.117808259428534e-06,-80,1088358240814.603,0.00059301544552324299,1088358240814.6024,1835294930394768.8,3.8220127029207925e+20,2.4113412921108633e-05,1.2144985759604543e-05,2.815959767767528e-12,1.592041103050179e-06,-8.9331118457297141,3.3054428032926817e-05,6.9449622856381345e-05,-80,-4.0304997282373736e-11,-3.975993109969922e-11,-3.804278695384495e-11,-4.0858746721612477e-11,-0.00025011971592903137,-0.0002544249492260932,-0.00023031153630498455,-0.00023699400156402048,-7.360137033174396e-07,3.117808259428534e-06,-3.579521965625535e-06,-9.027177500176009e-06
-70,-3.946410809534835e-11,-0.00024289882312313743,-1.7219620194186547e-06,-70,974052930670.18616,0.00062416855062223295,974052930670.18555,1560560732672535.0,1.3159812350003588e+20,3.85735749334414e-05,3.5038303753486942e-06,7.150473475741062e-12,1.995448291311794e-05,-15.388577735611745,4.3831316193142091e-05,9.4078425428057612e-05,-70,-3.929032496257605e-11,-3.946410809534835e-11,-3.348282087089111e-11,-3.231363461960729e-11,-0.0002414993941783905,-0.00024289882312313743,-0.00020461587864551432,-0.00020432524818969603,-1.879282194749976e-06,-1.7219620194186547e-06,-2.195246915979122e-06,1.3085834593695722e-06
-60,-3.204236255783227e-11,-0.00016191043366533403,-1.9052156943338838e-05,-60,871793702043.93372,0.00065695823359560241,871793702043.93311,1327015413556070.2,1.1021828571748544e+20,1.6922429733643742e-05,2.920779772810911e-05,6.647205148756429e-12,-4.6736459230677815e-06,-25.786754073869044,3.9539928589583829e-05,7.6484595453757951e-05,-60,-3.135334182616134e-11,-3.204236255783227e-11,-2.8960996994394216e-11,-2.5395157409075842e-11,-0.0001668296754360199,-0.00016191043366533403,-0.00017824272283953606,-0.00017883286339897777,-1.444203439859848e-05,-1.9052156943338838e-05,-1.2687665277794669e-06,1.015564078477027e-05
