voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.0012513616982125116,-5.475530370883358,-3902.8855126313865,-150,2013259346809.8967,0.0024920921942168171,2013259346809.8943,807859095856041.62,1.6713347602079803e+20,1.0320217995740677e-05,6.8895260483259335e-06,1.2183711071284131e-12,106.32826993084571,5.4274914447205447e-06,6.7774497204352179e-06,1.1070040543496312e-05,-150,-0.0012513616969941405,-0.0012513616982125116,-0.0012513616970020844,-0.0012513616975482456,-5.475533822230943,-5.475530370883358,-5.4755269121644545,-5.475523502012948,-3902.8855071030557,-3902.8855126313865,-3902.885510582883,-3902.8855139925818
-140,-0.000876836406116335,-4.155365326947221,-2734.6152203213423,-140,2095354568821.4763,0.0028143254230858731,2095354568821.4734,744531727437527.75,2.8475313077981312e+20,1.3959236127902841e-05,9.351934295409592e-06,1.8023973155992246e-12,103.44884305143046,7.5608827359019415e-06,9.1816046968616709e-06,1.5954610794614827e-05,-140,-0.0008768364043139377,-0.000876836406116335,-0.0008768364043261018,-0.0008768364050740278,-4.155369980281137,-4.155365326947221,-4.1553606899301485,-4.155356021045009,-2734.6152123692154,-2734.6152203213423,-2734.6152170523565,-2734.6152217211497
-130,-0.0005991225372680724,-3.0157360283790693,-1868.4126602881588,-130,2181147057368.1367,0.0031782241465254501,2181147057368.1335,686278549532966.62,5.9530140783162294e+20,2.2466021562195237e-05,1.7958802800421836e-05,3.3446456325011975e-12,101.17517904514139,1.2525123167961283e-05,1.356148730646536e-05,2.2543160446806988e-05,-130,-0.0005991225393628831,-0.0005991225372680724,-0.0005991225393931554,-0.000599122540612718,-3.0157434547326716,-3.0157360283790693,-3.0157286012300517,-3.0157209887111094,-1868.412663113093,-1868.4126602881588,-1868.4126706343268,-1868.4126782469616
-120,-0.0003970202788767361,-2.024050731752222,-1238.1274218149483,-120,2270741148257.9155,0.0035891758084186593,2270741148257.9121,632663672515493.87,3.6829691457950961e+20,5.984137260384159e-06,7.283645800271188e-06,1.6810650094178925e-12,99.449402250893428,3.3460740525015353e-06,6.7162558508165848e-06,1.1357146650697272e-05,-120,-0.0003970202801906021,-0.0003970202788767361,-0.00039702028020667675,-0.0003970202805578011,-2.0240526421371214,-2.024050731752222,-2.024048849622517,-2.024046657999861,-1238.1274249604612,-1238.1274218149483,-1238.127426906889,-1238.1274290985941
-110,-0.00025353098481804164,-1.1118560197169425,-790.7392805358395,-110,2364255201405.7261,0.0040532644614826819,2364255201405.7222,583296556114890.87,2.8111513757501201e+20,2.3666167180635966e-05,1.561509873226896e-05,2.00657524450365e-12,98.176699657143246,-1.4526540567771917e-05,1.0261999527704784e-05,1.6118031908718205e-05,-110,-0.0002535309840232241,-0.00025353098481804164,-0.0002535309840266831,-0.0002535309828114664,-1.1118479828492127,-1.1118560197169425,-1.1118640634251733,-1.1118716490163933,-790.7392820735695,-790.7392805358395,-790.7392740440773,-790.7392664584708
-100,-0.00015487214656218173,-0.14212196793127152,-483.3001829679124,-100,2461820176471.0352,0.0045773608403866031,2461820176471.0308,537825236487825.19,1.0553127717260098e+20,2.8035527748215827e-06,4.489582977384998e-06,1.0824387989671197e-12,-97.216351478625739,1.0643924071018773e-06,4.7092605336013272e-06,8.04188828835573e-06,-100,-0.00015487214577541793,-0.00015487214656218173,-0.00015487214574300845,-0.00015487214547974293,-0.14212138674804464,-0.14212196793127152,-0.14212254687112136,-0.14212419030081946,-483.30018080293667,-483.3001829679124,-483.30018012172195,-483.3001784783294
-90,-8.971643008812319e-05,1.1326049852567959,-280.5801292345859,-90,2563578581879.0771,0.0051692240815296893,2563578581879.0718,495931022034637.12,7.321077869814747e+20,7.934521818242501e-06,5.778330603334325e-06,9.87367726099607e-13,-96.391369169229691,4.6030605886926423e-06,3.7102307851184332e-06,6.3846888596036062e-06,-90,-8.971642956462921e-05,-8.971643008812319e-05,-8.971642955746225e-05,-8.971642910075546e-05,1.1326075264614701,1.1326049852567959,1.1326024428350934,1.1325995919396519,-280.5801288713119,-280.5801292345859,-280.58012630712994,-280.5801234562553
-80,-4.870047393460139e-05,3.1017338065700475,-153.5498492210172,-80,2669683717565.8032,0.0058376165954199966,2669683717565.7974,457324264779627.69,2.1263672846463084e+20,1.4869047504362243e-06,2.0861480152234435e-06,5.711808521817463e-13,-95.539116465299813,1.0750677574833389e-06,1.9059653500034465e-06,4.2064522432651848e-06,-80,-4.870047450578224e-05,-4.870047393460139e-05,-4.8700474486704326e-05,-4.8700474443296395e-05,3.101734413442557,3.1017338065700475,3.101733197503279,3.1017329265378066,-153.54985130716523,-153.5498492210172,-153.54985063965154,-153.54985036868837
-70,-2.419191683068609e-05,6.274744508915987,-78.64273065235466,-70,2780299149656.3403,0.0065924337923146453,2780299149656.3335,421740928653325.12,1.2777826842232368e+20,2.1171477442294417e-06,3.2031239243224263e-06,8.571816250779827e-13,94.628968747432538,1.837471700127935e-06,3.8343465771523259e-06,6.4163625838875808e-06,-70,-2.4191915973504466e-05,-2.419191683068609e-05,-2.4191915981379243e-05,-2.4191915973986315e-05,6.27474345336492,6.274744508915987,6.274745570512664,6.274745524373429,-78.64272744923073,-78.64273065235466,-78.64272853238256,-78.64272848623888
-60,-1.0217973949875607e-05,11.155376752637817,-37.4689928391017,-60,2895598369157.8574,0.007444850581682514,2895598369157.8501,388939756062029.75,2.4655565363341237e+20,2.4048651141583832e-06,1.7574348021298647e-06,4.238829898656248e-13,93.990377629583975,-2.1046844977945511e-06,2.255159752119932e-06,3.7602667160695784e-06,-60,-1.0217974318292708e-05,-1.0217973949875607e-05,-1.0217974317336913e-05,-1.0217974373758597e-05,11.155377967775195,11.155376752637817,11.15537556291008,11.155375915084733,-37.468994596536504,-37.4689928391017,-37.46899339112081,-37.46899374330578
