voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-4.328493880759385e-05,-270.1941321194172,0.0005029898151633367,-150,18989090711.323696,8.3628504269429141e-09,18989090711.323696,2.2706481333381043e+18,1.6962808379770019e+17,7.133399435588217e-07,4.570315302369031e-07,7.321678257166814e-14,-0.0010268906924083871,-1.0826500069135428e-06,4.9252043193100773e-07,1.0395259111419306e-06,-150,-4.328493878078022e-05,-4.328493880759385e-05,-4.328493885099229e-05,-4.328493877777551e-05,-270.1941321492195,-270.1941321194172,-270.19413237572763,-270.19413283275713,0.0005030884043387796,0.0005029898151633367,0.0005029825195960133,0.0005034395511262502
-140,-2.9751283730450207e-05,-185.71458014845848,0.0005992800650523739,-140,18062981829.127594,7.5670199877359512e-09,18062981829.127594,2.3870667526189568e+18,3.0908829907158995e+17,4.696529458669829e-07,1.5423914796243183e-07,8.923961694390012e-14,-0.0011767237977570886,6.2384269891840177e-09,4.9360543805761598e-07,1.0552003532210608e-06,-140,-2.9751283666708985e-05,-2.9751283730450207e-05,-2.9751283648707275e-05,-2.975128364121059e-05,-185.7145800590515,-185.71458014845848,-185.71457967880553,-185.7145797256032,0.0005994343042003363,0.0005992800650523739,0.0005993003663223346,0.0005993471630429958
-130,-2.027660092919127e-05,-126.57195764780045,0.0007075093207294823,-130,17182039810.091549,6.8469228279294947e-09,17182039810.091549,2.5094542821490202e+18,77777747776618160.0,9.496103956507795e-07,4.011377188969673e-07,1.1421336017789288e-13,-0.0013458284892888318,-8.6753882525480389e-07,1.0965559236835364e-06,2.2304943850987907e-06,-130,-2.027660104340463e-05,-2.027660092919127e-05,-2.0276601020595065e-05,-2.0276600961972386e-05,-126.57195830345154,-126.57195764780045,-126.5719582314748,-126.57195859741084,0.0007074806751078747,0.0007075093207294823,0.0007075158776394332,0.0007078818128267717
-120,-1.3703892162402575e-05,-85.54405480623245,0.0008283943691107208,-120,16415111481.440657,6.195351973115194e-09,16415111481.440657,2.6495849715519365e+18,82471243200289424.0,1.1840564582143998e-06,6.565800068904183e-07,1.3800495543157733e-13,-0.0015319777767897377,-1.6242637790602095e-06,7.6991121241408449e-07,1.7919476450675366e-06,-120,-1.3703892100157632e-05,-1.3703892162402575e-05,-1.3703892238162587e-05,-1.3703892132978456e-05,-85.54405474662781,-85.54405480623245,-85.54405527410434,-85.54405593068427,0.0008285588393945208,0.0008283943691107208,0.0008283918505870301,0.0008290484305939205
-110,-9.195966615330456e-06,-57.40496242046356,0.0009624357921563225,-110,15994664536.281025,5.6057862831775406e-09,15994664536.281025,2.8532419411491963e+18,28531055087186664.0,9.265467042496311e-07,4.5968441880642284e-07,3.6041866851590186e-14,-0.0017357372370367928,2.0341672640226613e-06,6.4490620904988678e-07,1.3313715795864145e-06,-110,-9.195966627969819e-06,-9.195966615330456e-06,-9.195966591927952e-06,-9.195966626819924e-06,-57.40496298670769,-57.40496242046356,-57.404962277963,-57.40496206016098,0.0009626794655198378,0.0009624357921563225,0.0009624375833963497,0.0009622197811010313
-100,-6.134573578461756e-06,-38.29543897509575,0.0011103163189216869,-100,15614212583.710781,5.0723251865317635e-09,15614212583.710781,3.0783145814803533e+18,1.0093730866160325e+17,1.6962730171599105e-06,9.207570710056696e-07,1.1958424278346895e-13,-0.0019583507516374153,-9.2213979507827989e-07,1.1135457305932037e-06,2.1243511762250502e-06,-100,-6.134573633846163e-06,-6.134573578461756e-06,-6.134573698045999e-06,-6.134573610578535e-06,-38.29543858766556,-38.29543897509575,-38.29543973795027,-38.295440283938575,0.0011099497436296557,0.0011103163189216869,0.0011103245119661286,0.0011108705007006614
-90,-4.067147798362825e-06,-25.39048531651497,0.0012732501338105153,-90,15272804295.679935,4.5896296252201689e-09,15272804295.679935,3.3276768590989051e+18,77092337187058704.0,8.873627592720368e-07,4.784470804060532e-07,1.1080746187280702e-13,-0.0021986974274532381,1.9443605465919653e-08,8.6251168042640689e-07,1.54877219547937e-06,-90,-4.0671478442575996e-06,-4.067147798362825e-06,-4.067147733450138e-06,-4.067147809501756e-06,-25.39048480987549,-25.39048531651497,-25.39048490388165,-25.39048442915221,0.001272853571953511,0.0012732501338105153,0.0012732464160501368,0.0012727716867301092
-80,-2.6831859702262003e-06,-16.75188049674034,0.0014522014719171774,-80,14969585973.636772,4.1528686198255666e-09,14969585973.636772,3.6046375033808655e+18,1.1222600395460936e+17,2.355476787840871e-06,1.2894116826703966e-06,1.7156279270974235e-13,-0.0024598943538120576,-1.8828157194777841e-06,1.5199167483565181e-06,2.7366346285752231e-06,-80,-2.683185919846465e-06,-2.6831859702262003e-06,-2.6831860556291358e-06,-2.683185884066343e-06,-16.75187975168228,-16.75188049674034,-16.751881036230294,-16.75188210715907,0.0014519861830109334,0.0014522014719171774,0.0014522046659087514,0.0014532755946936038
-70,-1.7628154389353996e-06,-11.007138639688492,0.0016484742281420812,-70,14703799413.836809,3.7576709194055246e-09,14703799413.836809,3.9130088102986404e+18,96897607269503488.0,6.106930232618879e-07,1.6317512088206108e-07,4.700247001268728e-14,-0.0027455140526704263,1.2067335429088305e-07,4.2790636945546601e-07,1.004816049722755e-06,-70,-1.7628154243760597e-06,-1.7628154389353996e-06,-1.7628154713487658e-06,-1.7628154713785297e-06,-11.007138222455978,-11.007138639688492,-11.007138833149002,-11.007138832963376,0.0016483110530211992,0.0016484742281420812,0.001648469793084108,0.0016484696073749416
-60,-1.1541398311465097e-06,-7.208095699548721,0.0018636077440550816,-60,14474780011.438519,3.4000812525437046e-09,14474780011.438519,4.2571865012371379e+18,4.84928073398144e+17,7.272997697427286e-07,4.450910347309281e-07,7.271811669968588e-14,-0.0030590478831097802,2.8529626615531392e-07,6.8200039319001155e-07,1.4872486201488674e-06,-60,-1.154139900657011e-06,-1.1541398311465097e-06,-1.1541399038646264e-06,-1.1541398602402707e-06,-7.2080957889556885,-7.208095699548721,-7.208096154536531,-7.208096426848491,0.001863435498408692,0.0018636077440550816,0.0018636082775465518,0.001863880589443423
