voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.06654708707211814,-76476.39504533811,-169461.82455010916,-150,286685067.63369465,20729.433698919936,286664338.19999576,13829.855257870926,1.2245074822305907e+17,9.604264050722122e-09,7.246853783726692e-09,1.0547118733938987e-15,150937.57144786778,2.060386184514364e-07,7.2989222024012397e-09,2.6297648503259552e-08,-150,-0.06654708707211919,-0.06654708707211814,-0.06654708707211877,-0.06654708707211841,-76476.39504533517,-76476.39504533811,-76476.39504534229,-76476.39504534478,-169461.82455011393,-169461.82455010916,-169461.82455010904,-169461.82455010668
-140,-0.05991116931075993,-71098.51561184022,-151439.4104548787,-140,262199849.52186611,22909.567272223612,262176939.9545939,11444.99354380066,1.9080749551067494e+17,2.648448571562767e-09,4.743924364447594e-09,1.096345236817342e-15,143651.97836368138,1.8770808068087341e-07,5.1606139857768734e-09,1.4314533558490439e-08,-140,-0.05991116931075923,-0.05991116931075993,-0.059911169310759835,-0.05991116931076033,-71098.51561184163,-71098.51561184022,-71098.51561183998,-71098.51561183899,-151439.4104548758,-151439.4104548787,-151439.4104548785,-151439.41045488053
-130,-0.053810818132476464,-65824.63038031383,-135036.55538561233,-130,240307877.52858543,25318.987494959183,240282558.54109049,9491.2119837504906,1.4935517637143572e+18,8.294591680169106e-10,2.3865140974521637e-09,7.147060721024445e-16,136448.05041325759,1.7130541961242184e-07,2.7620800420863524e-09,1.154332096575672e-08,-130,-0.05381081813247683,-0.053810818132476464,-0.05381081813247713,-0.053810818132476415,-65824.63038031384,-65824.63038031383,-65824.63038031434,-65824.63038031466,-135036.55538561346,-135036.55538561233,-135036.55538561416,-135036.55538561178
-120,-0.048171297392180616,-60653.099788147585,-120020.82024381829,-120,220791558.30912921,27981.808654549885,220763576.50047466,7890.5392083448533,4.013091593632944e+17,2.4811015464365482e-09,2.0372681319713593e-10,3.7470027081099033e-16,129260.38178921882,1.5668226094010852e-07,3.5774904031786449e-09,1.3767966322575376e-08,-120,-0.04817129739218093,-0.048171297392180616,-0.048171297392180706,-0.048171297392180554,-60653.09978814927,-60653.099788147585,-60653.09978814816,-60653.09978814679,-120020.82024381841,-120020.82024381829,-120020.82024381826,-120020.82024381847
-110,-0.042924386123979634,-55582.53013911342,-106179.97751464939,-110,203457001.26180288,30924.681160165994,203426076.58064273,6579.1139513469052,7.677213922042848e+17,8.440110832452774e-10,3.2159732654690742e-09,1.1171619185290638e-15,122029.55911357646,1.4370639677122989e-07,3.9948406640471886e-09,1.2599649323874473e-08,-110,-0.04292438612397985,-0.042924386123979634,-0.042924386123979336,-0.04292438612398045,-55582.530139112816,-55582.53013911342,-55582.53013911313,-55582.53013911366,-106179.97751465038,-106179.97751464939,-106179.9775146486,-106179.97751465182
-100,-0.03800915523515608,-50609.11657680501,-93325.76391870137,-100,188132081.5945797,34177.058268977336,188097904.53631073,5504.6306242614219,3.7882982756749786e+17,2.7794158086180687e-09,2.2264430299401283e-09,6.314393452555578e-16,114716.77557517331,1.3225792909950922e-07,2.6570229208781322e-09,1.0209824097273668e-08,-100,-0.038009155235155946,-0.03800915523515608,-0.038009155235156356,-0.038009155235155724,-50609.11657680421,-50609.11657680501,-50609.11657680648,-50609.11657680699,-93325.76391870136,-93325.76391870137,-93325.7639187015,-93325.76391869927
-90,-0.03337283384225454,-45723.67001123514,-81298.0708690845,-90,174664721.05624309,37771.490864250583,174626949.56537884,4624.247469711534,5.7142459506573434e+17,2.2118911147117615e-09,3.041350282728672e-09,6.938893903907228e-16,107322.00549764722,1.2222738913298553e-07,4.1902033964521447e-09,1.2156334605606389e-08,-90,-0.03337283384225466,-0.03337283384225454,-0.033372833842253966,-0.033372833842254576,-45723.67001123409,-45723.67001123514,-45723.67001123588,-45723.6700112363,-81298.07086908538,-81298.0708690845,-81298.07086908234,-81298.07086908403
-80,-0.028971789422721154,-40908.528824509915,-69969.54776852268,-80,162921369.13354927,41743.953235529756,162879625.18031374,3902.8735063568711,1.2331065152656026e+18,7.930793799459934e-10,8.003553375601768e-10,3.8163916471489756e-16,99900.012407406015,1.1351676088850717e-07,2.2056083346114054e-09,7.5223596240903134e-09,-80,-0.028971789422721363,-0.028971789422721154,-0.02897178942272098,-0.028971789422721297,-40908.52882451071,-40908.528824509915,-40908.52882450995,-40908.52882451037,-69969.54776852293,-69969.54776852268,-69969.54776852213,-69969.5477685229
-70,-0.024772594627481357,-36134.73712435569,-59250.34250986136,-70,152785669.52183977,46134.203121417318,152739535.31871834,3311.7656572442374,2.2012396268840689e+18,4.511093720793724e-10,1.2150849215686321e-09,4.128641872824801e-16,92567.457642257039,1.0603885414999298e-07,1.6916833027798222e-09,5.3129980415178579e-09,-70,-0.024772594627481364,-0.024772594627481357,-0.02477259462748177,-0.024772594627481596,-36134.737124355364,-36134.73712435569,-36134.737124355815,-36134.7371243558,-59250.34250986154,-59250.34250986136,-59250.342509862574,-59250.342509862036
-60,-0.020752966060858122,-31360.247217427805,-49091.930264126684,-60,144157298.53041929,50986.179618385198,144106312.3508009,2827.3798823404559,4.2481134210988678e+17,4.94765117764473e-10,1.862645149230957e-09,6.765421556309548e-16,85498.156372409576,9.9715608251083527e-08,1.2882769353812977e-09,4.9576556193642318e-09,-60,-0.02075296606085834,-0.020752966060858122,-0.020752966060858066,-0.020752966060857664,-31360.247217427823,-31360.247217427805,-31360.247217427474,-31360.247217427328,-49091.93026412735,-49091.930264126684,-49091.93026412667,-49091.93026412549
-50,-0.016901939707295987,-26530.550706353402,-39487.34545611165,-50,136950963.8044157,56348.442938020635,136894615.36147767,2430.4303129556256,3.9192184673963994e+17,5.311449058353901e-10,8.440110832452774e-10,2.185751579730777e-16,78909.320978557022,9.4478571841575846e-08,8.0396726388370475e-10,3.2187301712838234e-09,-50,-0.016901939707295872,-0.016901939707295987,-0.016901939707295983,-0.01690193970729609,-26530.550706353562,-26530.550706353402,-26530.55070635303,-26530.550706353242,-39487.345456111216,-39487.34545611165,-39487.34545611183,-39487.34545611206
-40,-0.013217966072153312,-21583.955378267496,-30462.59806665063,-40,131095553.34898375,62274.660413945508,131033278.6885698,2105.11871887505,2.7315270911769487e+18,4.838511813431978e-10,7.057678885757923e-10,2.0122792321330962e-16,73043.692939810819,9.0269148745377923e-08,1.0112458929432934e-09,4.1112002691079397e-09,-40,-0.013217966072153295,-0.013217966072153312,-0.013217966072153347,-0.013217966072153146,-21583.95537826739,-21583.955378267496,-21583.955378267874,-21583.955378267856,-30462.598066650622,-30462.59806665063,-30462.598066650542,-30462.598066649924
-30,-0.009703011937660613,-16464.009909685756,-22052.05227880448,-30,126533426.34564915,68824.143622529344,126464602.20202662,1838.5034623842218,6.5959913600059558e+17,8.149072527885437e-10,7.494236342608929e-10,3.5908775952719907e-16,68149.689182352478,8.7038664202596465e-08,1.2556730950411492e-09,4.9646473598841112e-09,-30,-0.009703011937660763,-0.009703011937660613,-0.009703011937660523,-0.009703011937660882,-16464.009909685352,-16464.009909685756,-16464.009909685366,-16464.009909686167,-22052.052278805146,-22052.05227880448,-22052.052278804396,-22052.052278805117
-20,-0.006351433352040588,-11139.599082461616,-14253.650371505108,-20,123219838.66936821,76062.441993080982,123143776.22737512,1619.9826805531288,1.0940177086042724e+18,7.275957614183426e-10,7.748894859105349e-10,1.6479873021779667e-16,64458.836571123415,8.4749742185723268e-08,7.7675713847887678e-10,3.4891627365141176e-09,-20,-0.006351433352040559,-0.006351433352040588,-0.006351433352040724,-0.006351433352040675,-11139.599082461995,-11139.599082461616,-11139.599082461475,-11139.599082461267,-14253.650371504831,-14253.650371505108,-14253.650371505606,-14253.650371505559
-10,-0.0031360667682644684,-5627.029396892809,-6974.458985275407,-10,121122497.36270043,84061.998848568997,121038435.36385186,1440.8710121310935,9.297458507128215e+17,5.020410753786564e-10,5.748006515204906e-10,1.0408340855860843e-16,62160.856376163705,8.3377660339780389e-08,7.5361467433782081e-10,3.2202365218836349e-09,-10,-0.0031360667682645087,-0.0031360667682644684,-0.003136066768264543,-0.003136066768264439,-5627.0293968928745,-5627.029396892809,-5627.029396892693,-5627.029396893195,-6974.458985275502,-6974.458985275407,-6974.458985275698,-6974.458985275123
0,-3.426888724789023e-16,1.1641532182693481e-10,-1.127773430198431e-09,0,120221239.61384445,92902.876442747045,120128336.73740171,1294.0529315896135,2.8194432489799907e+17,1.5243131201714277e-09,1.949956640601158e-09,4.242814611643552e-16,61380.387731260606,8.2437718853747321e-08,3.3993133681287771e-09,1.1778297448472586e-08,0,-4.475936293601989e-16,-3.426888724789023e-16,-1.8708014977164567e-16,-2.3312168195843698e-17,1.0477378964424133e-09,1.1641532182693481e-10,-4.765752237290144e-10,-2.0372681319713593e-10,-1.9208528101444244e-09,-1.127773430198431e-09,-3.4560798667371273e-10,2.9103830456733704e-11
