voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,0.0002053580698476575201548549644477089696174768370722871616982449814459642579601239,-0.013801060944179018004103169484881332038257413855359322244536392457259444452847942,640.95659084764059141967294634858699951730449991072883325679158908747884081876417,-150,216927752601.19993106965973628672003362782006380293777274031498803150015127518522,0.33384379145361140083475798555562781449943891970563536617912843608771451892960015,216927752600.86608727820612488588527564226443598843833382060935266532102283909751,649788188831.25072255136191145328335800079226888635161270782130873367690658771945,433855505202.39986213931947257344006725564012760587554548062997606300030255037045,1.6452178159594612538549490209596546123163027071673696410809205591880671008441571e-75,1.7963230594596444820803611874624831107921280758027465280849303217950670950577848e-75,2.1285150632450299576504567237305433885195649568405165390415795951573328439042947e-82,-2178.0906228957321208487354071833591781303343127614309469880724160360401989283605,-7.9052689334412607023852105181742996246725096487988635560222309551325051753362686e-76,6.1383714907327404768785829688666544456563111478344169122452875005838787038789052e-76,1.0260537901918777101054184055327538544550037883160522265629071040157646155896595e-75,-150,0.00020535806984765752015485496444770896961747683707228716169824498144596425796012373,0.0002053580698476575201548549644477089696174768370722871616982449814459642579601239,0.00020535806984765752015485496444770896961747683707228716169824498144596425796012391,0.0002053580698476575201548549644477089696174768370722871616982449814459642579601237,-0.013801060944179018004103169484881332038257413855359322244536392457259444453314868,-0.013801060944179018004103169484881332038257413855359322244536392457259444452847942,-0.01380106094417901800410316948488133203825741385535932224453639245725944445225832,-0.01380106094417901800410316948488133203825741385535932224453639245725944445166965,640.9565908476405914196729463485869995173044999107288332567915890874788408187641,640.95659084764059141967294634858699951730449991072883325679158908747884081876417,640.95659084764059141967294634858699951730449991072883325679158908747884081876362,640.95659084764059141967294634858699951730449991072883325679158908747884081876237
-140,0.00051743941041090623089567896294364327717936440302119064278207323775609100449903421,-0.0064226703926596739596386755997421558449474652693671346131857095637141417905559019,1614.9858559129215518296115672845776171304966895248123437171627191179742173203663,-140,218117583655.0806802160154409977153649349044893087232274766561256678261828358133,0.3357185611414821083695770860267508476960241094963364247430812715955091800329292,218117583654.74496165487395888934578784887773846102720336715978924308310156421779,649703677131.98685538246112848854059853791911648964956496047211131945216327031816,436235167310.16136043203088199543072986980897861744645495331225133565236567162659,1.0534060766554013595723242685897429737335408753660565158066511986755662575752545e-75,1.6754166996883222573249522613832775167965040707006385886945984732127068098135108e-75,3.0473540929650731195382596866952398694161607120908967136943533744453229591084461e-82,-3398.4762919738036042002049268056560363701037119880314129570486865659593414269907,4.6531493754460359499240346472561947976332190504748967676661543798475870798184569e-76,6.6569845169473248814312565718829166691326487921668406486802077403832898295646875e-76,1.8315596903367239939791981519257808000797847659239048326934662392811643348203232e-75,-140,0.00051743941041090623089567896294364327717936440302119064278207323775609100449903429,0.00051743941041090623089567896294364327717936440302119064278207323775609100449903421,0.00051743941041090623089567896294364327717936440302119064278207323775609100449903418,0.00051743941041090623089567896294364327717936440302119064278207323775609100449903449,-0.0064226703926596739596386755997421558449474652693671346131857095637141417901643731,-0.0064226703926596739596386755997421558449474652693671346131857095637141417905559019,-0.0064226703926596739596386755997421558449474652693671346131857095637141417908865805,-0.0064226703926596739596386755997421558449474652693671346131857095637141417912177792,1614.9858559129215518296115672845776171304966895248123437171627191179742173203662,1614.9858559129215518296115672845776171304966895248123437171627191179742173203663,1614.9858559129215518296115672845776171304966895248123437171627191179742173203666,1614.9858559129215518296115672845776171304966895248123437171627191179742173203679
-130,0.00093001225119745710171090151224397353767023864406105331549979491531392132432763602,-0.0029279386014368803420024166126626945529062026426068168830553390723921453287052429,2902.6628879806025252480359651192796902432239365874009819923508884610468937948434,-130,219319289536.4553995939275294021226158184626479660680142366981071584035034621519,0.33760385899094376529553617501181184322792320454704415300425690603696918792263092,219319289536.11779573493658563682707964345083612284009103215106300539924655611493,649635019552.12735528366854553442972086764757068506340691286477767278450963500296,438638579072.9107991878550588042452316369252959321360284733962143168070069243038,2.1473767272921744229146089342399313961289350817552617840541629833544810772855983e-75,1.9345017563411555960865428172672895039299840816337270302453095773177645639083837e-75,2.0075474598925312780741913476539586977572680366815029026026990135703985710342804e-82,-5985.4587324609876907915511926015034700959489648380494728912354493894910772491971,-1.1018284414911902944547458794814675972821014286017656704074565481927989251412615e-75,7.9428202049532214590957043637978995694336992242798975669642104454690874798887471e-76,1.1732883032749231168868089507777362336122438018885291935310815895633751367583848e-75,-130,0.00093001225119745710171090151224397353767023864406105331549979491531392132432763582,0.00093001225119745710171090151224397353767023864406105331549979491531392132432763602,0.000930012251197457101710901512243973537670238644061053315499794915313921324327636,0.00093001225119745710171090151224397353767023864406105331549979491531392132432763591,-0.0029279386014368803420024166126626945529062026426068168830553390723921453292905794,-0.0029279386014368803420024166126626945529062026426068168830553390723921453287052429,-0.0029279386014368803420024166126626945529062026426068168830553390723921453279242043,-0.0029279386014368803420024166126626945529062026426068168830553390723921453271432027,2902.6628879806025252480359651192796902432239365874009819923508884610468937948434,2902.6628879806025252480359651192796902432239365874009819923508884610468937948434,2902.6628879806025252480359651192796902432239365874009819923508884610468937948426,2902.6628879806025252480359651192796902432239365874009819923508884610468937948415
-120,0.0014436203790944268373522338129869436772132431709649269379718454941797108924242072,-0.0013219868231809767785874325775903245698599240170488319617794872491668380466089829,4505.6829046785426263940796935287455858623858476693336549924911106467242671238529,-120,220533908942.02718729957148318000148486516300941987057506494181314042646311342277,0.33949974412509143413169490139939633560933040071907598334195689907761222390367714,220533908941.68768755544639174586978996376361308426124466422273715708450621434516,649584904726.08332799533811282972422036232444769039343108145422026786150842753479,441067817884.05437459914296636000296973032601883974115012988362628085292622684555,1.4862503350697140275775695595421454439284404331508914332462563077635423573115621e-75,6.1316796741170556840243098225882836954923602587497597833668294638197001802453232e-76,2.8208615590284798471401457910624855547973920105165733092981514344527651716071427e-82,-10853.600694280351073571376370894402105268331179067024457471817142864047004195245,7.7335965011111514966999216356965606942360383188435100863054511751788716782819474e-76,7.6150598953137249890043817527539958866996853892238441395792345498288460650529801e-76,1.8714602078747723188216030598534417761684667208672329721480006912183888998511937e-75,-120,0.0014436203790944268373522338129869436772132431709649269379718454941797108924242073,0.0014436203790944268373522338129869436772132431709649269379718454941797108924242072,0.0014436203790944268373522338129869436772132431709649269379718454941797108924242071,0.001443620379094426837352233812986943677213243170964926937971845494179710892424207,-0.0013219868231809767785874325775903245698599240170488319617794872491668380462471072,-0.0013219868231809767785874325775903245698599240170488319617794872491668380466089829,-0.0013219868231809767785874325775903245698599240170488319617794872491668380471709136,-0.0013219868231809767785874325775903245698599240170488319617794872491668380477333575,4505.6829046785426263940796935287455858623858476693336549924911106467242671238529,4505.6829046785426263940796935287455858623858476693336549924911106467242671238529,4505.6829046785426263940796935287455858623858476693336549924911106467242671238534,4505.6829046785426263940796935287455858623858476693336549924911106467242671238535
-110,0.0020700566286040963365823820733022130953147649210594070080587001496055797271771593,-0.00059373780876434311748518287827663061486816756183611032448309477403810480919168831,6460.8514944996578317634055796382659283948728122422568820632639913423163054331511,-110,221762703262.94662581699816600132194032432441423943118225212642711773947420475391,0.34140627599903830693130067664901840334939129510760659691249822928936570204487866,221762703262.60521954099912769439063964767539583608179095701882052082697597546455,649556609977.40797215614533398294672610457773114199740077818069280437249791503493,443525406525.89325163399633200264388064864882847886236450425285423547894840950783,1.7827795183522065867661562469346252112596789628483360313738367283823415705015203e-75,1.7704145537943611482042021318740819120787800747094376839298592113845613196482975e-75,9.3067841217581962839952255296368136552439502828721980715530251706032836318717409e-82,-18189.972659986845872052504678488901956373894897625571444962447575590774682085845,-1.0029710528817838305478360638812977895818025261759232646914105121403604821300324e-75,9.8769933082272972718015284026230789310026774553058675889294616851335707983822407e-76,2.2547847458854739210444573557385716510381135481619454392281458781077759121874694e-75,-110,0.0020700566286040963365823820733022130953147649210594070080587001496055797271771593,0.0020700566286040963365823820733022130953147649210594070080587001496055797271771593,0.0020700566286040963365823820733022130953147649210594070080587001496055797271771594,0.0020700566286040963365823820733022130953147649210594070080587001496055797271771603,-0.00059373780876434311748518287827663061486816756183611032448309477403810480945826254,-0.00059373780876434311748518287827663061486816756183611032448309477403810480919168831,-0.00059373780876434311748518287827663061486816756183611032448309477403810480843372351,-0.00059373780876434311748518287827663061486816756183611032448309477403810480767548302,6460.8514944996578317634055796382659283948728122422568820632639913423163054331514,6460.8514944996578317634055796382659283948728122422568820632639913423163054331511,6460.8514944996578317634055796382659283948728122422568820632639913423163054331507,6460.8514944996578317634055796382659283948728122422568820632639913423163054331525
-100,0.0028318998183173114730684361237230280900991890224029612557194963195390046834255291,-0.00026485697063904437878086571537126876238318046523502697619477965335701464188946214,8838.6388988061329867050725579268834982337657073957413981580591864507699281614104,-100,223007205598.00736290740322341355184446339885584551974769090034670956721578374445,0.34332351440178019431398845331332360659597496119599866149103073624431755545005361,223007205597.66403939300144321923785601008553223892377272970434804807618504750013,649554126773.35400812352153773584478911261649599053988546912414340368077400986751,446014411196.0147258148064468271036889267977116910394953818006934191344315674889,1.1496899388969479407545580917353031929048175485155799593812805244661937837959981e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.8531207322084904105300227824498080286990166492444642177871067817572909886470281e-82,-28741.758920053857939680013415975850264072056419268135981625618789349913515658978,2.3507224130318040392633081198768914250043229208769543815484842062073290126216837e-77,4.8659964461473448560518116183401462029015596336345134185762811837397441106587745e-76,8.8379556470444354225831972634383610927929944821752380316149983919429229031890795e-76,-100,0.002831899818317311473068436123723028090099189022402961255719496319539004683425529,0.0028318998183173114730684361237230280900991890224029612557194963195390046834255291,0.0028318998183173114730684361237230280900991890224029612557194963195390046834255291,0.0028318998183173114730684361237230280900991890224029612557194963195390046834255289,-0.00026485697063904437878086571537126876238318046523502697619477965335701464200443113,-0.00026485697063904437878086571537126876238318046523502697619477965335701464188946214,-0.00026485697063904437878086571537126876238318046523502697619477965335701464190844499,-0.00026485697063904437878086571537126876238318046523502697619477965335701464192696011,8838.6388988061329867050725579268834982337657073957413981580591864507699281614102,8838.6388988061329867050725579268834982337657073957413981580591864507699281614104,8838.6388988061329867050725579268834982337657073957413981580591864507699281614103,8838.6388988061329867050725579268834982337657073957413981580591864507699281614098
-90,0.0037594973298633156596780938215381951998897366397622692326343477878656463786458718,-0.00011673277155392372947146288385669980018107983812194787503555721216610211871064267,11733.762070113907164660972052292359543068344010549014809410417893667880042588313,-90,224269280570.80032343064914127014152463326966857631204742982647893486436417490514,0.34525151945807053204145178290083621255493103244234775377878063188522273356953604,224269280570.45507191119107073810007285036883236375711639738413118108558354301991,649582312983.96056504350810042230977850263896913720861379534741414406036364273031,448538561141.60064686129828254028304926653933715262409485965295786972872834981027,1.3585468871261137553483279115301147013483608923326553906623299995267145166889717e-75,1.4336039801456778078141344092248663288052560604964227099139347760479862393249629e-75,1.1942333607565827090082369042454318407171440628464324959072465926880319704614181e-82,-50675.514656263089350356873522919085175623298992119765391825381395871152925518374,5.405016871934566687442583520459417932065177292404016027130371349261836075248133e-76,6.2610883051316573165555878698580953633584063324976265315826093952617001168161467e-76,1.5612366381035980393047320628884203571024567101330695205007589573160295584171411e-75,-90,0.0037594973298633156596780938215381951998897366397622692326343477878656463786458718,0.0037594973298633156596780938215381951998897366397622692326343477878656463786458718,0.0037594973298633156596780938215381951998897366397622692326343477878656463786458718,0.0037594973298633156596780938215381951998897366397622692326343477878656463786458719,-0.00011673277155392372947146288385669980018107983812194787503555721216610211823673292,-0.00011673277155392372947146288385669980018107983812194787503555721216610211871064267,-0.00011673277155392372947146288385669980018107983812194787503555721216610211915294486,-0.00011673277155392372947146288385669980018107983812194787503555721216610211959527981,11733.762070113907164660972052292359543068344010549014809410417893667880042588313,11733.762070113907164660972052292359543068344010549014809410417893667880042588313,11733.762070113907164660972052292359543068344010549014809410417893667880042588314,11733.762070113907164660972052292359543068344010549014809410417893667880042588315
-80,0.0048893989968303364072981095511635784435932451500970472253281311804686994629026245,-0.00005042274522979294157963706408956301266534317056717908016880797115533812879910933,15260.296544899451392104408576316290932974979539805614140499609822999726785970751,-80,225551197332.29220733137157997990262925317120481052804704881379608079388731673508,0.34719035163030589111835378576747298854722866730309154511092285692785254514068104,225551197331.94501697974127408878427546740373182198081838151070453568296445980722,649647077671.27960053054958086147674147537719831379998756001968129607114301648663,451102394664.58441466274315995980525850634240962105609409762759216158777463347015,1.5195806947924229496424941782227776799663518523962057719033327381563444887540954e-75,9.6725087817057779804327140863364475196499204081686351512265478865888228195419183e-76,1.7295793500612577164946879302864874934524155392948332699346329963068049227372262e-82,-155119.56253139483578959227824839463678799708143748776507163643872055700889423273,7.2327104106113632043391865600580456747818243279653097333703711184626799896100678e-76,7.413239738973026172908138178984699838243916309774315217560223785999953739240153e-76,1.4229154771338775021640915254544074817985628205579503136556759831343827992016514e-75,-80,0.0048893989968303364072981095511635784435932451500970472253281311804686994629026245,0.0048893989968303364072981095511635784435932451500970472253281311804686994629026245,0.0048893989968303364072981095511635784435932451500970472253281311804686994629026245,0.0048893989968303364072981095511635784435932451500970472253281311804686994629026244,-0.000050422745229792941579637064089563012665343170567179080168807971155338128503590437,-0.00005042274522979294157963706408956301266534317056717908016880797115533812879910933,-0.000050422745229792941579637064089563012665343170567179080168807971155338129411062132,-0.000050422745229792941579637064089563012665343170567179080168807971155338130023171132,15260.296544899451392104408576316290932974979539805614140499609822999726785970751,15260.296544899451392104408576316290932974979539805614140499609822999726785970751,15260.296544899451392104408576316290932974979539805614140499609822999726785970752,15260.296544899451392104408576316290932974979539805614140499609822999726785970752
-70,0.0062646988170395231770451124144471688320958117206123458798755312645531892104732027,-0.000021098783688480116147194991633336484753119830492950405625628863730717486986891341,19552.742895753975616252268380877085027185560645242968243810753859125074423178618,-70,226855718655.23112236654710762493958093022329188374319131183256249631157493181725,0.34914007172042209312695705956321525784214280676348569263864747083348732684389613,226855718654.88198229482668553181262387066007662590104850506907680367292746098376,649755605357.40633773884796984176764910774769942007178637924473137534598679859357,453711437310.46224473309421524987916186044658376748638262366512499262314986363449,1.4744641824774587320592866608197959953419277456456254317314589391962285420914711e-75,7.2543815862793334853245355647523356397374403061264763634199109149416171146564387e-76,3.4591587001225154329893758605729749869048310785896665398692659926136098454744524e-82,177828.68156322058958037354519181384151436398215021359304952115238444148600499441,-6.628684208601211941460346298379828532632225033751764690563578772395459041837133e-76,6.6751333088866131677237890622941259370007756903795389203531118018598483660793633e-76,1.4140696899218537163113727193409210372005927508887664780154577664842001563445046e-75,-70,0.0062646988170395231770451124144471688320958117206123458798755312645531892104732027,0.0062646988170395231770451124144471688320958117206123458798755312645531892104732027,0.0062646988170395231770451124144471688320958117206123458798755312645531892104732027,0.0062646988170395231770451124144471688320958117206123458798755312645531892104732024,-0.000021098783688480116147194991633336484753119830492950405625628863730717486666206113,-0.000021098783688480116147194991633336484753119830492950405625628863730717486986891341,-0.000021098783688480116147194991633336484753119830492950405625628863730717487563731508,-0.000021098783688480116147194991633336484753119830492950405625628863730717488140670295,19552.742895753975616252268380877085027185560645242968243810753859125074423178618,19552.742895753975616252268380877085027185560645242968243810753859125074423178618,19552.742895753975616252268380877085027185560645242968243810753859125074423178619,19552.742895753975616252268380877085027185560645242968243810753859125074423178619
-60,0.0079366417554112479284089133754698839331431637461191669571168849852241823762856066,-0.0000083900057389539392182301092065181701713823528170425119003399621206096389775380148,24771.041691945712135710229658005727938292986876007027571534833312915218572925337,-60,228186209667.42905591104516989513424630747212594930936913518122604602940028511684,0.35110074087180094706687084357020667318969629947191893277798637273522170756344533,228186209667.07795517017336894806737546390191927611967283570930711325141391238162,649916628204.29009613604825054678348806354388392517473793964620509298198722160712,456372419334.85811182209033979026849261494425189861873827036245209205880057023369,2.8091398046980697119242418237943547151021366497136393644705024400800008994455209e-76,9.6725087817057779804327140863364475196499204081686351512265478865888228195419183e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,67540.556715443232557111839984778612299899235164283274945057511177738280755767439,1.0296519501263809535112275321647763091983561955669378806992378147538314957827146e-76,3.4891497986170160729165739331677345218932904314253274325652051041492353090256114e-76,8.125657778316902284981887532618724182431567319396436960973952027982534995027644e-76,-60,0.0079366417554112479284089133754698839331431637461191669571168849852241823762856067,0.0079366417554112479284089133754698839331431637461191669571168849852241823762856066,0.0079366417554112479284089133754698839331431637461191669571168849852241823762856067,0.0079366417554112479284089133754698839331431637461191669571168849852241823762856069,-0.0000083900057389539392182301092065181701713823528170425119003399621206096388797738879,-0.0000083900057389539392182301092065181701713823528170425119003399621206096389775380148,-0.000008390005738953939218230109206518170171382352817042511900339962120609639069060683,-0.0000083900057389539392182301092065181701713823528170425119003399621206096391606878684,24771.041691945712135710229658005727938292986876007027571534833312915218572925337,24771.041691945712135710229658005727938292986876007027571534833312915218572925337,24771.041691945712135710229658005727938292986876007027571534833312915218572925338,24771.041691945712135710229658005727938292986876007027571534833312915218572925338
