voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,0.00020535819813811987,-0.01380512863227068,640.9569953225146,-150,216927752601.19992,0.33384379145361132,216927752600.86609,649788188831.25085,35470920519704052.0,2.2317444619881707e-05,4.814116527995793e-05,1.405405858963954e-11,19.369305877259968,0.00013590184198620161,4.9900844793395177e-05,0.00014932854491989019,-150,0.0002053581982579458,0.00020535819813811987,0.00020535819851777472,0.00020535818446371613,-0.013815387810966584,-0.01380512863227068,-0.013793070366346702,-0.013810299796946453,640.9570059556818,640.9569953225146,640.9569844491889,640.9569578145165
-140,0.0005174393115533151,-0.006420666670010178,1614.985545364907,-140,218117583655.08066,0.33571856114148202,218117583654.74493,649703677131.98694,25120008443802552.0,1.1397448673474905e-05,5.853104084962979e-06,3.5969019646434064e-12,20.864094001244954,0.00013670170639603379,1.5214987029679957e-05,5.9867818048235103e-05,-140,0.0005174393128813235,0.0005174393115533151,0.0005174393093857349,0.0005174393129826368,-0.006416067713974627,-0.006420666670010178,-0.006427465162648102,-0.006421604609580045,1614.9855449107963,1614.985545364907,1614.9855453981681,1614.9855507639004
-130,0.0009300123155358332,-0.0029361016510165427,2902.6630969500693,-130,219319289536.45541,0.33760385899094369,219319289536.1178,649635019552.12756,80791261195534784.0,8.093882600370209e-06,1.6096484614536166e-05,2.801659837285697e-12,25.611412568567129,0.00013751557674763573,2.0372100838406714e-05,6.1838215893067285e-05,-130,0.0009300123144760693,0.0009300123155358332,0.0009300123162085763,0.0009300123134069164,-0.0029309977248708208,-0.0029361016510165427,-0.002935359996393874,-0.0029280077684161725,2902.6630885385157,2902.6630969500693,2902.6630983081122,2902.6630822116276
-120,0.0014436201081382534,-0.001319882146361806,4505.682056892925,-120,220533908942.02719,0.33949974412509137,220533908941.68768,649584904726.0835,32236893146615920.0,2.62662895429153e-05,7.073370579746552e-05,2.7270218852168404e-11,34.698916501791494,0.00013834361190383741,7.5343109974700448e-05,0.00023593814051404649,-120,0.001443620111615382,0.0014436201081382534,0.0014436201016293595,0.0014436201288995784,-0.0013068049567479534,-0.001319882146361806,-0.0013330712462908687,-0.0013186919098499782,4505.6820546681965,4505.682056892925,4505.682049767125,4505.682120500831
-110,0.0020700563788571403,-0.0005882186616190666,6460.850709495629,-110,221762703262.94662,0.34140627599903822,221762703262.60522,649556609977.40808,5.4453393245423878e+17,1.7027546677569395e-05,1.8576713046059012e-05,9.769748378352094e-12,50.043367223698262,0.0001391859130227466,4.88921624675901e-05,0.00015802956663623545,-110,0.0020700563824243654,0.0020700563788571403,0.002070056377007692,0.00207005638677744,-0.0005799545677618312,-0.0005882186616190666,-0.0005969821144394006,-0.0005820753379843326,6460.850712365196,6460.850709495629,6460.850712486771,6460.8507280723425
-100,0.002831899823924854,-0.00026480461445999026,8838.63891625547,-100,223007205598.00735,0.34332351440178011,223007205597.66403,649554126773.35413,32607924041428012.0,1.6410655782282766e-05,3.377359462319873e-05,9.30353580633203e-12,74.903188511988887,0.00014004262499458665,3.0108998253107238e-05,8.3329140774109019e-05,-100,0.0028318998255505417,0.002831899823924854,0.0028318998192681495,0.002831899816247006,-0.00026377410380717947,-0.00026480461445999026,-0.00027544841768300697,-0.0002590377619007242,8838.63892029889,8838.63891625547,8838.638912365239,8838.638886525296
-90,0.0037594975975407197,-0.00013133520727137693,11733.762920163921,-90,224269280570.80035,0.34525151945807048,224269280570.45511,649582312983.96082,68339715739066600.0,2.2322940026544487e-05,1.4720208127982914e-05,9.290181471333092e-12,114.58430003289975,0.00014091399681135855,5.3924044897754454e-05,0.00019137601033809398,-90,0.003759497591238501,0.0037594975975407197,0.003759497598359215,0.0037594976005286824,-0.00013638333337695485,-0.00013133520727137693,-0.00011406039335041037,-0.00012080423302491483,11733.7629055422,11733.762920163921,11733.762905443713,11733.762918958673
-80,0.004889399057200656,-5.900571116512765e-05,15260.296741904138,-80,225551197332.29221,0.34719035163030582,225551197331.94501,649647077671.27979,37927488450884064.0,1.0909578928185583e-05,5.18878732691519e-06,3.1062956026839394e-12,177.4565385802868,0.00014180040875703514,4.1514471811798035e-05,0.00015205557141219253,-80,0.004889399060306951,0.004889399057200656,0.0048893990578564115,0.004889399059526177,-5.123824162467372e-05,-5.900571116512765e-05,-6.21478205528593e-05,-5.2915961251437224e-05,15260.296743831723,15260.296741904138,15260.296747092925,15260.29674307257
-70,0.006264698871984954,-2.030030429978069e-05,19552.743066445604,-70,226855718655.23111,0.349140071720422,226855718654.88196,649755605357.40649,38772535832707288.0,1.7208438977669985e-05,1.4603814634028822e-05,2.8150199185561497e-12,276.43316690636777,0.00014270237945634656,1.0659707672085593e-05,4.5397609094062933e-05,-70,0.00626469887175927,0.006264698871984954,0.0062646988712149925,0.006264698869169934,-2.738288054615623e-05,-2.030030429978069e-05,-1.4477809742011477e-05,-3.168624871968146e-05,19552.7430728238,19552.743066445604,19552.743058219985,19552.743069045595
-60,0.007936641732775404,-9.356286120976165e-06,24771.041622263292,-60,228186209667.42905,0.35110074087180088,228186209667.07794,649916628204.29016,1.2392602789907011e+18,8.259789826212173e-06,2.3188003979157656e-05,5.167340513811958e-12,431.14851222352718,0.00014362055986020457,2.0156514204846374e-05,7.7797994532194284e-05,-60,0.007936641732954962,0.007936641732775404,0.007936641731286595,0.007936641727787621,-1.168823156660892e-05,-9.356286120976165e-06,-3.428441740396747e-06,-4.628000370906303e-06,24771.041625155653,24771.041622263292,24771.041611688725,24771.04160196765
-50,0.009966953520357778,-7.4703452597191244e-06,31107.844952407235,-50,229546770552.83313,0.35307242057118765,229546770552.48007,650140756339.67883,1.8063685409378419e+17,3.976017082546641e-06,6.474783731391653e-06,1.3701990930758967e-12,671.24105875355531,0.00014455570773909269,1.3756926159832711e-05,5.2107591706607676e-05,-50,0.009966953521727977,0.009966953520357778,0.009966953520690401,0.009966953520660994,-6.63895337993381e-06,-7.4703452597191244e-06,-3.585449903120308e-06,-3.4943281771724836e-06,31107.844955852368,31107.844952407235,31107.84494956049,31107.844949377584
-40,0.01243063293504612,-1.928796219630158e-06,38797.23138471943,-40,230942398503.50241,0.35505517265061937,230942398503.14737,650440878749.71997,39067981958237104.0,5.091730535684056e-06,2.5887798983603716e-05,9.304123443909518e-12,1041.3402501290263,0.0001455086091842979,2.7819479585349588e-05,8.6409433913007554e-05,-40,0.012430632936007708,0.01243063293504612,0.012430632934902616,0.012430632926703584,3.0128637433790573e-06,-1.928796219630158e-06,2.904897167243475e-06,-2.078866792304999e-06,38797.231382778984,38797.23138471943,38797.23137943785,38797.23135883163
-30,0.01541913709084943,6.818777343653437e-06,48124.647592586436,-30,232379185370.14368,0.35704905928936359,232379185369.78662,650832649811.90271,23626570961737024.0,2.081463878394728e-05,4.260239074937999e-05,1.9822503014021997e-11,1608.4373311315173,0.00014647983988448635,3.7869674689331414e-05,0.00014780028190180497,-30,0.015419137092025737,0.01541913709084943,0.015419137084959355,0.015419137072203234,1.2039192256452225e-05,6.818777343653437e-06,7.269396303865316e-06,-8.775446527495055e-06,48124.64759103739,48124.647592586436,48124.647573752314,48124.647549984045
-20,0.019043972456998636,-1.7304756299907353e-05,59438.11630007204,-20,233864558880.09024,0.35905414301586885,233864558879.7312,651335079761.92407,31993943323914140.0,3.3083985247328135e-05,2.8147849661763757e-05,1.4350354238246155e-11,2472.2478241661911,0.00014746911434509037,4.074975854286063e-05,0.00014929816403303772,-20,0.019043972453777116,0.019043972456998636,0.01904397245547153,0.01904397246812747,-2.6417750831342346e-05,-1.7304756299907353e-05,-4.686352945596938e-06,6.66623441598579e-06,59438.11629913035,59438.11630007204,59438.116282687384,59438.116310835234
