voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-4.329775942180297e-05,-270.274160861969,0.0005029596893400259,-150,18989090711.323696,8.3628504269429141e-09,18989090711.323696,2.2706481333381043e+18,1.6962808379770019e+17,6.768903517695435e-07,3.280805477384697e-07,1.556791669318422e-13,0.00039918552859173693,1.200694179552473e-05,1.6288075959681554e-06,5.0857646844505765e-06,-150,-4.329775946007933e-05,-4.329775942180297e-05,-4.3297759398848806e-05,-4.329775955452797e-05,-270.2741604447365,-270.274160861969,-270.27416059078894,-270.27416112162683,0.0005026316087922874,0.0005029596893400259,0.0005028957415114181,0.0005026752704299087
-140,-2.9759068496700195e-05,-185.7631732225418,0.0005987938545624705,-140,18062981829.127594,7.5670199877359512e-09,18062981829.127594,2.3870667526189568e+18,3.0908829907158995e+17,5.883581479793065e-07,5.831776366737804e-07,1.1169246815411968e-13,0.00045739717069612912,1.1542527486691102e-05,9.0321800338110804e-07,3.3317635495246198e-06,-140,-2.975906839429114e-05,-2.9759068496700195e-05,-2.9759068396110055e-05,-2.9759068385007727e-05,-185.76317310333252,-185.7631732225418,-185.76317345959484,-185.76317369169067,0.0005990538786770664,0.0005987938545624705,0.0005992263328189617,0.0005993770321991443
-130,-2.0275229622713938e-05,-126.56339803338051,0.0007076848739597449,-130,17182039810.091549,6.8469228279294947e-09,17182039810.091549,2.5094542821490202e+18,77777747776618160.0,1.4464284134874106e-06,2.8121150185463767e-07,2.3103683544209094e-13,0.00052331075695385325,1.1111956131444759e-05,2.8920503011087051e-06,8.214496527405659e-06,-130,-2.027522972357432e-05,-2.0275229622713938e-05,-2.0275229492537483e-05,-2.0275229658238185e-05,-126.56339821219444,-126.56339803338051,-126.563396920348,-126.56339836677641,0.0007074594857424754,0.0007076848739597449,0.0007075346512592308,0.0007077406972443301
-120,-1.371257118077368e-05,-85.59822955727577,0.000827697571465281,-120,16415111481.440657,6.195351973115194e-09,16415111481.440657,2.6495849715519365e+18,82471243200289424.0,1.3578004285363932e-06,5.929577796383659e-07,2.3260657892279924e-13,0.00059676141946556538,1.0714417916120251e-05,9.5442839949207629e-07,3.3585926966553474e-06,-120,-1.3712571220448912e-05,-1.371257118077368e-05,-1.371257109490441e-05,-1.3712571327510988e-05,-85.59822964668274,-85.59822955727577,-85.59823004892475,-85.5982309150762,0.0008276184446413329,0.000827697571465281,0.0008282114024209713,0.0008279184900661929
-110,-9.196098484701364e-06,-57.40578666329384,0.000962979894844034,-110,15994664536.281025,5.6057862831775406e-09,15994664536.281025,2.8532419411491963e+18,28531055087186664.0,1.3062085599813145e-06,5.474625563086245e-07,4.507585609294946e-14,0.00067624671416542453,1.03491452862653e-05,1.8962067826416308e-06,5.7898963564306944e-06,-110,-9.19609851502694e-06,-9.196098484701364e-06,-9.196098469951084e-06,-9.19609848329828e-06,-57.40578678250313,-57.40578666329384,-57.40578547629457,-57.40578606183019,0.0009629448503752234,0.000962979894844034,0.0009624324322877254,0.0009626835421874536
-100,-6.1296438968170324e-06,-38.26466926932335,0.0011114860442198683,-100,15614212583.710781,5.0723251865317635e-09,15614212583.710781,3.0783145814803533e+18,1.0093730866160325e+17,1.591577948545364e-06,1.3395006591163192e-06,5.531923982343137e-13,0.00076317956786699215,1.0015407011246751e-05,1.9130854373682158e-06,5.7693932384812566e-06,-100,-6.129643906670454e-06,-6.1296438968170324e-06,-6.1296442664251496e-06,-6.129643713232751e-06,-38.264670103788376,-38.26466926932335,-38.26466967044683,-38.26466851221043,0.001111872523230832,0.0011114860442198683,0.0011105330225717157,0.0011116804724063123
-90,-4.067248733353221e-06,-25.391114562749863,0.0012728451913440763,-90,15272804295.679935,4.5896296252201689e-09,15272804295.679935,3.3276768590989051e+18,77092337187058704.0,2.546919233736844e-06,4.482033468650691e-07,3.0461928891335234e-13,0.00085828686716370563,9.712505202583392e-06,3.1913922881055543e-06,8.2059904817608799e-06,-90,-4.067248589947916e-06,-4.067248733353221e-06,-4.067248894567205e-06,-4.067248654606532e-06,-25.391113817691803,-25.391114562749863,-25.391116364611037,-25.39111496760419,0.0012729202444146791,0.0012728451913440763,0.0012732429571856681,0.0012732933946909414
-80,-2.682204140184071e-06,-16.74575287103653,0.0014527770161697285,-80,14969585973.636772,4.1528686198255666e-09,14969585973.636772,3.6046375033808655e+18,1.1222600395460936e+17,1.0927233162760785e-06,9.525769537831706e-07,2.2678503667280126e-13,0.0009613442507722872,9.4397751720069117e-06,7.509672929110801e-07,2.8181771016658134e-06,-80,-2.6822042307547803e-06,-2.682204140184071e-06,-2.6822042290812986e-06,-2.6822043669691076e-06,-16.745753526687622,-16.74575287103653,-16.745752433964306,-16.745752471810416,0.0014528221616002478,0.0014527770161697285,0.0014522810230437953,0.0014518695846464647
-70,-1.7624289075540434e-06,-11.00472605228424,0.0016485830895499889,-70,14703799413.836809,3.7576709194055246e-09,14703799413.836809,3.9130088102986404e+18,96897607269503488.0,1.2814998626708984e-06,3.846598814563097e-07,1.0871408897685322e-13,0.0010741574900288693,9.1965876472193052e-06,1.3860750388352848e-06,4.5876935499008089e-06,-70,-1.7624290107235483e-06,-1.7624289075540434e-06,-1.7624289835562936e-06,-1.7624289020094593e-06,-11.004727333784103,-11.00472605228424,-11.004726394880977,-11.00472620252619,0.0016489018372810023,0.0016485830895499889,0.001648517177399546,0.001648675515717915
-60,-1.1536117086112928e-06,-7.204799681901932,0.0018639214400640826,-60,14474780011.438519,3.4000812525437046e-09,14474780011.438519,4.2571865012371379e+18,4.84928073398144e+17,5.540851564234117e-07,1.082130983400464e-06,2.5795032499463576e-13,0.001198058212289509,8.9823526179035446e-06,6.5314772208665448e-07,2.5211745799263393e-06,-60,-1.1536114760187855e-06,-1.1536117086112928e-06,-1.1536117339691105e-06,-1.1536116004344836e-06,-7.204799950122833,-7.204799681901932,-7.204799396037677,-7.2047995346871785,0.001864781494670038,0.0018639214400640826,0.0018636993636866376,0.0018641854631782223
