voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-1.3465112345983932e-10,1.2702386198071747e-08,-0.00019290989110990362,-0.00021587389476966645,-150,28128418031.920486,0.00048727100418469161,28128418031.919998,57726435167192.711,2.7711068055720498e+23,3.637728930113236e-09,3.956943820347669e-09,1.049401072983347e-09,5.339882206488761e-16,4.7174337214699969e-10,-0.00075982000747568221,5.8199851110733399e-09,1.5114543909775516e-08,-150,-1.3465132271858904e-10,-1.3465112345983932e-10,-1.3465130041993822e-10,-1.3465165744805997e-10,1.2757333609196502e-08,1.2702386198071747e-08,1.270027869440889e-08,1.6338007624522126e-08,-0.000192909754844095,-0.00019290989110990362,-0.00019291007023158758,-0.00019291371178791535,-0.00021587437311154645,-0.00021587389476966645,-0.00021587420256655165,-0.00021587494417073944
-140,-7.454061190948469e-11,8.730653320477178e-09,-0.00017719823975129664,-9.60358979442133e-05,-140,28234224961.731781,0.00045724549967670724,28234224961.731323,61748502678964.852,5.7097104271185209e+23,8.246304972352766e-10,7.744181689146867e-10,5.471325906225566e-09,2.694949217764912e-15,-5.0778879081313607e-10,-0.0007069669350456408,5.0128158937843391e-09,1.3430093586513073e-08,-140,-7.453818278380275e-11,-7.454061190948469e-11,-7.454058000529442e-11,-7.454087773302051e-11,8.744555758935979e-09,8.730653320477178e-09,8.723357458814708e-09,7.919925261700702e-09,-0.00017719833863338863,-0.00017719823975129664,-0.0001771986968479469,-0.000177197922429778,-9.603081525710877e-05,-9.60358979442133e-05,-9.603567676262637e-05,-9.6036286583015e-05
-130,-4.2164546243019984e-11,4.7278782476536355e-09,-0.00016063523894852179,-3.418963456005425e-05,-130,28341875672.309845,0.00042907015845202232,28341875672.309418,66054175789246.766,1.6630180270321748e+23,8.727702681337555e-11,1.5838416912630077e-09,1.7547394214750822e-09,6.16427604296983e-16,1.4970096495374171e-09,-0.00065951779244757672,6.1719980046585968e-09,1.7456044082851993e-08,-130,-4.216462831951989e-11,-4.2164546243019984e-11,-4.216511377586268e-11,-4.216516267062428e-11,4.760482211762418e-09,4.7278782476536355e-09,4.724156681075363e-09,4.6732051849490426e-09,-0.0001606353517615844,-0.00016063523894852179,-0.0001606338287715124,-0.00016063376791989313,-3.418977860292216e-05,-3.418963456005425e-05,-3.419128426251916e-05,-3.4191389299475725e-05
-120,-2.8124981948769036e-11,2.2537987359363937e-09,-0.00014276386646747997,-1.0933357468240201e-05,-120,28451358305.821007,0.00040263097396084,28451358305.820602,70663610466760.047,4.6733274930147952e+23,3.500787565448326e-10,6.692148905342032e-10,5.416677554409555e-09,2.4934104845512876e-15,-5.7011685430588518e-10,-0.00061831623904797992,9.4747347259057254e-09,2.0821816861149648e-08,-120,-2.8127030088328665e-11,-2.8124981948769036e-11,-2.8124536677844113e-11,-2.812475074610408e-11,2.2707088792032657e-09,2.2537987359363937e-09,2.2542511848630073e-09,1.920630122658433e-09,-0.0001427637457709352,-0.00014276386646747997,-0.00014276441498582574,-0.00014276409288741182,-1.0937664967514138e-05,-1.0933357468240201e-05,-1.0932248289959728e-05,-1.0932689867845097e-05
-110,-2.155557290236301e-11,1.0154257239582322e-09,-0.00012451491644739063,-3.346745648547672e-06,-110,28562661369.580986,0.00037782096470542954,28562661369.580608,75598402518108.125,6.6562113867297898e+22,2.5915079581844414e-10,2.792142009136814e-10,3.1457663800249502e-09,1.5029397275218842e-15,1.9753201407720842e-10,-0.00058439062127829916,2.9883259580557355e-09,8.1779000488440342e-09,-110,-2.1557075842090533e-11,-2.155557290236301e-11,-2.1555623143525744e-11,-2.155611022893182e-11,1.03086489540426e-09,1.0154257239582322e-09,1.015167509979618e-09,1.2743183057980622e-09,-0.0001245148762336612,-0.00012451491644739063,-0.0001245147073314015,-0.00012451498654560242,-3.349891414927697e-06,-3.346745648547672e-06,-3.346919806222065e-06,-3.347926612815022e-06
-100,-1.7535333677614305e-11,4.3144005017933723e-10,-0.00010644508161456479,-1.0047871819747478e-06,-100,28675773729.951336,0.0003545397413583616,28675773729.950981,80881690780516.609,4.3103664294724951e+22,2.1641154775020249e-10,4.727859161026554e-10,2.0968823500472356e-09,9.650239650456941e-16,-2.9568034238454278e-10,-0.00055900069072292149,3.511249342175431e-09,8.818334837048135e-09,-100,-1.75355371955345e-11,-1.7535333677614305e-11,-1.7535193203655876e-11,-1.7534572171569453e-11,4.4184278786174765e-10,4.3144005017933723e-10,4.414149903507433e-10,6.478515979295397e-10,-0.00010644504456536197,-0.00010644508161456479,-0.00010644537027967778,-0.00010644551735127807,-1.0052264656223997e-06,-1.0047871819747478e-06,-1.0044019965313108e-06,-1.0031295832723525e-06
-90,-1.434836127861281e-11,1.7161533673859951e-10,-8.86736718108358e-05,-2.972670563750751e-07,-90,28790684606.35704,0.00033269310055479719,28790684606.356709,86538267725858.609,6.7513504703881385e+22,7.86633875911018e-11,1.3490163614546073e-09,2.916135663890221e-09,1.2004857664058518e-15,-1.2658087397819016e-09,-0.00054383979752182295,2.6400663096762811e-09,7.0435861413446167e-09,-90,-1.4349161734412389e-11,-1.434836127861281e-11,-1.4347961248645983e-11,-1.4348191353741451e-11,1.8972058849349812e-10,1.7161533673859951e-10,1.694112164739588e-10,2.480746040650606e-10,-8.867373779253285e-05,-8.86736718108358e-05,-8.867497222119865e-05,-8.867502082719725e-05,-2.9891663189118844e-07,-2.972670563750751e-07,-2.960004962272982e-07,-2.9648930248860755e-07
-80,-1.1427101698677547e-11,6.181665237814371e-11,-7.107484281127649e-05,-8.514728118760861e-08,-80,28907383565.422935,0.00031219264371518379,28907383565.422623,92594698008949.266,9.2694055398069728e+22,8.105698094340726e-11,9.452259221642487e-10,5.061379355561502e-09,2.272559846848492e-15,-9.3511493316155971e-10,-0.00054123727738061551,5.5359639830822722e-09,1.1743812807184822e-08,-80,-1.1427632795202278e-11,-1.1427101698677547e-11,-1.1426671558825346e-11,-1.142536023535543e-11,3.390498169271791e-11,6.181665237814371e-11,5.514808290164008e-11,-1.924032856526355e-11,-7.10748321068877e-05,-7.107484281127649e-05,-7.107574949084416e-05,-7.107577733280986e-05,-8.624661518297216e-08,-8.514728118760861e-08,-8.394782587389099e-08,-8.118523582741066e-08
-70,-8.562413815985514e-12,1.2836350132069108e-11,-5.338506251567733e-05,-2.1075441858711685e-08,-70,29025860515.226772,0.00029295541935599152,29025860515.226479,99079445531455.859,4.1347520586962072e+23,3.668814991504322e-10,1.7044816235246407e-10,1.3051928053967043e-09,6.72413783178481e-16,-6.0949293692948059e-12,-0.00055439523891016233,4.2271784885887889e-09,9.7666394721706828e-09,-70,-8.562374223286648e-12,-8.562413815985514e-12,-8.562539988896876e-12,-8.563046637069826e-12,1.0834181540461413e-11,1.2836350132069108e-11,1.595961009937772e-11,-3.509218890510545e-10,-5.338497206253123e-05,-5.338506251567733e-05,-5.338505900805553e-05,-5.338489206751498e-05,-2.102254370583978e-08,-2.1075441858711685e-08,-2.1340184219557912e-08,-2.2327736511236485e-08
-60,-5.64772709971407e-12,-1.3019611567744809e-12,-3.524543803412104e-05,-2.929084631092538e-09,-60,29146105699.666702,0.00027490358744116294,29146105699.666428,106023009633894.95,9.1945504585805893e+22,1.0852322721066681e-11,1.4238169530108452e-10,2.8757075540286614e-10,1.214719118559298e-16,3.1450214755384566e-11,-0.00058769652118396466,7.2650081144680518e-10,1.8915327615662114e-09,-60,-5.647848571625926e-12,-5.64772709971407e-12,-5.647753572361917e-12,-5.647796565474882e-12,-1.4680761904330522e-12,-1.3019611567744809e-12,-4.676075381294015e-12,-1.2154283877841162e-11,-3.5245333407374346e-05,-3.524543803412104e-05,-3.524539847428755e-05,-3.524547578906965e-05,-3.216655386495404e-09,-2.929084631092538e-09,-2.9962290340723166e-09,-3.057421867763699e-09
