voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.001870639016003447,-5799.236878913918,-78.4243202967582,0.0001751314390088277,-150,28160588024.307907,8.3628504269429141e-09,28160588024.307907,3.3673432605684142e+18,3.2661954523485114e+17,0.0003784330756388954,1.547455852346502e-06,0.0002485145280659458,4.842158878720637e-11,-0.00013757482826883992,-0.00013757482826883992,0.00025972140318975261,0.00050126571162373821,-150,-0.001870639016245638,-0.001870639016003447,-0.0018706390640609606,-0.0018706390644250357,-5799.236631413922,-5799.236878913918,-5799.237009846997,-5799.236997732445,-78.42431977950037,-78.4243202967582,-78.42432127113295,-78.42432132695622,-7.338308905711814e-05,0.0001751314390088277,0.00015655946534195533,0.0001433365108471918
-140,-0.000585719960835701,-1813.0355545620168,-30.108270018368785,-7.583360849741861e-05,-140,26361799597.327843,7.5670199877359512e-09,26361799597.327843,3.4837755999129165e+18,2.484572222998625e+17,0.0001787041767329356,1.224565719226689e-05,0.00011376148393409227,4.312450440149829e-11,0.00012155381601363865,-0.00061264114003987079,0.000164203394599623,0.00029918418155163568,-140,-0.0005857199606846416,-0.000585719960835701,-0.0005857199177111966,-0.0005857199177314005,-1813.035667648539,-1813.0355545620168,-1813.0354889443622,-1813.0354921880244,-30.108270425349474,-30.108270018368785,-30.1082583032568,-30.10825817969228,3.7927875436673665e-05,-7.583360849741861e-05,-1.271298739557162e-05,-9.594165979009972e-06
-130,-0.0002487036547733448,-768.4150672697433,-15.626648365336223,-0.00024392007545944328,-130,24691235391.060955,6.8469228279294947e-09,24691235391.060955,3.6061798871665638e+18,5.4786731337079132e+18,0.0005543670979477611,2.3596815525550596e-05,0.00038855594243012044,1.4186635958861327e-10,0.00041868461597157681,-0.00020535147894493476,0.00054184003040939996,0.00093722127738990284,-130,-0.00024870365436858153,-0.0002487036547733448,-0.0002487035129069852,-0.00024870351309634245,-768.4154540803283,-768.4150672697433,-768.4148997132304,-768.4149027128024,-15.626649329438806,-15.626648365336223,-15.626625915229518,-15.62662573262328,0.00014463586697067713,-0.00024392007545944328,2.007725852786172e-05,2.2394524576974106e-05
-120,-0.00024364097511580708,-751.1120456955286,-18.630946608332124,6.153854857446827e-06,-120,23138789787.346474,6.195351973115194e-09,23138789787.346474,3.7348628274483092e+18,6.6592156667650035e+17,0.0002463811479174183,1.3147948212832716e-05,0.0001885357765562353,4.3487386489158425e-11,0.00020344971755435634,-0.00025816462045638171,0.00019128805863382887,0.00038131195122698082,-120,-0.00024364097489923875,-0.00024364097511580708,-0.00024364093162842059,-0.0002436409317515328,-751.1122333761305,-751.1120456955286,-751.1119885512239,-751.1119869949825,-18.630946966819465,-18.630946608332124,-18.630959756280337,-18.630959557333085,0.00019468963141368211,6.153854857446827e-06,9.131194654005294e-05,8.927198613406517e-05
-110,-0.00026094420935860054,-802.3576129342764,-24.15039253510804,0.00019572305220782538,-110,21695216772.555515,5.6057862831775406e-09,21695216772.555515,3.8701469654062454e+18,1.2297692292342458e+17,0.00013512867280951468,7.686246803473296e-07,6.958696038357506e-05,2.5107750514091753e-11,-7.1402811967636104e-05,-0.00034900788747993842,0.00010075479603701505,0.00019581639671137775,-110,-0.0002609442094232367,-0.00026094420935860054,-0.00026094423422471535,-0.00026094423446635105,-802.357543580234,-802.3576129342764,-802.3576785871884,-802.3576787089069,-24.150392472743988,-24.15039253510804,-24.150391822575422,-24.15039176648336,0.00012613609182425032,0.00019572305220782538,0.00018341010118230245,0.00018274960461006629
-100,-0.0001372194177934865,-420.6421061139299,-15.267019215226355,0.0002792874404367249,-100,20352053132.115398,5.0723251865317635e-09,20352053132.115398,4.0123715226608435e+18,67344486525897072.0,0.00018672375978212585,1.0671656408334229e-05,9.863818487868881e-05,2.9643131102975034e-11,0.00011527580021110956,-0.00082008022762959263,0.00012808756263919048,0.00029569536338989154,-100,-0.00013721941765875565,-0.0001372194177934865,-0.000137219388169574,-0.0001372193881503554,-420.64220417663455,-420.6421061139299,-420.64201745287477,-420.6420223832665,-15.267019525170326,-15.267019215226355,-15.267029704030417,-15.267029886882764,0.0003779256253154137,0.0002792874404367249,0.00028832993999712044,0.00029341174094366096
-90,-0.0001067636428107849,-326.1366755298077,-14.167280902238417,0.00045702092406130765,-90,19101548712.304287,4.5896296252201689e-09,19101548712.304287,4.1618932837936717e+18,1.6028299643376301e+17,4.537539280136116e-05,2.42732048718608e-05,2.9752653084558624e-05,1.552937836104499e-11,-3.203456175153146e-05,-0.0010955863872952575,7.3654922397619273e-05,0.00013502960838094095,-90,-0.00010676364286701793,-0.0001067636428107849,-0.00010676365829769876,-0.00010676365834016326,-326.1366459839046,-326.1366755298077,-326.1366898888661,-326.1366913592974,-14.167280839756131,-14.167280902238417,-14.167304900592168,-14.167305112961003,0.00042726827097674903,0.00045702092406130765,0.0004350429737636589,0.0004364870536033294
-80,-6.656337162091173e-05,-202.53084440399107,-10.441212531277415,0.0006029139751392324,-80,17936603088.771576,4.1528686198255666e-09,17936603088.771576,4.3190875346123924e+18,56315806681464200.0,5.916773238823225e-05,1.0487208992771002e-05,4.9875402912743973e-05,1.3323833627110898e-11,5.5566342546327976e-05,-0.0017741975584353213,6.8250644227355549e-05,0.00014219136874203168,-80,-6.65633715331952e-05,-6.656337162091173e-05,-6.65633583163214e-05,-6.65633582970781e-05,-202.53089394420385,-202.53084440399107,-202.53083477647147,-202.53083496703448,-10.44121265411377,-10.441212531277415,-10.441202166904777,-10.441202368844031,0.0006527893780519764,0.0006029139751392324,0.0006296292078451552,0.0006299808007219632
-70,-4.2943375127375566e-05,-130.08725522476016,-7.888274661338073,0.0008834188013377286,-70,16850708043.535534,3.7576709194055246e-09,16850708043.535534,4.4843490568890394e+18,1.1120148344360418e+17,7.64949649862956e-05,5.502454004879809e-05,7.457398149769126e-05,1.931339948537357e-13,-8.6260598194514896e-05,-0.0027507098535293996,7.4851488141039314e-05,0.00016371832365695994,-70,-4.2943375247174397e-05,-4.2943375127375566e-05,-4.29433750540404e-05,-4.294337522849323e-05,-130.08718114718795,-130.08725522476016,-130.08725764215293,-130.08725714949105,-7.8882744163274765,-7.888274661338073,-7.888219636798024,-7.888219841151048,0.0008088448198400373,0.0008834188013377286,0.0008585528103748571,0.0008576178405084178
-60,-2.501672449561138e-05,-75.41322686854983,-5.335129498686001,0.0011271496925106185,-60,15837895308.606686,3.4000812525437046e-09,15837895308.606686,4.6580931843196017e+18,1.2931459417496565e+17,5.848299588251393e-05,6.7852436016480056e-06,4.176665809693539e-05,7.860500902387218e-12,5.0804699968114161e-05,-0.0039498204456195575,4.7319164006396577e-05,9.6096336857517381e-05,-60,-2.5016724348273168e-05,-2.501672449561138e-05,-2.501671663511048e-05,-2.5016716684421237e-05,-75.41326808743179,-75.41322686854983,-75.41321128662963,-75.4132096044359,-5.335129674524069,-5.335129498686001,-5.335136283929603,-5.335136198214565,0.001168916350607554,0.0011271496925106185,0.0011394937926788476,0.0011376148377091333
