voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.08521401550644478,-119063.34835569287,-55669.30012562483,-119063.34835566694,-150,295856046.71085787,20729.433698919936,295835317.27715898,14272.268649879848,39257861656198256.0,5.555921234190464e-08,4.052708391100168e-09,4.566390998661518e-08,2.886579864025407e-15,362422.29030437407,-9.1036781668663025e-08,2.3851860878617998e-08,7.9724181034634967e-08,-150,-0.08521401550644381,-0.08521401550644478,-0.0852140155064467,-0.08521401550644662,-119063.34835567573,-119063.34835569287,-119063.34835572435,-119063.34835573129,-55669.300125628884,-55669.30012562483,-55669.30012562659,-55669.3001256267,-119063.34835567902,-119063.34835566694,-119063.3483556406,-119063.34835563335
-140,-0.07659747143855158,-106534.49573557009,-51998.54289138912,-106534.49573556305,-140,270498094.55090827,22909.567272223612,270475184.98363602,11807.210993411907,62788761303785528.0,1.2762029655277729e-08,1.1030351743102074e-08,1.6807462088763714e-08,1.9845236565174673e-15,345305.66278654651,-1.2747477740049362e-08,1.5735889712523738e-08,6.2510437714990985e-08,-140,-0.07659747143855357,-0.07659747143855158,-0.07659747143855325,-0.07659747143855355,-106534.4957355721,-106534.49573557009,-106534.49573556733,-106534.49573555934,-51998.54289137844,-51998.54289138912,-51998.54289138947,-51998.54289138931,-106534.49573557256,-106534.49573556305,-106534.49573557079,-106534.49573557985
-130,-0.0687138983741469,-95144.09322318573,-48349.33481106243,-95144.09322317726,-130,247816440.13489366,25318.987494959183,247791121.14739871,9787.7705490486933,22246696664960024.0,3.38477548211813e-08,7.617927622050047e-09,3.962486516684294e-08,1.2906342661267445e-15,329875.25488353736,-3.9144651964306831e-08,1.7499517124326751e-08,6.0692300962728041e-08,-130,-0.0687138983741482,-0.0687138983741469,-0.0687138983741474,-0.0687138983741475,-95144.09322318416,-95144.09322318573,-95144.0932231979,-95144.093223218,-48349.33481105481,-48349.33481106243,-48349.33481106191,-48349.33481106203,-95144.09322318668,-95144.09322317726,-95144.09322316696,-95144.09322314705
-120,-0.061464663623590855,-84736.87643017762,-44727.048733697615,-84736.87643016102,-120,227585586.7109825,27981.808654549885,227557604.90232795,8133.3408258431764,2.1028350306076102e+17,2.8798240236938e-08,5.718902684748173e-09,1.0055373422801495e-08,5.197231534026514e-15,316259.67812344927,-6.3242623582482338e-08,2.0549841618753072e-08,7.1576479854229547e-08,-120,-0.061464663623588885,-0.061464663623590855,-0.061464663623594,-0.06146466362359408,-84736.87643016291,-84736.87643017762,-84736.87643018432,-84736.87643019171,-44727.04873370303,-44727.048733697615,-44727.04873369731,-44727.04873369803,-84736.87643016687,-84736.87643016102,-84736.8764301643,-84736.87643015682
-110,-0.05475796823356601,-75167.39291376104,-41140.46725612122,-75167.39291375267,-110,209604492.37899879,30924.681160165994,209573567.69783863,6777.9031024898595,1.1724464553859218e+17,2.8507201932370663e-08,5.456968210637569e-10,2.4694600142538548e-08,1.27675647831893e-15,304590.8291722078,-4.3481122702360153e-08,1.5672348727169535e-08,4.5788908664690098e-08,-110,-0.05475796823356571,-0.05475796823356601,-0.05475796823356695,-0.05475796823356699,-75167.392913755,-75167.39291376104,-75167.39291377169,-75167.39291378351,-41140.467256121,-41140.46725612122,-41140.46725612155,-41140.46725612134,-75167.39291375791,-75167.39291375267,-75167.39291374477,-75167.39291373322
-100,-0.04850975542260001,-66302.22222403616,-37598.57316755108,-66302.22222402354,-100,193694561.58446226,34177.058268977336,193660384.52619329,5667.3854156804255,57720090862941200.0,2.7852365747094154e-08,1.0382791515439749e-08,2.5407643988728523e-08,1.1102230246251565e-15,295007.7340752118,-7.6688593253493309e-08,2.2776801056528232e-08,6.8670573227791465e-08,-100,-0.048509755422599776,-0.04850975542260001,-0.0485097554225989,-0.04850975542259901,-66302.22222402439,-66302.22222403616,-66302.22222403708,-66302.22222405224,-37598.573167561466,-37598.57316755108,-37598.57316755112,-37598.57316755182,-66302.22222402939,-66302.22222402354,-66302.22222401915,-66302.22222400398
-90,-0.04264471547976388,-58022.544095512334,-34106.54945918052,-58022.54409550877,-90,179697861.0881651,37771.490864250583,179660089.59730086,4757.4998226570651,91902626112787536.0,2.5669578462839127e-08,1.760781742632389e-09,2.3821485228836536e-08,1.790234627208065e-15,287660.94872273871,3.1839590519666672e-08,2.0679959691547454e-08,7.446668348620733e-08,-90,-0.04264471547976474,-0.04264471547976388,-0.04264471547976295,-0.04264471547976313,-58022.544095511475,-58022.544095512334,-58022.54409550023,-58022.544095486664,-34106.549459181304,-34106.54945918052,-34106.54945917954,-34106.54945917956,-58022.54409551194,-58022.54409550877,-58022.54409551846,-58022.54409553259
-80,-0.03709739591043981,-50227.024811505435,-30661.163615634312,-50227.02481151327,-80,167475542.56464702,41743.953235529756,167433798.61141148,4011.9713056333785,5.8065690766330509e+17,5.711626727133989e-09,1.153239281848073e-09,6.082700565457344e-09,1.3808398868775384e-15,282717.38222703425,1.0360963642597198e-08,8.2459077214701778e-09,3.4032382245641202e-08,-80,-0.03709739591043994,-0.03709739591043981,-0.03709739591044119,-0.03709739591044099,-50227.024811511146,-50227.024811505435,-50227.024811509255,-50227.024811509575,-30661.163615635465,-30661.163615634312,-30661.16361563494,-30661.163615635232,-50227.02481150738,-50227.02481151327,-50227.02481151346,-50227.02481151237
-70,-0.03181347251724952,-42835.03261455688,-27245.840311146847,-42835.03261454363,-70,156906456.05052221,46134.203121417318,156860321.84740078,3401.0873806050427,7.5391879673227149e+17,3.620516508817673e-08,5.602487362921238e-09,3.0762748792767525e-08,1.6445178552260131e-15,280365.94385709963,-4.0425220504403114e-08,1.5918647255114943e-08,4.8081545855893637e-08,-70,-0.03181347251724788,-0.03181347251724952,-0.031813472517248635,-0.031813472517248725,-42835.032614538664,-42835.03261455688,-42835.03261456147,-42835.03261457487,-27245.840311151347,-27245.840311146847,-27245.84031114677,-27245.840311145745,-42835.03261455445,-42835.03261454363,-42835.03261453631,-42835.03261452369
-60,-0.02675117023015288,-35789.99219966761,-23826.1125381116,-35789.99219966886,-60,147885940.37330967,50986.179618385198,147834954.19369128,2900.5103241738711,1.1021066566607848e+17,1.3853423297405243e-08,3.041350282728672e-09,1.393345883116126e-08,8.743006318923108e-16,280825.55063431145,2.0110746845602989e-08,1.1352564001433913e-08,4.7053390517248772e-08,-60,-0.026751170230153255,-0.02675117023015288,-0.026751170230153755,-0.02675117023015368,-35789.99219967009,-35789.99219966761,-35789.99219966801,-35789.99219965623,-23826.11253810856,-23826.1125381116,-23826.112538111487,-23826.112538111454,-35789.99219966907,-35789.99219966886,-35789.99219967124,-35789.99219968279
