voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-8.737220735279195e-09,-0.018130683105996373,-7.198323621738058e-07,-7.298314684300519e-05,-150,34225842967174.711,7.3361959480419682e-06,34225842967174.711,4.6653392588715674e+18,6.7510880471845222e+18,5.439584458525465e-05,2.104969108092242e-07,6.826128355896799e-06,2.3967663409528666e-11,12.554154659713449,-8.3456532601111633e-05,7.2920662868597116e-05,0.00011039220445085014,-150,-8.737203181747803e-09,-8.737220735279195e-09,-8.760044901700061e-09,-8.761170845157331e-09,-0.01813065973938762,-0.018130683105996373,-0.01817802712893979,-0.018185055583972876,-7.254267997030164e-07,-7.198323621738058e-07,-7.173035043817202e-07,-5.149298888937922e-07,-7.295781601587999e-05,-7.298314684300519e-05,-7.320611575778457e-05,-6.637998740188777e-05
-140,-7.769168980681039e-09,-0.01614217674225926,-3.375196586678157e-07,-3.474000328527668e-05,-140,33460362250503.023,9.8909524472958693e-06,33460362250503.023,3.3829262074403057e+18,1.5873868779688659e+19,8.227707989573105e-05,1.0985591701023583e-06,3.8982399473752594e-05,3.946733983356858e-11,13.608478023535236,6.2929316673177027e-05,0.00010104408721387014,0.00016727148275858932,-140,-7.769216124753745e-09,-7.769168980681039e-09,-7.729748784920176e-09,-7.73581778332353e-09,-0.016142245266321253,-0.01614217674225926,-0.01605996818642552,-0.016097852041682792,-3.4220681228689516e-07,-3.375196586678157e-07,-3.3020225385264057e-07,-1.4287614239549989e-06,-3.47796713392409e-05,-3.474000328527668e-05,-3.5025835586566245e-05,3.9565638871863484e-06
-130,-6.8940097367779565e-09,-0.014337998918791168,-1.4132340120332973e-07,-9.744620440623256e-06,-130,32712170956782.488,1.3335377218322429e-05,32712170956782.488,2.4530367923778637e+18,1.0930900285198811e+19,3.2806966062001036e-05,4.572864538271773e-07,1.0111220505924431e-05,1.2692670017149096e-11,14.957873065926847,4.1786674231936161e-05,4.0584332544493254e-05,6.5577512481238055e-05,-130,-6.894053069796949e-09,-6.8940097367779565e-09,-6.8828518625270625e-09,-6.8813603997798e-09,-0.014338047492229219,-0.014337998918791168,-0.014314550546501437,-0.014305240526167218,-1.291948285977188e-07,-1.4132340120332973e-07,-1.451499512088855e-07,3.121365026182918e-07,-9.819135482220165e-06,-9.744620440623256e-06,-1.0088526323670521e-05,-1.9855840946547687e-05
-120,-6.095457731804106e-09,-0.01269397981858878,-5.482758384022586e-08,1.6499799524108058e-05,-120,31980879539149.828,1.7979288294280611e-05,31980879539149.828,1.7787622633162437e+18,7.2643037102543206e+18,1.6819443404259005e-05,2.868281648492752e-07,1.65326455316972e-05,6.042029512451328e-12,16.63454334355114,-1.0405373296329401e-05,2.120623274451094e-05,3.4423574439253799e-05,-120,-6.095388373331239e-09,-6.095457731804106e-09,-6.089415702291654e-09,-6.092110167419368e-09,-0.012693927626346248,-0.01269397981858878,-0.01268131422125407,-0.012698133664658329,-4.256791699796522e-08,-5.482758384022586e-08,-5.687074225287374e-08,2.2995742259640145e-07,1.6625726127884204e-05,1.6499799524108058e-05,1.6361216694349423e-05,3.289386222604662e-05
-110,-5.355608633932458e-09,-0.011186948771020215,-2.046474626601056e-08,6.506086867840571e-05,-110,31266107233548.008,2.4240394724246187e-05,31266107233548.008,1.289834905298569e+18,2.1722199217060573e+19,8.728772123665039e-05,9.633897047649934e-07,1.3230245217971505e-05,4.193728472846531e-11,18.798146889382956,-9.2549579657763559e-05,0.000114707593382418,0.00017570637247573003,-110,-5.355562202514057e-09,-5.355608633932458e-09,-5.397499487242522e-09,-5.395225849532006e-09,-0.011186850798771486,-0.011186948771020215,-0.011274138520008137,-0.011259946068698845,-6.176244869033622e-08,-2.046474626601056e-08,-1.9376873207148622e-08,-9.827665779721422e-07,6.510012504394353e-05,6.506086867840571e-05,6.509891954920022e-05,5.186987982597202e-05
-100,-4.652201155268323e-09,-0.009794637777690147,-7.988922063882392e-09,0.0001719860185399203,-100,30567481860942.734,3.2681868535040005e-05,30567481860942.734,9.3530398447596954e+17,1.0285761117583786e+19,5.666699065187686e-05,6.12726270252378e-07,5.62085360797937e-05,2.6658465420857166e-11,21.695327845818142,-5.6623426214486017e-07,7.9237084512670029e-05,0.00011535534942328274,-100,-4.652268500876816e-09,-4.652201155268323e-09,-4.67885962068918e-09,-4.669781555931243e-09,-0.00979473829111332,-0.009794637777690147,-0.009850255958042453,-0.009793588967390576,1.4253467041502718e-07,-7.988922063882392e-09,-1.1777151056864398e-08,-4.701915998373508e-07,0.000171776072796019,0.0001719860185399203,0.00017221337748196675,0.00011600484140217304
-90,-3.956488003621042e-09,-0.00849599618568114,-2.611866587620042e-09,0.00039540761566594397,-90,29884639634064.621,4.4063000751108968e-05,29884639634064.621,6.782252484997289e+17,4.1752235838800716e+19,0.00010936990592691487,1.5313861345074258e-06,0.00011105122363482033,2.2262909955918946e-11,25.634376626425645,9.2635813004449119e-05,0.00013577653477322456,0.00022305075534191521,-90,-3.956533169015938e-09,-3.956488003621042e-09,-3.978750913576961e-09,-3.9612298606746065e-09,-0.008496191481260846,-0.00849599618568114,-0.008542320720778207,-0.008432950814851292,-2.747429238270604e-07,-2.611866587620042e-09,-2.4012472281879153e-09,1.2566432106803655e-06,0.0003958317244407571,0.00039540761566594397,0.0003954094700020505,0.00028478050080593675
-80,-3.230434335624974e-09,-0.007272977633655194,-9.54108779782387e-10,0.0008269632359742991,-80,29217224968598.332,5.9407497864162517e-05,29217224968598.332,4.918103946307353e+17,1.7907230739335172e+19,6.716989096678533e-05,6.87051416791098e-07,1.102070564229507e-05,3.2054636511968056e-11,30.940735080966952,-7.2637011429677045e-05,8.8021244558846606e-05,0.00013652244891351661,-80,-3.230298151649741e-09,-3.230434335624974e-09,-3.262352788161709e-09,-3.2604771867648726e-09,-0.007272409338357259,-0.007272977633655194,-0.007339579229324045,-0.007327871433322031,-9.329513247175176e-08,-9.54108779782387e-10,6.872853948040548e-10,-6.863641313962939e-07,0.0008266281776691698,0.0008269632359742991,0.0008272433497040765,0.0008162226440617815
-70,-2.4198789280274643e-09,-0.00611119475820716,-3.0974913850750734e-09,0.0016141144357151582,-70,28564890298750.066,8.0095561861879164e-05,28564890298750.066,3.566351197836505e+17,4.4139210049315824e+19,2.7889648661118434e-05,8.520114502670225e-07,1.7907832443597727e-05,1.3375584768181277e-11,37.653760600155934,-1.2976429124123001e-05,3.4740856448153021e-05,5.850431272792447e-05,-70,-2.420143458901046e-09,-2.4198789280274643e-09,-2.4332545127956456e-09,-2.4305146599594832e-09,-0.006111635320650735,-0.00611119475820716,-0.006139084406868278,-0.006121981669879428,-4.7096308621608356e-08,-3.0974913850750734e-09,-1.627430280484045e-10,8.049151416454141e-07,0.0016139936512514982,0.0016141144357151582,0.0016141994547069771,0.0015962916222633794
-60,-1.4417046996881146e-09,-0.005006237375774297,6.292294515620767e-09,0.003009647213039481,-60,27927295897137.195,0.00010798803620106897,27927295897137.195,2.5861472140430259e+17,1.3197877178886124e+19,3.4462177772504043e-05,1.1316701685670478e-06,1.018101222941166e-05,1.6510624745928136e-11,44.495483754285289,-2.8814623817652318e-05,4.2489241417345295e-05,7.0148572191321064e-05,-60,-1.441801382879383e-09,-1.4417046996881146e-09,-1.4582153244340427e-09,-1.4564625746294323e-09,-0.005006724070556537,-0.005006237375774297,-0.005040699553546801,-0.005029758514309535,-9.903029585223004e-08,6.292294515620767e-09,-3.56642371972275e-10,-1.125377874051427e-06,0.0030101808200277153,0.003009647213039481,0.003009815840414376,0.0029999998077983037
