voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.00000000098442877824516441662564422535396940930687557604391436208789977522031781226065483,0.0000000022100184337215537730368794152400141275646945967061235157969992769790705624449801,-0.00000274387037026875877374165600694280731093732821026244820597535582294205266901637,-0.0030711284777053698296357132630533883707697094166746148789558315788934324073163568,-150,6261174757555.8211886012325645026407067279666747244138584365703988296354872254802,0.0024920921942168175269373158972531045247887905562589234714688687347579445118839936,6261174757555.8186965090383476851137694120694216198890696460141399061640183567454,2512416985248614.4223379887966220056855670087911547471259010489353259411044200356,12522349515111.64237720246512900528141345593334944882771687314079765927097445096,2.232666872547018774822333841516535092400282515785772808890503324928936022741685e-76,5.8676455599905193824757215888045134346602793445688482885143939142423114085572759e-78,2.9322069359301377296203123866202430868044486588919766899786290078035792530903289e-77,3.2162546347312069145243261268667695140193396497380923756253344141059732526413518e-83,119.69385029703627990910992073636673880959392089684587069092831632898567480692508,-2.920817897760155735548666799777333758025173760471943847815866861917199862734735e-77,1.6311084587187159740193757410527637492550525491922136517822527064964416858065292e-76,2.6531049890542100462876972324111534783619524879852536136638303299084941975082906e-76,-150,-0.0000000009844287782451644166256442253539694093068755760439143620878997752203178122658122,-0.00000000098442877824516441662564422535396940930687557604391436208789977522031781226065483,-0.00000000098442877824516441662564422535396940930687557604391436208789977522031781226065485,-0.00000000098442877824516441662564422535396940930687557604391436208789977522031781229281737,0.0000000022100184337215537730368794152400141275646945967061235157969992769790989339375286,0.0000000022100184337215537730368794152400141275646945967061235157969992769790705624449801,0.0000000022100184337215537730368794152400141275646945967061235157969992769790705642353649,0.0000000022100184337215537730368794152400141275646945967061235157969992769788756672502739,-0.0000027438703702687587737416560069428073109373282102624482059753558229420526709370158,-0.00000274387037026875877374165600694280731093732821026244820597535582294205266901637,-0.0000027438703702687587737416560069428073109373282102624482059753558229420526690163692,-0.0000027438703702687587737416560069428073109373282102624482059753558229420526748840147,-0.0030711284777053698296357132630533883707697094166746148789558315788934324073456789,-0.0030711284777053698296357132630533883707697094166746148789558315788934324073163568,-0.0030711284777053698296357132630533883707697094166746148789558315788934324073163578,-0.0030711284777053698296357132630533883707697094166746148789558315788934324073163578
-140,-0.0000000005905341960942937226013623319640803207278876053874925385501814167030235813438979,0.000000003124309808675395894877819475270542582186286709152965001341621457778430251073225,-0.0000017655897729775472895227006568607448027973083681902608427136796052652858823893102,-0.0018422342357275096728125768231974456602664881455028190468199917726334366485505308,-140,5888717404672.4996088724573026089328890669982709181422345204307009151354195785327,0.0028143254230858733158915053709002841369703325775986227316781147763468232697506643,5888717404672.4967945470342167356169975616273706340052641878531022924037414637564,2092408133177290.2029027965829968824807830082887584599364863757805037773233776108,11777434809344.999217744914605217865778133996541836284469040861401830270839157065,1.6125220785364832461500289729505762242717440374679453522571789149769494348253889e-76,5.0586763855269010399188452814518096934863334887288084960817988604621997674045309e-78,2.4194344279714050799879977447664693622694361372535724827428466142623191147775598e-78,2.5059359084985543257419410136414469527223751882690510205152926726001259951041256e-83,119.94871029878832872295409725263853599994819547594609157498542851690703813718034,-4.933679626161768294141694577915166123523131981672920436124320889750523774129365e-79,1.2713087395748659859516260616389608441322542784683446502896321588674993514437151e-76,1.8478530834128944448093648249557313823184515899965761047882915127325486585459917e-76,-140,-0.00000000059053419609429372260136233196408032072788760538749253855018141670302358134378625,-0.0000000005905341960942937226013623319640803207278876053874925385501814167030235813438979,-0.00000000059053419609429372260136233196408032072788760538749253855018141670302358134389847,-0.00000000059053419609429372260136233196408032072788760538749253855018141670302358136884561,0.0000000031243098086753958948778194752705425821862867091529650013416214577784307281735706,0.000000003124309808675395894877819475270542582186286709152965001341621457778430251073225,0.0000000031243098086753958948778194752705425821862867091529650013416214577784302513461098,0.000000003124309808675395894877819475270542582186286709152965001341621457778269475965717,-0.000001765589772977547289522700656860744802797308368190260842713679605265285877330634,-0.0000017655897729775472895227006568607448027973083681902608427136796052652858823893102,-0.0000017655897729775472895227006568607448027973083681902608427136796052652858823893103,-0.0000017655897729775472895227006568607448027973083681902608427136796052652858773390677,-0.0018422342357275096728125768231974456602664881455028190468199917726334366485529502,-0.0018422342357275096728125768231974456602664881455028190468199917726334366485505308,-0.0018422342357275096728125768231974456602664881455028190468199917726334366485505327,-0.0018422342357275096728125768231974456602664881455028190468199917726334366485505327
-130,-0.00000000035548478620878882883785998074221143117690477380105757327061115955144694450655231,0.0000000043984982068843181955216077280113930963007111276949863878867391923285754759421295,-0.0000011050210455485495239691957259592971100479052410145475732801328637075075129044693,-0.0011089527667812256930019480513496519325712553115904533643795572241352725391110462,-130,5538610855733.3891060073634238347706913701087420289594755450123298144327491568555,0.0031782241465254502941294578482069228428976704140483775694389629187593584534157984,5538610855733.3859277832168983844765619122605351061165778745982814368633101939368,1742674714050108.4610845333007612464026684770720543827916604965193375771830018543,11077221711466.778212014726847669541382740217484057918951090024659628865498313711,1.2593604241003750738574563075906652006420242767763595434247394932163938088549565e-76,1.2659071290231212287797767720765038824458121627948103866133377840549859664596487e-77,7.4527018257919932456632943909210011150455975883219592262217999678825696933450482e-77,3.4219610654806626919604156925046331203655201218885285606751427723803409303246915e-83,120.20868324111708351512393629711464917425168927586467213697918225460357008789611,7.6849027246526680706385395450259107256396039164000648098798479216394913130861419e-77,8.8429682107465908293213421456787513519082209656044761728880001599974328912770532e-77,1.4856902391001260960911706834791827431475671390640556958224265829748018173761116e-76,-130,-0.00000000035548478620878882883785998074221143117690477380105757327061115955144694449452964,-0.00000000035548478620878882883785998074221143117690477380105757327061115955144694450655231,-0.0000000003554847862087888288378599807422114311769047738010575732706111595514469445065524,-0.00000000035548478620878882883785998074221143117690477380105757327061115955144694452874925,0.000000004398498206884318195521607728011393096300711127694986387886739192328501432353654,0.0000000043984982068843181955216077280113930963007111276949863878867391923285754759421295,0.0000000043984982068843181955216077280113930963007111276949863878867391923285754753313717,0.0000000043984982068843181955216077280113930963007111276949863878867391923284495398997194,-0.000001105021045548549523969195725959297110047905241014547573280132863707507512867064,-0.0000011050210455485495239691957259592971100479052410145475732801328637075075129044693,-0.0000011050210455485495239691957259592971100479052410145475732801328637075075129044696,-0.0000011050210455485495239691957259592971100479052410145475732801328637075075255261353,-0.0011089527667812256930019480513496519325712553115904533643795572241352725390365192,-0.0011089527667812256930019480513496519325712553115904533643795572241352725391110462,-0.0011089527667812256930019480513496519325712553115904533643795572241352725391110462,-0.0011089527667812256930019480513496519325712553115904533643795572241352725391110462
-120,-0.00000000021307642250219591436214195606853703198128143290415070547937579903399210413634143,0.0000000061786076215607986920069667541612061195944029832795605658473564371255315053384951,-0.00000062521854742866874182306793497147044184917915718961827972651507933417480272381214,-0.00066472300968738709874647856099315569177051660847331724757531598643164167952550929,-120,5209526105412.1251996077006278779863706068167192297616213790027141894671103737465,0.0035891758084186592909312630741416892178193900803483782593046339055958306543801844,5209526105412.1216104318922092186954393437425775405438019889223658112078057398409,1451454702551160.2364558188079517882860219904310697097245990690512301349308688833,10419052210824.250399215401255755972741213633438459523242758005428378934220747493,1.7500924905966699589661656900326243373128551785271631915319186835730981637503988e-76,2.8202487937730295729777305301957554849425688690112231397968031644769307607202301e-77,4.519756524201222221974964153000995249175491743462850241944839341754614701867465e-77,2.5422801610596801058800906720004498700627382624311426328953655964695104554377214e-83,120.47514294585396185188203255232571109405412010280338088938307436783878701287418,4.3353620592627578179996222312122364145519881089819350659030296802240554480730258e-77,9.6257698910324574524839767292087085527212366970659191325154147572832229571102998e-77,1.7680712550610407416240560548584478653779178705277379331718100598450227755388667e-76,-120,-0.0000000002130764225021959143621419560685370319812814329041507054793757990339921041289926,-0.00000000021307642250219591436214195606853703198128143290415070547937579903399210413634143,-0.0000000002130764225021959143621419560685370319812814329041507054793757990339921041363409,-0.00000000021307642250219591436214195606853703198128143290415070547937579903399210411091863,0.0000000061786076215607986920069667541612061195944029832795605658473564371254899365954513,0.0000000061786076215607986920069667541612061195944029832795605658473564371255315053384951,0.0000000061786076215607986920069667541612061195944029832795605658473564371255315041160145,0.000000006178607621560798692006966754161206119594402983279560565847356437125664945844511,-0.00000062521854742866874182306793497147044184917915718961827972651507933417480567733525,-0.00000062521854742866874182306793497147044184917915718961827972651507933417480272381214,-0.00000062521854742866874182306793497147044184917915718961827972651507933417480272381212,-0.00000062521854742866874182306793497147044184917915718961827972651507933417477747484731,-0.00066472300968738709874647856099315569177051660847331724757531598643164167948031173,-0.00066472300968738709874647856099315569177051660847331724757531598643164167952550929,-0.00066472300968738709874647856099315569177051660847331724757531598643164167952550703,-0.00066472300968738709874647856099315569177051660847331724757531598643164167952550696
-110,-0.00000000012522501824257616641202103455303547595874620080606854999920095015982460473619125,0.0000000086672667718028023823206531112813037654773300999386678425102259160267031375588159,-0.00000022067832776927082079227055220555529461284593756973425633405858747918458003787935,-0.00039073362693696747304696746029657201643214140558930992801373942355277447533858201,-110,4900213936764.9350668521980098142117064352567760298005961206046009543196677671751,0.0040532644614826821777958287884207246052358111409585401227403298034721113358727085,4900213936764.9310135877365271320339106064683553051953603094636424141969274373716,1208954901248274.1333420089213675889456133927306624933349652368945880804427557025,9800427873529.8701337043960196284234128705135520596011922412092019086393355343501,1.3293790672898264014827734492956878493864819127877055784454684757884058261995049e-76,4.7361093219847175289896941685581624287885611298123639677767070880102079389554303e-77,8.0325223008650648655601525126246782827345279756818606427062507593508994610614986e-77,1.5899458760801901647569537350265987118814557423165654139170809459538445336216572e-83,120.74987246066530949265540421015478747945237105430404445032257642167741146488669,8.5000715148510682690051654504743642338718532310308302329010132803509609847638794e-77,1.1592603552485564380457691931544302104093155340598225340024620413428394862569723e-76,2.09120138912257763758933148934544052268240086113065057464768381046252655468898e-76,-110,-0.00000000012522501824257616641202103455303547595874620080606854999920095015982460472291385,-0.00000000012522501824257616641202103455303547595874620080606854999920095015982460473619125,-0.00000000012522501824257616641202103455303547595874620080606854999920095015982460473619053,-0.00000000012522501824257616641202103455303547595874620080606854999920095015982460472029179,0.000000008667266771802802382320653111281303765477330099938667842510225916026622080970825,0.0000000086672667718028023823206531112813037654773300999386678425102259160267031375588159,0.0000000086672667718028023823206531112813037654773300999386678425102259160267031368112619,0.0000000086672667718028023823206531112813037654773300999386678425102259160267550188775539,-0.00000022067832776927082079227055220555529461284593756973425633405858747918457675160742,-0.00000022067832776927082079227055220555529461284593756973425633405858747918458003787935,-0.00000022067832776927082079227055220555529461284593756973425633405858747918458003787948,-0.00000022067832776927082079227055220555529461284593756973425633405858747918453267678626,-0.00039073362693696747304696746029657201643214140558930992801373942355277447525825679,-0.00039073362693696747304696746029657201643214140558930992801373942355277447533858201,-0.00039073362693696747304696746029657201643214140558930992801373942355277447533857939,-0.00039073362693696747304696746029657201643214140558930992801373942355277447533857944
-100,-0.00000000007048818329571432501280101420694686863745292527903977488538133878877263927891792,0.000000012146570008970253358309626729711898421231768991556754172379572077851340509098703,0.00000019993188333761129682831855659658465257485839111121783163608061433025147352045307,-0.00022010661131067556473021150460643547308111267659701788541342765298676061294795602,-100,4609500179169.3481823908950288985583625549703176323775276989182315780212846318198,0.0045773608403866034750272007685035896122162802415896654061882976505866508405326119,4609500179169.3436050300546422950833353542018140427653114186766419126150963341692,1007021368841882.7434565929216984497218596795191373204352714053052051525538816441,9219000358338.6963647817900577971167251099406352647550553978364631560425692636396,2.314071988729125477726249080595137165008733613866384928988491415693664664328174e-76,8.9650851309232369499860273732000241641565511595661788205861296765519659050406836e-78,2.7715438392753045556812401180788879971269488474246806349154438993009311340959498e-77,4.1423841297020029383297723021871843829556640396947924078305579643186032347366589e-83,121.03518518047662247929889741574315635075360344324085389990042866807718928807205,2.035722918808616568174311429385523372983285895638153874530641423708961238179483e-77,1.1660409388157166533351404697292549094591917125123123005613602583935901162485556e-76,1.931444198263065378245546639801751286792297117301784192088737649084444694132799e-76,-100,-0.00000000007048818329571432501280101420694686863745292527903977488538133878877263927320061,-0.00000000007048818329571432501280101420694686863745292527903977488538133878877263927891792,-0.000000000070488183295714325012801014206946868637452925279039774885381338788772639278917222,-0.000000000070488183295714325012801014206946868637452925279039774885381338788772639314624451,0.000000012146570008970253358309626729711898421231768991556754172379572077851321216217579,0.000000012146570008970253358309626729711898421231768991556754172379572077851340509098703,0.000000012146570008970253358309626729711898421231768991556754172379572077851340510835842,0.00000001214657000897025335830962672971189842123176899155675417237957207785110910363697,0.00000019993188333761129682831855659658465257485839111121783163608061433025147307103767,0.00000019993188333761129682831855659658465257485839111121783163608061433025147352045307,0.00000019993188333761129682831855659658465257485839111121783163608061433025147352045265,0.0000001999318833376112968283185565965846525748583911112178316360806143302514820361228,-0.00022010661131067556473021150460643547308111267659701788541342765298676061292024058,-0.00022010661131067556473021150460643547308111267659701788541342765298676061294795602,-0.00022010661131067556473021150460643547308111267659701788541342765298676061294795471,-0.00022010661131067556473021150460643547308111267659701788541342765298676061294795473
-90,-0.000000000036975543491801641780896996397665967368948593690752282258847438532576182639808252,0.000000017009073261681699865952218657860520214832678331902239582775406337722512887806985,0.00000071448662000247469609285601646208666625103694995016961197100998168619233805047178,-0.00011577006586099426187342470652988385136305872967204240843022812419593708971465107,-90,4336281251099.8268875283224790842253313413367205071316468103886347915588214651557,0.0051692240815296892183287488019477828471591581193594156717688700130954502947912649,4336281251099.8217183042409493950070025925347727242844876522692753758870525951426,838865017787471.13516225704004434711470147305800073353651047880895577647287555425,8672562502199.6537750566449581684506626826734410142632936207772695831176429303114,9.2408558513707183993809556346636837738744841118772110174617263600850135745120888e-77,1.8653309829175411381780322293759054762853060338366531969938223238664096285681513e-77,8.400866697001539347018891689976052746863914026381816296505967799448178022587982e-77,1.4750623073957002032825704346907637232279548150070089671773633203719176484812534e-83,121.33408150271434345204183792609980825016460938188854594205127819050087603700786,-9.3102369762373088650775083690552603265180714725013407026435087920828575684155505e-77,1.2757196582686271792150953899769936475028541892731840399988774060848120093245095e-76,2.3593116229408593430819599317917323092903548470268116149247674021600217518367972e-76,-90,-0.000000000036975543491801641780896996397665967368948593690752282258847438532576182652336077,-0.000000000036975543491801641780896996397665967368948593690752282258847438532576182639808252,-0.000000000036975543491801641780896996397665967368948593690752282258847438532576182639809236,-0.000000000036975543491801641780896996397665967368948593690752282258847438532576182637585454,0.00000001700907326168169986595221865786052021483267833190223958277540633772260052180405,0.000000017009073261681699865952218657860520214832678331902239582775406337722512887806985,0.0000000170090732616816998659522186578605202148326783319022395827754063377225128852777,0.000000017009073261681699865952218657860520214832678331902239582775406337722508113245537,0.00000071448662000247469609285601646208666625103694995016961197100998168619234023265154,0.00000071448662000247469609285601646208666625103694995016961197100998168619233805047178,0.00000071448662000247469609285601646208666625103694995016961197100998168619233805047216,0.00000071448662000247469609285601646208666625103694995016961197100998168619235670378161,-0.00011577006586099426187342470652988385136305872967204240843022812419593708979865974,-0.00011577006586099426187342470652988385136305872967204240843022812419593708971465107,-0.00011577006586099426187342470652988385136305872967204240843022812419593708971465288,-0.00011577006586099426187342470652988385136305872967204240843022812419593708971465288
-80,-0.000000000017651104337547685266513013601187991936505938432779419688917709819037174457905043,0.000000023798727251066985260485116417928010683446767585100225595202173829544372837211802,0.0000013694861507914477450976721696817857235943333362004669656604024746137617926561643,-0.000055787479946972837136047749540820947984270105176672368383530238799803606034006645,-80,4079519970820.4521155854861728759791636262103049386487570254189656407741881289757,0.0058376165954199973432485974275527223377660812356968313058723375997403586435175359,4079519970820.446277968890752878635915028782752216310990944183268809468315791376,698833146051611.16287215680378261063629677679647244007869904473992458700531572826,8159039941640.9042311709723457519583272524206098772975140508379312815483762579515,9.2434566242791739335254236387993018147377202445483760470645892561698367817012517e-77,5.7639886780556427373482656949920966867305155441035685651810585032008537853142646e-78,8.6592559685901194712476752399726809127428851798636684165583737711935786391596508e-77,2.7895399754917915554321926901644764868267111157092744556234660892230557780986656e-83,121.65045119588407774310588360877532214245366036273583758824449718235703557640013,9.6630248035190580512143070273123979481953235506303213203305798714479122142291544e-77,9.7965735142878782860314826798332503212815154109738787224771731659770768754578728e-77,1.4870596634306840793164495035462942408772843705916854779955061823808746744158543e-76,-80,-0.000000000017651104337547685266513013601187991936505938432779419688917709819037174443893809,-0.000000000017651104337547685266513013601187991936505938432779419688917709819037174457905043,-0.000000000017651104337547685266513013601187991936505938432779419688917709819037174457904581,-0.000000000017651104337547685266513013601187991936505938432779419688917709819037174471789209,0.000000023798727251066985260485116417928010683446767585100225595202173829544282580315889,0.000000023798727251066985260485116417928010683446767585100225595202173829544372837211802,0.000000023798727251066985260485116417928010683446767585100225595202173829544372839894918,0.000000023798727251066985260485116417928010683446767585100225595202173829544280405328676,0.0000013694861507914477450976721696817857235943333362004669656604024746137617971888231,0.0000013694861507914477450976721696817857235943333362004669656604024746137617926561643,0.0000013694861507914477450976721696817857235943333362004669656604024746137617926561632,0.0000013694861507914477450976721696817857235943333362004669656604024746137617984201518,-0.000055787479946972837136047749540820947984270105176672368383530238799803605947414086,-0.000055787479946972837136047749540820947984270105176672368383530238799803606034006645,-0.000055787479946972837136047749540820947984270105176672368383530238799803606034006547,-0.00005578747994697283713604774954082094798427010517667236838353023879980360603400655
-70,-0.0000000000075142500733190803107176399575719597679414644930242832920039596976629113809754081,0.000000033265115555174638248417925999826980131914315592323462808318945091927277069565718,0.0000021650521121308444439606931532348457873983765732600694712068797201008070611434875,-0.00002455187419848433504198498498182765997481696145759596324885256317412358854898077,-70,3838241619091.6661317189253381243663025796469428848905141350127176133402401161224,0.0065924337923146458089188552272844138163208476045186528614767756182926645710501931,3838241619091.6595392851330234785573837244196584710741932874081989604787633405041,582219213724410.40000186146284107900814764825379837761576631011307540888468256065,7676483238183.3322634378506762487326051592938857697810282700254352266804802322448,2.5236967656299549546768051421335298502556876553251970224131156905806386618152507e-76,1.0232266589303206884004778624276592697923432012810119650426565727703873635270192e-77,8.7712141107472276278902570963971685146047649697444219667401996145202271315297497e-77,2.7282986939438432616525433140068433210077225707852676426493859343724266351905851e-83,121.98933441544481159285615584246623046434355394711143447711874569034197807474385,-9.9663017130142284465197706161513920302567485531064673699866324621207270297072877e-77,9.8921921583658391318917076269481411097428394190419404188326729705254822309252629e-77,1.5287670139541318884491987276820781660341865192078116877587196129157419033884741e-76,-70,-0.0000000000075142500733190803107176399575719597679414644930242832920039596976629113947156374,-0.0000000000075142500733190803107176399575719597679414644930242832920039596976629113809754081,-0.0000000000075142500733190803107176399575719597679414644930242832920039596976629113809753913,-0.0000000000075142500733190803107176399575719597679414644930242832920039596976629114082583783,0.000000033265115555174638248417925999826980131914315592323462808318945091927369366508711,0.000000033265115555174638248417925999826980131914315592323462808318945091927277069565718,0.000000033265115555174638248417925999826980131914315592323462808318945091927277070348244,0.000000033265115555174638248417925999826980131914315592323462808318945091927116996832148,0.0000021650521121308444439606931532348457873983765732600694712068797201008070585016048,0.0000021650521121308444439606931532348457873983765732600694712068797201008070611434875,0.0000021650521121308444439606931532348457873983765732600694712068797201008070611434889,0.0000021650521121308444439606931532348457873983765732600694712068797201008070509112223,-0.000024551874198484335041984984981827659974816961457595963248852563174123588636692911,-0.00002455187419848433504198498498182765997481696145759596324885256317412358854898077,-0.000024551874198484335041984984981827659974816961457595963248852563174123588548981109,-0.000024551874198484335041984984981827659974816961457595963248852563174123588548981111
-60,-0.0000000000026999428296622899978442268533988009606954499844766497046039968724495478162516238,0.000000046438063404486189320399872078666209097817986805290136412846139684004486889003977,0.0000030667598683873332852186599075132720946552164180832927323085786992957194190341356,-0.0000099833868237682260116055840972168798105325958447435933033130362820936280300678898,-60,3611530238944.5718046895295204676436169094203449728646983985551918046637352161847,0.0074448505816825137220861356383278443084660626021776013791713364694815849032207974,3611530238944.5643598389478379539215307737820171285562323359530142032845638797152,485104462382423.91831669020330503522167821586919838800257163345272748537852175826,7223060477889.1436093790590409352872338188406899457293967971103836093274704323694,1.9310157150362778428193313525428857903946095901536123240111876130294369282949672e-76,2.2352280501207737715466117134483502781899915522631752579474155764663718662027497e-78,6.9561638908612284443541631019900093420473409185420360218433111544873579289534862e-77,1.9728018597547465342102155188018120048128843951700761265978166220604624880107663e-83,122.35725769017501619590359184964046891137840511949381470053420739580508351042261,-7.8535112613111304985312029139821136775749255126030341715350672376483869286501051e-77,1.0363355978635602022142827499177576602628108247251113100933472156054604031154219e-76,1.8198030725745998137803472013133780002432955586510458870011398380517600423248965e-76,-60,-0.0000000000026999428296622899978442268533988009606954499844766497046039968724495478273565786,-0.0000000000026999428296622899978442268533988009606954499844766497046039968724495478162516238,-0.0000000000026999428296622899978442268533988009606954499844766497046039968724495478162518108,-0.0000000000026999428296622899978442268533988009606954499844766497046039968724495478359796424,0.000000046438063404486189320399872078666209097817986805290136412846139684004558928191179,0.000000046438063404486189320399872078666209097817986805290136412846139684004486889003977,0.000000046438063404486189320399872078666209097817986805290136412846139684004486888214872,0.000000046438063404486189320399872078666209097817986805290136412846139684004365826619676,0.000003066759868387333285218659907513272094655216418083292732308578699295719416798908,0.0000030667598683873332852186599075132720946552164180832927323085786992957194190341356,0.0000030667598683873332852186599075132720946552164180832927323085786992957194190341361,0.0000030667598683873332852186599075132720946552164180832927323085786992957194169507157,-0.0000099833868237682260116055840972168798105325958447435933033130362820936280996295287,-0.0000099833868237682260116055840972168798105325958447435933033130362820936280300678898,-0.0000099833868237682260116055840972168798105325958447435933033130362820936280300680791,-0.0000099833868237682260116055840972168798105325958447435933033130362820936280300680794
