voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.08521401550644983,-119063.3483556966,-55669.300125621936,-119063.34835568041,-150,295856046.71085787,20729.433698919936,295835317.27715898,14272.268649879848,39257861656198256.0,3.591412678360939e-08,2.4650944396853447e-08,3.767490852624178e-08,4.829470157119431e-15,128676.20195425994,2.3567810000286185e-07,4.9662328943744096e-08,2.7363258681134539e-07,-150,-0.08521401550644872,-0.08521401550644983,-0.08521401550644853,-0.085214015506445,-119063.3483556825,-119063.3483556966,-119063.34835570377,-119063.34835571841,-55669.30012563316,-55669.300125621936,-55669.30012560851,-55669.30012561343,-119063.34835568548,-119063.34835568041,-119063.3483556759,-119063.3483556478
-140,-0.0765974714385515,-106534.49573557504,-51998.54289138804,-106534.49573555839,-140,270498094.55090827,22909.567272223612,270475184.98363602,11807.210993411907,62788761303785528.0,4.470348358154297e-08,1.618172973394394e-08,2.2540916688740253e-08,1.2739809207573671e-14,124026.87932177976,2.1494263060364621e-07,5.7184813313980908e-08,3.1166204195187674e-07,-140,-0.07659747143855425,-0.0765974714385515,-0.07659747143855777,-0.07659747143856424,-106534.49573557082,-106534.49573557504,-106534.4957355775,-106534.49573561552,-51998.54289138067,-51998.54289138804,-51998.54289138729,-51998.54289139685,-106534.49573557486,-106534.49573555839,-106534.49573557581,-106534.49573555327
-130,-0.06871389837414689,-95144.09322318155,-48349.334811060864,-95144.09322318216,-130,247816440.13489366,25318.987494959183,247791121.14739871,9787.7705490486933,22246696664960024.0,3.688910510390997e-08,1.5221303328871727e-08,1.5381374396383762e-08,8.631984016460592e-15,119371.55017311974,1.9596980398330062e-07,4.8834755597553221e-08,2.6133142227990902e-07,-130,-0.06871389837414502,-0.06871389837414689,-0.0687138983741411,-0.06871389837413826,-95144.09322318074,-95144.09322318155,-95144.09322316997,-95144.09322314466,-48349.33481105167,-48349.334811060864,-48349.33481106482,-48349.33481106689,-95144.09322318177,-95144.09322318216,-95144.09322317375,-95144.09322318913
-120,-0.06146466362358758,-84736.87643016544,-44727.048733702955,-84736.8764301603,-120,227585586.7109825,27981.808654549885,227557604.90232795,8133.3408258431764,2.1028350306076102e+17,3.9217411540448666e-08,8.294591680169106e-09,1.5876139514148235e-08,1.6327217355893708e-14,114628.21165132726,1.7951181679903489e-07,4.2089131654314952e-08,2.1994904386701819e-07,-120,-0.06146466362359068,-0.06146466362358758,-0.06146466362358173,-0.061464663623574355,-84736.87643016917,-84736.87643016544,-84736.87643015293,-84736.87643012995,-44727.04873369876,-44727.048733702955,-44727.04873370053,-44727.04873370705,-84736.87643016836,-84736.8764301603,-84736.87643015577,-84736.87643015248
-110,-0.05475796823356864,-75167.39291375922,-41140.46725611658,-75167.39291376504,-110,209604492.37899879,30924.681160165994,209573567.69783863,6777.9031024898595,1.1724464553859218e+17,8.68749339133501e-09,2.1529558580368757e-08,2.3792381398379803e-08,1.7416623698807143e-15,109706.87321174877,1.645078257450477e-07,4.6459635883256219e-08,2.429175935958483e-07,-110,-0.05475796823356867,-0.05475796823356864,-0.054757968233568335,-0.05475796823357008,-75167.39291376306,-75167.39291375922,-75167.39291376312,-75167.39291375443,-41140.46725612661,-41140.46725611658,-41140.467256115546,-41140.46725610508,-75167.39291375625,-75167.39291376504,-75167.39291376069,-75167.39291378004
-100,-0.048509755422597584,-66302.22222402316,-37598.57316755757,-66302.22222402573,-100,193694561.58446226,34177.058268977336,193660384.52619329,5667.3854156804255,57720090862941200.0,1.5541445463895798e-08,3.296008799225092e-09,1.6094418242573738e-08,7.73686670285656e-15,104520.57170864556,1.507899191089149e-07,3.6854122415993477e-08,1.8940461643524031e-07,-100,-0.048509755422599436,-0.048509755422597584,-0.048509755422593344,-0.0485097554225917,-66302.22222403027,-66302.22222402316,-66302.22222402708,-66302.22222401472,-37598.57316755428,-37598.57316755757,-37598.57316755479,-37598.57316755623,-66302.22222402606,-66302.22222402573,-66302.22222400997,-66302.22222401647
-90,-0.042644715479761355,-58022.54409550569,-34106.54945918396,-58022.54409550583,-90,179697861.0881651,37771.490864250583,179660089.59730086,4757.4998226570651,91902626112787536.0,1.4159013517200947e-08,8.752977009862661e-09,1.5963451005518436e-08,9.603429163007604e-15,99007.084461321094,1.3959962978201129e-07,2.9332072552037041e-08,1.5318313728585053e-07,-90,-0.042644715479763215,-0.042644715479761355,-0.04264471547976698,-0.04264471547977096,-58022.544095511534,-58022.54409550569,-58022.54409551985,-58022.54409551897,-34106.549459176655,-34106.54945918396,-34106.549459182344,-34106.54945918541,-58022.544095509424,-58022.54409550583,-58022.544095510035,-58022.54409552179
-80,-0.03709739591044037,-50227.02481150697,-30661.163615634185,-50227.02481151353,-80,167475542.56464702,41743.953235529756,167433798.61141148,4011.9713056333785,5.8065690766330509e+17,1.7083948478102684e-08,7.436028681695461e-09,1.1757947504520416e-08,8.895661984809067e-15,93159.546191239555,1.2956019330983696e-07,3.4555245572022885e-08,1.8255681766277121e-07,-80,-0.03709739591044073,-0.03709739591044037,-0.03709739591044442,-0.037097395910435524,-50227.02481151206,-50227.02481150697,-50227.024811513606,-50227.02481149652,-30661.16361563695,-30661.163615634185,-30661.163615633417,-30661.163615629514,-50227.02481150819,-50227.02481151353,-50227.02481151995,-50227.02481151122
-70,-0.03181347251724835,-42835.03261454512,-27245.84031114933,-42835.03261455048,-70,156906456.05052221,46134.203121417318,156860321.84740078,3401.0873806050427,7.5391879673227149e+17,6.6211214289069176e-09,5.187757778912783e-09,1.3198587112128735e-08,2.1024848528838902e-15,87054.148533920335,1.2079887148284828e-07,2.749381475879526e-08,1.3847005675415858e-07,-70,-0.03181347251724815,-0.03181347251724835,-0.03181347251724888,-0.03181347251725025,-42835.032614545344,-42835.03261454512,-42835.0326145438,-42835.03261453872,-27245.840311144144,-27245.84031114933,-27245.840311147538,-27245.840311147564,-42835.03261455221,-42835.03261455048,-42835.03261455433,-42835.03261456368
-60,-0.026751170230155264,-35789.992199664746,-23826.112538110472,-35789.99219967972,-60,147885940.37330967,50986.179618385198,147834954.19369128,2900.5103241738711,1.1021066566607848e+17,3.013701643794775e-08,5.718902684748173e-09,4.687171895056963e-08,2.2263441090686342e-14,80858.836534624978,1.1364062540425985e-07,4.3432498777904882e-08,2.1223999624453427e-07,-60,-0.026751170230156617,-0.026751170230155264,-0.026751170230154477,-0.026751170230134354,-35789.99219967669,-35789.992199664746,-35789.99219966949,-35789.99219964656,-23826.112538114263,-23826.112538110472,-23826.112538108544,-23826.112538110072,-35789.9921996701,-35789.99219967972,-35789.99219967349,-35789.99219963285
