voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-9.843771061156256e-10,7.284904318671792e-09,-2.7426836963274186e-06,-0.00307097033467274,-150,6261174757555.8223,0.0024920921942168171,6261174757555.8193,2512416985248615.5,7.5259761446737557e+22,9.409483942013352e-09,6.335389546308079e-09,9.916388332437825e-09,2.1515888374186264e-15,30.750674453570042,0.00087724314914391379,2.4018642238347875e-08,9.6688023822166405e-08,-150,-9.843752980964856e-10,-9.843771061156256e-10,-9.843750602424921e-10,-9.843749545267882e-10,3.100105401554476e-09,7.284904318671792e-09,-1.4340776616347459e-09,-2.1245796233415604e-09,-2.7460117366651104e-06,-2.7426836963274186e-06,-2.740700474309569e-06,-2.7396763471188024e-06,-0.003070960935247058,-0.00307097033467274,-0.0030709605814209315,-0.0030709604182844077
-140,-5.904803964390518e-10,2.060037934681347e-08,-1.7643924602190814e-06,-0.0018420756583885645,-140,5888717404672.5,0.0028143254230858731,5888717404672.4971,2092408133177290.5,6.6564210893236455e+22,2.6857702895011215e-08,7.027636694800776e-09,6.929790417930029e-09,4.176924654781271e-15,30.510772092646693,0.00080618245607906288,1.8385891349146013e-08,7.1795236508383191e-08,-140,-5.904845733637066e-10,-5.904803964390518e-10,-5.904843986351346e-10,-5.904828258259843e-10,3.721418811997168e-09,2.060037934681347e-08,-1.4075201586186332e-09,-6.257323548197746e-09,-1.7677984653907686e-06,-1.7643924602190814e-06,-1.7630612492363718e-06,-1.7607708286959678e-06,-0.0018420785524995154,-0.0018420756583885645,-0.001842077811293001,-0.0018420716227090974
-130,-3.554532554045056e-10,1.3394834408320122e-08,-1.1041580875310084e-06,-0.0011088592856783874,-130,5538610855733.3887,0.0031782241465254501,5538610855733.3857,1742674714050108.5,1.6142976028967564e+23,1.4850025931156807e-08,3.446561258613201e-09,4.027160205354388e-09,1.7284940763909825e-15,29.575957231952071,0.00075332867583346845,2.1990141052978049e-08,8.1768434007420413e-08,-130,-3.55454983898582e-10,-3.554532554045056e-10,-3.5545496094692283e-10,-3.5545418866360855e-10,4.5534042647510375e-09,1.3394834408320122e-08,5.940826285568573e-10,-1.4551915228366852e-09,-1.1066345306787184e-06,-1.1041580875310084e-06,-1.1035781094437724e-06,-1.1031879694201052e-06,-0.00110885902154223,-0.0011088592856783874,-0.0011088584984576375,-0.001108855258518182
-120,-2.130641453201199e-10,1.8378331467783227e-08,-6.247156741209907e-07,-0.0006646910426898467,-120,5209526105412.125,0.0035891758084186593,5209526105412.1211,1451454702551160.2,5.1756126213250296e+22,1.5249669693684353e-08,6.296815513451293e-09,4.937683628289391e-09,9.44118175909946e-16,27.963015001214117,0.00070280653964959036,1.6814680714593247e-08,6.162901376637132e-08,-120,-2.1306485673440008e-10,-2.130641453201199e-10,-2.1306470436308593e-10,-2.130650894382958e-10,7.502087881472441e-09,1.8378331467783227e-08,4.127723178728581e-09,3.128661774098873e-09,-6.25568119971831e-07,-6.247156741209907e-07,-6.238300895553987e-07,-6.192713044583797e-07,-0.000664687398739261,-0.0006646910426898467,-0.0006646861050062184,-0.0006646890867257735
-110,-1.2521129334055774e-10,2.904655127533573e-08,-2.2062888167341406e-07,-0.0003907010045294257,-110,4900213936764.9346,0.0040532644614826819,4900213936764.9307,1208954901248274.0,2.8264773987339913e+23,2.267757193837684e-08,1.1367894929090335e-08,2.4869247676278204e-09,4.648852738808062e-15,25.79884435439358,0.00067632849804457891,2.2844942917261784e-08,7.6785103534079868e-08,-110,-1.2521468284907787e-10,-1.2521129334055774e-10,-1.252145652156586e-10,-1.2521594219329655e-10,7.977415589222048e-09,2.904655127533573e-08,6.36897933695889e-09,1.4115357771515846e-08,-2.2059942672569832e-07,-2.2062888167341406e-07,-2.203004144959135e-07,-2.3166830942500383e-07,-0.0003907010636794439,-0.0003907010045294257,-0.00039070004182192923,-0.00039070252874669686
-100,-7.047696163596881e-11,-2.2741625249622643e-09,2.0034157428585726e-07,-0.00022006458188306155,-100,4609500179169.3477,0.0045773608403866031,4609500179169.3428,1007021368841882.7,2.4960707315294395e+23,1.4988936994364543e-08,3.7493713361629304e-09,4.574629119957763e-09,1.0988035051788346e-15,23.346576465454682,0.00064663040770404753,1.4702981999993411e-08,4.6017036583982769e-08,-100,-7.047637335190464e-11,-7.047696163596881e-11,-7.047631883108049e-11,-7.047586283246364e-11,1.2714774469402279e-08,-2.2741625249622643e-09,7.933752302263704e-09,6.897607818245888e-09,1.9817408070110787e-07,2.0034157428585726e-07,2.019234520372708e-07,2.0166589820291847e-07,-0.0002200691565121815,-0.00022006458188306155,-0.00022006847052189664,-0.00022006640045608064
-90,-3.6968661920425754e-11,2.173976032526781e-08,7.143386036977847e-07,-0.00011575087913340276,-90,4336281251099.8276,0.0051692240815296893,4336281251099.8223,838865017787471.25,7.8245734778270294e+22,7.101112401642815e-09,1.3996947404555041e-09,4.778460084705564e-09,2.4018330268050763e-15,21.004836668937912,0.00060269274528416874,9.0111274013147238e-09,3.2582416487896874e-08,-90,-3.697090780352355e-11,-3.6968661920425754e-11,-3.697089032565638e-11,-3.697106375345256e-11,1.714334096902803e-08,2.173976032526781e-08,1.4638647923624994e-08,1.5046680346131325e-08,7.143103442075471e-07,7.143386036977847e-07,7.157100389480026e-07,7.155958883231506e-07,-0.00011575557641663181,-0.00011575087913340276,-0.00011575496936733215,-0.00011575565759348747
-80,-1.764835750502251e-11,3.008327431608393e-08,1.3692488390904366e-06,-5.578193042943269e-05,-80,4079519970820.4521,0.0058376165954199966,4079519970820.4463,698833146051611.25,6.3640852853608845e+22,9.259483624290965e-09,1.910437830474716e-09,5.3410230267976065e-09,9.148229366793488e-16,19.178637422573839,0.00057129148211426044,8.0655028595810366e-09,2.9229863865765144e-08,-80,-1.764919925752137e-11,-1.764835750502251e-11,-1.7649265173449885e-11,-1.7648350350513205e-11,2.3550610697697927e-08,3.008327431608393e-08,2.196781219865176e-08,2.0823790691792965e-08,1.3689839288844041e-06,1.3692488390904366e-06,1.369781374349941e-06,1.3678709365194663e-06,-5.578115883508872e-05,-5.578193042943269e-05,-5.578097188868593e-05,-5.5776589406405894e-05
-70,-7.513049020394043e-12,3.12796823997985e-08,2.164407665370498e-06,-2.4546810653891526e-05,-70,3838241619091.6665,0.0065924337923146453,3838241619091.6597,582219213724410.5,1.0876323247847442e+23,2.4404550558788398e-09,1.9504244132858943e-09,1.6474558508064766e-09,3.2876576660929596e-16,18.069128874070469,0.00053768183126759223,5.319263926925749e-09,2.0392511559033072e-08,-70,-7.513156174652893e-12,-7.513049020394043e-12,-7.51298270464147e-12,-7.512827408886284e-12,3.3169601829086126e-08,3.12796823997985e-08,3.0729146773207286e-08,3.087916411459446e-08,2.1638379532618046e-06,2.164407665370498e-06,2.1657883776750905e-06,2.1648857000400312e-06,-2.4547805196561967e-05,-2.4546810653891526e-05,-2.4547018764226244e-05,-2.454615774071116e-05
-60,-2.699915757949598e-12,4.184656177130819e-08,3.065758365032847e-06,-9.980505827789088e-06,-60,3611530238944.5713,0.007444850581682514,3611530238944.564,485104462382423.81,4.8258515994739011e+22,4.66663988007987e-09,2.0762574602303796e-09,1.3521251874665772e-09,4.861345671514925e-16,17.60376130737178,0.00050020974756500105,5.6988158614243679e-09,2.0075973392848364e-08,-60,-2.699644814421304e-12,-2.699915757949598e-12,-2.6995131039686e-12,-2.6994296233824464e-12,4.651320165138806e-08,4.184656177130819e-08,4.364299074267529e-08,4.378671292215586e-08,3.065084104747484e-06,3.065758365032847e-06,3.0671603622077145e-06,3.0664496080134995e-06,-9.981656376112369e-06,-9.980505827789088e-06,-9.98084831807507e-06,-9.980304250924902e-06
