voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.0011180373731930216951473432964325161811457724319654343102969895719585773051715099,-3466.0687233964041408675773700423624419209413302888359997383863696395906711276504,-46.872387655029269167829969124939623792924365694311814878058715235379705311711363,0.0000071333390262252228803608840269126445938083556824828820133313517636943098890603345,-150,28160588024.307905031148753795094295925412562044987255310756848927402346063135402,0.0000000083628504269429151542878899411480155215805953156457604938940270745758147648756942,28160588024.307905022785903368151380771124672103839239789176253611756585569241375,3367343260568413523.9691541239691461879109592246872278762458886068527750928957622,56321176048.615810062297507590188591850825124089974510621513697854804692126270805,2.7894824432955056139997916516845290614704681177129188873626562208644551524214639e-74,1.443117259569649031971786562448732393957813529647872051127124949401843828733134e-75,1.1507417492192972913885994285858599910689963128381221885957637120879841907490832e-74,8.5758309440537361776194943210038338217015603823368816300925552733545744085720798e-81,-54862369.198818610729244797993016129050765430311671309232484769890178543246223723,-1.3591796198346669398369370671644099504867686002715268629841442679859184782928408e-74,1.343951014725968075778234417518191284233114030821360417313095903740936717765795e-74,2.5729676024389215211686752542289394212476919638726133389403319163954163187099408e-74,-150,-0.0011180373731930216951473432964325161811457724319654343102969895719585773051715185,-0.0011180373731930216951473432964325161811457724319654343102969895719585773051715099,-0.00111803737319302169514734329643251618114577243196543431029698957195857730517151,-0.00111803737319302169514734329643251618114577243196543431029698957195857730517151,-3466.0687233964041408675773700423624419209413302888359997383863696395906711276779,-3466.0687233964041408675773700423624419209413302888359997383863696395906711276504,-3466.06872339640414086757737004236244192094133028883599973838636963959067112765,-3466.0687233964041408675773700423624419209413302888359997383863696395906711276615,-46.872387655029269167829969124939623792924365694311814878058715235379705311709927,-46.872387655029269167829969124939623792924365694311814878058715235379705311711363,-46.87238765502926916782996912493962379292436569431181487805871523537970531171137,-46.87238765502926916782996912493962379292436569431181487805871523537970531171137,0.0000071333390262252228803608840269126445938083556824828820133313517636943098890603205,0.0000071333390262252228803608840269126445938083556824828820133313517636943098890603345,0.0000071333390262252228803608840269126445938083556824828820133313517636943094609287164,0.0000071333390262252228803608840269126445938083556824828820133313517636943209683462086
-140,-0.0007842613396874774883960456449153841130474706432066618103304592960423282145028557,-2427.5999761760377572117400945501673958458149268108479843704885575469803484897219,-40.314068752387146620096200629143520955023279932743151523632731805644514487423103,0.000020266720943405640495047474581861842499344670762552345994234436639733750437804717,-140,26361799597.327841624298696628974373864703062538155479430149187979381153597599757,0.0000000075670199877359505215178293862431341593807573817079728112320914462390490947950143,26361799597.327841616731676641238423343185233151912345270768430597673180786367665,3483775599912916571.3265740238840122356776420045920941454770478301235627006835667,52723599194.655683248597393257948747729406125076310958860298375958762307195199514,4.1885417492208056433123806534581937919912601767515964717364961830317670245337771e-75,1.937537909348805986775155206594055269404204550511849160419731973068995709464183e-75,2.5820535241227075030218061538047287543093810119063998333684790503924079340879982e-75,8.3081579494013986738762688079833059953339246441126812430788620715451879324341758e-82,-62199499.004719233624956354392201963844655222426146962630972369659860875018798823,-1.3484009562735236844022432200860082061753645295686481648220199989870309766425557e-75,1.2474500480879583619143704753442671205298776491349480808558358105047339076324032e-74,2.4859049528057548798097837185447224192984760837066454045364497342313864042954513e-74,-140,-0.00078426133968747748839604564491538411304747064320666181033045929604232821450285653,-0.0007842613396874774883960456449153841130474706432066618103304592960423282145028557,-0.0007842613396874774883960456449153841130474706432066618103304592960423282145028557,-0.0007842613396874774883960456449153841130474706432066618103304592960423282145028557,-2427.5999761760377572117400945501673958458149268108479843704885575469803484897235,-2427.5999761760377572117400945501673958458149268108479843704885575469803484897219,-2427.5999761760377572117400945501673958458149268108479843704885575469803484897194,-2427.5999761760377572117400945501673958458149268108479843704885575469803484897204,-40.314068752387146620096200629143520955023279932743151523632731805644514487425037,-40.314068752387146620096200629143520955023279932743151523632731805644514487423103,-40.314068752387146620096200629143520955023279932743151523632731805644514487423099,-40.3140687523871466200962006291435209550232799327431515236327318056445144874231,0.000020266720943405640495047474581861842499344670762552345994234436639733750437804594,0.000020266720943405640495047474581861842499344670762552345994234436639733750437804717,0.000020266720943405640495047474581861842499344670762552345994234436639733747855751193,0.000020266720943405640495047474581861842499344670762552345994234436639733748893756589
-130,-0.00052323483633466150030905643182528906747079219137227380915554925716433038445874237,-1616.6295222598510261381263964672613258242238172952858336032575918535062809203238,-32.87611212846950701947119096419183994445408191717730688968970182941432842697083,0.0000491896865076349258528166658103761278961876165429351394744832123321741186400489,-130,24691235391.060951869758512014743094155831792866699954050740048056571352985883603,0.0000000068469228279294953364213624042004952246074962348962189005000613134314711138595269,24691235391.060951862911589186813598819410430462499458826132551821675134085383542,3606179887166562989.2662841362318587460729281551415137278153605131592691717755641,49382470782.121903739517024029486188311663585733399908101480096113142705971767207,4.4061731968091856478721167204007638611833833859353907626390935104800155379734703e-74,2.6652025801823496218125911819089170613923769249684530255562994881140602610040796e-75,2.7444571095651724918234505511786170374033111918176933644402279182006812370369955e-74,4.8984158021377763185010268882756592225277340095028670823505855931117725133236442e-81,-73632975.341921099496632145432574697558087324577970110219337531110556528495240865,3.3638395115870747326134015765227644038884977251845255225484823607264976760359392e-74,2.4321621767499151647827388449111117636641203015104161704923833741283327767866153e-74,3.771386483640961489037832845742961277364188902179019112751928802360252001065413e-74,-130,-0.00052323483633466150030905643182528906747079219137227380915554925716433038445874727,-0.00052323483633466150030905643182528906747079219137227380915554925716433038445874237,-0.00052323483633466150030905643182528906747079219137227380915554925716433038445874237,-0.00052323483633466150030905643182528906747079219137227380915554925716433038445874237,-1616.6295222598510261381263964672613258242238172952858336032575918535062809203404,-1616.6295222598510261381263964672613258242238172952858336032575918535062809203238,-1616.6295222598510261381263964672613258242238172952858336032575918535062809203197,-1616.6295222598510261381263964672613258242238172952858336032575918535062809202964,-32.876112128469507019471190964191839944454081917177306889689701829414328426968166,-32.87611212846950701947119096419183994445408191717730688968970182941432842697083,-32.876112128469507019471190964191839944454081917177306889689701829414328426970831,-32.876112128469507019471190964191839944454081917177306889689701829414328426970831,0.000049189686507634925852816665810376127896187616542935139474483212332174118640048339,0.0000491896865076349258528166658103761278961876165429351394744832123321741186400489,0.000049189686507634925852816665810376127896187616542935139474483212332174114522020459,0.000049189686507634925852816665810376127896187616542935139474483212332174091195477804
-120,-0.00034295099000855188891650489745928965749144692146386087653663499203487875769409663,-1057.271427620756207024521851673441474863126679483450386256924635265980713721958,-26.225074275597381179361518899529220675311925046623938250540154871511510881645921,0.00010081176367960862975072223008223428357357284080887063362901927816268915279365634,-120,23138789787.346474524953494862952947538858418270599719040623712169289513169656869,0.0000000061953519731151947183736521821013442332842955159909168127828280803610636526420798,23138789787.346474518758142889837752820484766088498374807339416653298596356874041,3734862827448308731.2045708421866998162700988720986350516139360331809994678221454,46277579574.692949049906989725905895077716836541199438081247424338579026339313738,4.9899781911335701045482341063260708721908250105712833842666958650634123438672504e-74,3.7425646074303815888295385767932669078890979704318791283380064960175920884485924e-76,3.0876797328301589556782771894893861848595542600666280434128772343010326506772747e-74,6.041688342758625541219688166003721342455655114495076812268686749301478981597269e-81,-93806908.936045571042110531881336194539221655988513363536698171204924615155586249,-3.4564066379355955327146593658588499068006422837599401830372872314804492196563766e-74,2.4952466573914272142503276752416325170589992713137462700341822582251970183567468e-74,4.4279929408983440869099940058283234272914286660559604387868731840025822881160605e-74,-120,-0.00034295099000855188891650489745928965749144692146386087653663499203487875769409059,-0.00034295099000855188891650489745928965749144692146386087653663499203487875769409663,-0.00034295099000855188891650489745928965749144692146386087653663499203487875769409663,-0.00034295099000855188891650489745928965749144692146386087653663499203487875769409663,-1057.271427620756207024521851673441474863126679483450386256924635265980713721939,-1057.271427620756207024521851673441474863126679483450386256924635265980713721958,-1057.2714276207562070245218516734414748631266794834503862569246352659807137219669,-1057.2714276207562070245218516734414748631266794834503862569246352659807137219889,-26.22507427559738117936151889952922067531192504662393825054015487151151088164628,-26.225074275597381179361518899529220675311925046623938250540154871511510881645921,-26.225074275597381179361518899529220675311925046623938250540154871511510881645906,-26.225074275597381179361518899529220675311925046623938250540154871511510881645906,0.00010081176367960862975072223008223428357357284080887063362901927816268915279365606,0.00010081176367960862975072223008223428357357284080887063362901927816268915279365634,0.0001008117636796086297507222300822342835735728408088706336290192781626891616306598,0.00010081176367960862975072223008223428357357284080887063362901927816268918367045339
-110,-0.00022815864066647358399542777734512852582563249398474808259441702385055201016277569,-701.54775568655110462278571584229418811462347512638665287349099497776909796220554,-21.116087815259496837739972039548080508912745627425722363079332777735809144728329,0.00017953652293941371901344206338614046299602983368609960781458782213219241194272723,-110,21695216772.555514268576062917316184138455140560070680612020735178654706590345256,0.0000000056057862831775411649367235414810490207149942879970790028130978935184882874734003,21695216772.555514262970276634138642973518417018589631591305740890657627587532158,3870146965406245022.1778304407974258762125396166890604747245419241037266747392826,43390433545.111028537152125834632368276910281120141361224041470357309413180690512,3.3370155296884934032492863597860743942792225408181791271731590208731438727419618e-74,1.1581102032381650242643097848015335824866556488709053337316786353496081608040815e-74,2.2068016542377725544417560918186462691609782331388764410491728731769297795186167e-74,1.2547943757966740692301416765663262614328216486196578334690946795974056606876189e-80,-138751231.37472495222626025544514021389798043999961631133524273822260753950051829,1.7673574168711484428850655274715600327339128531441202424401742467859587908659166e-74,2.0814037772606477795793354434833444125027654385832240752456962224679811172635957e-74,5.0315915236947707429792194416198678046066763928365740590250386896695543721725738e-74,-110,-0.00022815864066647358399542777734512852582563249398474808259441702385055201016276315,-0.00022815864066647358399542777734512852582563249398474808259441702385055201016277569,-0.00022815864066647358399542777734512852582563249398474808259441702385055201016277569,-0.00022815864066647358399542777734512852582563249398474808259441702385055201016277569,-701.54775568655110462278571584229418811462347512638665287349099497776909796217217,-701.54775568655110462278571584229418811462347512638665287349099497776909796220554,-701.54775568655110462278571584229418811462347512638665287349099497776909796219405,-701.54775568655110462278571584229418811462347512638665287349099497776909796218347,-21.116087815259496837739972039548080508912745627425722363079332777735809144716748,-21.116087815259496837739972039548080508912745627425722363079332777735809144728329,-21.116087815259496837739972039548080508912745627425722363079332777735809144728328,-21.116087815259496837739972039548080508912745627425722363079332777735809144728328,0.00017953652293941371901344206338614046299602983368609960781458782213219241194272569,0.00017953652293941371901344206338614046299602983368609960781458782213219241194272723,0.00017953652293941371901344206338614046299602983368609960781458782213219240045379751,0.00017953652293941371901344206338614046299602983368609960781458782213219238987471068
-100,-0.00015432202509177183717047898045752829810291932691901157448649538583616418507677836,-473.06962357212154033888508020212232049698537335216210391193966690011294436552474,-17.169853489768282222084869126259843679432141772940800451486109313558431770220897,0.00028973095123397865392388898607748020149362221268508773533896546609619618284714729,-100,20352053132.115398363469879022912701660739188709054829125351975259386286536530391,0.0000000050723251865317644147501468127116563000588694133209794311003125836206604962518694,20352053132.115398358397553836380937245989041896343172825293105846065307105430078,4012371522660842661.7074508272712688180456971812114919287938864659966292262224284,40704106264.230796726939758045825403321478377418109658250703950518772573073060782,1.9621374957174578188877791432282507825575552827999231306773854284223040576785034e-74,3.9374653895014856684338632223094506128975572692814657380014281539416234254938682e-74,1.4057581391912665276275416857825621078845137128030824449881615065066669855482081e-74,8.0991671112689966997998273497403554232084244331145555562950939178247823376034276e-81,-322627633.72082320861061888322010175096315338878335201309869747437903113628779769,2.3148469886949071195201824830292440530282724834290932902406847961281109046477059e-74,1.8519238194215194972396968336531517244796513305051251717412670217580751674564226e-74,3.6267695859577674140530124767600412869600650108833842416390195184582496941770284e-74,-100,-0.00015432202509177183717047898045752829810291932691901157448649538583616418507678646,-0.00015432202509177183717047898045752829810291932691901157448649538583616418507677836,-0.00015432202509177183717047898045752829810291932691901157448649538583616418507677836,-0.00015432202509177183717047898045752829810291932691901157448649538583616418507677836,-473.06962357212154033888508020212232049698537335216210391193966690011294436553034,-473.06962357212154033888508020212232049698537335216210391193966690011294436552474,-473.06962357212154033888508020212232049698537335216210391193966690011294436552381,-473.06962357212154033888508020212232049698537335216210391193966690011294436551072,-17.16985348976828222208486912625984367943214177294080045148610931355843177026026,-17.169853489768282222084869126259843679432141772940800451486109313558431770220897,-17.169853489768282222084869126259843679432141772940800451486109313558431770220886,-17.169853489768282222084869126259843679432141772940800451486109313558431770220886,0.0002897309512339786539238889860774802014936222126850877353389654660961961828471478,0.00028973095123397865392388898607748020149362221268508773533896546609619618284714729,0.00028973095123397865392388898607748020149362221268508773533896546609619618187792166,0.00028973095123397865392388898607748020149362221268508773533896546609619616878956641
-90,-0.00010391612906113220434450323820496408919601951987838724742610471531894972429660752,-317.43821156236859486042733550379272893225839194032749979379888843023467612746135,-13.789426445985365856969051850835339464154015532124994639719247441038654561004313,0.00043707895612923602517019749699203716711070415764181421120840209427037783316786675,-90,19101548712.304284372691571698440665883147896046481457436260764334505959308981699,0.0000000045896296252201688385950058859434570533778139296604494856149988738466465185459693,19101548712.3042843681019420732204970445528901605380003828829504048455098233667,4161893283793671076.8992310365697050232506697609909570264337484362010811685038156,38203097424.608568745383143396881331766295792092962914872521528669011918617963397,2.3904914560501422723069421956231506012849089008759626873745611205426662111153598e-74,5.3367473466473467263969504659670781662197921627045389452547257584640255816136067e-75,6.750045903075241300376526317513387667493714353605683503689008886763526527382673e-75,7.4931708940488729954119192051184008393790029469137095839645740681515126663854516e-81,470739384.14291414467019590503260952089767695000532678131739933565044454476247422,-1.2606872881945680683272423723832637823875012318814849677161025462658405373194836e-74,1.1616941541711402730324297782586804910517518753537334673860868601766305349824575e-74,2.5055205245889117969130966627172787774381297672789080714393329489721070595955881e-74,-90,-0.00010391612906113220434450323820496408919601951987838724742610471531894972429661502,-0.00010391612906113220434450323820496408919601951987838724742610471531894972429660752,-0.00010391612906113220434450323820496408919601951987838724742610471531894972429660754,-0.00010391612906113220434450323820496408919601951987838724742610471531894972429660753,-317.43821156236859486042733550379272893225839194032749979379888843023467612748208,-317.43821156236859486042733550379272893225839194032749979379888843023467612746135,-317.43821156236859486042733550379272893225839194032749979379888843023467612746493,-317.43821156236859486042733550379272893225839194032749979379888843023467612745817,-13.789426445985365856969051850835339464154015532124994639719247441038654561009633,-13.789426445985365856969051850835339464154015532124994639719247441038654561004313,-13.789426445985365856969051850835339464154015532124994639719247441038654561004296,-13.789426445985365856969051850835339464154015532124994639719247441038654561004296,0.0004370789561292360251701974969920371671107041576418142112084020942703778331678679,0.00043707895612923602517019749699203716711070415764181421120840209427037783316786675,0.00043707895612923602517019749699203716711070415764181421120840209427037783670634101,0.00043707895612923602517019749699203716711070415764181421120840209427037782995629511
-80,-0.000068062159405264910124801967748124567778990969343375361862604494527097146021861106,-207.09118261094218915718023026991655433966592020683416599621879890710487350832531,-10.676312819616923465931402910939551657047678054484795125026520134628570838384686,0.00062676961171966476693521192791608447792147282569336379454703951984700073915747183,-80,17936603088.771573767287615572705226219637359357078469313450048151604126137274187,0.0000000041528686198255664679554807245783703393918156547589683444193054080028713744343699,17936603088.771573763134746952879659751681878632500098974058232496845157792854882,4319087534612392207.37965701499395682210509870806628747242923706306579850507307,35873206177.543147534575231145410452439274718714156938626900096303208252274548375,3.1997004496624917337056433651675480410984781350236422531512821356974632630716792e-74,3.9087703700758476426590443516278177227600913711955692499307204892083210653853918e-74,2.1843366474758642081503722281332949533317885420839628230890986188131783739671043e-74,9.5296733653821619361506421587481377875846931187396572399701966251868689091173418e-81,122168644.88934534152035713052361743152062498258784694022159634857207261584588482,3.822746950300728284142622789200708897862344263629666955087409529754188796072827e-74,2.1322946080068000022738221829715228060034207907968740916475560325723961315646652e-74,3.7664936617110112185925309015047117223731932774319326063287326731475072416239305e-74,-80,-0.000068062159405264910124801967748124567778990969343375361862604494527097146021851577,-0.000068062159405264910124801967748124567778990969343375361862604494527097146021861106,-0.000068062159405264910124801967748124567778990969343375361862604494527097146021861091,-0.000068062159405264910124801967748124567778990969343375361862604494527097146021861092,-207.09118261094218915718023026991655433966592020683416599621879890710487350831509,-207.09118261094218915718023026991655433966592020683416599621879890710487350832531,-207.09118261094218915718023026991655433966592020683416599621879890710487350832744,-207.09118261094218915718023026991655433966592020683416599621879890710487350834708,-10.676312819616923465931402910939551657047678054484795125026520134628570838345651,-10.676312819616923465931402910939551657047678054484795125026520134628570838384686,-10.676312819616923465931402910939551657047678054484795125026520134628570838384738,-10.676312819616923465931402910939551657047678054484795125026520134628570838384738,0.00062676961171966476693521192791608447792147282569336379454703951984700073915747245,0.00062676961171966476693521192791608447792147282569336379454703951984700073915747183,0.00062676961171966476693521192791608447792147282569336379454703951984700074135785812,0.00062676961171966476693521192791608447792147282569336379454703951984700076100083831
-70,-0.000042622420611098632087751663393882291205784538289899139379275485953534036247655504,-129.1149848302642760514004012333385395661391780278167588645739482178651864814252,-7.8293093293539258717502866576177917132948118487516440634924288296941652031842875,0.00086105830380377548967959645764982511343996827698131279678203922726627164770659537,-70,16850708043.535534201257805869830296492624291471972952882869585579052900294402072,0.0000000037576709194055246396654038610259167671129299430171753710092840038255733420728654,16850708043.535534197500134950424771852958887610947036115756655636035724923392788,4484349056889039453.9173813441596368688905359109993017600213567366768122227429094,33701416087.071068402515611739660592985248582943945905765739171158105800588804144,4.7998745308145536422319170359461770766316340525491297402788615924263262168001374e-74,3.9867387793123096755426105095391625801380730119857455528098876120999368832583176e-75,9.4063580083706367116906796534635926554233524278507346394183663331505537799894252e-75,1.3003695638044266302641144243722012276386380893370138753252963370112490359396567e-80,63660152.156911641414805035699395341543322035505148736683099908217953083938161398,-4.1887989932637817185895357294541108661757774119127890907776619965715212991445178e-76,7.4989522790981298389452932790541518686898588673314230624668071905698725897697875e-75,1.6910776978737672999121066428508804174150940881328787510957729247821999650037171e-74,-70,-0.000042622420611098632087751663393882291205784538289899139379275485953534036247668487,-0.000042622420611098632087751663393882291205784538289899139379275485953534036247655504,-0.000042622420611098632087751663393882291205784538289899139379275485953534036247655483,-0.000042622420611098632087751663393882291205784538289899139379275485953534036247655484,-129.11498483026427605140040123333853956613917802781675886457394821786518648146375,-129.1149848302642760514004012333385395661391780278167588645739482178651864814252,-129.11498483026427605140040123333853956613917802781675886457394821786518648141575,-129.11498483026427605140040123333853956613917802781675886457394821786518648141596,-7.8293093293539258717502866576177917132948118487516440634924288296941652031882256,-7.8293093293539258717502866576177917132948118487516440634924288296941652031842875,-7.8293093293539258717502866576177917132948118487516440634924288296941652031842389,-7.8293093293539258717502866576177917132948118487516440634924288296941652031842389,0.0008610583038037754896795964576498251134399682769813127967820392272662716477065994,0.00086105830380377548967959645764982511343996827698131279678203922726627164770659537,0.00086105830380377548967959645764982511343996827698131279678203922726627163830024139,0.00086105830380377548967959645764982511343996827698131279678203922726627163850965906
-60,-0.000025253648621003388896593029866986363805469556998692839613038880011213993760422475,-76.127437535705764696779597132356664727097179264432519482519640306334566640792266,-5.3856572318966660722902780786034672376911675808259479982030759809648694483138212,0.0011381210567501271409974558803591335913103208432706903431074660621088781499381684,-60,15837895308.606683624996453224556124713148288335234863165691561077820402254071318,0.000000003400081252543704950255879034013812100778103855479447501018303757435281886286795,15837895308.606683621596371972012419762892409301221051064913457222340954753053015,4658093184319600872.2701887548681686265580026629427574246144212726989053196085572,31675790617.213367249992906449112249426296576670469726331383122155640804508142637,3.526147621045061740545247465581403144886662948799333689505178126869836033231219e-74,1.0812483030978244670983712532226100263037232456274224294049676744651076937559359e-74,2.756206493565370824368613496816707551593256227156280973542940520432512969510007e-74,4.1961280857596662981631819695586998569292820227605509467590100038933713850046168e-81,40097796.830115383955486108739890329909220736330336042215234996069634656355021837,3.5764427750937049004753795873972302880901350530642554875223350379424846082303902e-74,2.5810321283418350980140901022859193080067038603303593057365068369322756094325461e-74,5.8828841174680866082190840916923232715024964523142674642142083017867243505793955e-74,-60,-0.000025253648621003388896593029866986363805469556998692839613038880011213993760426642,-0.000025253648621003388896593029866986363805469556998692839613038880011213993760422475,-0.000025253648621003388896593029866986363805469556998692839613038880011213993760422446,-0.000025253648621003388896593029866986363805469556998692839613038880011213993760422446,-76.127437535705764696779597132356664727097179264432519482519640306334566640799866,-76.127437535705764696779597132356664727097179264432519482519640306334566640792266,-76.127437535705764696779597132356664727097179264432519482519640306334566640783126,-76.127437535705764696779597132356664727097179264432519482519640306334566640764605,-5.3856572318966660722902780786034672376911675808259479982030759809648694483246337,-5.3856572318966660722902780786034672376911675808259479982030759809648694483138212,-5.3856572318966660722902780786034672376911675808259479982030759809648694483138393,-5.3856572318966660722902780786034672376911675808259479982030759809648694483138393,0.001138121056750127140997455880359133591310320843270690343107466062108878149938169,0.0011381210567501271409974558803591335913103208432706903431074660621088781499381684,0.0011381210567501271409974558803591335913103208432706903431074660621088781408948041,0.001138121056750127140997455880359133591310320843270690343107466062108878122376104
