voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.0632154787078955,-37710.74785176313,-79795.49796534708,-37710.74785176675,-79795.49796533337,-150,300188110.48279744,20729.433698919936,300167381.04909855,14481.249938749563,2.2486346543896931e+17,8.403731044381857e-09,1.382431946694851e-08,3.4633558243513107e-09,2.703745849430561e-08,9.71445146547012e-15,3.7171376765150348e-08,-233689.40934636083,2.5294188567595297e-08,1.6088920418155794e-07,-150,-0.06321547870789304,-0.0632154787078955,-0.06321547870788578,-0.06321547870788899,-37710.747851771535,-37710.74785176313,-37710.747851764434,-37710.74785176841,-79795.49796533326,-79795.49796534708,-79795.49796534276,-79795.4979653427,-37710.74785177021,-37710.74785176675,-37710.74785176698,-37710.747851769454,-79795.49796533363,-79795.49796533337,-79795.4979653066,-79795.49796531345
-140,-0.056764342044188044,-34957.31110512601,-71104.89944772908,-34957.3111051314,-71104.89944772911,-140,274618881.07959074,22909.567272223612,274595971.51231849,11987.08285566566,1.1020629714726381e+17,8.141796570271254e-09,2.427259460091591e-08,1.4966644812375307e-08,2.5029294192790985e-08,1.3322676295501878e-14,-3.8489654534706923e-08,-226021.44013499911,2.1255705124411048e-08,1.3782254715266617e-07,-140,-0.05676434204419213,-0.056764342044188044,-0.056764342044198536,-0.05676434204418521,-34957.31110512643,-34957.31110512601,-34957.311105127184,-34957.311105134155,-71104.89944773685,-71104.89944772908,-71104.8994477425,-71104.89944771823,-34957.31110512492,-34957.3111051314,-34957.311105131404,-34957.31110513989,-71104.89944773715,-71104.89944772911,-71104.89944774786,-71104.89944772283
-130,-0.05084696233465516,-32252.845548398913,-63222.769383498715,-32252.845548401747,-63222.7693835041,-130,251736253.53306255,25318.987494959183,251710934.5455676,9942.5876956249267,68210479344501632.0,9.51331458054483e-09,1.6487319953739643e-08,1.2405507732182741e-08,1.1161318980157375e-08,2.6229018956769323e-15,-1.0547547557309618e-08,-217174.80923077508,1.4469650764072543e-08,1.0641602621319635e-07,-130,-0.050846962334654,-0.05084696233465516,-0.0508469623346558,-0.050846962334653176,-32252.845548401558,-32252.845548398913,-32252.84554839986,-32252.845548408426,-63222.769383499544,-63222.769383498715,-63222.76938349341,-63222.76938348306,-32252.84554839963,-32252.845548401747,-32252.845548402533,-32252.845548412035,-63222.76938349937,-63222.7693835041,-63222.76938351053,-63222.76938350365
-120,-0.04538714857436238,-29599.693271195014,-56029.03690741405,-29599.693271197397,-56029.03690741464,-120,231314228.55387288,27981.808654549885,231286246.74521834,8266.5931787887075,1.5345361056130941e+17,7.981725502759218e-09,7.195922080427408e-09,8.05084710009396e-09,9.49512468650937e-09,3.247402347028583e-15,2.7925223077340684e-08,-204996.72109182429,1.2455815244783107e-08,8.9585098450584155e-08,-120,-0.04538714857436199,-0.04538714857436238,-0.04538714857436524,-0.04538714857436412,-29599.6932711966,-29599.693271195014,-29599.69327119531,-29599.69327118862,-56029.03690741348,-56029.03690741405,-56029.036907420676,-56029.036907417896,-29599.693271195894,-29599.693271197397,-29599.69327119728,-29599.693271189346,-56029.036907413974,-56029.03690741464,-56029.03690741688,-56029.03690742347
-110,-0.040316311877118774,-27000.25708062858,-49415.46427666271,-27000.25708062603,-49415.464276663704,-110,213151286.21338069,30924.681160165994,213120361.53222054,6892.594465547485,1.7700091626054291e+17,9.19681042432785e-09,1.2958480510860682e-08,1.1656084097921848e-08,1.3016688171774149e-08,7.667477763817487e-15,-1.8375521075942765e-08,-188494.98457735474,1.5197429661177893e-08,1.0595532273782737e-07,-110,-0.04031631187711493,-0.040316311877118774,-0.040316311877111106,-0.04031631187711767,-27000.25708062834,-27000.25708062858,-27000.25708062482,-27000.257080619383,-49415.464276656494,-49415.46427666271,-49415.46427665024,-49415.464276663195,-27000.257080629934,-27000.25708062603,-27000.25708062385,-27000.257080618278,-49415.4642766561,-49415.464276663704,-49415.46427665524,-49415.46427666826
-100,-0.03557450600999752,-24455.6955071088,-43287.923173411065,-24455.69550710547,-43287.92317340665,-100,197068376.24236405,34177.058268977336,197034199.18409508,5766.1011866911867,8.3832479601424973e+17,1.2187229003757238e-08,1.2660166248679161e-09,4.845787771046162e-09,9.771611075848341e-09,3.5388358909926865e-16,-1.5832483768463135e-08,-169683.04839695097,1.0882341985609171e-08,7.1152003400243302e-08,-100,-0.035574506009997856,-0.03557450600999752,-0.035574506009997515,-0.03557450600999787,-24455.695507101926,-24455.6955071088,-24455.695507113353,-24455.695507114113,-43287.923173410774,-43287.923173411065,-43287.92317341204,-43287.92317341134,-24455.695507104232,-24455.69550710547,-24455.695507107703,-24455.695507109078,-43287.923173412055,-43287.92317340665,-43287.92317340228,-43287.923173403
-90,-0.03111144709815744,-21964.612265863518,-37568.641273681555,-21964.61226586257,-37568.64127368088,-90,182907132.8635731,37771.490864250583,182869361.37270886,4842.4652741649761,28483845989522180.0,4.110916052013636e-09,1.356966095045209e-08,2.1973391994833946e-09,1.7105776350945234e-08,9.086481567166516e-15,1.046026798695692e-08,-150671.19146001432,1.6483511172029821e-08,1.0312993126149195e-07,-90,-0.03111144709815841,-0.03111144709815744,-0.0311114470981659,-0.031111447098156813,-21964.61226585955,-21964.612265863518,-21964.612265862314,-21964.61226586366,-37568.641273683956,-37568.641273681555,-37568.641273695124,-37568.64127368279,-21964.61226586091,-21964.61226586257,-21964.6122658623,-21964.612265863107,-37568.64127368432,-37568.64127368088,-37568.64127369444,-37568.641273677335
-80,-0.026887472402181978,-19521.865433871993,-32198.29387822882,-19521.865433872503,-32198.29387822971,-80,170528296.30863476,41743.953235529756,170486552.35539922,4085.1017474667947,1.5851308523649594e+17,7.894414011389017e-09,4.321918822824955e-09,6.872141966596246e-09,1.0175426723435521e-08,5.440092820663267e-15,1.8534213882115481e-08,-132560.03159659862,1.1725047253228706e-08,7.669655843756118e-08,-80,-0.02688747240218063,-0.026887472402181978,-0.026887472402176538,-0.02688747240218131,-19521.86543387593,-19521.865433871993,-19521.86543386814,-19521.865433868035,-32198.293878225377,-32198.29387822882,-32198.29387822541,-32198.2938782297,-19521.865433875035,-19521.865433872503,-19521.865433868163,-19521.865433869127,-32198.29387822571,-32198.29387822971,-32198.293878220236,-32198.29387823041
-70,-0.022874349491121486,-17117.672643087582,-27137.71407034374,-17117.67264308687,-27137.714070343965,-70,159810325.23755807,46134.203121417318,159764191.03443664,3464.0313352105522,1.520877129426584e+17,7.3960109148174524e-09,1.2601958587765694e-08,6.959453457966447e-09,5.2677933126688e-09,5.6968318951078345e-15,-1.7217923397853092e-09,-115913.74368833234,1.4435681962114804e-08,8.727153755216932e-08,-70,-0.02287434949111948,-0.022874349491121486,-0.022874349491124244,-0.022874349491125177,-17117.6726430876,-17117.672643087582,-17117.67264309225,-17117.67264309498,-27137.71407034075,-27137.71407034374,-27137.71407035267,-27137.71407035335,-17117.67264308915,-17117.67264308687,-17117.67264309059,-17117.67264309383,-27137.71407033954,-27137.714070343965,-27137.714070339454,-27137.714070338698
-60,-0.019055674885703894,-14737.286675576954,-22368.677020674644,-14737.286675579828,-22368.677020675477,-60,150648186.18891913,50986.179618385198,150597200.00930074,2954.6866879705699,6.2170844595492672e+17,3.041350282728672e-09,5.0495145842432976e-09,6.777554517611861e-09,1.4329998521134257e-08,4.8606951796870135e-15,2.7802561356877592e-08,-101064.2894021995,9.6402320926475143e-09,6.8909983497178473e-08,-60,-0.019055674885702926,-0.019055674885703894,-0.019055674885707787,-0.019055674885705854,-14737.286675578318,-14737.286675576954,-14737.286675575559,-14737.286675575277,-22368.677020675415,-22368.677020674644,-22368.677020674746,-22368.677020670366,-14737.28667557305,-14737.286675579828,-14737.28667557882,-14737.286675579395,-22368.677020674397,-22368.677020675477,-22368.677020688727,-22368.677020686926
