voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-8.436576513843042e-10,-1.2284256658020374e-08,2.5057430852459817e-09,-2.351543978857343e-06,-0.0026319519337799635,-150,6261174757556.0879,0.0024920921942168171,6261174757556.085,2512416985248722.0,4.1373804675550216e+23,5.689264735412516e-09,1.434113910452414e-08,3.5426569238924954e-09,1.6736138617762936e-08,6.510274052223378e-15,-1.7280399333685637e-10,-20.817803417332033,2.5917946053175537e-08,7.6215051806210563e-08,-150,-8.436641616583564e-10,-8.436576513843042e-10,-8.436592408852502e-10,-8.43658696045241e-10,-1.797352139343289e-08,-1.2284256658020374e-08,-1.236065449479019e-08,-1.295491008183719e-08,2.2973785096525035e-09,2.5057430852459817e-09,-1.1835396019278159e-08,-3.8708094507455826e-09,-2.3515852354272226e-06,-2.351543978857343e-06,-2.351266455224467e-06,-2.3548091121483594e-06,-0.002631966438912059,-0.0026319519337799635,-0.002631949786563611,-0.002631949702773441
-140,-5.169537129358632e-10,-7.836987589465549e-09,1.8031147408503756e-09,-1.54496024857265e-06,-0.0016126841079656673,-140,5888717404672.7998,0.0028143254230858731,5888717404672.7969,2092408133177397.0,2.4249071145122976e+22,3.2455492788821567e-10,3.144536436794354e-09,2.1065394200043067e-09,2.3412455958963727e-08,7.165101832001753e-15,1.3472352122790033e-09,-20.900549101677889,2.9328908714153788e-08,8.2573590956706049e-08,-140,-5.169465652030951e-10,-5.169537129358632e-10,-5.169537303049271e-10,-5.169536156644353e-10,-7.628421394567653e-09,-7.836987589465549e-09,-7.828358763407162e-09,-7.512432661577333e-09,3.135601056580839e-09,1.8031147408503756e-09,4.219780289022111e-09,4.94765117764473e-09,-1.5463567577533865e-06,-1.54496024857265e-06,-1.544942129306343e-06,-1.5470486687263474e-06,-0.0016126619757415028,-0.0016126841079656673,-0.0016126853881974618,-0.0016126846569850166
-130,-3.1743494258143144e-10,-4.924208334885243e-09,9.024967606574563e-09,-9.871877935203947e-07,-0.0009902517577414782,-130,5538610855733.7275,0.0031782241465254501,5538610855733.7246,1742674714050215.0,3.5122177441499137e+22,9.752136807031774e-10,4.7658925070304115e-09,3.9592586986714196e-09,5.15679124488827e-09,2.3291557131769166e-15,4.1062158118165445e-09,-20.983535175996689,1.3835873203469354e-08,4.9827505615196303e-08,-130,-3.174339971583207e-10,-3.1743494258143144e-10,-3.1743530717877245e-10,-3.174363263140339e-10,-5.020565713165226e-09,-4.924208334885243e-09,-4.922921843824865e-09,-5.898135524528042e-09,4.259075099544152e-09,9.024967606574563e-09,7.352929470846935e-09,5.7480065152049065e-09,-9.855382350210107e-07,-9.871877935203947e-07,-9.87012607352644e-07,-9.89497493719682e-07,-0.0009902471524583234,-0.0009902517577414782,-0.0009902521485462455,-0.0009902523092495683
-120,-1.9390559345126152e-10,-3.0340367383706188e-09,5.347250975340501e-09,-5.683930764627156e-07,-0.0006049139244839186,-120,5209526105412.5068,0.0035891758084186593,5209526105412.5029,1451454702551266.5,6.2700042729714721e+22,6.974921418821449e-09,3.529524487808815e-09,6.1549503271862704e-09,4.7645844349878015e-08,1.4004872044814188e-14,-7.3496408949469504e-10,-21.066751091135401,4.9409404375006287e-08,1.0933667744546074e-07,-120,-1.9391876064622784e-10,-1.9390559345126152e-10,-1.9390477702849767e-10,-1.9390475577418303e-10,1.420669054619239e-09,-3.0340367383706188e-09,-3.0287319206966734e-09,-5.5542523642022095e-09,6.1146671961886945e-09,5.347250975340501e-09,8.876775463149316e-09,6.0390448197722435e-09,-5.700543983522266e-07,-5.683930764627156e-07,-5.684976150186746e-07,-5.638994480250403e-07,-0.0006049590283510042,-0.0006049139244839186,-0.0006049130941457349,-0.0006049113825066544
-110,-1.161002104016901e-10,-1.8173044758661227e-09,1.2807256477564977e-08,-2.0328909910059123e-07,-0.00036226314902043644,-110,4900213936765.3662,0.0040532644614826819,4900213936765.3623,1208954901248380.5,2.9265003316858419e+22,2.996540537388532e-08,8.91517888198135e-09,1.395356567061314e-08,2.6841610378802727e-08,1.2985257817417006e-14,3.6692994527111436e-08,-21.150186033574563,7.1003316685505497e-08,2.1351365134924295e-07,-110,-1.1608722514387268e-10,-1.161002104016901e-10,-1.1609823834738251e-10,-1.1609863571310323e-10,1.2691499906569703e-08,-1.8173044758661227e-09,-1.7829980916497883e-09,-1.727390546731562e-08,8.956686489702825e-09,1.2807256477564977e-08,1.7871865371684175e-08,1.6298145055770874e-08,-2.0108281795216953e-07,-2.0328909910059123e-07,-2.0726666453244904e-07,-1.933130988618359e-07,-0.00036223630741005763,-0.00036226314902043644,-0.00036225757187256053,-0.00036224951110546745
-100,-6.657233171854686e-11,-1.0199251884064985e-09,1.337050692384878e-08,1.8774327301019952e-07,-0.00020787835006885746,-100,4609500179169.835,0.0045773608403866031,4609500179169.8301,1007021368841989.1,7.2367183719886152e+21,3.54855968901272e-09,1.3530577991360815e-08,1.148154141316041e-08,4.477887130318876e-08,1.3504806374075114e-14,1.0792113857273739e-08,-21.233827945917973,6.5788422542301967e-08,1.3923414687467998e-07,-100,-6.655915311018593e-11,-6.657233171854686e-11,-6.657265791656001e-11,-6.65725429862634e-11,-2.808119903274786e-09,-1.0199251884064985e-09,-1.0817933610425986e-09,7.404397857379338e-10,1.2070755825432933e-08,1.337050692384878e-08,8.475927354828483e-09,-1.6007106751203537e-10,1.8811561197651372e-07,1.8774327301019952e-07,1.88315545101203e-07,1.9922481442335993e-07,-0.00020783496643161925,-0.00020787835006885746,-0.0002078771451431167,-0.00020787974530292244
-90,-3.542792044799581e-11,-5.328119734832042e-10,6.833281052109896e-09,6.840339546224703e-07,-0.00011091893466352865,-90,4336281251100.3779,0.0051692240815296893,4336281251100.3726,838865017787577.75,1.2682454426399068e+23,9.524625631476825e-09,7.021393658719323e-08,1.1644563346130166e-08,1.8235291743273763e-07,6.386107267721657e-14,-4.2080660116922346e-08,-21.317663885066501,3.0555369795851323e-07,5.689295158308113e-07,-90,-3.5372775171611416e-11,-3.542792044799581e-11,-3.543663624428863e-11,-3.5433846568131023e-11,-1.0057437604960029e-08,-5.328119734832042e-10,-6.82160135560136e-10,-8.277547133603739e-09,1.7048953582232684e-08,6.833281052109896e-09,-5.316498300496055e-08,-2.3079337552189827e-08,6.723893912763401e-07,6.840339546224703e-07,6.83181741420951e-07,6.835216481704265e-07,-0.00011073658174609591,-0.00011091893466352865,-0.00011091556293657752,-0.0001109144734712561
-80,-1.7198999921473654e-11,-3.0097960718419856e-10,2.8701421905807933e-08,1.32997666992327e-06,-5.4358813102117765e-05,-80,4079519970821.0737,0.0058376165954199966,4079519970821.0679,698833146051717.75,9.4745751363067723e+21,4.097676275361357e-08,3.9085969252838915e-08,7.858920803016645e-08,8.851891330099017e-08,4.169685464440862e-14,-3.05998614764549e-07,-21.401680437118856,1.3719347749476257e-07,4.1600995660815174e-07,-80,-1.7157303066829246e-11,-1.7198999921473654e-11,-1.7197216188320563e-11,-1.719348298310168e-11,4.06398386332274e-08,-3.0097960718419856e-10,-3.3692412038617285e-10,1.0966768909746552e-08,2.3487266229138548e-08,2.8701421905807933e-08,4.256278384931021e-08,6.257323548197746e-08,1.3401329379547633e-06,1.32997666992327e-06,1.3309031950947399e-06,1.2615437299245968e-06,-5.427208498076652e-05,-5.4358813102117765e-05,-5.436060389406751e-05,-5.4335581378646994e-05
-70,-7.419237751613689e-12,-1.4294864234020686e-10,3.0787696614353877e-08,2.1206248174777336e-06,-2.4231736066249177e-05,-70,3838241619092.3687,0.0065924337923146453,3838241619092.3618,582219213724517.0,1.2878059600693187e+22,1.612362850508841e-08,4.4416601285846014e-08,6.299004340348802e-08,9.130453285225682e-08,2.5714758696175845e-14,3.8581056739958418e-08,-21.485862963835018,7.6958957979723369e-08,2.6232014296700057e-07,-70,-7.430417566514405e-12,-7.419237751613689e-12,-7.41412364991907e-12,-7.404702807818229e-12,1.5980679862748204e-08,-1.4294864234020686e-10,1.3899680177535236e-10,1.5408650004350073e-08,3.316266437847215e-08,3.0787696614353877e-08,7.25338110809794e-08,7.520429790019989e-08,2.1488461108276624e-06,2.1206248174777336e-06,2.119739660068191e-06,2.0858560674241744e-06,-2.4298051130244858e-05,-2.4231736066249177e-05,-2.4236486874445867e-05,-2.42067465973926e-05
-60,-2.6768172723823623e-12,-6.36249660005509e-11,4.440907996894339e-08,3.020784135216592e-06,-9.887143695430645e-06,-60,3611530238945.3643,0.0069745315634487642,3611530238945.3574,517816889362464.37,1.5402716291152122e+22,8.617393462047532e-09,4.2997824259632535e-08,5.415051734306551e-08,6.208190200735267e-08,2.60083058365412e-14,3.1217397115665987e-08,-12.643182649976422,1.8651184862336164e-07,3.9726975187080387e-07,-60,-2.7028255782189035e-12,-2.6768172723823623e-12,-2.6830877579745417e-12,-2.684809261578049e-12,-4.791131491543865e-09,-6.36249660005509e-11,-1.0488162400708616e-10,-8.681018428048083e-09,4.631767003271392e-08,4.440907996894339e-08,3.3198457730813853e-09,1.5046680346131325e-08,2.9666336178735264e-06,3.020784135216592e-06,3.020776407983459e-06,2.9939819796709344e-06,-9.937469712895108e-06,-9.887143695430645e-06,-9.886124762028738e-06,-9.875387810887756e-06
