voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.0000000057127779842191623793296211042003732396998493545388482538787747542795677527292362,-0.00000033995946520270067734254976191832510887057174890674527248672611453879167042822494,-0.035659947053123786236001094394259952458912431445051810032244787915031001426991753,-0.000000000000040067435143096247310253390216868883062164099362307939251044336472671830802511598,-0.0000000000099791673684628376234426972353712726834583440376438120680373103236496205588577573,-150,71650118638783702646.582575535178912667333161347976512409576814426415329472848075,0.020451477444584045315654587084324245307176022545962593830395092456545275694937069,71650118638783702646.56212405773432862201750676089218816426963840386936687901768,3503420172597753691462.2075220773935896301392837849674631827611075491805713222066,143300237277567405293.16515107035782533466632269595302481915362885283065894569615,1.0702102001633443800615493222479682656018906076616273072597342534672984623575189e-75,1.3813953261615201261240317485220592501724236332444500315483071663305919209455788e-75,9.900914750749949089040598313105054312791105803741788554270525269387053516179992e-85,4.4560713669052579012237225240389675635139342365563880948462132095091114580873963e-84,4.9857585815815425367664065017764181102405337341495329689919135752882515900004947e-83,3.4908864701671635267675031505432652576946451267959110033553183057517411238930495,-6.3755771681787313437774238909443373170238527094745439871118330632102733331012822e-76,5.8056244891580579331254447576043653821783216332966600822891331663667016114017692e-76,8.8034776582076610178612526778666211576046157510260952835345282957907803250595823e-76,-150,-0.0000000057127779842191623793296211042003732396998493545388482538787747542795677527292304,-0.0000000057127779842191623793296211042003732396998493545388482538787747542795677527292362,-0.0000000057127779842191623793296211042003732396998493545388482538787747542795677527292229,-0.0000000057127779842191623793296211042003732396998493545388482538787747542795677526793786,-0.00000033995946520270067734254976191832510887057174890674527248672611453879117742038721,-0.00000033995946520270067734254976191832510887057174890674527248672611453879167042822494,-0.00000033995946520270067734254976191832510887057174890674527248672611453879167035669552,-0.00000033995946520270067734254976191832510887057174890674527248672611453879224763058737,-0.035659947053123786236001094394259952458912431445051810032244787915031001427484725,-0.035659947053123786236001094394259952458912431445051810032244787915031001426991753,-0.035659947053123786236001094394259952458912431445051810032244787915031001426991742,-0.03565994705312378623600109439425995245891243144505181003224478791503100142610333,-0.000000000000040067435143096247310253390216868883062164099362307939251044336472671830802477564,-0.000000000000040067435143096247310253390216868883062164099362307939251044336472671830802511598,-0.000000000000040067435143096247310253390216868883062164099362307939251044336472671829813825014,-0.000000000000040067435143096247310253390216868883062164099362307939251044336472671829812420123,-0.0000000000099791673684628376234426972353712726834583440376438120680373103236496205588576568,-0.0000000000099791673684628376234426972353712726834583440376438120680373103236496205588577573,-0.0000000000099791673684628376234426972353712726834583440376438120680373103236496205588607745,-0.0000000000099791673684628376234426972353712726834583440376438120680373103236496205544047032
-140,-0.0000000047341356915589089731315216591771809861463001807726242534167708332852093553711536,-0.00000028092382271683603698984763738410811334861440668029859310712518583526764640468537,-0.029551127870750390569636472394229755371022061472829886645572548707627580633613778,-0.000000000000033090728798786349993179680598268586763256606597113668293068027285064257143088443,-0.0000000000055409826700970934342261208135269141038040002967224281969927651412088420220634836,-140,75989469415083003117.427314170908196527067245832730962485129752546144870849077262,0.020615745460107664007276126895174187180050303209133000183623283814649487087348896,75989469415083003117.406698425448088863059969705835788297949702242935737848893639,3685991833869205836896.5657415463845976154765681008663213460867251916663125092627,151978938830166006234.85462834181639305413449166546192497025950509228974169815452,3.7986997030384954788945498639014695051013519728007149573406605685736879351691482e-75,1.75173272481916233799833402379782631139521725214374245170036640752776717715027e-75,2.8488232739561033543690162732068665572204194659351761566555761585977558999452452e-85,9.3160441668527079794320995732064780644275348252818955895152181287050046958556961e-84,3.896120958197942866898048149371516091126159103926204345228304026988941958887752e-82,3.9402782689114927208489631009890633336067814241635447662454053776360966057178064,-2.3412015398632162693652369523074259582922096193395123001755732039437294519858733e-75,2.1493017064425256096970169934377921964773916295077149940971218602651583090388187e-75,3.2422054289984587293337199702612050312603204480116161105473886879415661586139448e-75,-140,-0.0000000047341356915589089731315216591771809861463001807726242534167708332852093553711368,-0.0000000047341356915589089731315216591771809861463001807726242534167708332852093553711536,-0.000000004734135691558908973131521659177180986146300180772624253416770833285209355371168,-0.0000000047341356915589089731315216591771809861463001807726242534167708332852093557607489,-0.00000028092382271683603698984763738410811334861440668029859310712518583526589457598965,-0.00000028092382271683603698984763738410811334861440668029859310712518583526764640468537,-0.00000028092382271683603698984763738410811334861440668029859310712518583526764650374513,-0.00000028092382271683603698984763738410811334861440668029859310712518583526969327569269,-0.029551127870750390569636472394229755371022061472829886645572548707627580635365502,-0.029551127870750390569636472394229755371022061472829886645572548707627580633613778,-0.029551127870750390569636472394229755371022061472829886645572548707627580633613769,-0.029551127870750390569636472394229755371022061472829886645572548707627580633998837,-0.000000000000033090728798786349993179680598268586763256606597113668293068027285064257143065315,-0.000000000000033090728798786349993179680598268586763256606597113668293068027285064257143088443,-0.000000000000033090728798786349993179680598268586763256606597113668293068027285064256858206115,-0.000000000000033090728798786349993179680598268586763256606597113668293068027285064256881064174,-0.0000000000055409826700970934342261208135269141038040002967224281969927651412088420220637242,-0.0000000000055409826700970934342261208135269141038040002967224281969927651412088420220634836,-0.0000000000055409826700970934342261208135269141038040002967224281969927651412088420220688175,-0.0000000000055409826700970934342261208135269141038040002967224281969927651412088420313795277
-130,-0.0000000039203554564268061479264050478580534651417085079283905788419807515462139517986476,-0.00000023217388722276113155825939954414716190644674065631760235128491320969366203568329,-0.024471399879820893807472828824174675004294372910960304668726935829237260277888553,-0.000000000000027299500698873621661520711117327652922887243477847093434789442447088049988193172,-0.0000000000029512956549225716851008516746994821025352889218667740879963674595223814212522761,-130,80591624862252738200.778063262158951830181647313851425317509447169576957010168123,0.020781332890377585720732851809085970444840318493488089905935855212891762243099183,80591624862252738200.757281929268574244460914462042339347064606851083468920262187,3878077757927125501885.6063169163811863258684311077556176557838583802593685684632,161183249724505476401.55612652431790366036329462770285063501889433915391402033625,6.5715845098921789571299271205996790486460815273132328664164743593314128252189093e-76,1.8876527887357048849990840477014420131794807978421798210197275963153446795494795e-75,3.9371805513108888013864805165101994147177976729079373080302238675049489859902371e-85,4.8717844623478833846800124370983914634133835646872930843421605807116201932537583e-84,3.5462076094496246126287434337346557041905807636952369794609474411922162207817027e-82,4.4481421375826638830465880663467629702460819989022796537218487896722468775975827,-4.4629915307072178237486970452793500377695169604977549030183229022277244969647492e-76,7.1046939086903410917654136471527201677147964352534529666677937346591419991272584e-76,1.392073919884883715849488816201867249641848081908211441722712662061738632769245e-75,-130,-0.0000000039203554564268061479264050478580534651417085079283905788419807515462139517986448,-0.0000000039203554564268061479264050478580534651417085079283905788419807515462139517986476,-0.0000000039203554564268061479264050478580534651417085079283905788419807515462139517986603,-0.0000000039203554564268061479264050478580534651417085079283905788419807515462139521532655,-0.00000023217388722276113155825939954414716190644674065631760235128491320969333081942868,-0.00000023217388722276113155825939954414716190644674065631760235128491320969366203568329,-0.00000023217388722276113155825939954414716190644674065631760235128491320969366209745685,-0.00000023217388722276113155825939954414716190644674065631760235128491320969398797787967,-0.024471399879820893807472828824174675004294372910960304668726935829237260278219752,-0.024471399879820893807472828824174675004294372910960304668726935829237260277888553,-0.024471399879820893807472828824174675004294372910960304668726935829237260277888571,-0.024471399879820893807472828824174675004294372910960304668726935829237260279776206,-0.000000000000027299500698873621661520711117327652922887243477847093434789442447088049988131762,-0.000000000000027299500698873621661520711117327652922887243477847093434789442447088049988193172,-0.000000000000027299500698873621661520711117327652922887243477847093434789442447088049594475117,-0.000000000000027299500698873621661520711117327652922887243477847093434789442447088049602915075,-0.0000000000029512956549225716851008516746994821025352889218667740879963674595223814212525784,-0.0000000000029512956549225716851008516746994821025352889218667740879963674595223814212522761,-0.0000000000029512956549225716851008516746994821025352889218667740879963674595223814212545358,-0.0000000000029512956549225716851008516746994821025352889218667740879963674595223814163827513
-120,-0.0000000032448363445923941143854805742929726329658143108398042360479141396022600261088892,-0.00000019189235785768653869564740886991061764491873106615980258329343357872520974200846,-0.02025471662106354309574563260621463294083561992924013351423320676126298406992179,-0.000000000000022502503109348512728328293239338652408473283118049207213646502961677920678144019,-0.000000000001536997444979108994691477658051664362109170661579008859665301818290334868459165,-120,85472501243430869082.690929795221313744376243706208916609657104120525720743865839,0.020948250333045868361142606451130444824466334257568112956295192447686426688480761,85472501243430869082.669981544888267876015101099757786164832637786268152630909544,4080173756019994865665.0044457993758649037828925372472781840227010352127477894518,170945002486861738165.38185959044262748875248741241783321931420824105144148773168,4.0495534115372544251225690531662498613936120458864500681962709553087412502016318e-76,2.4682911901195126168189187763496751383587671822840210941329269992258802986796301e-75,5.8667348958123543496637823323912749130372085146669532089205922118863039398634588e-85,5.1912597374371781088375237068281624135207948438409978538160983023132647645368804e-84,3.305855840660045965771366829017111055847179865091197429039312138409194610215795e-82,5.0219633586791532519356416308476755141140150294989028471190177786469893052399661,-1.9500379346476595773017910033892383891805600915666968677426773196296725648864757e-76,3.2661958214969950878937748306087665801794081095324209734928315750887973213031768e-76,6.3861076891557692820603000302558803506156401514251956116102590575170579004287074e-76,-120,-0.0000000032448363445923941143854805742929726329658143108398042360479141396022600261088968,-0.0000000032448363445923941143854805742929726329658143108398042360479141396022600261088892,-0.000000003244836344592394114385480574292972632965814310839804236047914139602260026108936,-0.0000000032448363445923941143854805742929726329658143108398042360479141396022600257783504,-0.00000019189235785768653869564740886991061764491873106615980258329343357872498563183664,-0.00000019189235785768653869564740886991061764491873106615980258329343357872520974200846,-0.00000019189235785768653869564740886991061764491873106615980258329343357872521003727894,-0.00000019189235785768653869564740886991061764491873106615980258329343357872539058717779,-0.020254716621063543095745632606214632940835619929240133514233206761262984070145948,-0.02025471662106354309574563260621463294083561992924013351423320676126298406992179,-0.020254716621063543095745632606214632940835619929240133514233206761262984069921788,-0.020254716621063543095745632606214632940835619929240133514233206761262984067677657,-0.000000000000022502503109348512728328293239338652408473283118049207213646502961677920678045896,-0.000000000000022502503109348512728328293239338652408473283118049207213646502961677920678144019,-0.00000000000002250250310934851272832829323933865240847328311804920721364650296167792009147053,-0.000000000000022502503109348512728328293239338652408473283118049207213646502961677920110604887,-0.0000000000015369974449791089946914776580516643621091706615790088596653018182903348684593459,-0.000000000001536997444979108994691477658051664362109170661579008859665301818290334868459165,-0.000000000001536997444979108994691477658051664362109170661579008859665301818290334868458716,-0.0000000000015369974449791089946914776580516643621091706615790088596653018182903348736499758
-110,-0.0000000026848088247812873441792331335112490334876820102512528912744714848460510789335945,-0.00000015859013130569810788927196892805455672482513228668644651805341934705360887235833,-0.016758947679515868934335590343105898652277847440091178373880939109945658242160218,-0.000000000000018536201152098012425622284172813600328434509012109236112106745934952625373801651,-0.00000000000079242739143862976163849338403446005733162570645230155013124220436055404247605802,-110,90648978760300376670.491276574410636893986927892819684690503710807955802282403517,0.021116508470885817307256505422694265262453931001490157218173901716022787209239939,90648978760300376670.470160065939751076679671387396990425241256876954312125185343,4292801477350376514457.8381947556514481502043707045809391931457400937765925766116,181297957520600753340.98255314882127378797385578563936938100742161591160456480703,3.8348636588629534657633552123269461783054002243267918856404473268550189133448909e-75,4.3758428716385937033347368989122979656974415186398612716772177831462584025225786e-75,4.8867607718507208705741010144200543285064105133292114441774654023657418161416731e-85,1.3805601902330967104681663329633418791320673130818599226558366966260002572597718e-83,8.6664876836231096848390754636568486925730505566286222651542250225027768687699722e-83,5.6702124504025747783872265336721010675184986642532939154234560716543401081865626,2.2895524731698614604846686993959903052839915198946287732307345543469654619587586e-75,2.0997853180361824735230613620334406236292878290403545369966459732514946395921612e-75,3.0026656731390812166803414304612144125763553282688460273462276782260305501853886e-75,-110,-0.0000000026848088247812873441792331335112490334876820102512528912744714848460510789335691,-0.0000000026848088247812873441792331335112490334876820102512528912744714848460510789335945,-0.0000000026848088247812873441792331335112490334876820102512528912744714848460510789335698,-0.000000002684808824781287344179233133511249033487682010251252891274471484846051079020234,-0.00000015859013130569810788927196892805455672482513228668644651805341934705550677666286,-0.00000015859013130569810788927196892805455672482513228668644651805341934705360887235833,-0.00000015859013130569810788927196892805455672482513228668644651805341934705360870874262,-0.000000158590131305698107889271968928054556724825132286686446518053419347051671913004,-0.016758947679515868934335590343105898652277847440091178373880939109945658240262155,-0.016758947679515868934335590343105898652277847440091178373880939109945658242160218,-0.016758947679515868934335590343105898652277847440091178373880939109945658242160227,-0.016758947679515868934335590343105898652277847440091178373880939109945658244637998,-0.000000000000018536201152098012425622284172813600328434509012109236112106745934952625373735501,-0.000000000000018536201152098012425622284172813600328434509012109236112106745934952625373801651,-0.000000000000018536201152098012425622284172813600328434509012109236112106745934952625859564273,-0.000000000000018536201152098012425622284172813600328434509012109236112106745934952625862411578,-0.00000000000079242739143862976163849338403446005733162570645230155013124220436055404247604439,-0.00000000000079242739143862976163849338403446005733162570645230155013124220436055404247605802,-0.00000000000079242739143862976163849338403446005733162570645230155013124220436055404247621995,-0.00000000000079242739143862976163849338403446005733162570645230155013124220436055405628164629
-100,-0.0000000022209749758668874981604946378001272978172294826932856427979202480293919678366208,-0.00000013104375638824677025969861640721138416712200558428724786354170538861157570478117,-0.013863632849305848128964686859903170358813661659380165770344815425835142862786914,-0.000000000000015261794387407957927999250990239831504920651840626384329441363645610875439384605,-0.00000000000040755805982785990498844837293804844489958940046852299433346301343975027784958787,-100,96138959932191667167.625131475388801071315926768776807404681783432577931832933419,0.021011400389074508270026875158040599989222655138594216242978711098955301101768731,96138959932191667167.60412007499972656304589989361876680469256077743933761669044,4575561749905157641286.7412028595758561361880551435021670031149323536074296565504,192277919864383334335.25026295077760214263185353755361480936356686515586366586684,8.259685582145796179998415586281444652312662223549137243395326397015929754243315e-76,1.613908179899806624381720353902554770458401502827950891590497576856694435021946e-75,8.5135953421925822747063425129349485338297675025521704082947040564817372880011357e-86,4.5767555695192783093705093194745338853299311082676690161865622926433977986678319e-84,3.2082667149354653434043783858063184058539109542630496712753709849520581449582368e-82,6.4024678189806680607429732064198815146782182187745788148844097831275927322523611,4.1330533525040360699953815264864956555712748674648006034989672140891433477891421e-76,2.1821585953180326429772290649214064950615612758645647365321546062566398372254196e-75,3.8241180479761018219953240870908235078039713842834193106906085812571039502502973e-75,-100,-0.0000000022209749758668874981604946378001272978172294826932856427979202480293919678366322,-0.0000000022209749758668874981604946378001272978172294826932856427979202480293919678366208,-0.0000000022209749758668874981604946378001272978172294826932856427979202480293919678366675,-0.0000000022209749758668874981604946378001272978172294826932856427979202480293919675158408,-0.00000013104375638824677025969861640721138416712200558428724786354170538861201320973052,-0.00000013104375638824677025969861640721138416712200558428724786354170538861157570478117,-0.00000013104375638824677025969861640721138416712200558428724786354170538861157600369742,-0.00000013104375638824677025969861640721138416712200558428724786354170538861118724117231,-0.01386363284930584812896468685990317035881366165938016577034481542583514286234948,-0.013863632849305848128964686859903170358813661659380165770344815425835142862786914,-0.013863632849305848128964686859903170358813661659380165770344815425835142862786906,-0.013863632849305848128964686859903170358813661659380165770344815425835142861173005,-0.000000000000015261794387407957927999250990239831504920651840626384329441363645610875439392145,-0.000000000000015261794387407957927999250990239831504920651840626384329441363645610875439384605,-0.00000000000001526179438740795792799925099023983150492065184062638432944136364561087537766413,-0.000000000000015261794387407957927999250990239831504920651840626384329441363645610875354256192,-0.00000000000040755805982785990498844837293804844489958940046852299433346301343975027784951586,-0.00000000000040755805982785990498844837293804844489958940046852299433346301343975027784958787,-0.00000000000040755805982785990498844837293804844489958940046852299433346301343975027784952591,-0.00000000000040755805982785990498844837293804844489958940046852299433346301343975028242627143
-90,-0.0000000018370939972671777093825505789585624596580602321039240363917084059609961230742516,-0.00000010824586152738127456179848673426636250054989987283976683848774685853765878005828,-0.01146739485753525819236065093151973051921603117743193884821419073647869443045437,-0.000000000000012561876926945563707858544049406104231013385985930499476728939036720835759725027,-0.00000000000021015468299587577252476858383207428063572769460875741710631997401769515750229921,-90,101961431510805341986.28791102642063298094641286819235704733354172220395023034448,0.020827311245867832787940898823894975877608598318103906183028877073715276926223275,101961431510805341986.26708371517476514815847196936846207145593312388584632416145,4895563825168965596036.4900487134819611236811635714668576872538473670174488718465,203922863021610683972.57582205284126596189282573638471409466708344440790046068895,4.552880110138852525945867372670085648897716442126252092667183673179504491229692e-76,1.4665272643223867318437750059869825981663342698935595589928276299753989739456615e-75,9.0685402623938163743378427385901765934695901166089705428741120163354573938064751e-86,1.0643969813641617390205355012546431095172015908115315020294396917968900451992988e-83,1.6205626402044184343483410252879995915664032027880687934950425743527156263835166e-82,7.2295557723673774589602666404308550184396703804290540559951574980943340316237973,-3.1431134498317825897190018156915844657672444777268446207993402695902365170122496e-76,7.9640640061019930030685658893764634172190613944427328746269091289764273885006115e-76,1.3366664072659230305140842014213670385948683629518758484199853155256390124681528e-75,-90,-0.0000000018370939972671777093825505789585624596580602321039240363917084059609961230742228,-0.0000000018370939972671777093825505789585624596580602321039240363917084059609961230742516,-0.0000000018370939972671777093825505789585624596580602321039240363917084059609961230742786,-0.0000000018370939972671777093825505789585624596580602321039240363917084059609961229122223,-0.00000010824586152738127456179848673426636250054989987283976683848774685853746410713432,-0.00000010824586152738127456179848673426636250054989987283976683848774685853765878005828,-0.00000010824586152738127456179848673426636250054989987283976683848774685853765896068734,-0.00000010824586152738127456179848673426636250054989987283976683848774685853791939514533,-0.011467394857535258192360650931519730519216031177431938848214190736478694430648863,-0.01146739485753525819236065093151973051921603117743193884821419073647869443045437,-0.011467394857535258192360650931519730519216031177431938848214190736478694430454357,-0.011467394857535258192360650931519730519216031177431938848214190736478694429182336,-0.000000000000012561876926945563707858544049406104231013385985930499476728939036720835759677444,-0.000000000000012561876926945563707858544049406104231013385985930499476728939036720835759725027,-0.000000000000012561876926945563707858544049406104231013385985930499476728939036720835682754481,-0.000000000000012561876926945563707858544049406104231013385985930499476728939036720835669039624,-0.00000000000021015468299587577252476858383207428063572769460875741710631997401769515750207582,-0.00000000000021015468299587577252476858383207428063572769460875741710631997401769515750229921,-0.00000000000021015468299587577252476858383207428063572769460875741710631997401769515750237709,-0.00000000000021015468299587577252476858383207428063572769460875741710631997401769514685840727
-80,-0.0000000015195668391737043075793522294401905504776911226335781047790794048938828268142178,-0.000000089365476167905340524040695210835339266452766519825895462855947114890356114959415,-0.0094853465840845277379907456848935439226238515176459130178259729055892367513287511,-0.000000000000010337140567536051663463177410184644248539445256622009026382952263789827389760348,-0.00000000000010908225633897001467163234381940183101360600728077852452940289791690497137682534,-80,108136530144683646643.53721358039362823629604763709309963693674476853529424639909,0.020644834980052432155508994099125366923885355379799057113335700591915503737033653,108136530144683646643.51656874541357580414053864299397427001285941315549518928576,5237945968043238379326.2493721185137537112835643941097405123544573353725614325486,216273060289367293287.07442716078725647259209527418619927387348953707058849279819,2.2008735802123498725008031075355393282015932178743085842146344312257770673371748e-75,9.8411767010363803810375745315121075756352119896880808936788514165284733663482344e-76,5.8487532097468111269242401997944973087817595122965194089347117004486545950980407e-85,1.2033265104033950674968846447583639031311071368750109191061237605411326099993978e-83,2.464067232151723075515897793791760005018568170206045715064369292489460611807655e-82,8.1637096140385476700052108410776532816072421429597355926674069103995498806284374,-1.3587211044795129801047302729867051743813569973692095471116304613589985385278743e-75,1.9159503537044806248950561238693317085244949563178719502126226220778951393307708e-75,3.4070290331743218810714088130777605496249452291584089254587946274337591154764161e-75,-80,-0.0000000015195668391737043075793522294401905504776911226335781047790794048938828268141951,-0.0000000015195668391737043075793522294401905504776911226335781047790794048938828268142178,-0.000000001519566839173704307579352229440190550477691122633578104779079404893882826814218,-0.0000000015195668391737043075793522294401905504776911226335781047790794048938828270606018,-0.000000089365476167905340524040695210835339266452766519825895462855947114889371855592805,-0.000000089365476167905340524040695210835339266452766519825895462855947114890356114959415,-0.000000089365476167905340524040695210835339266452766519825895462855947114890356108927819,-0.000000089365476167905340524040695210835339266452766519825895462855947114891572729173018,-0.0094853465840845277379907456848935439226238515176459130178259729055892367523128688,-0.0094853465840845277379907456848935439226238515176459130178259729055892367513287511,-0.0094853465840845277379907456848935439226238515176459130178259729055892367513287589,-0.0094853465840845277379907456848935439226238515176459130178259729055892367516501146,-0.000000000000010337140567536051663463177410184644248539445256622009026382952263789827389543577,-0.000000000000010337140567536051663463177410184644248539445256622009026382952263789827389760348,-0.000000000000010337140567536051663463177410184644248539445256622009026382952263789826819383958,-0.000000000000010337140567536051663463177410184644248539445256622009026382952263789826804885027,-0.00000000000010908225633897001467163234381940183101360600728077852452940289791690497137705862,-0.00000000000010908225633897001467163234381940183101360600728077852452940289791690497137682534,-0.00000000000010908225633897001467163234381940183101360600728077852452940289791690497137668391,-0.00000000000010908225633897001467163234381940183101360600728077852452940289791690498340994901
-70,-0.0000000012570480008542372958677745826730086028766853031178895694027368667052489549473689,-0.000000073716005845463188263183106519398756614670156308483569726697916614151567226847708,-0.0078466678621799700039193149963832149664063752549194883478677779708908561485334305,-0.0000000000000085033848273681422635765659522290988769982755810173374031635709307312310144718777,-0.000000000000057235703949314169847130538832615709224848421811568336638671739469553727540643361,-70,114685612020526833335.35928545533272584193690516537960891253635775929169978466644,0.020463957460575090159977424948371458412539894693100979466271777379802587834645333,114685612020526833335.33882149787215075177692774043123745412381786459859880520017,5604273378767269528002.9570869024135023359876833908412395602414081570954269664547,229371224041053666670.71857091066545168387381033075921782507271551858339956933289,2.2742810129306526518165870983693427245560792209720169759873359107222100976640554e-75,3.321365847685726556133205388578445076462657257345280725085219583217631334704903e-75,1.1006511760903076992405514258238159001533311678288005428727769448353256357260457e-86,2.4240334644876171462765543288439779399589033207592636726232693944289446317455312e-84,1.6774298930884090777939018457439657277362692496986552172220669264653545536289492e-82,9.2187499534622445895825106987027610962672913964049924056372294831817440235830449,1.2665287930140119139842058528293312127425706144075852272080052968321325510870455e-75,1.805713120419148284319861787911010493439971184605850495724969253387811767970102e-75,3.2454792764581072829502250479440207480393942640739080358904087031780607610221421e-75,-70,-0.0000000012570480008542372958677745826730086028766853031178895694027368667052489549473551,-0.0000000012570480008542372958677745826730086028766853031178895694027368667052489549473689,-0.0000000012570480008542372958677745826730086028766853031178895694027368667052489549473619,-0.0000000012570480008542372958677745826730086028766853031178895694027368667052489551150981,-0.000000073716005845463188263183106519398756614670156308483569726697916614152784942456963,-0.000000073716005845463188263183106519398756614670156308483569726697916614151567226847708,-0.000000073716005845463188263183106519398756614670156308483569726697916614151567175220628,-0.000000073716005845463188263183106519398756614670156308483569726697916614150510661444033,-0.0078466678621799700039193149963832149664063752549194883478677779708908561473156288,-0.0078466678621799700039193149963832149664063752549194883478677779708908561485334305,-0.0078466678621799700039193149963832149664063752549194883478677779708908561485334382,-0.0078466678621799700039193149963832149664063752549194883478677779708908561506369947,-0.0000000000000085033848273681422635765659522290988769982755810173374031635709307312310145633423,-0.0000000000000085033848273681422635765659522290988769982755810173374031635709307312310144718777,-0.0000000000000085033848273681422635765659522290988769982755810173374031635709307312310254783895,-0.000000000000008503384827368142263576565952229098876998275581017337403163570930731231016129834,-0.000000000000057235703949314169847130538832615709224848421811568336638671739469553727540827471,-0.000000000000057235703949314169847130538832615709224848421811568336638671739469553727540643361,-0.000000000000057235703949314169847130538832615709224848421811568336638671739469553727539744442,-0.000000000000057235703949314169847130538832615709224848421811568336638671739469553725116794006
-60,-0.0000000010400971366170244795524970612073090255640806010302210063577228369398395367680392,-0.000000060729203427640254055120260899675212821673432315869892954809020082606306615743609,-0.0064924307601925614742577981476041687662459085725452920265993987160477881697583911,-0.0000000000000069890057563341812454202225615533304217488062049232327222887187153536257954993454,-0.000000000000030519012174879211051794557893055043111665740790248573096071518765443366796433367,-60,121631326722204583803.86574552590437787403523736907597660214320938661340180446148,0.020284664680190304971884602607135407369253805376047866996287113296305125458980953,121631326722204583803.84546086122418756906335276646884119477395558123735393746519,5996220723381633597094.7256613666580468841578553140536303253728730166747345315119,243262653444409167607.73149105180875574807047473815195320428641877322680360892296,6.452837192259630343530864782486173554543236522302233997372398436616594687925426e-76,3.2560963411283184319877632441486674079606377123355817530848527804146450858773706e-75,1.2718760491674597279402213147012636258413400133205903998966306139825832899816568e-85,2.4741197792043518420877341298548636011037142380196113379168308160786893347219589e-84,5.7944925554234899105310412271002062319410695476140275392365117021828720276159647e-82,10.410288767279326314048486342980259694351627038834176381371243768583836254645682,4.3135741549453761159707683118709153656932024808774721465728558888620173288989887e-76,9.9923424419640494132379996930460381720641467079062392865925294966472883050995301e-76,2.0718175432492068454376848743501832781807282526811071033102214355705064230792969e-75,-60,-0.0000000010400971366170244795524970612073090255640806010302210063577228369398395367680741,-0.0000000010400971366170244795524970612073090255640806010302210063577228369398395367680392,-0.000000001040097136617024479552497061207309025564080601030221006357722836939839536768045,-0.0000000010400971366170244795524970612073090255640806010302210063577228369398395361886248,-0.000000060729203427640254055120260899675212821673432315869892954809020082606591177192397,-0.000000060729203427640254055120260899675212821673432315869892954809020082606306615743609,-0.000000060729203427640254055120260899675212821673432315869892954809020082606306655920547,-0.000000060729203427640254055120260899675212821673432315869892954809020082605945893473171,-0.0064924307601925614742577981476041687662459085725452920265993987160477881694740476,-0.0064924307601925614742577981476041687662459085725452920265993987160477881697583911,-0.0064924307601925614742577981476041687662459085725452920265993987160477881697583875,-0.0064924307601925614742577981476041687662459085725452920265993987160477881665022947,-0.0000000000000069890057563341812454202225615533304217488062049232327222887187153536257959917622,-0.0000000000000069890057563341812454202225615533304217488062049232327222887187153536257954993454,-0.0000000000000069890057563341812454202225615533304217488062049232327222887187153536259226869503,-0.0000000000000069890057563341812454202225615533304217488062049232327222887187153536259190421172,-0.000000000000030519012174879211051794557893055043111665740790248573096071518765443366796589735,-0.000000000000030519012174879211051794557893055043111665740790248573096071518765443366796433367,-0.000000000000030519012174879211051794557893055043111665740790248573096071518765443366796186418,-0.000000000000030519012174879211051794557893055043111665740790248573096071518765443364322469955
