voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_4 transport over barrier 3,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_3 transport over barrier 3,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.06321547870789608,-37710.74785176562,-79795.4979653354,-37710.74785176437,-79795.49796534682,-150,300188110.48279744,20729.433698919936,300167381.04909855,14481.249938749563,2.2486346543896931e+17,6.8248482421040535e-09,1.3562384992837906e-08,7.3196133598685265e-09,2.066371962428093e-08,2.6645352591003757e-15,405732.56996454089,3.14321368932724e-09,1.5529386272160659e-08,6.8503619665705173e-08,-150,-0.06321547870789342,-0.06321547870789608,-0.06321547870789491,-0.06321547870789522,-37710.74785177129,-37710.74785176562,-37710.74785176534,-37710.74785176446,-79795.49796533491,-79795.4979653354,-79795.4979653405,-79795.49796532694,-37710.74785177158,-37710.74785176437,-37710.74785176456,-37710.74785176426,-79795.49796533256,-79795.49796534682,-79795.4979653381,-79795.49796535322
-140,-0.05676434204418706,-34957.311105125795,-71104.89944772943,-34957.31110512765,-71104.89944772767,-140,274618881.07959074,22909.567272223612,274595971.51231849,11987.08285566566,1.1020629714726381e+17,2.984597813338041e-08,1.2922100722789764e-08,5.093170329928398e-09,2.597516868263483e-08,6.904199434387692e-15,408219.83758805977,-6.1758328229188919e-08,1.5455377723216169e-08,5.5426399470093202e-08,-140,-0.05676434204418905,-0.05676434204418706,-0.05676434204418387,-0.056764342044182146,-34957.31110511879,-34957.311105125795,-34957.31110513743,-34957.311105148634,-71104.89944773432,-71104.89944772943,-71104.89944772194,-71104.8994477214,-34957.31110512335,-34957.31110512765,-34957.31110512844,-34957.31110512823,-71104.89944773464,-71104.89944772767,-71104.89944771901,-71104.89944770867
-130,-0.05084696233465148,-32252.845548396057,-63222.76938349301,-32252.84554840664,-63222.76938349732,-130,251736253.53306255,25318.987494959183,251710934.5455676,9942.5876956249267,68210479344501632.0,1.6065314412117004e-08,6.803020369261503e-09,1.1088559404015541e-08,8.592905942350626e-09,2.2967738821932926e-15,413055.06714146456,-4.7031790018081665e-08,1.7282707164871008e-08,7.7109016061172042e-08,-130,-0.05084696233465242,-0.05084696233465148,-0.05084696233465378,-0.05084696233465244,-32252.84554839802,-32252.845548396057,-32252.845548404533,-32252.845548412122,-63222.76938349886,-63222.76938349301,-63222.76938349206,-63222.769383492734,-32252.845548395868,-32252.84554840664,-32252.845548406956,-32252.845548406825,-63222.76938349876,-63222.76938349732,-63222.76938350102,-63222.76938349243
-120,-0.04538714857436437,-29599.693271201973,-56029.03690741522,-29599.69327119146,-56029.0369074192,-120,231314228.55387288,27981.808654549885,231286246.74521834,8266.5931787887075,1.5345361056130941e+17,1.7895217752084136e-08,1.9521394278854132e-08,1.0921212378889322e-08,1.507578417658806e-08,6.945832797811136e-15,420333.84092873201,5.0000380724668503e-08,1.6677884679661065e-08,7.0627102388698404e-08,-120,-0.04538714857436353,-0.04538714857436437,-0.04538714857436895,-0.04538714857437048,-29599.693271198717,-29599.693271201973,-29599.693271193006,-29599.69327118408,-56029.03690741537,-56029.03690741522,-56029.03690742848,-56029.03690743474,-29599.693271201286,-29599.69327119146,-29599.6932711908,-29599.693271190365,-56029.03690741313,-56029.0369074192,-56029.036907425056,-56029.036907428206
-110,-0.0403163118771128,-27000.257080625433,-49415.464276656494,-27000.257080629708,-49415.464276651,-110,213151286.21338069,30924.681160165994,213120361.53222054,6892.594465547485,1.7700091626054291e+17,1.391163095831871e-08,1.735315890982747e-08,6.315531209111214e-09,8.207280188798904e-09,1.9220736113823023e-15,430151.27225289278,-3.300374373793602e-08,1.2385947499697287e-08,5.5102242768612086e-08,-110,-0.040316311877113944,-0.0403163118771128,-0.040316311877113126,-0.04031631187711202,-27000.25708062442,-27000.257080625433,-27000.257080631814,-27000.25708063833,-49415.464276656305,-49415.464276656494,-49415.46427664868,-49415.46427663914,-27000.257080624113,-27000.257080629708,-27000.25708063043,-27000.257080630297,-49415.46427665808,-49415.464276651,-49415.4642766563,-49415.46427665921
-100,-0.03557450601000196,-24455.69550710617,-43287.92317341338,-24455.695507111388,-43287.923173416566,-100,197068376.24236405,34177.058268977336,197034199.18409508,5766.1011866911867,8.3832479601424973e+17,3.1483068596571684e-08,6.097252480685711e-09,6.6211214289069176e-09,1.9994331523776054e-08,4.142519660632615e-15,442605.16409156856,5.9430021792650223e-08,1.4687185943927993e-08,5.3697521096296441e-08,-100,-0.03557450601000156,-0.03557450601000196,-0.03557450601000394,-0.0355745060100057,-24455.6955071169,-24455.69550710617,-24455.695507095756,-24455.695507085416,-43287.92317341383,-43287.92317341338,-43287.92317341386,-43287.92317341948,-24455.695507104785,-24455.695507111388,-24455.695507111406,-24455.695507110853,-43287.9231734128,-43287.923173416566,-43287.92317342744,-43287.92317343279
-90,-0.031111447098160196,-21964.612265861106,-37568.64127368789,-21964.612265864303,-37568.641273683475,-90,182907132.8635731,37771.490864250583,182869361.37270886,4842.4652741649761,28483845989522180.0,1.95796019397676e-08,5.959009286016226e-09,2.622982719913125e-09,1.7229467630386353e-08,3.837208328860697e-15,457803.18607121042,2.9569491744041443e-08,9.811747434062622e-09,4.5222826372537384e-08,-90,-0.031111447098159554,-0.031111447098160196,-0.0311114470981622,-0.03111144709816339,-21964.612265869255,-21964.612265861106,-21964.612265855798,-21964.612265849675,-37568.64127368193,-37568.64127368789,-37568.64127368617,-37568.641273686575,-21964.61226586168,-21964.612265864303,-21964.61226586412,-21964.61226586385,-37568.64127368467,-37568.641273683475,-37568.6412736942,-37568.641273700705
-80,-0.026887472402183785,-19521.86543387411,-32198.293878233355,-19521.865433871262,-32198.29387823037,-80,170528296.30863476,41743.953235529756,170486552.35539922,4085.1017474667947,1.5851308523649594e+17,3.40660335496068e-08,1.9106664694845676e-08,6.56291376799345e-09,2.0489096641540527e-08,6.179085021429387e-15,475873.24990882876,7.5786374509334564e-08,1.5761035595891023e-08,5.4128424409327636e-08,-80,-0.026887472402181586,-0.026887472402183785,-0.026887472402185978,-0.026887472402187765,-19521.8654338832,-19521.86543387411,-19521.865433860592,-19521.865433849132,-32198.293878223252,-32198.293878233355,-32198.29387823557,-32198.29387824236,-19521.86543387745,-19521.865433871262,-19521.865433871368,-19521.865433870888,-32198.293878225973,-32198.29387823037,-32198.29387824171,-32198.293878246463
-70,-0.02287434949112128,-17117.672643088208,-27137.714070342165,-17117.67264308824,-27137.714070343893,-70,159810325.23755807,46134.203121417318,159764191.03443664,3464.0313352105522,1.520877129426584e+17,1.1190422810614109e-08,7.64703145250678e-09,1.6298145055770874e-09,3.157765604555607e-09,7.077671781985373e-16,496972.97274340485,-2.4447217583656311e-08,8.6571236568692684e-09,4.0652302857324685e-08,-70,-0.0228743494911214,-0.02287434949112128,-0.02287434949112171,-0.022874349491121004,-17117.672643085927,-17117.672643088208,-17117.672643092523,-17117.672643097118,-27137.714070343034,-27137.714070342165,-27137.71407034371,-27137.714070336064,-17117.67264308955,-17117.67264308824,-17117.672643087943,-17117.67264308792,-27137.714070343893,-27137.714070343893,-27137.71407034168,-27137.71407034484
-60,-0.019055674885704896,-14737.286675577832,-22368.677020676594,-14737.286675578904,-22368.677020676674,-60,150648186.18891913,50986.179618385198,150597200.00930074,2954.6866879705699,6.2170844595492672e+17,1.4901161193847656e-08,1.1292286217212677e-08,2.597516868263483e-09,5.820766091346741e-09,2.942091015256665e-15,521288.79555548285,2.7008354663848877e-08,6.4922404708270364e-09,2.9345287089199701e-08,-60,-0.0190556748857042,-0.019055674885704896,-0.019055674885706458,-0.01905567488570714,-14737.286675583717,-14737.286675577832,-14737.286675573278,-14737.286675568816,-22368.677020673364,-22368.677020676594,-22368.677020678944,-22368.677020684656,-14737.286675577074,-14737.286675578904,-14737.28667557882,-14737.286675579671,-22368.677020675706,-22368.677020676674,-22368.677020681527,-22368.677020679752
